detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
U1-52G,0.196036689548578,0.005511921838942,secondary,Gögginger Straße,50,augsburg,1,72,10.8895527,48.359957
U1-51G,0.130039071784385,0.004013209518671,secondary,Gögginger Straße,50,augsburg,1,73,10.889601,48.3599454
U1-52L,0.155863214591286,0.022227823915315,secondary,Gögginger Straße,50,augsburg,1,70,10.8893555,48.3598759
U1-51L,0.197675412740605,0.021889369247481,secondary,Gögginger Straße,50,augsburg,1,71,10.8893958,48.3598617
U1-62,0.065182655061287,0.024465133197684,secondary,Rosenaustraße,50,augsburg,1,68,10.8893609,48.3605781
U1-61,0.436383966069182,0.021136542430776,secondary,Rosenaustraße,50,augsburg,1,67,10.8893435,48.3605558
U1-42,0.099691259701495,0.039163079997061,tertiary,Gögginger Straße,50,augsburg,1,0,10.8904043,48.3607189
U1-41,0.100387211424418,0.040348813783393,tertiary,Gögginger Straße,50,augsburg,1,1,10.8903842,48.3607421
U1-2,0.092166064066626,0.03813064814834,tertiary,Gögginger Straße,50,augsburg,1,69,10.890419,48.3606031
U1-3,0.473093419220592,0.015152071405354,tertiary,Stettenstraße,50,augsburg,1,365,10.8912411,48.3607617
U1-11,0.462150085312665,0.02439612227856,tertiary,Hermanstraße,50,augsburg,1,2,10.8911768,48.3612829
U1-12,0.093054643572405,0.02463298744913,tertiary,Hermanstraße,50,augsburg,1,3,10.8912196,48.3612678
U2-1R,0.189287632924729,0.031504014769015,secondary,Gögginger Straße,50,augsburg,1,75,10.8883739,48.3591176
U2-11,0.188083376043536,0.031997526359001,secondary,Gögginger Straße,50,augsburg,1,76,10.8884208,48.3591051
U2-12,0.063674293032176,0.032028715175314,secondary,Gögginger Straße,50,augsburg,1,74,10.8884771,48.3590918
U2-21,0.097344528990126,0.027047552105686,secondary,Gögginger Straße,50,augsburg,1,79,10.8880788,48.3582657
U2-22,0.095937360699466,0.02466338707553,secondary,Gögginger Straße,50,augsburg,1,80,10.8881244,48.3582586
U3-12,0.111829779559383,0.026902073316891,secondary,Gögginger Straße,50,augsburg,1,78,10.8877234,48.3581587
U3-11,0.112663757015737,0.026863965836306,secondary,Gögginger Straße,50,augsburg,1,77,10.8876859,48.3581686
U3-22,0.144961793514368,0.014403986250103,residential,Elisenstraße,30,augsburg,1,81,10.8871374,48.3579493
U3-21,0.144856939226762,0.013635584104392,residential,Elisenstraße,30,augsburg,1,82,10.8871146,48.3579253
U3-32,0.295133346464186,0.031105677666417,secondary,Gögginger Straße,50,augsburg,1,86,10.8873318,48.3573933
U3-31,0.295717670484569,0.030878044887903,secondary,Gögginger Straße,50,augsburg,1,87,10.8873788,48.3573763
U3-42,0.406865143634089,0.01188837392782,residential,Morellstraße,30,augsburg,1,89,10.887997,48.3576365
U3-41,0.058015377851558,0.013063947780082,residential,Morellstraße,30,augsburg,1,88,10.8880225,48.3576615
U4-42,0.052348231020202,0.014238839522275,residential,Ulrich-Hofmaier-Straße,30,augsburg,1,99,10.8850197,48.3554265
U4-61,0.094592458624277,0.031243503147981,tertiary,Schertlinstraße,30,augsburg,1,90,10.8861396,48.3550664
U4-62,0.492729714119612,0.033651177867952,tertiary,Schertlinstraße,30,augsburg,1,91,10.8861275,48.3550379
U4-8,0.070462117563759,0.028005456622423,secondary,Gögginger Straße,50,augsburg,1,98,10.8851579,48.355152
U4-5,0.047676804278809,0.017751710262916,secondary,Gögginger Straße,50,augsburg,1,97,10.8852853,48.3550023
U4-21,0.377942634568294,0.040563601175764,secondary,Gögginger Straße,50,augsburg,1,102,10.8845879,48.3545665
U4-22,0.10340321440305,0.039569335431808,secondary,Gögginger Straße,50,augsburg,1,103,10.8845705,48.3545959
U4-11,0.11543111250305,0.033500703585967,tertiary,Eichleitnerstraße,50,augsburg,1,95,10.8855186,48.3545291
U4-12,0.111107256786061,0.030675145799235,tertiary,Eichleitnerstraße,50,augsburg,1,94,10.8854757,48.3545201
U4-32,0.293931731014942,0.03165643228548,secondary,Gögginger Straße,50,augsburg,1,83,10.8856903,48.3557161
U4-31,0.295101922848983,0.031130282942878,secondary,Gögginger Straße,50,augsburg,1,85,10.8856487,48.3557322
U5-4,0.220717755103728,0.031517172351717,residential,Muesmannstraße,30,augsburg,1,724,10.8801073,48.3530443
U5-3,0.388800033351009,0.042929973088192,secondary,Gögginger Straße,50,augsburg,1,123,10.8803983,48.3524953
U5-1,0.38681923609728,0.03761610853207,secondary,Gögginger Straße,50,augsburg,1,101,10.8809549,48.3533081
19-6,0.251294438154938,0.029367755691512,tertiary,Eichleitnerstraße,50,augsburg,1,96,10.8859237,48.3535666
19-2,0.097541219749867,0.03249194546564,tertiary,Eichleitnerstraße,50,augsburg,1,93,10.8855428,48.354235
19-1,0.093562225528547,0.032499305186817,tertiary,Eichleitnerstraße,50,augsburg,1,92,10.8854986,48.3542323
S1-1,0.041996443825512,0.015266104944114,tertiary,Schertlinstraße,50,augsburg,1,493,10.9018345,48.3523046
V10-9,0.039422190598331,0.018517888524087,tertiary,Schertlinstraße,50,augsburg,1,494,10.9018265,48.3522511
V10-8,0.041827766659592,0.019094528990734,tertiary,Schertlinstraße,50,augsburg,1,495,10.9018211,48.3522253
V10-7,0.043161624040747,0.021709467765929,tertiary,Schertlinstraße,50,augsburg,1,496,10.9018117,48.3522012
S1-4,0.080720883141802,0.036977460499475,tertiary,Schertlinstraße,50,augsburg,1,497,10.9008689,48.3524017
S1-3,0.238686895698463,0.03665294624119,tertiary,Schertlinstraße,50,augsburg,1,498,10.9008582,48.3523741
S1-2,0.20648807553421,0.013201862840513,tertiary,Alter Postweg,50,augsburg,1,499,10.9014335,48.3520435
V10-2,0.331554643526189,0.03491723596729,tertiary,Haunstetter Straße,50,augsburg,1,485,10.9021309,48.3527262
