detid_X,detid_Y,DISTANCE
563Stau2_1,563Stau2_1,0.0
563Stau2_1,563Stau2,0.0
563Stau2_1,563D6_8,0.0
563Stau2_1,563D6_9,0.0
563Stau2_1,563D33_8,501.437
563Stau2_1,563D34_8,501.437
563Stau2_1,563D34_9,501.437
563Stau2_1,563Stau34,205.472
563Stau2_1,563Stau35,155.75400000000002
563Stau2_1,563D4_8,33.52
563Stau2_1,563D4_9,33.52
563Stau2_1,563Stau3_1,33.52
563Stau2_1,563Stau3,33.52
563Stau2_1,560D2_8,136.574
563Stau2_1,560D2_9,136.574
563Stau2_1,560SD2_4,229.526
563Stau2_1,560SD2_5,229.526
563Stau2_1,560SD2,744.63
563Stau2_1,560SD2_1,744.63
563Stau2_1,566D5_9,1057.648
563Stau2_1,566D5_8,1057.648
563Stau2_1,566D1_8,1171.926
563Stau2_1,566D1_9,1171.926
563Stau2_1,566D7_8,1023.36
563Stau2_1,566D6_8,1023.36
563Stau2_1,566D6_9,1023.36
563Stau2_1,566D8_8,1023.36
563Stau2_1,567D11_8,1171.926
563Stau2_1,567D10_9,1171.926
563Stau2_1,567D10_8,1171.926
563Stau2_1,567D4_8,1184.5649999999998
563Stau2_1,567D1_9,1285.3159999999998
563Stau2_1,567D1_8,1285.3159999999998
563Stau2_1,572D2_8,1180.638
563Stau2_1,572D2_9,1180.638
563Stau2_1,572D2_10,1157.552
563Stau2_1,572D1_9,1386.689
563Stau2_1,572D1_8,1386.689
563Stau2_1,571D18_8,1576.227
563Stau2_1,571D7_9,1442.371
563Stau2_1,571D7_8,1442.371
563Stau2_1,569D9_8,706.226
563Stau2_1,569D1_8,1257.8669999999995
563Stau2_1,569D2_8,1257.8669999999995
563Stau2_1,569D3_8,1257.8669999999995
563Stau2_1,569D4_8,1515.541
563Stau2_1,569D5_8,1515.541
563Stau2_1,569D6_8,1515.541
563Stau2_1,568D3_8,859.15
563Stau2_1,568D4_8,859.15
563Stau2_1,568D2_8,1285.3159999999998
563Stau2_1,145D37_8,1483.572
563Stau2_1,145D2_8,1243.549
563Stau2_1,145D1_9,1321.675
563Stau2_1,145D29_8,1425.5989999999997
563Stau2_1,179D5_8,595.008
563Stau2_1,179D1_10,679.441
563Stau2_1,179D2_10,507.0820000000001
563Stau2_1,179D3_10,507.0820000000001
563Stau2_1,773D3_9,1271.122
563Stau2_1,773D1_8,1176.94
563Stau2_1,774D8_8,1339.507
563Stau2_1,774D8_9,1339.507
563Stau2_1,774D6_8,1301.498
563Stau2_1,774Stau1_8_2,1269.4720000000002
563Stau2_1,774Stau1_8_1,1269.4720000000002
563Stau2_1,774D5_9,1383.3480000000002
563Stau2_1,774D5_8,1383.3480000000002
563Stau2_1,777D1_8,634.079
563Stau2_1,777D1_9,634.079
563Stau2_1,135D6_8,836.762
563Stau2_1,135D1_9,1074.8380000000002
563Stau2_1,135D3_8,694.364
563Stau2_1,135Stau1,728.274
563Stau2_1,135Stau5,1074.8380000000002
563Stau2_1,561D4_8,379.521
563Stau2_1,772D2_8,832.63
563Stau2,563Stau2_1,0.0
563Stau2,563Stau2,0.0
563Stau2,563D6_8,0.0
563Stau2,563D6_9,0.0
563Stau2,563D33_8,501.437
563Stau2,563D34_8,501.437
563Stau2,563D34_9,501.437
563Stau2,563Stau34,205.472
563Stau2,563Stau35,155.75400000000002
563Stau2,563D4_8,33.52
563Stau2,563D4_9,33.52
563Stau2,563Stau3_1,33.52
563Stau2,563Stau3,33.52
563Stau2,560D2_8,136.574
563Stau2,560D2_9,136.574
563Stau2,560SD2_4,229.526
563Stau2,560SD2_5,229.526
563Stau2,560SD2,744.63
563Stau2,560SD2_1,744.63
563Stau2,566D5_9,1057.648
563Stau2,566D5_8,1057.648
563Stau2,566D1_8,1171.926
563Stau2,566D1_9,1171.926
563Stau2,566D7_8,1023.36
563Stau2,566D6_8,1023.36
563Stau2,566D6_9,1023.36
563Stau2,566D8_8,1023.36
563Stau2,567D11_8,1171.926
563Stau2,567D10_9,1171.926
563Stau2,567D10_8,1171.926
563Stau2,567D4_8,1184.5649999999998
563Stau2,567D1_9,1285.3159999999998
563Stau2,567D1_8,1285.3159999999998
563Stau2,572D2_8,1180.638
563Stau2,572D2_9,1180.638
563Stau2,572D2_10,1157.552
563Stau2,572D1_9,1386.689
563Stau2,572D1_8,1386.689
563Stau2,571D18_8,1576.227
563Stau2,571D7_9,1442.371
563Stau2,571D7_8,1442.371
563Stau2,569D9_8,706.226
563Stau2,569D1_8,1257.8669999999995
563Stau2,569D2_8,1257.8669999999995
563Stau2,569D3_8,1257.8669999999995
563Stau2,569D4_8,1515.541
563Stau2,569D5_8,1515.541
563Stau2,569D6_8,1515.541
563Stau2,568D3_8,859.15
563Stau2,568D4_8,859.15
563Stau2,568D2_8,1285.3159999999998
563Stau2,145D37_8,1483.572
563Stau2,145D2_8,1243.549
563Stau2,145D1_9,1321.675
563Stau2,145D29_8,1425.5989999999997
563Stau2,179D5_8,595.008
563Stau2,179D1_10,679.441
563Stau2,179D2_10,507.0820000000001
563Stau2,179D3_10,507.0820000000001
563Stau2,773D3_9,1271.122
563Stau2,773D1_8,1176.94
563Stau2,774D8_8,1339.507
563Stau2,774D8_9,1339.507
563Stau2,774D6_8,1301.498
563Stau2,774Stau1_8_2,1269.4720000000002
563Stau2,774Stau1_8_1,1269.4720000000002
563Stau2,774D5_9,1383.3480000000002
563Stau2,774D5_8,1383.3480000000002
563Stau2,777D1_8,634.079
563Stau2,777D1_9,634.079
563Stau2,135D6_8,836.762
563Stau2,135D1_9,1074.8380000000002
563Stau2,135D3_8,694.364
563Stau2,135Stau1,728.274
563Stau2,135Stau5,1074.8380000000002
563Stau2,561D4_8,379.521
563Stau2,772D2_8,832.63
563D6_8,563Stau2_1,0.0
563D6_8,563Stau2,0.0
563D6_8,563D6_8,0.0
563D6_8,563D6_9,0.0
563D6_8,563D33_8,501.437
563D6_8,563D34_8,501.437
563D6_8,563D34_9,501.437
563D6_8,563Stau34,205.472
563D6_8,563Stau35,155.75400000000002
563D6_8,563D4_8,33.52
563D6_8,563D4_9,33.52
563D6_8,563Stau3_1,33.52
563D6_8,563Stau3,33.52
563D6_8,560D2_8,136.574
563D6_8,560D2_9,136.574
563D6_8,560SD2_4,229.526
563D6_8,560SD2_5,229.526
563D6_8,560SD2,744.63
563D6_8,560SD2_1,744.63
563D6_8,566D5_9,1057.648
563D6_8,566D5_8,1057.648
563D6_8,566D1_8,1171.926
563D6_8,566D1_9,1171.926
563D6_8,566D7_8,1023.36
563D6_8,566D6_8,1023.36
563D6_8,566D6_9,1023.36
563D6_8,566D8_8,1023.36
563D6_8,567D11_8,1171.926
563D6_8,567D10_9,1171.926
563D6_8,567D10_8,1171.926
563D6_8,567D4_8,1184.5649999999998
563D6_8,567D1_9,1285.3159999999998
563D6_8,567D1_8,1285.3159999999998
563D6_8,572D2_8,1180.638
563D6_8,572D2_9,1180.638
563D6_8,572D2_10,1157.552
563D6_8,572D1_9,1386.689
563D6_8,572D1_8,1386.689
563D6_8,571D18_8,1576.227
563D6_8,571D7_9,1442.371
563D6_8,571D7_8,1442.371
563D6_8,569D9_8,706.226
563D6_8,569D1_8,1257.8669999999995
563D6_8,569D2_8,1257.8669999999995
563D6_8,569D3_8,1257.8669999999995
563D6_8,569D4_8,1515.541
563D6_8,569D5_8,1515.541
563D6_8,569D6_8,1515.541
563D6_8,568D3_8,859.15
563D6_8,568D4_8,859.15
563D6_8,568D2_8,1285.3159999999998
563D6_8,145D37_8,1483.572
563D6_8,145D2_8,1243.549
563D6_8,145D1_9,1321.675
563D6_8,145D29_8,1425.5989999999997
563D6_8,179D5_8,595.008
563D6_8,179D1_10,679.441
563D6_8,179D2_10,507.0820000000001
563D6_8,179D3_10,507.0820000000001
563D6_8,773D3_9,1271.122
563D6_8,773D1_8,1176.94
563D6_8,774D8_8,1339.507
563D6_8,774D8_9,1339.507
563D6_8,774D6_8,1301.498
563D6_8,774Stau1_8_2,1269.4720000000002
563D6_8,774Stau1_8_1,1269.4720000000002
563D6_8,774D5_9,1383.3480000000002
563D6_8,774D5_8,1383.3480000000002
563D6_8,777D1_8,634.079
563D6_8,777D1_9,634.079
563D6_8,135D6_8,836.762
563D6_8,135D1_9,1074.8380000000002
563D6_8,135D3_8,694.364
563D6_8,135Stau1,728.274
563D6_8,135Stau5,1074.8380000000002
563D6_8,561D4_8,379.521
563D6_8,772D2_8,832.63
563D6_9,563Stau2_1,0.0
563D6_9,563Stau2,0.0
563D6_9,563D6_8,0.0
