detid_Y,135D1_9,135D3_8,135D6_8,135Stau1,135Stau5,145D1_9,145D29_8,145D2_8,145D37_8,179D1_10,179D2_10,179D3_10,179D5_8,560D2_8,560D2_9,560SD2,560SD2_1,560SD2_4,560SD2_5,561D4_8,563D33_8,563D34_8,563D34_9,563D4_8,563D4_9,563D6_8,563D6_9,563Stau2,563Stau2_1,563Stau3,563Stau34,563Stau35,563Stau3_1,566D1_8,566D1_9,566D5_8,566D5_9,566D6_8,566D6_9,566D7_8,566D8_8,567D10_8,567D10_9,567D11_8,567D1_8,567D1_9,567D4_8,568D2_8,568D3_8,568D4_8,569D1_8,569D2_8,569D3_8,569D4_8,569D5_8,569D6_8,569D9_8,571D18_8,571D7_8,571D7_9,572D1_8,572D1_9,572D2_10,572D2_8,572D2_9,772D2_8,773D1_8,773D3_9,774D5_8,774D5_9,774D6_8,774D8_8,774D8_9,774Stau1_8_1,774Stau1_8_2,777D1_8,777D1_9
135D1_9,0.00,401.32,1946.56,408.53,0.00,2152.18,2103.81,1949.61,2207.96,1651.46,1479.10,1479.10,1567.03,938.26,938.26,793.89,793.89,845.31,845.31,1062.60,1204.28,1204.28,1204.28,1041.32,1041.32,1074.84,1074.84,1074.84,1074.84,1041.32,1495.76,939.93,1041.32,1564.74,1564.74,1496.77,1496.77,1578.42,1578.42,1578.42,1578.42,1564.74,1564.74,1564.74,1738.96,1738.96,1494.38,1738.96,1742.63,1742.63,1163.54,1163.54,1163.54,1149.23,1149.23,1149.23,1618.65,1651.62,1622.48,1622.48,1681.91,1681.91,1521.39,1887.96,1887.96,2207.15,2296.91,2315.13,2427.35,2427.35,2450.56,2243.10,2243.10,2313.48,2313.48,1678.10,1678.10
135D3_8,105.71,0.00,1545.24,7.21,105.71,1750.86,1702.49,1548.29,1806.64,1250.14,1077.78,1077.78,1165.71,895.59,895.59,392.57,392.57,802.64,802.64,661.28,802.96,802.96,802.96,998.65,998.65,694.36,694.36,694.36,694.36,998.65,1094.44,538.61,998.65,1331.10,1331.10,1162.37,1162.37,1244.02,1244.02,1244.02,1244.02,1331.10,1331.10,1331.10,1404.56,1404.56,1401.46,1404.56,1408.23,1408.23,1120.87,1120.87,1120.87,1106.56,1106.56,1106.56,1284.26,1608.95,1579.82,1579.82,1559.98,1559.98,1374.45,1766.03,1766.03,1805.83,1895.59,1913.81,2026.03,2026.03,2049.24,1841.78,1841.78,1912.16,1912.16,1276.78,1276.78
135D6_8,751.92,687.34,0.00,653.43,751.92,1626.20,1577.83,1423.63,1681.98,644.55,472.19,472.19,560.11,1108.10,1108.10,796.16,796.16,1311.26,1311.26,815.92,945.35,945.35,945.35,1211.15,1211.15,836.76,836.76,836.76,836.76,1211.15,631.29,681.01,1211.15,1473.50,1473.50,1304.77,1304.77,1386.42,1386.42,1386.42,1386.42,1473.50,1473.50,1473.50,1546.96,1546.96,1543.86,1546.96,1550.63,1550.63,1629.49,1629.49,1629.49,1615.18,1615.18,1615.18,1426.65,1939.82,1877.51,1877.51,1702.37,1702.37,1516.85,1908.43,1908.43,1349.71,1657.24,1570.12,1682.35,1682.35,1705.55,1498.10,1498.10,1568.47,1568.47,1021.26,1021.26
135Stau1,98.49,33.91,1579.15,0.00,98.49,1784.77,1736.40,1582.20,1840.55,1284.05,1111.69,1111.69,1199.62,888.38,888.38,426.48,426.48,795.43,795.43,695.19,836.87,836.87,836.87,991.44,991.44,728.27,728.27,728.27,728.27,991.44,1128.35,572.52,991.44,1365.01,1365.01,1196.28,1196.28,1277.93,1277.93,1277.93,1277.93,1365.01,1365.01,1365.01,1438.47,1438.47,1435.38,1438.47,1442.14,1442.14,1113.66,1113.66,1113.66,1099.35,1099.35,1099.35,1318.17,1601.74,1572.60,1572.60,1593.89,1593.89,1408.36,1799.94,1799.94,1839.74,1929.50,1947.72,2059.94,2059.94,2083.15,1875.69,1875.69,1946.07,1946.07,1310.69,1310.69
135Stau5,0.00,401.32,1946.56,408.53,0.00,2152.18,2103.81,1949.61,2207.96,1651.46,1479.10,1479.10,1567.03,938.26,938.26,793.89,793.89,845.31,845.31,1062.60,1204.28,1204.28,1204.28,1041.32,1041.32,1074.84,1074.84,1074.84,1074.84,1041.32,1495.76,939.93,1041.32,1564.74,1564.74,1496.77,1496.77,1578.42,1578.42,1578.42,1578.42,1564.74,1564.74,1564.74,1738.96,1738.96,1494.38,1738.96,1742.63,1742.63,1163.54,1163.54,1163.54,1149.23,1149.23,1149.23,1618.65,1651.62,1622.48,1622.48,1681.91,1681.91,1521.39,1887.96,1887.96,2207.15,2296.91,2315.13,2427.35,2427.35,2450.56,2243.10,2243.10,2313.48,2313.48,1678.10,1678.10
145D1_9,1472.15,1407.57,1258.95,1373.66,1472.15,0.00,358.15,199.41,250.38,1110.18,937.82,937.82,1025.74,1593.01,1593.01,1516.39,1516.39,2031.49,2031.49,1063.44,1271.96,1271.96,1271.96,1696.06,1696.06,1321.67,1321.67,1321.67,1321.67,1696.06,1116.20,1165.92,1696.06,1958.41,1958.41,1789.68,1789.68,1871.33,1871.33,1871.33,1871.33,1958.41,1958.41,1958.41,2031.87,2031.87,2028.78,2031.87,2035.54,2035.54,2151.97,2151.97,2151.97,2137.66,2137.66,2137.66,1911.57,2424.73,2362.43,2362.43,2187.29,2187.29,2001.76,2393.34,2393.34,489.05,144.74,355.97,508.68,508.68,542.44,723.59,723.59,394.80,394.80,829.69,829.69
145D29_8,1666.08,1601.49,1475.98,1567.58,1666.08,452.08,0.00,282.81,507.86,950.87,1008.52,1008.52,920.60,1696.93,1696.93,1710.32,1710.32,2220.31,2220.31,1046.08,1254.60,1254.60,1254.60,1799.99,1799.99,1425.60,1425.60,1425.60,1425.60,1799.99,1289.08,1269.84,1799.99,2034.39,2034.39,1865.67,1865.67,1947.31,1947.31,1947.31,1947.31,2034.39,2034.39,2034.39,2107.85,2107.85,2104.76,2107.85,2111.52,2111.52,2227.95,2227.95,2227.95,2213.64,2213.64,2213.64,1987.55,2500.72,2438.41,2438.41,2263.27,2263.27,2077.74,2469.32,2469.32,768.43,596.81,808.04,960.75,960.75,994.52,1002.98,1002.98,846.88,846.88,1109.08,1109.08
145D2_8,1530.34,1465.75,1340.24,1431.84,1530.34,224.01,282.81,0.00,279.80,977.77,938.46,938.46,947.50,1514.88,1514.88,1553.33,1553.33,2038.26,2038.26,864.03,1072.55,1072.55,1072.55,1617.94,1617.94,1243.55,1243.55,1243.55,1243.55,1617.94,1107.03,1087.79,1617.94,1852.34,1852.34,1683.62,1683.62,1765.26,1765.26,1765.26,1765.26,1852.34,1852.34,1852.34,1925.80,1925.80,1922.71,1925.80,1929.47,1929.47,2045.90,2045.90,2045.90,2031.59,2031.59,2031.59,1805.50,2318.67,2256.36,2256.36,2081.22,2081.22,1895.69,2287.27,2287.27,547.23,366.32,577.55,730.26,730.26,764.03,781.78,781.78,616.39,616.39,887.88,887.88
145D37_8,1634.05,1569.46,1420.85,1535.55,1634.05,241.42,430.43,271.70,0.00,1249.47,1099.71,1099.71,1187.64,1754.90,1754.90,1678.29,1678.29,2193.39,2193.39,1135.73,1344.25,1344.25,1344.25,1857.96,1857.96,1483.57,1483.57,1483.57,1483.57,1857.96,1278.10,1327.82,1857.96,2120.31,2120.31,1951.58,1951.58,2033.23,2033.23,2033.23,2033.23,2120.31,2120.31,2120.31,2193.77,2193.77,2190.67,2193.77,2197.44,2197.44,2313.86,2313.86,2313.86,2299.55,2299.55,2299.55,2073.47,2586.63,2524.32,2524.32,2349.18,2349.18,2163.66,2555.24,2555.24,650.94,306.63,517.86,575.27,575.27,704.34,885.49,885.49,556.70,556.70,991.59,991.59
179D1_10,829.92,765.33,639.82,731.42,829.92,981.65,933.29,779.09,1037.44,0.00,172.36,172.36,84.43,950.77,950.77,874.16,874.16,1389.26,1389.26,658.60,788.03,788.03,788.03,1053.83,1053.83,679.44,679.44,679.44,679.44,1053.83,473.97,523.69,1053.83,1316.17,1316.17,1147.45,1147.45,1229.10,1229.10,1229.10,1229.10,1316.17,1316.17,1316.17,1389.64,1389.64,1386.54,1389.64,1393.31,1393.31,1509.73,1509.73,1509.73,1495.42,1495.42,1495.42,1269.33,1782.50,1720.19,1720.19,1545.05,1545.05,1359.53,1751.11,1751.11,705.16,1012.69,925.58,1037.80,1037.80,1061.01,853.55,853.55,923.93,923.93,376.71,376.71
179D2_10,657.56,592.97,467.46,559.06,657.56,1154.01,1105.65,951.45,1209.79,172.36,0.00,0.00,87.93,778.41,778.41,701.80,701.80,1216.90,1216.90,486.24,615.67,615.67,615.67,881.47,881.47,507.08,507.08,507.08,507.08,881.47,301.61,351.33,881.47,1143.82,1143.82,975.09,975.09,1056.74,1056.74,1056.74,1056.74,1143.82,1143.82,1143.82,1217.28,1217.28,1214.18,1217.28,1220.95,1220.95,1337.37,1337.37,1337.37,1323.06,1323.06,1323.06,1096.97,1610.14,1547.83,1547.83,1372.69,1372.69,1187.17,1578.75,1578.75,877.52,1185.05,1097.94,1210.16,1210.16,1233.37,1025.91,1025.91,1096.29,1096.29,549.07,549.07
179D3_10,657.56,592.97,467.46,559.06,657.56,1154.01,1105.65,951.45,1209.79,172.36,0.00,0.00,87.93,778.41,778.41,701.80,701.80,1216.90,1216.90,486.24,615.67,615.67,615.67,881.47,881.47,507.08,507.08,507.08,507.08,881.47,301.61,351.33,881.47,1143.82,1143.82,975.09,975.09,1056.74,1056.74,1056.74,1056.74,1143.82,1143.82,1143.82,1217.28,1217.28,1214.18,1217.28,1220.95,1220.95,1337.37,1337.37,1337.37,1323.06,1323.06,1323.06,1096.97,1610.14,1547.83,1547.83,1372.69,1372.69,1187.17,1578.75,1578.75,877.52,1185.05,1097.94,1210.16,1210.16,1233.37,1025.91,1025.91,1096.29,1096.29,549.07,549.07
