detid_X,detid_Y,DISTANCE
N12111R,N12111R,0.0
N12111R,N13182E,1019.654
N12111R,N52121I,3222.773
N12111R,N52121O,3222.773
N12111R,N52121P,3222.773
N12111R,N12112P,346.951
N12111R,N12141W,541.106
N12111R,N19121J,2167.239
N12111R,N19131B,2664.5
N12111R,N33121J,2024.9449999999997
N12111R,N38121K,1171.1
N12111R,N17131X,949.962
N12111R,N52121M,3362.1360000000004
N12111R,N11111J,659.7750000000001
N12111R,N11131C,758.5060000000001
N12111R,N11131D,660.3380000000001
N12111R,N12112V,316.526
N12111R,N12131A,446.785
N12111R,N12131B,922.375
N12111R,N12131C,532.539
N12111R,N12132D,863.791
N12111R,N12141E,659.7750000000001
N12111R,N12151X,425.462
N12111R,N12151Y,634.1189999999999
N12111R,N17111B,937.3
N12111R,N17111C,663.051
N12111R,N17122K,912.615
N12111R,N17131U,949.962
N12111R,N17151S,758.633
N12111R,N19161C,2835.079
N12111R,N32121J,1657.265
N12111R,N33121C,2024.9449999999997
N12111R,N33121D,2024.9449999999997
N12111R,N33121F,2416.126
N12111R,N33121G,2416.126
N12111R,N33121X,2043.635
N12111R,N33142E,2269.708
N12111R,N33151L,2272.282
N12111R,N38111F,1519.629
N12111R,N38111G,1283.282
N12111R,N38111H,1388.374
N12111R,N38121J,1133.038
N12111R,N38121L,1327.172
N12111R,N41114J,4653.437
N12111R,N41121X,4178.726
N12111R,N41122Y,4409.7350000000015
N12111R,N42112G,3680.318
N12111R,N51111B,3725.5230000000006
N12111R,N17131Y,949.962
N12111R,N17131Z,651.707
N12111R,N17141A,815.648
N12111R,N19111N,2383.296
N12111R,N19121G,2622.944
N12111R,N19131D,2482.4990000000003
N12111R,N19162A,2911.8550000000005
N12111R,N33113P,1982.316
N12111R,N33122S,1888.903
N12111R,N33131Y,2477.912
N12111R,N33132Z,2439.815
N12111R,N33141W,2318.961
N12111R,N37121M,1810.1620000000005
N12111R,N37131A,1786.0820000000003
N12111R,N51121J,4046.471000000001
N12111R,N51131Q,4051.5500000000006
N12111R,N51131R,3766.375000000001
N12111R,N53161K,3605.6930000000007
N13182E,N12111R,1101.323
N13182E,N13182E,0.0
N13182E,N52121I,2943.2120000000004
N13182E,N52121O,2943.2120000000004
N13182E,N52121P,2943.2120000000004
N13182E,N12112P,1448.274
N13182E,N12141W,1509.538
N13182E,N19121J,3224.1520000000005
N13182E,N19131B,3721.413000000001
N13182E,N33121J,1458.9959999999994
N13182E,N38121K,691.146
N13182E,N17131X,69.69200000000001
N13182E,N52121M,3082.5750000000007
N13182E,N11111J,897.2320000000001
N13182E,N11131C,1006.891
N13182E,N11131D,810.003
N13182E,N12112V,1260.2710000000002
N13182E,N12131A,1548.108
N13182E,N12131B,1875.3620000000003
N13182E,N12131C,1518.105
N13182E,N12132D,1816.778
N13182E,N12141E,897.2320000000001
N13182E,N12151X,1369.207
N13182E,N12151Y,1619.685
N13182E,N17111B,948.15
N13182E,N17111C,383.49
N13182E,N17122K,1015.033
N13182E,N17131U,69.69200000000001
N13182E,N17151S,479.072
N13182E,N19161C,3891.992000000001
N13182E,N32121J,1471.2679999999996
N13182E,N33121C,1458.9959999999994
N13182E,N33121D,1458.9959999999994
N13182E,N33121F,1652.9060000000004
N13182E,N33121G,1652.9060000000004
N13182E,N33121X,1280.4150000000002
N13182E,N33142E,1643.4360000000004
N13182E,N33151L,1520.9000000000003
N13182E,N38111F,953.6799999999998
N13182E,N38111G,717.3329999999999
N13182E,N38111H,822.4249999999998
N13182E,N38121J,471.802
N13182E,N38121L,665.9359999999999
N13182E,N41114J,4282.151
N13182E,N41121X,3899.165
N13182E,N41122Y,4130.174000000001
N13182E,N42112G,3400.757
N13182E,N51111B,3445.962000000001
N13182E,N17131Y,69.69200000000001
N13182E,N17131Z,356.13300000000004
N13182E,N17141A,192.192
N13182E,N19111N,3440.2090000000007
N13182E,N19121G,3679.857000000001
N13182E,N19131D,3539.412000000001
N13182E,N19162A,3595.720000000001
N13182E,N33113P,1219.096
