detid_Y,N11111J,N11131C,N11131D,N12111R,N12112P,N12112V,N12131A,N12131B,N12131C,N12132D,N12141E,N12141W,N12151X,N12151Y,N13182E,N17111B,N17111C,N17122K,N17131U,N17131X,N17131Y,N17131Z,N17141A,N17151S,N19111N,N19121G,N19121J,N19131B,N19131D,N19161C,N19162A,N32121J,N33113P,N33121C,N33121D,N33121F,N33121G,N33121J,N33121X,N33122S,N33131Y,N33132Z,N33141W,N33142E,N33151L,N37121M,N37131A,N38111F,N38111G,N38111H,N38121J,N38121K,N38121L,N41114J,N41121X,N41122Y,N42112G,N51111B,N51121J,N51131Q,N51131R,N52121I,N52121M,N52121O,N52121P,N53161K
N11111J,0.00,109.66,87.23,659.78,925.02,363.04,954.20,978.13,620.87,919.55,0.00,612.31,471.98,722.45,897.23,584.47,513.74,715.97,827.54,827.54,827.54,541.10,705.04,418.16,3150.40,3148.11,3735.05,3241.77,3051.19,3249.96,3389.81,1737.38,1415.65,1543.01,1543.01,1591.81,1591.81,1543.01,1798.90,1294.27,1716.26,1948.37,1614.31,1741.39,1772.84,1266.10,1290.18,988.13,751.78,856.87,596.75,598.16,764.58,3180.14,3748.59,3501.16,3048.58,3268.48,3589.22,3594.20,3309.13,2698.00,2775.99,2698.00,2698.00,3151.59
N11131C,109.66,0.00,196.89,758.51,1023.76,461.77,1033.70,869.81,700.38,811.23,109.66,691.81,570.71,801.96,1006.89,694.13,623.40,825.63,937.20,937.20,937.20,650.76,814.70,527.82,3249.13,3246.84,3833.78,3340.50,3149.92,3359.62,3488.55,1627.72,1305.99,1433.35,1433.35,1482.15,1482.15,1433.35,1689.24,1184.62,1825.92,1915.65,1504.65,1631.73,1663.18,1375.76,1399.84,878.47,642.12,747.21,706.41,644.39,654.92,3289.80,3858.25,3610.82,3158.24,3378.14,3698.88,3703.86,3418.79,2807.66,2885.64,2807.66,2807.66,3261.25
N11131D,110.47,220.13,0.00,660.34,1035.49,473.51,1064.67,1088.60,731.34,1030.02,110.47,722.78,582.45,832.92,810.00,497.25,426.51,628.74,740.31,740.31,740.31,453.87,617.81,330.93,3150.96,3148.67,3735.61,3242.33,3051.76,3162.73,3390.38,1838.36,1373.14,1500.51,1500.51,1549.31,1549.31,1500.51,1756.39,1251.77,1629.03,1861.14,1571.80,1698.88,1730.34,1178.88,1202.96,945.62,709.28,814.37,509.52,510.93,709.81,3092.91,3661.36,3413.93,2961.35,3181.25,3501.99,3506.97,3221.90,2610.78,2688.76,2610.78,2610.78,3064.36
N12111R,659.78,758.51,747.00,0.00,497.44,316.53,796.86,922.38,532.54,863.79,659.78,541.11,425.46,615.02,1101.32,788.57,717.83,907.96,1031.63,1031.63,1031.63,745.19,909.13,622.25,2490.62,2488.34,3075.28,2581.99,2391.42,3154.50,2730.04,1937.04,1947.15,2074.51,2074.51,2123.31,2123.31,2074.51,2330.40,1825.77,1920.35,2152.46,2145.81,2272.89,2304.34,1470.19,1494.28,1519.63,1283.28,1388.37,1256.53,1257.94,1296.08,3384.23,3952.68,3705.25,3252.67,3472.57,3793.31,3798.29,3513.22,2902.09,2980.08,2902.09,2902.09,3355.68
N12112P,815.28,914.01,902.51,346.95,0.00,472.03,701.37,848.25,458.41,789.66,815.28,466.98,580.97,519.53,1448.27,1135.52,1064.78,1254.91,1378.58,1378.58,1378.58,1092.14,1256.08,969.20,2819.00,2816.71,3403.65,2910.37,2719.79,3482.88,3058.41,1844.51,2102.65,2230.02,2230.02,2278.82,2278.82,2230.02,2485.90,1981.28,2267.30,2499.41,2301.31,2428.39,2459.85,1817.15,1841.23,1675.13,1438.79,1543.88,1412.03,1413.44,1451.59,3731.18,4299.63,4052.20,3599.62,3819.52,4140.27,4145.24,3860.17,3249.05,3327.03,3249.05,3249.05,3702.63
N12112V,363.04,461.77,450.27,316.53,581.78,0.00,591.16,615.09,257.83,556.51,363.04,249.27,108.94,359.41,1260.27,947.51,876.78,1079.01,1190.58,1190.58,1190.58,904.14,1068.08,781.20,2807.15,2804.86,3391.80,2898.52,2707.94,3471.03,3046.57,1620.52,1630.62,1757.99,1757.99,1806.79,1806.79,1757.99,2013.87,1509.25,2079.30,2240.29,1829.28,1956.36,1987.82,1629.14,1653.22,1203.10,966.76,1071.85,959.79,961.20,979.55,3543.18,4111.63,3864.20,3411.61,3631.51,3952.26,3957.24,3672.17,3061.04,3139.03,3061.04,3061.04,3514.63
N12131A,915.11,1013.85,1002.34,446.79,99.83,571.87,0.00,948.08,558.25,889.50,915.11,566.81,680.80,619.36,1548.11,1235.35,1164.62,1354.75,1478.42,1478.42,1478.42,1191.97,1355.92,1069.04,2842.40,2840.11,3427.05,2933.77,2743.19,3506.28,3081.81,1916.78,2202.49,2329.85,2329.85,2378.65,2378.65,2329.85,2585.74,2081.11,2367.14,2599.24,2401.15,2528.23,2559.68,1916.98,1941.06,1774.97,1538.62,1643.71,1511.87,1513.28,1551.42,3831.02,4399.47,4152.04,3699.45,3919.35,4240.10,4245.08,3960.00,3348.88,3426.86,3348.88,3348.88,3802.46
N12131B,978.13,869.81,1065.36,922.38,669.06,615.09,569.23,0.00,389.84,171.47,978.13,388.03,528.36,337.49,1875.36,1562.60,1491.87,1694.10,1805.67,1805.67,1805.67,1519.23,1683.17,1396.29,3411.63,3409.34,3996.28,3503.00,3312.42,4075.51,3651.05,1576.71,1993.63,2120.99,2120.99,2169.79,2169.79,2120.99,2376.88,1872.25,2552.31,2603.29,2192.29,2319.37,2350.82,2102.15,2126.23,1566.11,1329.76,1434.85,1536.70,1332.03,1342.56,4011.13,4579.58,4332.15,3879.57,4099.47,4420.22,4425.19,4140.12,3528.99,3606.98,3528.99,3528.99,3982.58
N12131C,620.87,700.38,708.10,532.54,424.52,257.83,333.32,389.84,0.00,331.25,620.87,8.57,148.90,101.58,1518.11,1205.35,1134.62,1336.84,1448.41,1448.41,1448.41,1161.97,1325.91,1039.03,3023.16,3020.87,3607.82,3114.53,2923.96,3687.04,3262.58,1407.29,1824.20,1951.57,1951.57,2000.36,2000.36,1951.57,2207.45,1702.83,2337.14,2433.86,2022.86,2149.94,2181.39,1886.98,1911.06,1396.68,1160.33,1265.42,1217.62,1162.60,1173.13,3801.01,4369.46,4122.03,3669.45,3889.35,4210.10,4215.07,3930.00,3318.88,3396.86,3318.88,3318.88,3772.46
N12132D,919.55,811.23,1006.77,863.79,610.48,556.51,510.65,171.47,331.25,0.00,919.55,329.45,469.78,278.90,1816.78,1504.02,1433.29,1635.51,1747.09,1747.09,1747.09,1460.65,1624.59,1337.71,3353.04,3350.76,3937.70,3444.42,3253.84,4016.92,3592.46,1518.13,1935.04,2062.41,2062.41,2111.21,2111.21,2062.41,2318.30,1813.67,2493.73,2544.71,2133.70,2260.79,2292.24,2043.57,2067.65,1507.53,1271.18,1376.27,1478.11,1273.44,1283.98,3952.55,4521.00,4273.57,3820.98,4040.88,4361.63,4366.61,4081.53,3470.41,3548.39,3470.41,3470.41,3923.99
