detid_Y,N11111J,N11131C,N11131D,N12111R,N12112P,N12112V,N12131A,N12131B,N12131C,N12132D,N12141E,N12141W,N12151X,N12151Y,N13182E,N17111B,N17111C,N17122K,N17131U,N17131X,N17131Y,N17131Z,N17141A,N17151S,N19111N,N19121G,N19121J,N19131B,N19131D,N19161C,N19162A,N32121J,N33113P,N33121C,N33121D,N33121F,N33121G,N33121J,N33121X,N33122S,N33131Y,N33132Z,N33141W,N33142E,N33151L,N37121M,N37131A,N38111F,N38111G,N38111H,N38121J,N38121K,N38121L,N41114J,N41121X,N41122Y,N42112G,N51111B,N51121J,N51131Q,N51131R,N52121I,N52121M,N52121O,N52121P,N53161K
N11111J,0.0,0.024440690205448007,0.020304509449289937,0.14178328290468986,0.17958519628722916,0.07658813204617566,0.1789800649745279,0.18798660052775318,0.12422368947579032,0.17874081561248686,0.0,0.12272143310959366,0.097333525808913,0.1416685295651799,0.20952792405684062,0.15339614718387487,0.1287443082004516,0.18164036238263284,0.1964505300940543,0.1964505300940543,0.1964505300940543,0.13467770438106996,0.16860209293872316,0.09670608205771006,0.7884870479289201,0.7477038835066753,0.8154846118912877,0.8421253614096339,0.7436123025930981,0.797436394463515,0.8390390360658496,0.33569122389397804,0.3280354254623987,0.3637673130193906,0.3637673130193906,0.3710037174721189,0.3710037174721189,0.3637673130193906,0.3999653151430528,0.32413392403224633,0.44069607105532776,0.47215584969490176,0.3742850187222499,0.39219347181276226,0.39646836241328565,0.35237766558493966,0.356689060296923,0.23911076050448635,0.17207653237564863,0.20096487154590528,0.13672438837745327,0.13223622834050341,0.17297133433025583,0.7928289534370613,0.8185444953467349,0.8081806954976167,0.7858035813247344,0.7972933086472154,0.8120003076769934,0.8122137128575271,0.7992835956445707,0.7645246940342705,0.7696161331640319,0.7645246940342705,0.7645246940342705,0.7913438022588373
N11131C,0.02505300288774354,0.0,0.045830045459941474,0.162999845275753,0.19875477346545342,0.09741654290150543,0.1938919442089389,0.167168602338181,0.14013205282112845,0.15768572872526532,0.02505300288774354,0.13865511691716287,0.11769400507310634,0.15726000964785336,0.23513655523510388,0.18217678862001996,0.15622533135858901,0.2094609165104308,0.22248282476272774,0.22248282476272774,0.22248282476272774,0.16197165570693972,0.1948260029461843,0.12206668316362285,0.8131973470153924,0.7711531290599164,0.8370406274016629,0.8677727814708884,0.7676740105283681,0.8243434564017754,0.8634789646816547,0.3145030557256938,0.30262493222169184,0.33791477574114454,0.33791477574114454,0.345445222640454,0.345445222640454,0.33791477574114454,0.37558363941978457,0.2966734368308619,0.4688542354080058,0.4642266887028843,0.34885985555465393,0.3674959967388342,0.3719445922917627,0.3828979521405392,0.38700616515993475,0.21257489376941913,0.14697622039566297,0.17524590856001016,0.16184914150601884,0.14245637150651497,0.14816289502677435,0.8201678828659256,0.8424899226566629,0.8334937617580186,0.8140696004969622,0.8240431080115234,0.8368090276049608,0.8369945697246899,0.8257707506062626,0.7955987407161823,0.8000155254534264,0.7955987407161823,0.7955987407161823,0.818878716811715
N11131D,0.02523805607339986,0.04906191076897018,0.0,0.14190362398569661,0.2010320586619348,0.09989325254843719,0.19970101213207989,0.20921780676854007,0.1463265306122449,0.20021381642887687,0.02523805607339986,0.1448622387727656,0.1201150729001258,0.16333109785511749,0.18915731583433557,0.1305049603695344,0.10688428950553705,0.15951026082720862,0.1757429150662558,0.1757429150662558,0.1757429150662558,0.11296649360088011,0.1477420558244533,0.07653277151176102,0.7886272056063071,0.7478368884444835,0.815606878362328,0.8422708344698415,0.7437512185611231,0.7760329382089604,0.8391801213333301,0.3552022691395857,0.31818497800970447,0.3537478634997348,0.3537478634997348,0.36109822749997084,0.36109822749997084,0.3537478634997348,0.3905136916249411,0.31349032434178725,0.4182974145125217,0.45101707483751524,0.3644288844321304,0.3826194278095461,0.3869638919576525,0.32810282158184484,0.33257582040861466,0.22882405892772448,0.16234861646146487,0.19099719028655326,0.11673868515472137,0.11295214682695837,0.16058068850997786,0.7710819644339625,0.7994968970953669,0.7880451969576308,0.7633191307284054,0.7760149482738012,0.7922659958101632,0.7925015649045578,0.7782141580437283,0.7398094072241634,0.7454324670499975,0.7398094072241634,0.7398094072241634,0.7694409151856335
N12111R,0.15073381584238038,0.16905442210226487,0.17387903884695152,0.0,0.09657397682333276,0.06677622696280294,0.14946767404695274,0.17727201966485945,0.10655062024809923,0.16790226645414608,0.15073381584238038,0.10845126597627384,0.08773999298838958,0.12060208879946976,0.2571885618205808,0.20696288908718705,0.17988968496813595,0.2303478964606552,0.24489965483351772,0.24489965483351772,0.24489965483351772,0.1854749187354085,0.21740783608501846,0.143905107041348,0.6233562758102865,0.5910026909749025,0.671435059037239,0.6707321191528272,0.5828182881653344,0.7740135590392367,0.6757340765474207,0.37426891545406943,0.45119498371003397,0.4890693699534391,0.4890693699534391,0.49488060971204156,0.49488060971204156,0.4890693699534391,0.5181384014727723,0.4572415295729287,0.49310168625447115,0.52161374904884,0.4975156791597593,0.511897174181837,0.5153301517584389,0.40917946462864113,0.41311547925133396,0.3677247781014974,0.2937327043377349,0.3256195207069783,0.2878898964858338,0.27809489280234867,0.2932128580380836,0.8437098772665059,0.8631097174850095,0.8552912526112901,0.838409926873339,0.8470777929829953,0.8581722176724235,0.8583337664597454,0.848579268233771,0.8223571050073818,0.8261980936961114,0.8223571050073818,0.8223571050073818,0.8425894771730887
N12112P,0.18625945827393353,0.20371179331279896,0.21007707008000298,0.07455774652730024,0.0,0.0995810268007831,0.13155653759294134,0.1630249904385579,0.09171868747499,0.1534929829335614,0.18625945827393353,0.0935938574145744,0.11980986162380648,0.10187701732299523,0.3382109454362879,0.29802110125452735,0.2668360736669849,0.3183685170574043,0.3272624547176709,0.3272624547176709,0.3272624547176709,0.2718294364493472,0.30037688201871016,0.22414275571631095,0.7055437367037918,0.6689934613822538,0.7431290609935024,0.7560364825653134,0.6628460713589394,0.8545875240153993,0.7570115665167532,0.3563905532380259,0.48722755437326504,0.5257311251252431,0.5257311251252431,0.5311253801960122,0.5311253801960122,0.5257311251252431,0.552712089006679,0.4961870869344179,0.5821904617620551,0.6056914509492214,0.5335690520629253,0.5469186713001646,0.5501075682420978,0.5057444712247636,0.5090348621824113,0.4053531501359945,0.3293277208980812,0.3620918527691392,0.3235172821459829,0.31247153702287206,0.3283939668843758,0.930206699857646,0.9388699400381695,0.9353785072077375,0.9278399410243918,0.9317106845519054,0.9366660482962387,0.9367371796465237,0.9323811870187338,0.920674187232041,0.9223865948799274,0.920674187232041,0.920674187232041,0.9297063712467798
N12112V,0.08294038088971745,0.10291790549124316,0.10480925678931306,0.06802064709118416,0.11294790977058244,0.0,0.11088435884546416,0.1182140187077543,0.05158663465386154,0.10817361894024802,0.08294038088971745,0.04995961462531792,0.022466024623125937,0.0704783531192765,0.294307765958689,0.24867723479082463,0.21972288422936104,0.27374298841359923,0.28263295081733714,0.28263295081733714,0.28263295081733714,0.22503696107762075,0.25541887471064256,0.18066479649771164,0.7025779001376549,0.6661789818947029,0.7405418151330958,0.7529581687019906,0.6599580814973679,0.8516799124526746,0.7540809532413721,0.31311189385434923,0.3778484268480885,0.4144492249661107,0.4144492249661107,0.4211091818065283,0.4211091818065283,0.4144492249661107,0.4477614926939461,0.377973007831185,0.5339163882776171,0.5428979241689164,0.42412677803410576,0.44060872091582903,0.4445453284968624,0.4534180160422152,0.4570567581764397,0.29112986749005443,0.22128376445167744,0.2513849213608582,0.21990230535533448,0.2124940863329074,0.2216041101561669,0.8833371144789622,0.8978181405281708,0.8919820412497259,0.879378384717894,0.8858486584851213,0.8941319662822212,0.894253128114273,0.8869718752113466,0.8673983207659982,0.8702654298055438,0.8673983207659982,0.8673983207659982,0.8825007909445636
N12131A,0.20906669225426766,0.2259638315228293,0.23331447897972343,0.09601284211250173,0.019381191915152196,0.12064360696685344,0.0,0.18221129730031002,0.11169467787114847,0.1728997395327139,0.20906669225426766,0.11360215495557607,0.14039718710688578,0.12145313927813664,0.3615263360694978,0.32422182562595137,0.2918561844832209,0.34369775400906716,0.3509635699804865,0.3509635699804865,0.3509635699804865,0.29667673866402505,0.324252453559335,0.24723232725027347,0.7114003253660368,0.6745511677121013,0.7482380528191156,0.7621151782954194,0.6685489374147008,0.8603291367215391,0.7628034880238409,0.37035434052164706,0.5103625502254642,0.5492662226675311,0.5492662226675311,0.5543927934647073,0.5543927934647073,0.5492662226675311,0.5749103974528863,0.5211882765132069,0.6078270761061311,0.6298836313230939,0.556717404157151,0.5694044994178098,0.5724330102558827,0.5335288976960886,0.536634320311852,0.4295127428300407,0.35217802315015095,0.38550534971316536,0.3463921257749815,0.3345433322574512,0.3509785601332045,0.9550974413693897,0.9606710659056071,0.9584248006186306,0.9535721742358044,0.9560626129719206,0.9592508970141758,0.9592989227581189,0.9564940146662416,0.9489627343800918,0.9500634880149045,0.9489627343800918,0.9489627343800918,0.954773036574281
N12131B,0.22346428701977555,0.19386063056356675,0.247983631627829,0.19821465410535002,0.1298926200816561,0.12976144265172485,0.1067709310264625,0.0,0.07799919967987194,0.03333009369047156,0.22346428701977555,0.07777040663963618,0.10896042564599616,0.06617995991826778,0.4379482269420735,0.4101097055272689,0.3738657123739785,0.42979026762632266,0.42864976759423234,0.42864976759423234,0.42864976759423234,0.3781304912712122,0.40251047425914943,0.32291404083690445,0.8538681016143161,0.8097483119060795,0.8725197373017537,0.9099859462632905,0.8072772470267109,1.0,0.9037006418142081,0.30464706030107064,0.461965362388021,0.5000271114516414,0.5000271114516414,0.5057137196862873,0.5057137196862873,0.5000271114516414,0.528472710132425,0.46888187106969426,0.6553744707184364,0.6308650830962501,0.5082922757677282,0.5223653361500676,0.5257246879179172,0.5850649314504234,0.5878272649359985,0.3789721525848634,0.3043716109657646,0.33652064599955905,0.3520810517295893,0.2944740926113427,0.3037280528112536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N12131C,0.14184440910918594,0.15609858294812762,0.16482429371824148,0.11444007014165865,0.08241714506481429,0.0543926787281442,0.06252110171589775,0.07492326822583838,0.0,0.064387901877697,0.14184440910918594,0.0017176310720863905,0.030706729083747497,0.019919287470732884,0.354520509557115,0.3163482231903837,0.28433812233891925,0.3391540176929185,0.3438394667249066,0.3438394667249066,0.3438394667249066,0.2892098542961964,0.31707591207361635,0.2402920423771343,0.7566412213740458,0.7174832615660857,0.7877061063368966,0.8090718039438786,0.7126047962565802,0.9046818680361476,0.8075473192561589,0.2719122486006264,0.42270492221135714,0.4600860493899923,0.4600860493899923,0.46622460989849784,0.46622460989849784,0.4600860493899923,0.49080184274419464,0.42645272613892776,0.6001237665075505,0.5898064722503599,0.46900916984500524,0.4842065435021047,0.48783427781678956,0.5251793755670717,0.5283403831798955,0.3379729559687551,0.2655904158283492,0.29678360515786467,0.27897503104508525,0.25701792006932805,0.26539781506559557,0.9476157591501647,0.9541180632285057,0.9514975243239501,0.9458393584856053,0.9487445938133465,0.9524639045115402,0.9525172930427847,0.9492478478884671,0.9404617185086952,0.9417462808221837,0.9404617185086952,0.9404617185086952,0.9472402312069061
N12132D,0.21008105786453193,0.18080449676605495,0.23434564918332715,0.18562396850501994,0.11851978403648317,0.11740321001822723,0.09578303309499336,0.032954783507809636,0.0662765106042417,0.0,0.21008105786453193,0.06602958654595815,0.09687983337114102,0.05469077845626502,0.424268183038894,0.3947351845047504,0.35918544302687205,0.41492608500414796,0.4147434040916709,0.4147434040916709,0.4147434040916709,0.36355015506229876,0.3885017504926249,0.3093664937569814,0.8392041046176949,0.7958350453760596,0.8597297910990009,0.8947684250722819,0.7930005849093391,0.9856238851088575,0.8891985614253077,0.2933284127422699,0.4483888458918235,0.48621677373725464,0.48621677373725464,0.49206045844938295,0.49206045844938295,0.48621677373725464,0.5154481016710987,0.45421123413164505,0.6403324748422747,0.6166691707823019,0.49470792130858665,0.509172028746906,0.5126241731110703,0.5687610979064964,0.5716319703629981,0.3647967825927037,0.29096310945393206,0.32278166321902163,0.3386572026888939,0.2815215036410504,0.2904754686930889,0.9853956366410463,0.987208433961193,0.9864778458732962,0.984897810839861,0.9857079085833046,0.9867450036423526,0.9867621503257488,0.9858482362830063,0.9834003496751196,0.9837564943526163,0.9834003496751196,0.9834003496751196,0.9852884311175167
