detid_X,detid_Y,DISTANCE
N51161W,N51161W,0.0
N51161W,N51161Z,383.199
N51161W,N51161X,423.72
N51161W,N51161Y,596.1600000000001
N51161W,N51151A,587.4
N51161W,N51151D,251.768
N51161W,N51141G,609.4759999999999
N51161W,N51151B,656.8549999999999
N51161W,N51171M,492.309
N51161W,N51171N,357.271
N51161W,N51171R,114.845
N51161W,N51171S,463.341
N51161W,N51171V,251.768
N51161W,N51231N,521.726
N51161W,N51231O,706.83
N51161W,N51231P,866.645
N51161W,N51232K,410.918
N51161W,N51232L,585.277
N51161W,N51241B,579.297
N51161W,N51241D,411.436
N51161W,N51241E,411.436
N51161W,N51241F,724.0650000000002
N51161W,N51242G,501.8730000000001
N51161W,N51242H,120.883
N51161W,N51242J,521.726
N51161W,N51171U,251.768
N51161W,N51171L,492.309
N51161W,N51321X,717.7800000000001
N51161W,N51321S,477.9620000000001
N51161W,N51321U,859.3890000000001
N51161W,N51321R,1199.237
N51161W,N51321P,945.377
N51161W,N51321T,859.3890000000001
N51161W,N51381R,1022.3240000000002
N51161W,N51381Q,1022.3240000000002
N51161W,N51381M,989.7650000000002
N51161W,N53141D,2193.514
N51161W,N53141B,2359.351
N51161W,N53141A,2398.115999999999
N51161W,N53141C,2255.5799999999995
N51161W,N53211H,1972.989
N51161W,N53211I,1955.679
N51161W,N53211E,2275.922
N51161W,N53211G,2534.901
N51161W,N53222K,2047.073
N51161W,N53222J,2115.2180000000003
N51161W,N53222L,1882.382
N51161W,N51261A,1813.661
N51161W,N51261H,1488.879
N51161W,N51261Y,1620.824
N51161W,N51261B,1471.1920000000002
N51161W,N51261Z,1702.734
N51161W,N52161J,1505.023
N51161W,N51261X,1620.824
N51161W,N52161Q,1233.631
N51161W,N52161L,1599.548
N51161W,N52171A,1522.072
N51161W,N52171M,1709.552
N51161W,N52171K,1478.754
N51161W,N52171O,1669.277
N51161W,N52172N,1599.548
N51161W,N52152E,1430.3830000000005
N51161W,N52151Y,1272.7210000000002
N51161W,N51311Z,2146.049
N51161W,N51311M,1065.485
N51161W,N51311A,1296.0230000000004
N51161W,N52151F,1430.3830000000005
N51161W,N52191L,1221.9260000000002
N51161W,N52191F,1086.9
N51161W,N52191C,983.0750000000002
N51161W,N52211A,989.7650000000002
N51161W,N52191E,1086.9
N51161W,N52211B,1032.6980000000003
N51161W,N52211D,1034.719
N51161W,N51381G,811.1550000000002
N51161W,N51381C,1160.9900000000002
N51161W,N51331K,926.1330000000002
N51161W,N51331A,1308.6470000000004
N51161W,N51331Y,1308.6470000000004
N51161W,N51381F,702.7030000000001
N51161W,N51381D,1285.1230000000005
N51161W,N51331Z,1383.7470000000003
N51161W,N51341X,1429.0920000000003
N51161W,N51331L,1696.1460000000002
N51161W,N51341V,1750.7850000000003
N51161W,N51331B,1316.3770000000002
N51161W,N51341A,1115.8850000000002
N51161W,N51343U,1351.7260000000003
N51161W,N51342A,1549.6160000000002
N51161W,N51351S,1575.3280000000004
N51161W,N51341W,1483.8270000000002
N51161W,N51351U,1575.3280000000004
N51161W,N51351N,1791.3790000000004
N51161W,N51351M,1592.0580000000002
N51161W,N51351B,1701.578
N51161W,N51352P,1519.832
N51161W,N51351J,1519.832
N51161W,N51352Q,1264.8660000000002
N51161W,N51391I,1353.273
N51161W,N51361O,1592.0580000000002
N51161W,N51391F,1383.7470000000003
N51161W,N51391C,1266.0800000000002
N51161W,N51391E,1296.0230000000004
N51161W,N51391X,1266.0800000000002
N51161W,N51271H,1804.554
N51161W,N51271I,1316.89
N51161W,N51271J,1450.236
N51161W,N53151Z,1816.84
N51161W,N53151B,1795.765
N51161W,N53231D,1685.636
N51161W,N53241V,1450.236
N51161W,N53151A,1602.521
N51161W,N53231G,1738.984
N51161W,N53231F,1450.236
N51161W,N53241W,1190.964
N51161W,N53251K,1450.236
N51161W,N53241X,1372.232
N51161W,N53291A,1068.7869999999998
N51161W,N53251L,912.964
N51161W,N53291B,983.297
N51161W,N53291C,1037.699
N51161W,N53411K,841.8800000000001
N51161W,N53411A,1108.088
N51161W,N53291Z,983.297
N51161W,N53411L,841.8800000000001
N51161W,N53411M,912.964
N51161W,N53291Y,1235.214
N51161W,N53411P,1108.088
N51161W,N53411O,1461.6930000000002
N51161W,N53421R,1466.9870000000003
N51161W,N53481E,979.779
N51161W,N53421S,994.135
N51161W,N53481G,987.847
N51161W,N53421U,1399.792
N51161W,N53261U,1366.263
N51161W,N53261V,2134.512
N51161W,N53481F,932.969
N51161W,N53261F,1309.128
N51161W,N53261W,2081.487
N51161W,N53261Y,1101.687
N51161W,N53261X,1369.987
N51161W,N53271R,1549.041
N51161W,N53271I,1309.128
N51161W,N53272A,1450.236
N51161W,N53281G,1296.203
N51161W,N53272E,1681.347
N51161W,N53272D,1507.923
N51161W,N53282H,1856.2450000000003
N51161W,N53272C,1191.146
N51161W,N53311D,1584.831
N51161W,N53312B,1958.4480000000003
N51161W,N53312C,1496.412
N51161W,N53312S,1681.347
N51161W,N53313E,1639.12
N51161W,N53311L,1639.12
N51161W,N53312U,1735.9070000000002
N51161W,N53312T,1496.412
N51161W,N53381H,1747.7800000000002
N51161W,N53382G,1752.384
N51161W,N53391J,2226.2050000000004
N51161W,N53391K,2134.512
