detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
N51161W,0.254006841388619,0.221334219202447,primary,Bradford Street,48,bolton,1,80,-2.419151,53.576104
N51161Z,0.143019093340194,0.129243228623344,secondary,Castle Street,48,bolton,1,124,-2.414562,53.57678
N51161X,0.29746261942698,0.129239894408432,secondary,Castle Street,48,bolton,1,123,-2.418127,53.578352
N51161Y,0.334565705266669,0.097233453678167,primary,Bradford Street,48,bolton,1,77,-2.414931,53.578239
N51151A,0.495547129792875,0.173951492318425,primary,Bury New Road,48,bolton,1,161,-2.415317,53.579472
N51151D,0.323412406338803,0.314863058766305,primary,Bradford Street,48,bolton,1,78,-2.416091,53.577694
N51141G,0.106047971107917,0.066975228637465,primary,Bury New Road,48,bolton,1,75,-2.412112,53.579728
N51151B,0.322683961470216,0.03862790529669,primary,,48,bolton,1,76,-2.41158,53.57978
N51171M,0.056981812091244,0.011143962607281,primary,Bridgeman Place,48,bolton,1,84,-2.423988,53.574968
N51171N,0.252114952272956,0.1560701518359,trunk_link,,80,bolton,2,157,-2.418581,53.574366
N51171R,0.039592083427285,0.025045767951231,primary,,48,bolton,2,81,-2.419832,53.575781
N51171S,0.598358283075429,0.12427029303124,trunk_link,,80,bolton,2,158,-2.42023,53.577078
N51171V,0.14886934700614,0.138869868858947,primary,Bradford Street,48,bolton,1,79,-2.416593,53.57737
N51231N,0.097844501453623,0.061048776552812,secondary,Manchester Road,48,bolton,2,127,-2.42273,53.573227
N51231O,0.297516847051601,0.176482341077629,secondary,Manchester Road,48,bolton,1,131,-2.421421,53.571454
N51231P,0.082749605246146,0.056990222985012,residential,,0,bolton,1,130,-2.422195,53.572008
N51232K,0.094656980478366,0.07467823362974,secondary,Lower Bridgeman Street,48,bolton,2,126,-2.423498,53.574118
N51232L,0.094951838294116,0.059054331774533,secondary,Manchester Road,48,bolton,2,128,-2.422427,53.572717
N51241B,0.221184829067719,0.105110075897672,primary,Bradshawgate,48,bolton,2,125,-2.42506,53.57594
N51241D,0.069916598057063,0.037356771648153,primary,Manchester Road,48,bolton,1,86,-2.423928,53.574409
N51241E,0.074807160564519,0.036330862967139,primary,Manchester Road,48,bolton,1,87,-2.423996,53.574374
N51241F,0.190158852331278,0.143783947353221,primary,Trinity Street,48,bolton,2,132,-2.426661,53.57424
N51242G,0.039886570626664,0.004701490879659,secondary,Manchester Road,48,bolton,2,85,-2.424124,53.574812
N51242H,0.290582933561647,0.259576831263639,primary,,48,bolton,2,82,-2.420038,53.575526
N51242J,0.119963086425904,0.081755934894722,secondary,Manchester Road,48,bolton,2,129,-2.423127,53.573485
N51171U,0.14886934700614,0.141605205866023,primary,Bradford Street,48,bolton,1,79,-2.416569,53.57739
N51171L,0.057771499405832,0.010801662453175,primary,Bridgeman Place,48,bolton,1,83,-2.423999,53.575001
N51321X,0.024086842092289,0.022527263508049,tertiary,Thynne Street,0,bolton,1,138,-2.427493,53.573708
N51321S,0.204997047654254,0.178381216834614,primary,Trinity Street,48,bolton,2,88,-2.424795,53.574685
N51321U,0.100361678865287,0.090733047995529,tertiary,Thynne Street,0,bolton,1,140,-2.427194,53.572834
N51321R,0.245865859070824,0.053929727615252,other,Newport Street,0,bolton,2,133,-2.427751,53.574664
N51321P,0.173556624257049,0.158036191381273,primary,Trinity Street,48,bolton,2,108,-2.43018,53.574133
N51321T,0.099078760881974,0.090118237744793,tertiary,Thynne Street,0,bolton,1,139,-2.427135,53.572845
N51381R,0.053821691385583,0.024842060594578,other,,0,bolton,2,136,-2.430669,53.573685
N51381Q,0.053369155382589,0.03067073016419,other,,0,bolton,1,137,-2.430746,53.573615
N51381M,0.07120085373793,0.038922062654198,other,,0,bolton,2,135,-2.430855,53.574627
N53141D,0.154197579100185,0.114781710602781,secondary,Chorley Old Road,48,bolton,1,42,-2.440594,53.582501
N53141B,0.398774964322892,0.070304393084216,other,Gaskell Street,0,bolton,1,46,-2.441618,53.583569
N53141A,0.206293677655266,0.093940433778104,secondary,Chorley Old Road,48,bolton,1,45,-2.443488,53.583362
