detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
Az104_z1z2,0.06553369135254,0.033608467553143,tertiary,HemmstraÃ?e,50,bremen,2,1017,8.8123065,53.0978541
Az157_e2e3,0.577901756234171,0.027246948053025,primary,Richard-Boljahn-Allee,50,bremen,2,1628,8.8848723,53.0827897
Az157_z1z2z3,0.317937180666502,0.041709516064642,secondary,Ludwig-Roselius-Allee,50,bremen,3,1659,8.9063783,53.0713567
Az157_z5z6,0.582171561829299,0.035719841807734,secondary,Ludwig-Roselius-Allee,50,bremen,2,1412,8.907647,53.0713792
Az195_a1a2,0.323115371864799,0.0276961684666,primary,Universitätsallee,50,bremen,2,1445,8.8496898,53.1052047
Az195_e1e2,0.128094347091255,0.022655478186209,primary,Universitätsallee,50,bremen,2,1457,8.8510162,53.105005
Az211_b1b2,0.206508847098315,0.036816144884357,primary,Universitätsallee,50,bremen,2,1465,8.854908,53.1036967
Az255_z1z2,0.193258085285872,0.029956351383729,primary,Universitätsallee,50,bremen,2,1464,8.853402,53.1042957
Az255_z3z4,0.139116343444464,0.033114415108452,primary,Universitätsallee,50,bremen,2,1454,8.8518168,53.1046605
Az256_a1a2,0.366103368867897,0.033544966433946,secondary,Heinrich-Plett-Allee,50,bremen,2,583,8.7226979,53.044098
Az266_a1a2,0.666195605219541,0.042902430265755,secondary,Heinrich-Plett-Allee,50,bremen,2,580,8.7236823,53.0436352
Az341_z1z2,0.590104659048684,0.042001710821585,secondary,Ludwig-Roselius-Allee,50,bremen,2,1414,8.9151706,53.0711915
Az341_z9z10,0.586599925519332,0.040182473205465,secondary,Ludwig-Roselius-Allee,50,bremen,2,1413,8.9151679,53.0712181
Az341_z3z4,0.222256936476504,0.033709222586216,primary,Bremer StraÃ?e,50,bremen,2,141,8.8052376,53.0267169
Az341_z5z6z7z8,0.301994114925152,0.032674415353769,primary,Bremer StraÃ?e,50,bremen,4,143,8.8053381,53.0266991
Az353_a1a2,1.14427852659779,0.045168766474326,primary,Kurfürstenallee,50,bremen,2,1579,8.868126,53.0821219
Az354_c1c2,0.122340859346669,0.083670279889324,secondary,Eickedorfer StraÃ?e,50,bremen,2,1032,8.813197,53.0908026
Az355_a1a2,0.136756553278452,0.121511308211734,secondary,Utbremer Ring,50,bremen,2,1004,8.8072908,53.0999413
Az355_d1d2,0.565234378609935,0.516021094307306,secondary,Fürther StraÃ?e,50,bremen,2,1009,8.8074464,53.099248
Az450_z2z3,0.327362869664101,0.301040957589013,primary,Autobahnzubringer Universität,50,bremen,2,1497,8.8586015,53.1053021
Az457_a1a2a3,0.204273801357354,0.189822751555633,primary,Autobahnzubringer Universität,50,bremen,3,1477,8.8577378,53.1050236
Az457_f2f4,0.319991016063698,0.264770431395784,primary,Autobahnzubringer Universität,50,bremen,2,1495,8.8617986,53.1064889
Az491_z5z6,0.32383123106524,0.099377753863685,primary,Universitätsallee,50,bremen,2,1449,8.8471551,53.1059293
Az552_a1a2,0.362843601262125,0.164574556805685,primary,Schwachhauser HeerstraÃ?e,50,bremen,2,1243,8.834542,53.081902
Az552_b1b2,0.404086205525351,0.246392177813741,primary,Kurfürstenallee,50,bremen,2,1230,8.8412341,53.0813075
