detid_X,detid_Y,DISTANCE
1.0,1.0,0.0
1.0,2.0,0.0
1.0,3.0,0.0
1.0,4.0,0.0
1.0,5.0,4464.9
1.0,6.0,4464.9
1.0,7.0,4464.9
1.0,8.0,4464.9
1.0,9.0,7592.8049999999985
1.0,10.0,7592.8049999999985
1.0,11.0,7592.8049999999985
1.0,12.0,7592.8049999999985
1.0,13.0,7201.798999999998
1.0,14.0,7201.798999999998
1.0,15.0,7201.798999999998
1.0,16.0,7201.798999999998
1.0,17.0,6949.841999999997
1.0,18.0,6949.841999999997
1.0,19.0,6949.841999999997
1.0,20.0,6949.841999999997
1.0,25.0,2649.5390000000007
1.0,26.0,2649.5390000000007
1.0,36.0,2649.5390000000007
1.0,28.0,2020.963
1.0,33.0,2020.963
1.0,29.0,2597.278
1.0,30.0,2597.278
1.0,31.0,2597.278
1.0,32.0,2597.278
1.0,39.0,3195.033999999999
1.0,40.0,3195.033999999999
1.0,37.0,3195.033999999999
1.0,38.0,3195.033999999999
1.0,41.0,2881.503
1.0,42.0,2890.405
1.0,43.0,3459.2700000000004
1.0,44.0,3459.2700000000004
1.0,45.0,3459.2700000000004
1.0,46.0,3459.2700000000004
1.0,47.0,3416.3230000000003
1.0,48.0,3416.3230000000003
1.0,52.0,2930.5090000000005
1.0,53.0,2930.5090000000005
1.0,55.0,3226.53
1.0,56.0,3226.53
1.0,59.0,1440.5780000000002
1.0,60.0,1440.5780000000002
1.0,57.0,1440.5780000000002
1.0,58.0,1440.5780000000002
1.0,61.0,3073.487
1.0,62.0,3073.487
1.0,63.0,3073.487
1.0,64.0,3209.9020000000005
1.0,65.0,3209.9020000000005
1.0,66.0,2673.3120000000004
1.0,67.0,2673.3120000000004
1.0,68.0,5946.849000000001
1.0,69.0,5946.849000000001
1.0,70.0,5946.849000000001
1.0,71.0,5946.849000000001
1.0,72.0,3134.653
1.0,73.0,3134.653
1.0,76.0,6525.866999999999
1.0,74.0,6525.866999999999
1.0,75.0,6507.199999999999
1.0,91.0,4537.451
1.0,90.0,4537.451
1.0,92.0,4537.451
1.0,93.0,4537.451
1.0,77.0,5630.178999999998
1.0,78.0,5630.178999999998
1.0,79.0,5630.178999999998
1.0,80.0,5630.178999999998
1.0,81.0,5244.699
1.0,82.0,5244.699
1.0,83.0,5244.699
1.0,84.0,5244.699
1.0,85.0,6022.787
1.0,86.0,6022.787
1.0,87.0,6022.787
1.0,88.0,6022.787
1.0,89.0,6022.787
1.0,96.0,3988.714000000001
1.0,134.0,5998.590999999999
1.0,135.0,5998.590999999999
1.0,136.0,5998.590999999999
1.0,137.0,5998.590999999999
1.0,110.0,4464.615
1.0,111.0,4464.615
1.0,112.0,4464.615
1.0,113.0,4464.615
1.0,138.0,631.807
1.0,139.0,631.807
1.0,126.0,3736.52
1.0,127.0,3736.52
1.0,128.0,3513.722
1.0,129.0,3513.722
1.0,104.0,2709.1830000000004
1.0,105.0,2709.1830000000004
1.0,106.0,2709.1830000000004
1.0,107.0,2709.1830000000004
1.0,122.0,2381.146
1.0,123.0,2381.146
1.0,124.0,2381.146
1.0,125.0,2381.146
1.0,132.0,5833.293999999998
1.0,133.0,5833.293999999998
1.0,118.0,5468.409999999999
1.0,119.0,5468.409999999999
1.0,114.0,4873.355
1.0,115.0,4873.355
