detid_Y,K13D2.11,K13D2.12,K13D4.11,K13D4.12,K16D1.1,K16D2.1,K16D3.1,K16D4.2,K16D5.1,K16D6.1,K16D6.2,K17D2.11,K17D2.12,K1D3.1,K1PIR5.11,K1PIR5.12,K1PIR6.12,K20D4.11,K21D1.1,K21D2.1,K21D4.1,K21D5.1,K21D6.1,K2D3.11,K31D4.11,K31D5.1,K31D5.2,K33.D3.1,K33.D4.1,K4D3.1,K4D5.11,K4RD1.12,K50D1.1,K50D2.1,K50D3.1,K50D4.1,K50D5.1,K51D3.1,K51D3.2,K51D4.11,K51D5.11,K7D11.11,K7D2.11,K7D3.1,K7D5.11,K7D5.12,K7D6.11,K7D7.11,K7D8.1,K7D8.11,K8D3.11,K8D4.11,Z1,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z2,Z20,Z21.1,Z22,Z23,Z24,Z25,Z29,Z3,Z33,Z34,Z35,Z37,Z38,Z39,Z4,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z5,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z6,Z61,Z62,Z63,Z64,Z7,Z71,Z72,Z8,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z9,Z90,Z91,Z92,Z93,Z94
K13D2.11,0.00,0.00,253.12,253.12,621.60,621.60,621.60,603.41,603.41,603.41,603.41,775.94,775.94,1224.41,1224.41,1224.41,1224.41,1392.32,1793.15,1793.15,1793.15,1793.15,1793.15,1021.76,1681.00,1715.79,1715.79,2150.44,2150.44,1186.43,1161.51,1223.70,1522.65,1522.65,1522.65,1522.65,1522.65,1653.97,1653.97,1653.97,1653.97,479.05,386.02,409.73,854.30,854.30,409.73,335.99,388.03,335.99,844.80,844.80,1383.07,966.76,1030.21,1030.21,439.04,439.04,539.82,308.13,308.13,1777.22,1777.22,1383.07,1684.78,1406.79,4062.57,4028.66,4551.77,4045.73,844.80,1392.32,4896.90,2117.11,539.82,4896.90,6141.48,6141.48,1392.32,5260.81,4792.48,4606.86,2121.62,4606.86,2294.91,2117.11,1748.63,2113.13,2113.13,1383.07,2670.56,2670.56,3866.00,2206.02,1695.69,1695.69,2121.62,1383.07,2862.66,2862.66,2217.82,2217.82,836.64,4191.33,4191.33,836.64,6112.35,6112.35,6112.35,6112.35,3506.34,3506.34,3506.34,3522.95,3522.95,3522.95,910.80,3645.80,3645.80,3645.80,3645.80,3870.33
K13D2.12,0.00,0.00,253.12,253.12,621.60,621.60,621.60,603.41,603.41,603.41,603.41,775.94,775.94,1224.41,1224.41,1224.41,1224.41,1392.32,1793.15,1793.15,1793.15,1793.15,1793.15,1021.76,1681.00,1715.79,1715.79,2150.44,2150.44,1186.43,1161.51,1223.70,1522.65,1522.65,1522.65,1522.65,1522.65,1653.97,1653.97,1653.97,1653.97,479.05,386.02,409.73,854.30,854.30,409.73,335.99,388.03,335.99,844.80,844.80,1383.07,966.76,1030.21,1030.21,439.04,439.04,539.82,308.13,308.13,1777.22,1777.22,1383.07,1684.78,1406.79,4062.57,4028.66,4551.77,4045.73,844.80,1392.32,4896.90,2117.11,539.82,4896.90,6141.48,6141.48,1392.32,5260.81,4792.48,4606.86,2121.62,4606.86,2294.91,2117.11,1748.63,2113.13,2113.13,1383.07,2670.56,2670.56,3866.00,2206.02,1695.69,1695.69,2121.62,1383.07,2862.66,2862.66,2217.82,2217.82,836.64,4191.33,4191.33,836.64,6112.35,6112.35,6112.35,6112.35,3506.34,3506.34,3506.34,3522.95,3522.95,3522.95,910.80,3645.80,3645.80,3645.80,3645.80,3870.33
K13D4.11,343.90,343.90,0.00,0.00,368.48,368.48,368.48,350.29,350.29,350.29,350.29,522.82,522.82,971.28,971.28,971.28,971.28,1139.20,1540.03,1540.03,1540.03,1540.03,1540.03,768.64,1427.88,1462.67,1462.67,1897.32,1897.32,933.31,908.38,970.58,1269.53,1269.53,1269.53,1269.53,1269.53,1400.85,1400.85,1400.85,1400.85,822.94,729.92,753.63,1198.20,1198.20,753.63,679.89,731.92,679.89,1188.69,1188.69,1129.95,713.64,777.09,777.09,560.30,560.30,883.72,652.03,652.03,1524.10,1524.10,1129.95,1431.66,1153.67,3809.45,3775.54,4298.65,3792.61,1188.69,1139.20,4712.16,1863.98,883.72,4712.16,5956.74,5956.74,1139.20,5076.06,4607.74,4422.12,1868.50,4422.12,2041.79,1863.98,1495.51,1860.01,1860.01,1129.95,2417.44,2417.44,3612.88,1952.90,1442.57,1442.57,1868.50,1129.95,2609.53,2609.53,1964.70,1964.70,583.51,4006.59,4006.59,583.51,5927.61,5927.61,5927.61,5927.61,3321.59,3321.59,3321.59,3338.20,3338.20,3338.20,657.68,3461.05,3461.05,3461.05,3461.05,3685.58
K13D4.12,343.90,343.90,0.00,0.00,368.48,368.48,368.48,350.29,350.29,350.29,350.29,522.82,522.82,971.28,971.28,971.28,971.28,1139.20,1540.03,1540.03,1540.03,1540.03,1540.03,768.64,1427.88,1462.67,1462.67,1897.32,1897.32,933.31,908.38,970.58,1269.53,1269.53,1269.53,1269.53,1269.53,1400.85,1400.85,1400.85,1400.85,822.94,729.92,753.63,1198.20,1198.20,753.63,679.89,731.92,679.89,1188.69,1188.69,1129.95,713.64,777.09,777.09,560.30,560.30,883.72,652.03,652.03,1524.10,1524.10,1129.95,1431.66,1153.67,3809.45,3775.54,4298.65,3792.61,1188.69,1139.20,4712.16,1863.98,883.72,4712.16,5956.74,5956.74,1139.20,5076.06,4607.74,4422.12,1868.50,4422.12,2041.79,1863.98,1495.51,1860.01,1860.01,1129.95,2417.44,2417.44,3612.88,1952.90,1442.57,1442.57,1868.50,1129.95,2609.53,2609.53,1964.70,1964.70,583.51,4006.59,4006.59,583.51,5927.61,5927.61,5927.61,5927.61,3321.59,3321.59,3321.59,3338.20,3338.20,3338.20,657.68,3461.05,3461.05,3461.05,3461.05,3685.58
K16D1.1,374.46,374.46,627.58,627.58,0.00,0.00,0.00,18.19,18.19,18.19,18.19,190.72,190.72,602.80,602.80,602.80,602.80,770.72,1171.55,1171.55,1171.55,1171.55,1171.55,400.16,1059.40,1094.18,1094.18,1528.84,1528.84,643.15,539.90,602.10,901.05,901.05,901.05,901.05,901.05,1032.37,1032.37,1032.37,1032.37,853.50,760.48,784.19,1228.76,1228.76,784.19,710.45,762.48,710.45,1043.99,1043.99,761.47,345.16,408.61,408.61,813.50,813.50,914.28,682.59,682.59,1155.62,1155.62,761.47,1063.18,785.19,3440.97,3407.06,3930.17,3424.12,1043.99,770.72,4517.69,1495.50,914.28,4517.69,5762.27,5762.27,770.72,4881.59,4413.27,4227.65,1500.02,4227.65,1673.31,1495.50,1127.03,1491.52,1491.52,761.47,2048.95,2048.95,3244.40,1584.41,1074.09,1074.09,1500.02,761.47,2241.05,2241.05,1596.22,1596.22,251.41,3812.12,3812.12,251.41,5733.14,5733.14,5733.14,5733.14,3127.12,3127.12,3127.12,3143.73,3143.73,3143.73,289.20,3266.58,3266.58,3266.58,3266.58,3491.11
K16D2.1,374.46,374.46,627.58,627.58,0.00,0.00,0.00,18.19,18.19,18.19,18.19,190.72,190.72,602.80,602.80,602.80,602.80,770.72,1171.55,1171.55,1171.55,1171.55,1171.55,400.16,1059.40,1094.18,1094.18,1528.84,1528.84,643.15,539.90,602.10,901.05,901.05,901.05,901.05,901.05,1032.37,1032.37,1032.37,1032.37,853.50,760.48,784.19,1228.76,1228.76,784.19,710.45,762.48,710.45,1043.99,1043.99,761.47,345.16,408.61,408.61,813.50,813.50,914.28,682.59,682.59,1155.62,1155.62,761.47,1063.18,785.19,3440.97,3407.06,3930.17,3424.12,1043.99,770.72,4517.69,1495.50,914.28,4517.69,5762.27,5762.27,770.72,4881.59,4413.27,4227.65,1500.02,4227.65,1673.31,1495.50,1127.03,1491.52,1491.52,761.47,2048.95,2048.95,3244.40,1584.41,1074.09,1074.09,1500.02,761.47,2241.05,2241.05,1596.22,1596.22,251.41,3812.12,3812.12,251.41,5733.14,5733.14,5733.14,5733.14,3127.12,3127.12,3127.12,3143.73,3143.73,3143.73,289.20,3266.58,3266.58,3266.58,3266.58,3491.11
K16D3.1,374.46,374.46,627.58,627.58,0.00,0.00,0.00,18.19,18.19,18.19,18.19,190.72,190.72,602.80,602.80,602.80,602.80,770.72,1171.55,1171.55,1171.55,1171.55,1171.55,400.16,1059.40,1094.18,1094.18,1528.84,1528.84,643.15,539.90,602.10,901.05,901.05,901.05,901.05,901.05,1032.37,1032.37,1032.37,1032.37,853.50,760.48,784.19,1228.76,1228.76,784.19,710.45,762.48,710.45,1043.99,1043.99,761.47,345.16,408.61,408.61,813.50,813.50,914.28,682.59,682.59,1155.62,1155.62,761.47,1063.18,785.19,3440.97,3407.06,3930.17,3424.12,1043.99,770.72,4517.69,1495.50,914.28,4517.69,5762.27,5762.27,770.72,4881.59,4413.27,4227.65,1500.02,4227.65,1673.31,1495.50,1127.03,1491.52,1491.52,761.47,2048.95,2048.95,3244.40,1584.41,1074.09,1074.09,1500.02,761.47,2241.05,2241.05,1596.22,1596.22,251.41,3812.12,3812.12,251.41,5733.14,5733.14,5733.14,5733.14,3127.12,3127.12,3127.12,3143.73,3143.73,3143.73,289.20,3266.58,3266.58,3266.58,3266.58,3491.11
K16D4.2,392.65,392.65,645.77,645.77,18.19,18.19,18.19,0.00,0.00,0.00,0.00,172.53,172.53,620.99,620.99,620.99,620.99,788.91,1189.74,1189.74,1189.74,1189.74,1189.74,418.35,1077.59,1112.37,1112.37,1547.03,1547.03,661.34,558.09,620.29,919.24,919.24,919.24,919.24,919.24,1050.56,1050.56,1050.56,1050.56,871.69,778.67,802.38,1246.95,1246.95,802.38,728.64,780.68,728.64,1062.18,1062.18,779.66,363.35,426.80,426.80,831.69,831.69,932.47,700.78,700.78,1173.81,1173.81,779.66,1081.37,803.38,3459.16,3425.25,3948.36,3442.32,1062.18,788.91,4499.50,1513.69,932.47,4499.50,5744.08,5744.08,788.91,4863.40,4395.07,4209.46,1518.21,4209.46,1691.50,1513.69,1145.22,1509.71,1509.71,779.66,2067.15,2067.15,3262.59,1602.61,1092.28,1092.28,1518.21,779.66,2259.24,2259.24,1614.41,1614.41,233.22,3793.93,3793.93,233.22,5714.94,5714.94,5714.94,5714.94,3108.93,3108.93,3108.93,3125.54,3125.54,3125.54,307.39,3248.39,3248.39,3248.39,3248.39,3472.92
K16D5.1,392.65,392.65,645.77,645.77,18.19,18.19,18.19,0.00,0.00,0.00,0.00,172.53,172.53,620.99,620.99,620.99,620.99,788.91,1189.74,1189.74,1189.74,1189.74,1189.74,418.35,1077.59,1112.37,1112.37,1547.03,1547.03,661.34,558.09,620.29,919.24,919.24,919.24,919.24,919.24,1050.56,1050.56,1050.56,1050.56,871.69,778.67,802.38,1246.95,1246.95,802.38,728.64,780.68,728.64,1062.18,1062.18,779.66,363.35,426.80,426.80,831.69,831.69,932.47,700.78,700.78,1173.81,1173.81,779.66,1081.37,803.38,3459.16,3425.25,3948.36,3442.32,1062.18,788.91,4499.50,1513.69,932.47,4499.50,5744.08,5744.08,788.91,4863.40,4395.07,4209.46,1518.21,4209.46,1691.50,1513.69,1145.22,1509.71,1509.71,779.66,2067.15,2067.15,3262.59,1602.61,1092.28,1092.28,1518.21,779.66,2259.24,2259.24,1614.41,1614.41,233.22,3793.93,3793.93,233.22,5714.94,5714.94,5714.94,5714.94,3108.93,3108.93,3108.93,3125.54,3125.54,3125.54,307.39,3248.39,3248.39,3248.39,3248.39,3472.92
K16D6.1,392.65,392.65,645.77,645.77,18.19,18.19,18.19,0.00,0.00,0.00,0.00,172.53,172.53,620.99,620.99,620.99,620.99,788.91,1189.74,1189.74,1189.74,1189.74,1189.74,418.35,1077.59,1112.37,1112.37,1547.03,1547.03,661.34,558.09,620.29,919.24,919.24,919.24,919.24,919.24,1050.56,1050.56,1050.56,1050.56,871.69,778.67,802.38,1246.95,1246.95,802.38,728.64,780.68,728.64,1062.18,1062.18,779.66,363.35,426.80,426.80,831.69,831.69,932.47,700.78,700.78,1173.81,1173.81,779.66,1081.37,803.38,3459.16,3425.25,3948.36,3442.32,1062.18,788.91,4499.50,1513.69,932.47,4499.50,5744.08,5744.08,788.91,4863.40,4395.07,4209.46,1518.21,4209.46,1691.50,1513.69,1145.22,1509.71,1509.71,779.66,2067.15,2067.15,3262.59,1602.61,1092.28,1092.28,1518.21,779.66,2259.24,2259.24,1614.41,1614.41,233.22,3793.93,3793.93,233.22,5714.94,5714.94,5714.94,5714.94,3108.93,3108.93,3108.93,3125.54,3125.54,3125.54,307.39,3248.39,3248.39,3248.39,3248.39,3472.92
