detid_Y,ess101o,ess101w,esss037n,esss037s,esss038o,esss038w,esss050n,esss050s,esss051n,esss051s,esss052n,esss052s,esss053n,esss053s,esss088n,esss088s,esss090n,esss090s,esss092n,esss092s,esss093n,esss093s,esss094n,esss094s,esss095n,esss095s,esss097o,esss097w,esss098n,esss098s,esss102n,esss102s,esss926o,esss926w,esss928o,esss928w,esss943o,esss943w
ess101o,0.00,1844.83,2288.49,2141.99,3742.09,3742.09,4645.99,4684.65,4512.79,4759.08,3162.06,3162.06,3910.13,3530.63,5894.68,5907.54,2930.83,2930.83,3108.24,2810.60,2652.37,2652.37,3534.49,3543.97,3456.23,3456.23,3837.35,3648.37,2941.89,2941.89,893.13,868.15,3704.81,3704.81,4103.13,4248.54,2473.64,2415.49
ess101w,1197.75,0.00,3486.24,3339.74,4939.84,4939.84,5843.74,5882.41,5710.54,5956.83,4359.81,4359.81,5107.88,4728.38,7092.43,7105.29,4128.58,4128.58,4305.99,4008.35,3850.12,3850.12,4732.24,4741.72,4653.98,4653.98,5035.10,4846.12,4139.64,4139.64,2090.88,2065.90,4902.57,4902.57,5300.88,5446.29,3671.39,3613.24
esss037n,3738.06,3367.54,0.00,405.33,1748.39,1748.39,3105.55,3144.21,3986.66,4232.96,1741.17,1741.17,1916.43,1536.92,4981.59,4994.45,2739.82,2739.82,1858.50,1894.82,1295.84,1295.84,2728.73,2089.91,2672.31,2672.31,3311.23,3106.17,3389.98,3389.98,1279.66,1304.26,2899.05,2899.05,2562.69,2708.10,1775.28,1717.12
esss037s,3744.85,3374.33,146.50,0.00,1600.10,1600.10,3112.33,3151.00,3993.45,4239.74,1747.95,1747.95,1768.14,1388.64,4988.38,5001.24,2746.60,2746.60,1865.29,1901.60,1302.63,1302.63,2735.51,2096.70,2679.10,2679.10,3318.01,3112.95,3396.76,3396.76,1286.44,1311.04,2905.83,2905.83,2569.47,2714.89,1782.06,1723.91
esss038o,5298.34,4927.82,1560.28,1934.79,0.00,0.00,3456.60,3495.27,4936.90,4754.73,2524.02,2524.02,1639.84,888.57,5332.65,5345.51,3989.12,3989.12,2808.74,2845.05,2246.08,2246.08,3678.96,3040.15,3622.55,3622.55,4261.46,4056.40,4914.72,4914.72,2839.94,2864.54,3792.07,3792.07,3000.59,3059.16,3143.86,3085.70
esss038w,5298.34,4927.82,1560.28,1934.79,0.00,0.00,3456.60,3495.27,4936.90,4754.73,2524.02,2524.02,1639.84,888.57,5332.65,5345.51,3989.12,3989.12,2808.74,2845.05,2246.08,2246.08,3678.96,3040.15,3622.55,3622.55,4261.46,4056.40,4914.72,4914.72,2839.94,2864.54,3792.07,3792.07,3000.59,3059.16,3143.86,3085.70
esss050n,6286.84,5916.32,3147.17,3000.67,3441.52,3441.52,0.00,38.67,1522.95,1298.13,1880.21,1880.21,2694.38,2802.19,1876.05,1888.91,2998.82,2998.82,1854.70,1891.01,2331.19,2331.19,1868.11,1507.74,1901.64,1901.64,1676.71,1861.20,3894.38,3894.38,3850.08,3874.68,1218.97,1218.97,634.59,499.24,2868.23,2787.97
esss050s,6248.17,5877.65,3185.84,3039.34,3480.18,3480.18,38.67,0.00,1484.28,1259.46,1918.88,1918.88,2733.05,2840.86,1837.38,1850.24,2960.15,2960.15,1893.37,1929.68,2369.86,2369.86,1829.44,1546.41,1862.97,1862.97,1638.04,1822.53,3855.71,3855.71,3888.75,3913.35,1180.30,1180.30,673.26,537.90,2829.56,2749.30
esss051n,6057.55,5687.03,4020.38,3873.88,4902.05,4902.05,1528.83,1490.16,0.00,246.29,2753.41,2753.41,4160.67,4268.47,1507.31,1520.18,2252.29,2252.29,2655.53,2357.88,3175.29,3175.29,1858.75,1966.02,1293.63,1293.63,701.48,885.97,2561.53,2561.53,3848.68,3873.28,1462.13,1462.13,2086.20,2028.07,2754.86,2674.61
esss051s,6291.93,5921.41,4254.77,4108.26,4724.05,4724.05,1282.54,1243.87,258.28,0.00,2987.80,2987.80,3976.92,4084.72,1440.06,1452.93,2486.67,2486.67,2889.91,2592.27,3409.68,3409.68,2093.14,2200.41,1528.02,1528.02,935.86,1120.36,2795.92,2795.92,4083.06,4107.66,1510.44,1510.44,1917.12,1781.77,2989.25,2909.00
esss052n,4794.38,4423.85,1687.10,1540.60,2518.95,2518.95,1943.30,1981.97,2824.42,3070.71,0.00,0.00,2056.44,1967.26,3819.35,3832.21,1876.64,1876.64,696.26,732.58,694.92,694.92,1566.48,927.67,1510.07,1510.07,2148.98,1943.92,3008.73,3008.73,2351.99,2376.59,1736.81,1736.81,1400.44,1545.86,1545.58,1487.43
esss052s,4794.38,4423.85,1687.10,1540.60,2518.95,2518.95,1943.30,1981.97,2824.42,3070.71,0.00,0.00,2056.44,1967.26,3819.35,3832.21,1876.64,1876.64,696.26,732.58,694.92,694.92,1566.48,927.67,1510.07,1510.07,2148.98,1943.92,3008.73,3008.73,2351.99,2376.59,1736.81,1736.81,1400.44,1545.86,1545.58,1487.43
esss053n,5417.77,5047.25,1679.70,2054.21,1591.23,1591.23,2416.87,2455.54,3902.83,3715.00,2071.38,2071.38,0.00,1039.54,4292.91,4305.78,3536.48,3536.48,2356.10,2392.41,1793.44,1793.44,3226.32,2587.51,3169.91,3169.91,3227.39,3411.89,4668.56,4668.56,2959.36,2983.96,2752.33,2752.33,1960.85,2019.42,2691.22,2633.06
esss053s,5052.78,4682.25,1314.71,1689.22,878.34,878.34,2786.39,2825.06,4202.46,4084.52,1789.58,1789.58,905.40,0.00,4662.43,4675.29,3254.68,3254.68,2074.30,2110.62,1511.64,1511.64,2944.52,2305.71,2888.11,2888.11,3527.02,3321.96,4386.77,4386.77,2594.37,2618.97,3114.85,3114.85,2330.37,2388.94,2409.42,2351.26
esss088n,7359.05,6988.53,5017.70,4871.20,5312.04,5312.04,1870.53,1831.86,1507.31,1440.06,3750.73,3750.73,4564.91,4672.71,0.00,12.86,3759.60,3759.60,3725.22,3543.45,4201.72,4201.72,2940.32,3023.54,2800.95,2800.95,2208.79,2393.29,4068.84,4068.84,5034.25,5058.85,2291.18,2291.18,2505.12,2369.76,3940.44,3860.18
esss088s,7371.91,7001.39,5030.56,4884.06,5324.90,5324.90,1883.39,1844.72,1520.18,1452.93,3763.59,3763.59,4577.77,4685.57,12.86,0.00,3772.46,3772.46,3738.09,3556.32,4214.58,4214.58,2953.18,3036.40,2813.81,2813.81,2221.66,2406.15,4081.71,4081.71,5047.11,5071.71,2304.04,2304.04,2517.98,2382.62,3953.30,3873.05
esss090n,4155.13,3784.61,3104.42,2957.92,4206.03,4206.03,3114.68,3076.01,2181.93,2428.22,2071.59,2071.59,3743.52,3654.34,3689.24,3702.10,0.00,0.00,1673.30,1375.66,2193.07,2193.07,1771.20,1858.62,1206.08,1206.08,1506.49,1317.51,1132.09,1132.09,2610.63,2601.98,1941.53,1941.53,2668.19,2813.60,1772.64,1692.39
esss090s,4155.13,3784.61,3104.42,2957.92,4206.03,4206.03,3114.68,3076.01,2181.93,2428.22,2071.59,2071.59,3743.52,3654.34,3689.24,3702.10,0.00,0.00,1673.30,1375.66,2193.07,2193.07,1771.20,1858.62,1206.08,1206.08,1506.49,1317.51,1132.09,1132.09,2610.63,2601.98,1941.53,1941.53,2668.19,2813.60,1772.64,1692.39
esss092n,4437.77,4067.24,1985.02,1838.52,2866.68,2866.68,1871.70,1910.37,2500.36,2746.65,732.25,732.25,2404.18,2315.00,3620.15,3633.02,1180.38,1180.38,0.00,36.32,816.27,816.27,1259.97,769.68,1181.70,1181.70,1824.92,1635.94,2312.47,2312.47,1995.38,2019.98,1430.29,1430.29,1328.85,1474.26,1033.84,953.58
