detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
esss102n,0.510107252472063,0.488893175446213,primary,HerzogstraÃ?e,50,essen,1,28,7.0280099,51.4635947
esss102s,0.353923289079167,0.339990028920585,primary,Burggrafenstra??e,50,essen,1,29,7.0282593,51.4631502
esss037n,0.392348392754351,0.378357280671117,secondary,UnsuhrstraÃ?e,50,essen,1,26,7.0170692,51.4716852
esss037s,0.145155071873586,0.126750133599844,secondary,KarolingerstraÃ?e,50,essen,1,25,7.0174152,51.4711172
esss093n,0.32739391953105,0.234281399055499,primary,Gladbecker StraÃ?e,50,essen,1,7,7.0088053,51.4660294
esss093s,0.32024626466978,0.077262116010402,primary,Gladbecker StraÃ?e,50,essen,1,6,7.0086658,51.4659976
esss053n,0.704850874802381,0.415177609383656,primary,Gladbecker StraÃ?e,50,essen,1,24,7.0069331,51.4723736
esss053s,0.348624032096518,0.281231993659004,primary,Gladbecker StraÃ?e,50,essen,1,27,7.0040283,51.4784612
esss092n,0.300742179791684,0.224175679910793,secondary,SegerothstraÃ?e,50,essen,1,4,7.0028508,51.4630282
esss092s,0.313745557563303,0.26521624161373,secondary,SegerothstraÃ?e,50,essen,1,5,7.0032987,51.4620456
esss094s,0.604309045327114,0.366717805785441,primary,Hans-Böckler-StraÃ?e,50,essen,1,8,6.9968399,51.4623364
esss094n,0.614473357282125,0.330820864155951,primary,Hans-Böckler-StraÃ?e,50,essen,1,9,6.9968668,51.461429
esss926o,0.192397776444305,0.161605681142512,primary,Altendorfer StraÃ?e,50,essen,1,15,6.9915318,51.4592799
esss926w,0.193303382746774,0.034445110046712,primary,Altendorfer StraÃ?e,50,essen,1,14,6.9917732,51.459452
esss095n,0.388860218300086,0.210819312836519,primary,Hans-Böckler-StraÃ?e,50,essen,1,11,6.9976714,51.4567162
esss095s,0.383595830948629,0.167459009837282,primary,Hans-Böckler-StraÃ?e,50,essen,1,10,6.9975829,51.4567162
esss090n,0.462229134642388,0.284636856624246,secondary,HindenburgstraÃ?e,50,essen,1,3,7.0072362,51.4532514
esss090s,0.442587084719399,0.150194541233045,secondary,HindenburgstraÃ?e,50,essen,1,2,7.0070913,51.453218
esss097o,0.452031816410734,0.43762843493151,secondary,Frohnhauser StraÃ?e,50,essen,1,13,6.9915909,51.454271
esss097w,0.452418738604049,0.206820905026112,secondary,Frohnhauser StraÃ?e,50,essen,1,12,6.9942945,51.4548125
esss050n,0.217049967433416,0.194474926962937,secondary,HelenenstraÃ?e,50,essen,1,20,6.9821146,51.4640492
esss050s,0.362797734398895,0.31914041765512,secondary,HelenenstraÃ?e,50,essen,1,21,6.9817981,51.4636148
esss088s,0.395107654540115,0.25612982004692,secondary,OnckenstraÃ?e,50,essen,1,34,6.963425,51.4553524
esss088n,0.375118037435422,0.101200674024899,secondary,OnckenstraÃ?e,50,essen,1,35,6.9636047,51.4553474
esss051n,0.213337636429666,0.200106699207643,secondary,Martin-Luther-StraÃ?e,50,essen,1,22,6.9830856,51.4523154
esss051s,0.239900175441511,0.211331239427387,secondary,Martin-Luther-StraÃ?e,50,essen,1,23,6.9811222,51.4534453
esss098n,0.535959233862689,0.057468413005246,tertiary,Huyssenallee,0,essen,1,33,7.0108116,51.4476301
esss098s,0.523662719843988,0.457385664250931,tertiary,Huyssenallee,0,essen,1,32,7.0106104,51.4476117
esss038w,0.521194548371616,0.344559636062558,secondary,HövelstraÃ?e,30,essen,1,36,7.0062894,51.4829798
esss038o,0.52082130406342,0.167453171198902,secondary,HövelstraÃ?e,30,essen,1,37,7.0062599,51.4829163
esss928w,0.281916443124158,0.262801469462305,tertiary,PferdebahnstraÃ?e,50,essen,1,19,6.9866341,51.4659391
esss928o,0.780929294383722,0.764973259620456,tertiary,PferdebahnstraÃ?e,50,essen,1,18,6.9876507,51.4657921
esss943o,0.265588435784305,0.228554854326057,secondary,Friedrich-Ebert-StraÃ?e,50,essen,1,1,7.0076171,51.4597211
esss943w,0.267321505333357,0.137240302976475,secondary,Friedrich-Ebert-StraÃ?e,50,essen,1,0,7.0091003,51.460453
esss052n,0.85716543129868,0.693453251745992,primary,Bottroper StraÃ?e,50,essen,1,16,6.9991654,51.4676452
esss052s,0.840241249064382,0.135122853439649,primary,Bottroper StraÃ?e,50,essen,1,17,6.9991037,51.4675081
ess101w,0.42693981525095,0.173308186964075,primary,Frillendorfer StraÃ?e,50,essen,1,31,7.0404607,51.4601087
ess101o,0.413035356123105,0.348585492663662,primary,Frillendorfer StraÃ?e,50,essen,1,30,7.0388004,51.4598614
