detid_Y,BP2_D1,BP2_D2,BP2_D3,BP4_D1(1),BP4_D10(3),BP4_D2(1),BP4_D3(2),BP4_D4(2),BP4_D5(2),BP4_D6(4),BP4_D8(3),BP4_D9(3),FA6_D10,FA6_D11,FA6_D14,FA6_D15,FA6_D16,FA6_D17,FA6_D18,FA6_D19,FA6_D2,FA6_D24,FA6_D25,FA6_D27,FA6_D28,FA6_D29,FA6_D3,FA6_D30,FA6_D31,FA6_D32,FA6_D33,FA6_D34,FA6_D35,FA6_D36,FA6_D37,FA6_D38,FA6_D4,FA6_D5,FA6_D6,FA6_D7,FA6_D8,FA6_D9,G3_D1(KFZ1),G3_D2(KFZ1),G3_D3(KFZ2),G3_D4(KFZ2),G3_D5(KFZ3),HB1_D1,HB1_D13,HB1_D14,HB1_D15,HB1_D16,HB1_D17,HB1_D2,HB1_D3,HB1_D4,HB1_D5,HB1_D6,HB1_D7,HB1_D8,HB4_D1(KFZ4),HB4_D2(KFZ4),MUE3_D2(KFZ),MUE3_D3(KFZ),PR1_D1,PR1_D10,PR1_D11,PR1_D2,PR1_D3,PR1_D4,PR1_D5,PR1_D6,PR1_D7,PR1_D8,PR1_D9,PR3_D1(KFZ1),PR3_D2(KFZ1),PR3_D3(KFZ2),SD_D1(KFZ1),SD_D2(KFZ2),SD_D3(KFZ3),SHO_D1(KFZ1),SHO_D2(KFZ4),STA1_D1(KFZ4),STA1_D2(KFZ4),STA1_D8(KFZ5),STA1_D9(KFZ5),STA2_D2(KFZ4),STA2_D3(KFZ4),STA2_D4(KFZ4),STA2_D5(KFZ3),STA2_D6(KFZ3),STA2_D7(KFZ3),STA2_D8(KFZ3),STA4_D1(KFZ1),STA4_D1a(KFZ1),STA4_D2(KFZ2),STA4_D2a(KFZ2),STA4_D4(KFZ4),STA4_D4a(KFZ4),STA4_D6(KFZ6),STA4_D6a(KFZ6),STA4_D8(KFZ8),STA4_D8a(KFZ8),STA4_D9(KFZ9),STA4_D9a(KFZ9),T1_D1,T1_D2,T1_D3,T1_D4,WL2_D1(KFZ1),WL2_D2(KFZ3)
BP2_D1,0.00,0.00,0.00,142.86,140.31,142.86,142.86,142.86,142.86,136.66,140.31,140.31,1277.34,1277.34,1769.35,1769.35,1769.35,1769.35,1769.35,1769.35,1249.45,1769.35,1769.35,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1389.43,1389.43,1389.43,1389.43,1389.43,1389.43,1249.45,1249.45,1249.45,1249.45,1277.34,1277.34,584.21,412.26,402.30,394.41,394.41,688.66,1000.10,1000.10,1000.10,1141.69,1141.69,688.66,688.66,728.37,728.37,875.40,875.40,728.37,412.83,412.83,865.54,865.54,1321.35,1069.67,1069.67,1321.35,1321.35,1023.33,1023.33,1023.33,1023.33,1069.67,1069.67,1888.16,1888.16,1888.16,1300.20,1344.66,1344.66,816.64,816.64,704.86,704.86,734.15,734.15,839.07,839.07,839.07,837.81,837.81,837.81,837.81,1127.93,1127.93,1127.93,1127.93,1067.39,1731.22,1104.90,1104.90,1138.29,1138.29,1431.78,1431.78,815.21,815.21,815.21,815.21,693.83,693.83
BP2_D2,0.00,0.00,0.00,142.86,140.31,142.86,142.86,142.86,142.86,136.66,140.31,140.31,1277.34,1277.34,1769.35,1769.35,1769.35,1769.35,1769.35,1769.35,1249.45,1769.35,1769.35,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1389.43,1389.43,1389.43,1389.43,1389.43,1389.43,1249.45,1249.45,1249.45,1249.45,1277.34,1277.34,584.21,412.26,402.30,394.41,394.41,688.66,1000.10,1000.10,1000.10,1141.69,1141.69,688.66,688.66,728.37,728.37,875.40,875.40,728.37,412.83,412.83,865.54,865.54,1321.35,1069.67,1069.67,1321.35,1321.35,1023.33,1023.33,1023.33,1023.33,1069.67,1069.67,1888.16,1888.16,1888.16,1300.20,1344.66,1344.66,816.64,816.64,704.86,704.86,734.15,734.15,839.07,839.07,839.07,837.81,837.81,837.81,837.81,1127.93,1127.93,1127.93,1127.93,1067.39,1731.22,1104.90,1104.90,1138.29,1138.29,1431.78,1431.78,815.21,815.21,815.21,815.21,693.83,693.83
BP2_D3,0.00,0.00,0.00,142.86,140.31,142.86,142.86,142.86,142.86,136.66,140.31,140.31,1277.34,1277.34,1769.35,1769.35,1769.35,1769.35,1769.35,1769.35,1249.45,1769.35,1769.35,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1389.43,1389.43,1389.43,1389.43,1389.43,1389.43,1249.45,1249.45,1249.45,1249.45,1277.34,1277.34,584.21,412.26,402.30,394.41,394.41,688.66,1000.10,1000.10,1000.10,1141.69,1141.69,688.66,688.66,728.37,728.37,875.40,875.40,728.37,412.83,412.83,865.54,865.54,1321.35,1069.67,1069.67,1321.35,1321.35,1023.33,1023.33,1023.33,1023.33,1069.67,1069.67,1888.16,1888.16,1888.16,1300.20,1344.66,1344.66,816.64,816.64,704.86,704.86,734.15,734.15,839.07,839.07,839.07,837.81,837.81,837.81,837.81,1127.93,1127.93,1127.93,1127.93,1067.39,1731.22,1104.90,1104.90,1138.29,1138.29,1431.78,1431.78,815.21,815.21,815.21,815.21,693.83,693.83
BP4_D1(1),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D10(3),239.49,239.49,239.49,62.24,0.00,62.24,62.24,62.24,62.24,56.04,0.00,0.00,1247.40,1247.40,1739.42,1739.42,1739.42,1739.42,1739.42,1739.42,1219.52,1739.42,1739.42,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1359.50,1359.50,1359.50,1359.50,1359.50,1359.50,1219.52,1219.52,1219.52,1219.52,1247.40,1247.40,554.28,382.32,372.36,364.47,364.47,658.72,970.17,970.17,970.17,1111.76,1111.76,658.72,658.72,698.43,698.43,845.46,845.46,698.43,382.90,382.90,835.61,835.61,1291.41,1039.74,1039.74,1291.41,1291.41,993.39,993.39,993.39,993.39,1039.74,1039.74,1858.22,1858.22,1858.22,1270.27,1314.72,1314.72,786.71,786.71,674.92,674.92,704.22,704.22,809.13,809.13,809.13,807.88,807.88,807.88,807.88,1098.00,1098.00,1098.00,1098.00,1037.46,1701.28,1074.97,1074.97,1108.35,1108.35,1401.85,1401.85,785.27,785.27,785.27,785.27,663.90,663.90
BP4_D2(1),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D3(2),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D4(2),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D5(2),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D6(4),669.51,669.51,669.51,34.47,430.02,34.47,34.47,34.47,34.47,0.00,430.02,430.02,1219.63,1219.63,1711.64,1711.64,1711.64,1711.64,1711.64,1711.64,1191.75,1711.64,1711.64,1191.75,1191.75,1191.75,1191.75,1191.75,1191.75,1191.75,1331.72,1331.72,1331.72,1331.72,1331.72,1331.72,1191.75,1191.75,1191.75,1191.75,1219.63,1219.63,526.51,354.55,344.59,336.70,336.70,630.95,942.40,942.40,942.40,1083.98,1083.98,630.95,630.95,670.66,670.66,817.69,817.69,670.66,355.13,355.13,807.83,807.83,1263.64,1011.97,1011.97,1263.64,1263.64,965.62,965.62,965.62,965.62,1011.97,1011.97,1830.45,1830.45,1830.45,1242.50,1286.95,1286.95,758.94,758.94,647.15,647.15,676.44,676.44,781.36,781.36,781.36,780.10,780.10,780.10,780.10,1070.22,1070.22,1070.22,1070.22,1009.69,1673.51,1047.20,1047.20,1080.58,1080.58,1374.08,1374.08,757.50,757.50,757.50,757.50,636.12,636.12
