detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
STA4_D1(KFZ1),0.129484257471172,0.03971010326654,primary,Stresemannallee,50,frankfurt,1,59,8.670011,50.097966
STA4_D1a(KFZ1),0.131665623034165,0.041698353471442,primary,Stresemannallee,50,frankfurt,1,60,8.6700569,50.0979854
STA4_D2(KFZ2),0.131590380363543,0.042400325732594,primary,Stresemannallee,50,frankfurt,1,61,8.6701079,50.0980069
STA4_D2a(KFZ2),0.077419208326931,0.041444395916423,primary,Stresemannallee,50,frankfurt,1,62,8.6701481,50.0980258
STA4_D8a(KFZ8),0.254427980976552,0.025926567501373,primary,Kennedyallee,50,frankfurt,1,52,8.6702098,50.0969969
STA4_D8(KFZ8),0.041075172369247,0.023129598191567,primary,Kennedyallee,50,frankfurt,1,53,8.6702447,50.0969823
STA4_D9(KFZ9),0.265223614464607,0.085947485068557,primary,Kennedyallee,50,frankfurt,1,50,8.6697069,50.0966838
STA4_D9a(KFZ9),0.251966011354177,0.081604301874281,primary,Kennedyallee,50,frankfurt,1,51,8.6697552,50.09667
STA4_D6a(KFZ6),0.060461757015262,0.036755423806382,residential,Stresemannallee,50,frankfurt,1,54,8.6710507,50.0970313
STA4_D6(KFZ6),0.194539018957962,0.04064999618763,residential,Stresemannallee,50,frankfurt,1,96,8.6710949,50.0970331
STA4_D4(KFZ4),0.467664261304519,0.062623048974196,primary_link,Kennedyallee,50,frankfurt,1,63,8.6715361,50.098345
STA4_D4a(KFZ4),0.469585154576555,0.06415024353063,primary,Kennedyallee,50,frankfurt,1,64,8.6715911,50.0983235
T1_D1,0.120566946408522,0.010235447968801,residential,Moselstraße,0,frankfurt,1,5,8.665371,50.10897
T1_D2,0.095354996821596,0.008375563498229,residential,Moselstraße,0,frankfurt,1,4,8.665829,50.108632
T1_D3,0.221460165311429,0.030032698047202,secondary,Taunusstraße,50,frankfurt,1,6,8.666031,50.108971
T1_D4,0.101382087064822,0.02630472898148,secondary,Taunusstraße,50,frankfurt,1,7,8.666053,50.108943
WL2_D2(KFZ3),0.060763260458972,0.00243982141636,residential,Windmühlstraße,0,frankfurt,1,0,8.6696787,50.1057024
WL2_D1(KFZ1),0.08250594798491,0.073871239078016,residential,Windmühlstraße,0,frankfurt,1,1,8.6700971,50.1054513
SHO_D1(KFZ1),0.693854091272783,0.490907027830542,tertiary,Untermainkai,50,frankfurt,1,75,8.670305,50.1045679
SHO_D2(KFZ4),0.653330407400933,0.246985109907749,tertiary,Untermainkai,50,frankfurt,1,76,8.6711285,50.1051253
SD_D2(KFZ2),0.289609146147572,0.023232277791358,tertiary,Schaumainkai,50,frankfurt,1,73,8.67441,50.104097
SD_D3(KFZ3),0.041315813111291,0.031434681524439,tertiary,Schaumainkai,50,frankfurt,1,74,8.674791,50.104207
SD_D1(KFZ1),0.08759437157623,0.022692548771769,residential,Schaumainkai,0,frankfurt,1,72,8.6738965,50.1037593
G3_D1(KFZ1),0.188056000791025,0.029141535617103,secondary,Gutleutstraße,50,frankfurt,1,11,8.667472,50.10532
G3_D2(KFZ1),0.188785013348105,0.028556543913236,secondary,Gutleutstraße,50,frankfurt,1,12,8.6675397,50.1052715
G3_D3(KFZ2),0.170596621369332,0.005613114506045,residential,Wiesenhüttenplatz,50,frankfurt,1,13,8.666589,50.10496
G3_D4(KFZ2),0.053259832609221,0.004646382043518,residential,Wiesenhüttenstraße,50,frankfurt,1,15,8.6670971,50.1047192
G3_D5(KFZ3),0.055487110046746,0.007537143668906,residential,Wiesenhüttenstraße,50,frankfurt,1,14,8.6671588,50.1047416
MUE3_D2(KFZ),0.074926014373527,0.00245090884128,residential,Weserstraße,0,frankfurt,1,3,8.670069,50.108079
MUE3_D3(KFZ),0.075001435505842,0.002588916839204,residential,Weserstraße,0,frankfurt,1,2,8.670124,50.108097
FA6_D8,0.414111009291363,0.028440674625366,primary,Friedrich-Ebert-Anlage,0,frankfurt,1,92,8.6566596,50.1110813
FA6_D9,0.415202678072268,0.028965121534797,primary,Friedrich-Ebert-Anlage,0,frankfurt,1,91,8.6566821,50.1111055
