detid_X,detid_Y,DISTANCE
101.21,101.21,0.0
101.21,101.22,10.993
101.21,101.31A,197.735
101.21,103.21,388.496
101.21,103.22,388.496
101.21,103.23,388.496
101.21,104.41A,640.449
101.21,104.42A,640.449
101.21,104.43A,640.449
101.21,104.44A,720.108
101.21,105.11A,821.6869999999999
101.21,105.31A,895.3349999999999
101.21,105.32A,895.3349999999999
101.21,106.31,1112.0699999999997
101.21,106.32,1112.0699999999997
101.21,106.41A,1028.7949999999998
101.21,106.42A,1028.7949999999998
101.21,106.43A,1028.7949999999998
101.21,106.44A,1028.7949999999998
101.21,106.51,1314.841
101.21,106.81A,1166.1129999999998
101.21,106.82A,1166.1129999999998
101.21,107.12A,1514.9429999999998
101.21,107.21A,1321.4359999999997
101.21,107.81A,1410.2309999999998
101.21,109.21A,1959.327
101.21,109.41A,1959.327
101.21,201.31A,917.322
101.21,201.32A,917.322
101.21,204.31,1285.909
101.21,204.32,1285.909
101.21,205.11,1463.034
101.21,205.12,1463.034
101.21,205.21A,1316.2980000000002
101.21,205.22A,1316.2980000000002
101.21,205.41,1362.6820000000002
101.21,205.42A,1362.6820000000002
101.21,208.12,1450.575
101.21,208.13,1450.575
101.21,208.14,2574.292000000001
101.21,208.31A,1450.575
101.21,208.32A,1450.575
101.21,306.11,4479.964
101.21,306.11A,4479.964
101.21,306.12,4479.964
101.21,306.12A,4479.964
101.21,306.13,4621.673
101.21,306.14,4621.673
101.21,306.21,3883.812999999999
101.21,306.22,3883.812999999999
101.21,306.23,4076.815
101.21,306.24,4076.815
101.21,306.34,4056.167
101.21,306.35,3809.673
101.21,306.36,3809.673
101.21,306.41,4140.335999999999
101.21,306.42,4140.335999999999
101.21,306.43,4140.335999999999
101.21,308.14A,3223.162
101.21,308.15A,3223.162
101.21,361.22,3835.042
101.21,361.23,3835.042
101.21,361.31,3741.564
101.21,361.41,3883.812999999999
101.21,361.42,3883.812999999999
101.21,362.11,3711.576000000001
101.21,362.21,3721.633
101.21,362.22,3721.633
101.21,362.41,4027.091
101.21,362.42,4027.091
101.21,363.21A,3726.621000000001
101.21,363.22,3726.621000000001
101.21,363.22A,3726.621000000001
101.21,363.23,3726.621000000001
101.21,363.24,3555.4220000000005
101.21,363.31,3426.8160000000003
101.21,364.11,3447.377
101.21,364.12,3447.377
101.21,364.31,3337.391
101.21,364.32,3337.391
101.21,364.41,3555.092
101.21,364.42,3420.102
101.21,364.43,3420.102
101.21,365.12,3680.885
101.21,365.13,3680.885
101.21,365.14,2914.552
101.21,365.15,2914.552
101.21,365.16,2914.552
101.21,365.20,3694.3
101.21,365.21,3694.3
101.21,365.22,3694.3
101.21,365.23,2875.8540000000003
101.21,365.24,2875.8540000000003
101.21,366.32,2537.0820000000003
101.21,401.11,2926.9639999999995
101.21,401.12,2926.9639999999995
101.21,401.21,2919.003
101.21,401.22,2919.003
101.21,401.31,2919.003
101.21,401.32,2919.003
101.21,401.33,2919.003
101.21,402.11,2707.634
101.21,402.12,3127.163
101.21,402.13,3127.163
101.21,402.14A,3127.163
101.21,402.15A,3127.163
101.21,402.21A,2696.077
101.21,402.31,2593.051
101.21,402.32,2593.051
101.21,402.33,2593.051
101.21,402.34A,2593.051
101.21,402.35A,2593.051
101.21,402.41,2778.083
101.21,402.42,2778.083
101.21,402.43,2778.083
101.21,402.45A,2778.083
101.21,403.11,2412.648
101.21,403.12,2412.648
101.21,403.21,2244.102
101.21,403.31,2316.13
101.21,403.32,2316.13
101.21,404.12,2520.1289999999995
101.21,404.13,2520.1289999999995
101.21,404.21A,2163.727
101.21,404.32,2174.054
101.21,404.33,2163.727
101.21,405.11,2508.197
101.21,405.12,2508.197
101.21,405.31,2547.192
101.21,405.32,2547.192
101.21,405.33,2547.192
101.21,405.34,2547.192
101.21,405.41,2579.941
101.21,405.42,2579.941
101.21,405.43,2579.941
101.21,405.44,2579.941
101.21,406.11,2606.7629999999995
101.21,406.12,2606.7629999999995
101.21,406.13,2606.7629999999995
101.21,406.14,2606.7629999999995
101.21,406.21,2634.039
101.21,406.22,2634.039
101.21,406.31,2623.543
101.21,406.32,2634.039
101.21,422.22,2501.285
101.21,422.32,2501.285
101.21,501.21,2202.38
101.21,501.22,2202.38
101.21,501.23AD,2202.38
101.21,501.24AD,2202.38
101.21,501.71,2125.6980000000003
101.21,501.72,2125.6980000000003
101.21,501.73,2376.7560000000003
101.21,501.74,2125.6980000000003
101.21,501.75,2125.6980000000003
101.21,501.76,2376.7560000000003
101.21,501.81,2226.2990000000004
101.21,501.82,2226.2990000000004
101.21,501.83AD,2226.2990000000004
101.21,501.84AD,2226.2990000000004
