detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
101.21,0.194031458511161,0.104774650680181,primary,Burgring,50,graz,1,157,15.4462050374812,47.0704186657935
101.22,0.199444920016411,0.121725156663536,primary,Burgring,50,graz,1,158,15.4462541304401,47.0704454056078
101.31A,0.079654129185983,0.060152273105734,secondary,Franz-Graf-Allee,50,graz,1,156,15.4455894018733,47.0693879869945
103.21,0.118668292498304,0.094158765059046,primary,Opernring,50,graz,1,151,15.4428606360124,47.0684216285305
103.22,0.120474138947597,0.095105118562047,primary,Opernring,50,graz,1,152,15.4428899689641,47.0683960306198
103.23,0.122104811995505,0.096015728862954,primary,Opernring,50,graz,1,153,15.4429148032149,47.0683734370546
104.41A,0.147963743553847,0.136441730118142,primary,Joanneumring,50,graz,1,114,15.4401195708998,47.0672421739096
104.42A,0.148090960946512,0.136848290611682,primary,Joanneumring,50,graz,1,115,15.4401444580177,47.0672165419103
104.43A,0.150198518408376,0.13873230074296,primary,Joanneumring,50,graz,1,116,15.4401693196389,47.0671924298775
104.44A,0.149743785677161,0.056374776411065,primary,Joanneumring,50,graz,1,117,15.439254711761,47.0667996307624
105.11A,0.066173736595016,0.046330357381225,primary,Neutorgasse,50,graz,1,111,15.4381514171671,47.0668072071705
105.31A,0.214195269033177,0.191286718694529,primary,Wielandgasse,50,graz,1,110,15.4385509484797,47.0661581561087
105.32A,0.21238208697683,0.191529881468213,primary,Wielandgasse,50,graz,1,109,15.4385773842286,47.0661670129988
106.31,0.076629072060168,0.064714963315797,primary,Roseggerkai,50,graz,1,107,15.4356460458364,47.0656303600394
106.32,0.076222001671879,0.063832153243172,primary,Roseggerkai,50,graz,1,108,15.435614278803,47.0656296586815
106.41A,0.070598911800542,0.061770279808625,primary,Radetzkybrücke,50,graz,1,53,15.4352512205375,47.0663976561717
106.42A,0.070083890315784,0.061988610072746,primary,Radetzkybrücke,50,graz,1,54,15.4352517017072,47.066369100517
106.43A,0.070451437140519,0.062026450978057,primary,Radetzkybrücke,50,graz,1,55,15.4352504414346,47.0663405311623
106.44A,0.071475213748817,0.062511033679306,primary,Radetzkybrücke,50,graz,1,56,15.4352491210132,47.0663155314892
106.51,0.268468716000854,0.057548803607951,primary,Grieskai,50,graz,1,52,15.4343649504526,47.0670696692739
106.81A,0.161392913621416,0.142167030625251,primary,Brückenkopfgasse,50,graz,1,50,15.433829506031,47.0664145896197
106.82A,0.160757318319391,0.142213023540486,residential,Schiffgasse,30,graz,1,51,15.4338280648053,47.0663855546761
