detid_X,detid_Y,DISTANCE
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101733_G185_Rijksweg_O_ID_8644_1,0.0
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101736_G114_Bedumerweg_Z_ID_8655_1,3195.6509999999994
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,2947.633
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101732_G275/6_Europaweg_ZO_ID_8613_2,2947.633
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101737_JCKapteynlaan_N_ID_8722_1,2421.661
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101743_Westersingel_Z_ID_8640_1,3297.976
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101724_G181_Hoendiep_O_ID_8648_1,4183.51
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101743_Westersingel_N_ID_8641_1,3297.976
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101725_G172_Emmaviaduct_Z_ID_8650_2,4893.494999999998
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101725_G172_Emmaviaduct_Z_ID_8650_1,4893.494999999998
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101750_Zuiderpark_W_ID_8662_1,2466.158
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101761_Sontweg_NO_ID_8812_1,1423.91
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101739_Schuitendiep_Z_V1_ID_8638_1,1902.948
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101734_Damsterdiep_W_ID_8652_1,1454.8490000000004
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101734_Damsterdiep_O_ID_8653_1,1454.8490000000004
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101724_G181_Hoendiep_W_ID_8649_1,4183.51
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,3240.8759999999997
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,3240.8759999999997
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,3240.8759999999997
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101751_G460_Griffeweg_W_ID_8646_1,1867.895
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101742_Lopendediep_ZW_ID_8699_2,2866.8860000000004
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101742_Lopendediep_ZW_ID_8699_1,2866.8860000000004
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101750_Zuiderpark_O_ID_8661_2,2466.158
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101750_Zuiderpark_O_ID_8661_1,2466.158
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101727_Hereweg_N_ID_8611_2,3171.344
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101727_Hereweg_N_ID_8611_1,3171.344
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101741_Lopendediep_NO_ID_8724_2,3032.5350000000003
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101741_Lopendediep_NO_ID_8724_1,3032.5350000000003
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101746_Eendrachtskade_W_ID_8725_1,3578.8329999999987
PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101733_G185_Rijksweg_W_ID_8645_1,0.0
