detid_X,detid_Y,DISTANCE
ig11FD116_D20,ig11FD116_D20,0.0
ig11FD116_D20,ig11FD116_D15,0.0
ig11FD116_D20,ig11FD116_D35,0.0
ig11FD116_D20,ig11FD116_D34,0.0
ig11FD116_D20,ig11FD116_D30,126.215
ig11FD116_D20,ig11FD116_D25,0.0
ig11FD116_D20,ig11FD116_D33,90.033
ig11FD116_D20,ig11FD100_D31,1264.008
ig11FD116_D20,ig11FD100_D32,1264.008
ig11FD116_D20,ig11FD100_D33,1194.927
ig11FD116_D20,ig11FD100_D3,1225.706
ig11FD116_D20,ig11FD100_D4,1225.706
ig11FD116_D20,ig11FD100_D34,1194.927
ig11FD116_D20,ig11FD100_D35,1194.927
ig11FD116_D20,ig11FD100_D38,1194.927
ig11FD116_D20,ig11FD100_D37,1194.927
ig11FD116_D20,ig11FD100_D40,1254.131
ig11FD116_D20,ig11FD100_D41,1264.008
ig11FD116_D20,ig11FD100_D42,1550.9740000000002
ig11FD116_D20,ig11FD100_D39,1254.131
ig11FD116_D20,ig11FD100_D43,1384.43
ig11FD116_D20,ig11FD100_D44,1384.43
ig11FD116_D20,ig11FD103_D3,1066.728
ig11FD116_D20,ig11FD103_D2,1020.175
ig11FD116_D20,ig11FD103_D6,1157.506
ig11FD116_D20,ig11FD104_D6,996.362
ig11FD116_D20,ig11FD104_D5,996.362
ig11FD116_D20,ig11FD104_D43,926.433
ig11FD116_D20,ig11FD104_D42,926.433
ig11FD116_D20,ig11FD104_D44,983.171
ig11FD116_D20,ig11FD104_D17,983.171
ig11FD116_D20,ig11FD104_D16,983.171
ig11FD116_D20,ig11FD105_D7,853.1270000000001
ig11FD116_D20,ig11FD105_D5,853.1270000000001
ig11FD116_D20,ig11FD105_D6,853.1270000000001
ig11FD116_D20,ig11FD106_D12,711.1750000000001
ig11FD116_D20,ig11FD106_D10,689.227
ig11FD116_D20,ig11FD106_D11,689.227
ig11FD116_D20,ig11FD106_D58,711.1750000000001
ig11FD116_D20,ig11FD106_D60,711.1750000000001
ig11FD116_D20,ig11FD106_D26,711.1750000000001
ig11FD116_D20,ig11FD106_D25,711.1750000000001
ig11FD116_D20,ig11FD106_D19,689.227
ig11FD116_D20,ig11FD106_D20,689.227
ig11FD116_D20,ig11FD106_D21,1042.466
ig11FD116_D20,ig11FD106_D9,689.227
ig11FD116_D20,ig11FD106_D8,689.227
ig11FD116_D20,ig11FD106_D7,689.227
ig11FD116_D20,ig11FD107_D15,405.514
ig11FD116_D20,ig11FD107_D16,405.514
ig11FD116_D20,ig11FD107_D7,494.017
ig11FD116_D20,ig11FD107_D8,494.017
ig11FD116_D20,ig11FD107_D12,494.017
ig11FD116_D20,ig11FD107_D11,494.017
ig11FD116_D20,ig11FD107_D3,689.4060000000001
ig11FD116_D20,ig11FD107_D4,689.4060000000001
ig11FD116_D20,ig11FD109_D64,996.849
ig11FD116_D20,ig11FD109_D63,996.849
ig11FD116_D20,ig11FD109_D28,921.076
ig11FD116_D20,ig11FD109_D5,838.104
ig11FD116_D20,ig11FD109_D6,838.104
ig11FD116_D20,ig11FD109_D18,993.599
ig11FD116_D20,ig11FD109_D16,993.599
ig11FD116_D20,ig11FD120_D21,1518.611
ig11FD116_D20,ig11FD120_D22,1518.611
ig11FD116_D20,ig11FD120_D23,1518.611
ig11FD116_D20,ig11FD120_D25,1518.611
ig11FD116_D20,ig11FD120_D3,1622.834
ig11FD116_D20,ig11FD115_D17,277.522
ig11FD116_D20,ig11FD115_D19,277.522
ig11FD116_D20,ig11FD115_D38,3953.082
ig11FD116_D20,ig11FD115_D13,90.033
ig11FD116_D20,ig11FD115_D43,3953.082
ig11FD116_D20,ig11FD115_D44,3953.082
ig11FD116_D20,ig11FD115_D37,3953.082
ig11FD116_D20,ig11FD117_D18,3953.082
ig11FD116_D20,ig11FD117_D15,3953.082
ig11FD116_D20,ig11FD117_D6,126.215
ig11FD116_D20,ig11FD117_D3,126.215
ig11FD116_D20,ig11FD117_D9,197.229
ig11FD116_D20,ig11FD117_D12,197.229
ig11FD116_D20,ig11FD117_D20,197.229
ig11FD116_D20,ig11FD117_D21,197.229
ig11FD116_D20,ig11FD117_D22,197.229
ig11FD116_D20,ig11FD201_D17,1264.008
ig11FD116_D20,ig11FD201_D18,1264.008
ig11FD116_D20,ig11FD201_D20,1591.8820000000003
ig11FD116_D20,ig11FD201_D19,1591.8820000000003
ig11FD116_D20,ig11FD202_D20,1591.8820000000003
ig11FD116_D20,ig11FD202_D21,1591.8820000000003
ig11FD116_D20,ig11FD202_D4,1591.8820000000003
ig11FD116_D20,ig11FD202_D2,1591.8820000000003
ig11FD116_D20,ig11FD202_D33,1657.3530000000003
ig11FD116_D20,ig11FD202_D34,1657.3530000000003
ig11FD116_D20,ig11FD202_D35,1657.3530000000003
ig11FD116_D20,ig11FD202_D19,1449.033
