detid_Y,ig11FD100_D3,ig11FD100_D31,ig11FD100_D32,ig11FD100_D33,ig11FD100_D34,ig11FD100_D35,ig11FD100_D36,ig11FD100_D37,ig11FD100_D38,ig11FD100_D39,ig11FD100_D4,ig11FD100_D40,ig11FD100_D41,ig11FD100_D42,ig11FD100_D43,ig11FD100_D44,ig11FD103_D2,ig11FD103_D3,ig11FD103_D6,ig11FD104_D15,ig11FD104_D16,ig11FD104_D17,ig11FD104_D42,ig11FD104_D43,ig11FD104_D44,ig11FD104_D5,ig11FD104_D6,ig11FD105_D5,ig11FD105_D6,ig11FD105_D7,ig11FD106_D10,ig11FD106_D11,ig11FD106_D12,ig11FD106_D19,ig11FD106_D20,ig11FD106_D21,ig11FD106_D25,ig11FD106_D26,ig11FD106_D58,ig11FD106_D60,ig11FD106_D7,ig11FD106_D8,ig11FD106_D9,ig11FD107_D11,ig11FD107_D12,ig11FD107_D15,ig11FD107_D16,ig11FD107_D3,ig11FD107_D4,ig11FD107_D7,ig11FD107_D8,ig11FD109_D16,ig11FD109_D18,ig11FD109_D28,ig11FD109_D5,ig11FD109_D6,ig11FD109_D63,ig11FD109_D64,ig11FD110_D11,ig11FD110_D13,ig11FD110_D21,ig11FD110_D22,ig11FD110_D27,ig11FD110_D28,ig11FD110_D29,ig11FD110_D3,ig11FD110_D30,ig11FD110_D33,ig11FD110_D4,ig11FD111_D21,ig11FD111_D22,ig11FD111_D26,ig11FD111_D35,ig11FD111_D36,ig11FD111_D7,ig11FD111_D8,ig11FD115_D13,ig11FD115_D17,ig11FD115_D19,ig11FD115_D37,ig11FD115_D38,ig11FD115_D43,ig11FD115_D44,ig11FD115_D5,ig11FD115_D6,ig11FD116_D15,ig11FD116_D20,ig11FD116_D25,ig11FD116_D30,ig11FD116_D33,ig11FD116_D34,ig11FD116_D35,ig11FD117_D12,ig11FD117_D15,ig11FD117_D18,ig11FD117_D20,ig11FD117_D21,ig11FD117_D22,ig11FD117_D3,ig11FD117_D6,ig11FD117_D9,ig11FD120_D21,ig11FD120_D22,ig11FD120_D23,ig11FD120_D25,ig11FD120_D3,ig11FD121_D3,ig11FD121_D6,ig11FD125_D4,ig11FD201_D17,ig11FD201_D18,ig11FD201_D19,ig11FD201_D20,ig11FD202_D17,ig11FD202_D18,ig11FD202_D19,ig11FD202_D2,ig11FD202_D20,ig11FD202_D21,ig11FD202_D33,ig11FD202_D34,ig11FD202_D35,ig11FD202_D4,ig11FD203_D11,ig11FD203_D17,ig11FD203_D22,ig11FD203_D23,ig11FD203_D24,ig11FD203_D27,ig11FD203_D29,ig11FD203_D30,ig11FD203_D5,ig11FD203_D6,ig11FD205_D2,ig11FD205_D81,ig11FD205_D84,ig11FD205_D85,ig11FD205_D86,ig11FD205_D87,ig11FD205_D88,ig11FD205_D89,ig11FD205_D90,ig11FD205_D91,ig11FD205_D92,ig11FD207_D5,ig11FD207_D6,ig11FD208_D1,ig11FD208_D2,ig11FD208_D3,ig11FD208_D4,ig11FD211_D11,ig11FD211_D14,ig11FD211_D15,ig11FD211_D2,ig11FD211_D9,ig11FD218_D1,ig11FD218_D3,ig11FD218_D6
ig11FD100_D3,0.00,1318.17,1318.17,69.21,69.21,69.21,31.17,69.21,69.21,180.28,0.00,180.28,1318.17,201.68,405.81,405.81,243.97,197.41,106.63,299.27,242.54,242.54,299.27,299.27,242.54,241.42,241.42,372.58,372.58,372.58,751.88,751.88,514.53,751.88,751.88,536.08,514.53,514.53,514.53,514.53,751.88,751.88,751.88,731.69,731.69,820.19,820.19,640.95,640.95,731.69,731.69,736.25,736.25,663.72,580.75,580.75,675.01,675.01,1068.17,1068.17,915.53,915.53,903.42,990.49,990.49,1123.17,1068.17,997.45,1123.17,1388.01,1388.01,1492.07,1492.07,1492.07,1276.51,1276.51,1135.67,948.18,948.18,1136.17,1136.17,1136.17,1136.17,1136.17,1136.17,1225.71,1225.71,1225.71,1345.84,1135.67,1225.71,1225.71,1422.94,1136.17,1136.17,1422.94,1422.94,1422.94,1345.84,1345.84,1422.94,677.41,677.41,677.41,677.41,788.80,1046.14,1046.14,1876.45,1318.17,1318.17,650.66,650.66,793.51,793.51,793.51,650.66,650.66,650.66,791.00,791.00,791.00,650.66,926.37,793.51,847.42,847.42,847.42,793.51,949.88,926.37,952.94,952.94,1356.24,1356.24,1429.39,1429.39,1525.14,1578.38,1578.38,1501.07,1640.60,1640.60,1578.38,2308.08,2308.08,1846.92,1846.92,1899.77,1899.77,1885.25,1885.25,1732.68,1732.68,1885.25,1422.94,1422.94,1422.94
ig11FD100_D31,188.43,0.00,0.00,123.97,123.97,123.97,157.25,123.97,123.97,9.88,188.43,9.88,0.00,44.05,248.19,248.19,298.73,252.17,161.39,392.47,430.96,430.96,392.47,392.47,430.96,322.54,322.54,465.77,465.77,465.77,685.53,685.53,607.73,685.53,685.53,724.51,607.73,607.73,607.73,607.73,685.53,685.53,685.53,824.88,824.88,913.39,913.39,574.60,574.60,824.88,824.88,890.15,890.15,817.63,734.65,734.65,863.44,863.44,1222.08,1222.08,1069.44,1069.44,1091.85,1144.39,1144.39,1277.07,1222.08,1151.35,1277.07,1541.91,1541.91,1645.97,1645.97,1645.97,1430.41,1430.41,1173.97,986.49,986.49,1174.47,1174.47,1174.47,1174.47,1174.47,1174.47,1264.01,1264.01,1264.01,1384.14,1173.97,1264.01,1264.01,1461.24,1174.47,1174.47,1461.24,1461.24,1461.24,1384.14,1384.14,1461.24,865.83,865.83,865.83,865.83,977.22,1234.57,1234.57,2064.88,0.00,0.00,480.26,480.26,623.11,623.11,623.11,480.26,480.26,480.26,620.60,620.60,620.60,480.26,755.97,623.11,677.02,677.02,677.02,623.11,779.48,755.97,782.54,782.54,1185.84,1185.84,1258.99,1258.99,1354.74,1407.98,1407.98,1330.67,1470.20,1470.20,1407.98,2137.68,2137.68,1676.52,1676.52,1729.37,1729.37,1714.85,1714.85,1562.28,1562.28,1714.85,1461.24,1461.24,1461.24
ig11FD100_D32,188.43,0.00,0.00,123.97,123.97,123.97,157.25,123.97,123.97,9.88,188.43,9.88,0.00,44.05,248.19,248.19,298.73,252.17,161.39,392.47,430.96,430.96,392.47,392.47,430.96,322.54,322.54,465.77,465.77,465.77,685.53,685.53,607.73,685.53,685.53,724.51,607.73,607.73,607.73,607.73,685.53,685.53,685.53,824.88,824.88,913.39,913.39,574.60,574.60,824.88,824.88,890.15,890.15,817.63,734.65,734.65,863.44,863.44,1222.08,1222.08,1069.44,1069.44,1091.85,1144.39,1144.39,1277.07,1222.08,1151.35,1277.07,1541.91,1541.91,1645.97,1645.97,1645.97,1430.41,1430.41,1173.97,986.49,986.49,1174.47,1174.47,1174.47,1174.47,1174.47,1174.47,1264.01,1264.01,1264.01,1384.14,1173.97,1264.01,1264.01,1461.24,1174.47,1174.47,1461.24,1461.24,1461.24,1384.14,1384.14,1461.24,865.83,865.83,865.83,865.83,977.22,1234.57,1234.57,2064.88,0.00,0.00,480.26,480.26,623.11,623.11,623.11,480.26,480.26,480.26,620.60,620.60,620.60,480.26,755.97,623.11,677.02,677.02,677.02,623.11,779.48,755.97,782.54,782.54,1185.84,1185.84,1258.99,1258.99,1354.74,1407.98,1407.98,1330.67,1470.20,1470.20,1407.98,2137.68,2137.68,1676.52,1676.52,1729.37,1729.37,1714.85,1714.85,1562.28,1562.28,1714.85,1461.24,1461.24,1461.24
ig11FD100_D33,266.26,1248.96,1248.96,0.00,0.00,0.00,235.08,0.00,0.00,111.07,266.26,111.07,1248.96,132.46,336.60,336.60,174.75,128.20,37.42,268.49,325.23,325.23,268.49,268.49,325.23,198.56,198.56,341.80,341.80,341.80,721.10,721.10,483.75,721.10,721.10,618.78,483.75,483.75,483.75,483.75,721.10,721.10,721.10,700.91,700.91,789.41,789.41,610.17,610.17,700.91,700.91,766.18,766.18,693.65,610.68,610.68,757.71,757.71,1098.10,1098.10,945.46,945.46,998.38,1020.42,1020.42,1153.10,1098.10,1027.38,1153.10,1417.94,1417.94,1522.00,1522.00,1522.00,1306.44,1306.44,1104.89,917.40,917.40,1105.39,1105.39,1105.39,1105.39,1105.39,1105.39,1194.93,1194.93,1194.93,1315.06,1104.89,1194.93,1194.93,1392.16,1105.39,1105.39,1392.16,1392.16,1392.16,1315.06,1315.06,1392.16,907.31,907.31,907.31,907.31,1018.70,1276.05,1276.05,2106.36,1248.96,1248.96,581.45,581.45,724.30,724.30,724.30,581.45,581.45,581.45,721.79,721.79,721.79,581.45,857.16,724.30,778.21,778.21,778.21,724.30,880.67,857.16,883.73,883.73,1287.03,1287.03,1360.17,1360.17,1455.93,1509.17,1509.17,1431.86,1571.38,1571.38,1509.17,2238.86,2238.86,1777.71,1777.71,1830.56,1830.56,1816.04,1816.04,1663.47,1663.47,1816.04,1392.16,1392.16,1392.16
ig11FD100_D34,266.26,1248.96,1248.96,0.00,0.00,0.00,235.08,0.00,0.00,111.07,266.26,111.07,1248.96,132.46,336.60,336.60,174.75,128.20,37.42,268.49,325.23,325.23,268.49,268.49,325.23,198.56,198.56,341.80,341.80,341.80,721.10,721.10,483.75,721.10,721.10,618.78,483.75,483.75,483.75,483.75,721.10,721.10,721.10,700.91,700.91,789.41,789.41,610.17,610.17,700.91,700.91,766.18,766.18,693.65,610.68,610.68,757.71,757.71,1098.10,1098.10,945.46,945.46,998.38,1020.42,1020.42,1153.10,1098.10,1027.38,1153.10,1417.94,1417.94,1522.00,1522.00,1522.00,1306.44,1306.44,1104.89,917.40,917.40,1105.39,1105.39,1105.39,1105.39,1105.39,1105.39,1194.93,1194.93,1194.93,1315.06,1104.89,1194.93,1194.93,1392.16,1105.39,1105.39,1392.16,1392.16,1392.16,1315.06,1315.06,1392.16,907.31,907.31,907.31,907.31,1018.70,1276.05,1276.05,2106.36,1248.96,1248.96,581.45,581.45,724.30,724.30,724.30,581.45,581.45,581.45,721.79,721.79,721.79,581.45,857.16,724.30,778.21,778.21,778.21,724.30,880.67,857.16,883.73,883.73,1287.03,1287.03,1360.17,1360.17,1455.93,1509.17,1509.17,1431.86,1571.38,1571.38,1509.17,2238.86,2238.86,1777.71,1777.71,1830.56,1830.56,1816.04,1816.04,1663.47,1663.47,1816.04,1392.16,1392.16,1392.16
ig11FD100_D35,266.26,1248.96,1248.96,0.00,0.00,0.00,235.08,0.00,0.00,111.07,266.26,111.07,1248.96,132.46,336.60,336.60,174.75,128.20,37.42,268.49,325.23,325.23,268.49,268.49,325.23,198.56,198.56,341.80,341.80,341.80,721.10,721.10,483.75,721.10,721.10,618.78,483.75,483.75,483.75,483.75,721.10,721.10,721.10,700.91,700.91,789.41,789.41,610.17,610.17,700.91,700.91,766.18,766.18,693.65,610.68,610.68,757.71,757.71,1098.10,1098.10,945.46,945.46,998.38,1020.42,1020.42,1153.10,1098.10,1027.38,1153.10,1417.94,1417.94,1522.00,1522.00,1522.00,1306.44,1306.44,1104.89,917.40,917.40,1105.39,1105.39,1105.39,1105.39,1105.39,1105.39,1194.93,1194.93,1194.93,1315.06,1104.89,1194.93,1194.93,1392.16,1105.39,1105.39,1392.16,1392.16,1392.16,1315.06,1315.06,1392.16,907.31,907.31,907.31,907.31,1018.70,1276.05,1276.05,2106.36,1248.96,1248.96,581.45,581.45,724.30,724.30,724.30,581.45,581.45,581.45,721.79,721.79,721.79,581.45,857.16,724.30,778.21,778.21,778.21,724.30,880.67,857.16,883.73,883.73,1287.03,1287.03,1360.17,1360.17,1455.93,1509.17,1509.17,1431.86,1571.38,1571.38,1509.17,2238.86,2238.86,1777.71,1777.71,1830.56,1830.56,1816.04,1816.04,1663.47,1663.47,1816.04,1392.16,1392.16,1392.16
ig11FD100_D36,31.17,1287.00,1287.00,38.04,38.04,38.04,0.00,38.04,38.04,149.10,31.17,149.10,1287.00,170.50,374.64,374.64,212.79,166.24,75.46,306.53,273.71,273.71,306.53,306.53,273.71,236.60,236.60,379.84,379.84,379.84,759.14,759.14,521.79,759.14,759.14,567.25,521.79,521.79,521.79,521.79,759.14,759.14,759.14,738.95,738.95,827.45,827.45,648.21,648.21,738.95,738.95,767.42,767.42,694.90,611.93,611.93,706.18,706.18,1099.35,1099.35,946.71,946.71,934.60,1021.67,1021.67,1154.34,1099.35,1028.62,1154.34,1419.18,1419.18,1523.25,1523.25,1523.25,1307.69,1307.69,1142.93,955.44,955.44,1143.43,1143.43,1143.43,1143.43,1143.43,1143.43,1232.97,1232.97,1232.97,1353.10,1142.93,1232.97,1232.97,1430.20,1143.43,1143.43,1430.20,1430.20,1430.20,1353.10,1353.10,1430.20,708.58,708.58,708.58,708.58,819.97,1077.32,1077.32,1907.63,1287.00,1287.00,619.49,619.49,762.34,762.34,762.34,619.49,619.49,619.49,759.83,759.83,759.83,619.49,895.20,762.34,816.25,816.25,816.25,762.34,918.71,895.20,921.77,921.77,1325.07,1325.07,1398.21,1398.21,1493.97,1547.20,1547.20,1469.90,1609.42,1609.42,1547.20,2276.90,2276.90,1815.75,1815.75,1868.60,1868.60,1854.08,1854.08,1701.51,1701.51,1854.08,1430.20,1430.20,1430.20
ig11FD100_D37,266.26,1248.96,1248.96,0.00,0.00,0.00,235.08,0.00,0.00,111.07,266.26,111.07,1248.96,132.46,336.60,336.60,174.75,128.20,37.42,268.49,325.23,325.23,268.49,268.49,325.23,198.56,198.56,341.80,341.80,341.80,721.10,721.10,483.75,721.10,721.10,618.78,483.75,483.75,483.75,483.75,721.10,721.10,721.10,700.91,700.91,789.41,789.41,610.17,610.17,700.91,700.91,766.18,766.18,693.65,610.68,610.68,757.71,757.71,1098.10,1098.10,945.46,945.46,998.38,1020.42,1020.42,1153.10,1098.10,1027.38,1153.10,1417.94,1417.94,1522.00,1522.00,1522.00,1306.44,1306.44,1104.89,917.40,917.40,1105.39,1105.39,1105.39,1105.39,1105.39,1105.39,1194.93,1194.93,1194.93,1315.06,1104.89,1194.93,1194.93,1392.16,1105.39,1105.39,1392.16,1392.16,1392.16,1315.06,1315.06,1392.16,907.31,907.31,907.31,907.31,1018.70,1276.05,1276.05,2106.36,1248.96,1248.96,581.45,581.45,724.30,724.30,724.30,581.45,581.45,581.45,721.79,721.79,721.79,581.45,857.16,724.30,778.21,778.21,778.21,724.30,880.67,857.16,883.73,883.73,1287.03,1287.03,1360.17,1360.17,1455.93,1509.17,1509.17,1431.86,1571.38,1571.38,1509.17,2238.86,2238.86,1777.71,1777.71,1830.56,1830.56,1816.04,1816.04,1663.47,1663.47,1816.04,1392.16,1392.16,1392.16
ig11FD100_D38,266.26,1248.96,1248.96,0.00,0.00,0.00,235.08,0.00,0.00,111.07,266.26,111.07,1248.96,132.46,336.60,336.60,174.75,128.20,37.42,268.49,325.23,325.23,268.49,268.49,325.23,198.56,198.56,341.80,341.80,341.80,721.10,721.10,483.75,721.10,721.10,618.78,483.75,483.75,483.75,483.75,721.10,721.10,721.10,700.91,700.91,789.41,789.41,610.17,610.17,700.91,700.91,766.18,766.18,693.65,610.68,610.68,757.71,757.71,1098.10,1098.10,945.46,945.46,998.38,1020.42,1020.42,1153.10,1098.10,1027.38,1153.10,1417.94,1417.94,1522.00,1522.00,1522.00,1306.44,1306.44,1104.89,917.40,917.40,1105.39,1105.39,1105.39,1105.39,1105.39,1105.39,1194.93,1194.93,1194.93,1315.06,1104.89,1194.93,1194.93,1392.16,1105.39,1105.39,1392.16,1392.16,1392.16,1315.06,1315.06,1392.16,907.31,907.31,907.31,907.31,1018.70,1276.05,1276.05,2106.36,1248.96,1248.96,581.45,581.45,724.30,724.30,724.30,581.45,581.45,581.45,721.79,721.79,721.79,581.45,857.16,724.30,778.21,778.21,778.21,724.30,880.67,857.16,883.73,883.73,1287.03,1287.03,1360.17,1360.17,1455.93,1509.17,1509.17,1431.86,1571.38,1571.38,1509.17,2238.86,2238.86,1777.71,1777.71,1830.56,1830.56,1816.04,1816.04,1663.47,1663.47,1816.04,1392.16,1392.16,1392.16
ig11FD100_D39,458.22,1137.90,1137.90,527.44,527.44,527.44,489.40,527.44,527.44,0.00,458.22,0.00,1137.90,533.31,737.44,737.44,326.15,279.59,370.37,419.89,476.62,476.62,419.89,419.89,476.62,349.96,349.96,493.19,493.19,493.19,675.65,675.65,635.14,675.65,675.65,770.17,635.14,635.14,635.14,635.14,675.65,675.65,675.65,852.30,852.30,940.81,940.81,564.73,564.73,852.30,852.30,917.57,917.57,845.05,762.07,762.07,909.10,909.10,1249.50,1249.50,1096.86,1096.86,1149.78,1171.82,1171.82,1304.49,1249.50,1178.77,1304.49,1569.33,1569.33,1673.39,1673.39,1673.39,1457.83,1457.83,1164.10,976.61,976.61,1164.60,1164.60,1164.60,1164.60,1164.60,1164.60,1254.13,1254.13,1254.13,1374.26,1164.10,1254.13,1254.13,1451.36,1164.60,1164.60,1451.36,1451.36,1451.36,1374.26,1374.26,1451.36,1058.71,1058.71,1058.71,1058.71,1170.10,1427.45,1427.45,2257.76,1137.90,1137.90,470.38,470.38,613.23,613.23,613.23,470.38,470.38,470.38,610.72,610.72,610.72,470.38,746.09,613.23,667.14,667.14,667.14,613.23,769.61,746.09,772.66,772.66,1175.97,1175.97,1249.11,1249.11,1344.87,1398.10,1398.10,1320.79,1460.32,1460.32,1398.10,2127.80,2127.80,1666.65,1666.65,1719.49,1719.49,1704.97,1704.97,1552.41,1552.41,1704.97,1451.36,1451.36,1451.36
