detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
N06111V,0.119160559304909,0.116663677619862,trunk,Great Ancoats Street,48,manchester,2,72,-2.230164,53.483429
N06112W,0.08407195716554,0.076376988510624,trunk,Great Ancoats Street,48,manchester,3,76,-2.228188,53.482206
N06141A,0.417602089182722,0.414577202350969,trunk,Oldham Road,48,manchester,2,48,-2.22416,53.488127
N06141C,0.114765351786185,0.112883471388073,trunk,Oldham Road,48,manchester,2,44,-2.231587,53.485518
N06141Y,0.256407028754985,0.249730336115997,other,Thompson Street,0,manchester,1,42,-2.232718,53.48773
N06151D,0.112808518921962,0.105378685327125,trunk,Oldham Road,48,manchester,2,45,-2.23008,53.485939
N06151F,0.047092123850264,0.044077022727085,trunk,Oldham Road,48,manchester,1,64,-2.23262,53.485079
N06151G,0.232888005703937,0.196547960053218,trunk,Addington Street,48,manchester,2,49,-2.234344,53.48662
N06161R,0.087525066679835,0.056475606186236,trunk,Great Ancoats Street,48,manchester,1,178,-2.23139,53.484038
N06181K,0.067805369282081,0.063581485360547,trunk,Great Ancoats Street,48,manchester,4,69,-2.231922,53.484212
N06181H,0.047835759608856,0.040924555209558,trunk,Oldham Road,48,manchester,3,65,-2.232019,53.485202
N06191Z,0.102995008416013,0.07395196274938,trunk,Great Ancoats Street,48,manchester,3,68,-2.232577,53.484704
N06191N,0.100516053359196,0.095783902358637,trunk,Great Ancoats Street,48,manchester,2,71,-2.230785,53.483623
N06191P,0.187611933941991,0.078561504681544,primary,Lever Street,32,manchester,2,103,-2.232555,53.483454
N06211C,0.061757016321064,0.008692264938232,trunk,Mancunian Way,64,manchester,2,92,-2.218053,53.476153
N06211G,0.557249442894535,0.095896331540329,secondary,Fairfield Street,48,manchester,1,100,-2.221223,53.475605
N06211F,3.24070826435732,0.160905805520228,trunk,Mancunian Way,48,manchester,3,101,-2.220995,53.474097
N06211E,0.178613087572032,0.130943165481983,trunk,Fairfield Street,48,manchester,2,95,-2.217109,53.475249
N06221P,0.187989520010531,0.132601843915254,trunk,Ashton Old Road,48,manchester,2,93,-2.216407,53.475328
N06221Q,0.342052105962217,0.148507782052982,trunk,Ashton Old Road,48,manchester,2,98,-2.211817,53.47503
N06221R,0.280130420558563,0.056991168968465,other,,0,manchester,1,177,-2.21428,53.474575
