detid_Y,00002PMA0001,00003PMA0001,00005PMA0001,00005PMA0002,00006PMA0001,00006PMA0054,00007PMA0001,00007PMA0004,00007PMA0032,00008PMA0002,00010PMA0003,00010PMA0004,00010PMA0021,00012PMA0001,00014PMA0002,00015PMA0043,00016PMA0765,00017PMA0021,00017PMA0043,00021PMA0001,00021PMA0002,00027PMA0001,00028PMA0004,00031PMA0001,00031PMA0002,00032PMA0001,00032PMA0002,00032PMA0003,00034PMA0001,00034PMA0002,00036PMA0043,00041PMA0001,00043PMA0001,00043PMA0002,00044PMA0032,00048PMA0001,00048PMA0002,00054PMA0001,00055PMA0003,00055PMA0004,00056PMA0003,00056PMA0004,00061PMA0001,00062PMA0001,00062PMA0002,00064PMA0001,00064PMA0002,00067PMA0031,00077PMA0001,00086PMA0001,00088PMA0001,00089PMA0001,00089PMA0002,00089PMA0043,00089PMA0065,00090PMA0001,00091PMA0043,00091PMA0065,00092PMA0021,00092PMA0043,00092PMA0065,00096PMA0001,00097PMA0001,00097PMA0002,00104PMA0021,00112PMA0001,00116PMA0001,00118PMA0003,00120PMA0001,00120PMA0003,00120PMA0004,00122PMA0001,00130PMA0001,00142PMA0001,00143PMA0001,00163PMA0001,00168PMA0021,00177PMA0021,00192PMA0001,00192PMA0063,00208PMA0003,00226PMA0002,00226PMA0003,00235PMA0001,00235PMA0002,00238PMA0001,00280PMA0001,00293PMA0001,00323PMA0021,00331PMA0001,00332PMA0001,00359PMA0001,00359PMA0002,00367PMA0002,00374PMA0021,00394PMA0001,00420PMA0021,00421PMA0001,00428PMA0001,00428PMA0002,00432PMA0001,00445PMA0001,00450PMA0001,00450PMA0003,00455PMA0021,00455PMA0043,00483PMA0001,00483PMA0003,00483PMA0031,00484PMA0001,00490PMA0001,00490PMA0002,00501PMA0001,00554PMA0001,00554PMA0002,00591PMA0001,00628PMA0001,00658PMA0001,00701PMA0001,00701PMA0002,00701PMA0003,00717PMA0001,00749PMA0021,00764PMA0003,00771PMA0001,00771PMA0002,00798PMA0021,00798PMA0043,00806PMA0001,00810PMA0001,00810PMA0002,00858PMA0001,00984PMA0001,00984PMA0002,00987PMA0001,00987PMA0002,00990PMA0001,00990PMA0002,00991PMA0001,00993PMA0001,00995PMA0001,00996PMA0003,01005PMA0001,01006PMA0001,01006PMA0002,01006PMA0003,01016PMA0001,01017PMA0001,01017PMA0002,01017PMA0003,01018PMA0001,01018PMA0002,01018PMA0003,01026PMA0001,01029PMA0003,01029PMA0021,01041PMA0001,01041PMA0002,01070PMA0003,01071PMA0002,01071PMA0005,01088PMA0001,01088PMA0002,01093PMA0001,01108PMA0001,01108PMA0002,01109PMA0001,01109PMA0002,01109PMA0003
00002PMA0001,0.00,1435.29,1686.99,1686.99,1436.15,1485.83,1968.80,1937.53,1909.00,783.66,2913.22,2855.21,3578.10,730.92,688.43,3723.37,3716.07,4807.81,4807.81,2909.98,2828.05,1533.49,1691.97,2834.11,2718.06,926.15,894.20,884.55,3195.31,3128.18,2601.01,3451.32,4836.79,4836.79,3619.51,1914.68,1628.82,1374.63,2851.29,2851.29,2717.37,2861.93,1186.48,1120.29,1141.88,2240.47,2240.47,3025.76,2847.92,2469.23,2881.26,2919.65,2900.19,2910.63,2931.24,3124.81,3313.69,3237.30,3281.99,3182.24,3190.55,2919.40,907.50,898.55,2624.54,4367.45,1795.87,2096.47,1754.01,1655.72,1592.76,1818.38,6840.02,3363.07,744.64,3621.36,1954.53,3990.26,2965.54,3019.16,2826.56,1593.67,1744.49,3030.54,3030.54,1514.83,3678.40,812.13,3265.89,3134.79,2823.80,4282.54,4089.59,4573.82,3508.80,3951.66,4292.77,5831.57,925.31,1121.26,2393.01,3621.36,1420.99,1395.60,4447.14,4369.32,1495.05,1526.94,3520.56,3363.07,3502.79,3291.45,1746.52,6723.41,6723.41,3092.19,2199.36,3734.91,1046.76,1085.51,1046.76,6879.91,1881.88,2059.72,2764.79,2764.79,2052.04,2382.71,2899.83,4980.72,4980.72,5250.18,4043.68,4043.68,3063.32,2981.36,5533.82,5433.41,1978.67,3441.32,4033.21,4252.98,6298.73,2709.63,2706.49,2709.63,3163.99,3542.00,3344.34,3344.34,3361.75,3396.86,3396.86,688.43,1199.08,1199.08,3200.56,3168.59,5426.15,5569.58,5547.80,2365.51,2355.59,3023.46,2701.89,2674.14,2417.96,2417.96,2417.96
00003PMA0001,1554.61,0.00,1245.99,1245.99,1156.09,1100.31,1395.96,1364.69,1336.16,1305.85,2340.39,2282.37,3005.26,1832.15,1566.88,2914.63,2907.33,4234.97,4234.97,4011.21,3929.28,558.61,996.66,3935.34,3819.29,818.84,786.89,777.24,2220.43,2153.30,2387.26,2476.45,5938.02,5938.02,4720.74,1105.94,820.08,565.89,3952.52,3952.52,3818.60,3963.16,2153.30,2111.15,2132.74,3341.70,3341.70,3992.58,3294.38,3153.14,2905.07,2705.90,2686.44,2696.89,2717.50,2812.08,2740.85,2750.90,2709.15,2609.40,2617.71,2125.45,1739.42,1837.35,3377.78,5468.68,1768.16,1287.73,779.13,680.84,617.88,843.50,7941.25,2388.19,1590.23,4588.18,1145.79,3417.42,1990.66,2044.28,2253.72,2143.51,2171.46,3580.38,3580.38,1073.83,3889.42,1913.36,4367.12,2258.03,3577.05,5377.06,5184.11,5451.17,3532.61,5052.89,3317.89,5855.38,1475.15,1671.10,2324.05,4588.18,2387.81,2362.42,3671.46,3796.49,1467.34,1499.24,2711.82,2388.19,2929.96,3077.70,2296.36,5929.45,5929.45,4193.43,1390.62,4836.14,1019.06,1057.80,1019.06,7146.08,1452.47,1265.77,3866.03,3866.03,1243.30,1573.97,3653.07,6081.95,6081.95,4677.35,5144.92,5144.92,2849.57,2767.61,5557.63,5457.22,2361.37,3227.57,4244.23,4276.79,6322.54,2495.88,2492.74,2495.88,2591.15,3328.26,2771.50,2771.50,3144.12,3109.01,3109.01,1566.88,1171.38,1171.38,2391.82,2319.54,4853.31,4996.74,4974.96,1556.77,1546.84,2214.72,1893.15,1865.40,1609.22,1609.22,1609.22
00005PMA0001,1326.77,1233.96,0.00,0.00,476.69,526.36,1080.48,1049.21,1020.68,1349.89,2024.91,1966.90,2689.78,1513.50,1080.55,4113.00,4105.70,3919.49,3919.49,3508.14,3426.21,1310.70,732.51,3432.27,3316.22,1427.82,1395.88,1386.22,2887.51,2820.38,2071.78,3143.53,5633.82,5633.82,4496.82,2041.99,2054.04,1799.85,3700.39,3700.39,3594.68,3739.24,1461.52,1537.79,1516.20,2838.63,2838.63,3294.86,3462.51,2529.39,2589.59,2390.42,2370.96,2381.41,2402.02,2496.60,2425.37,2435.42,2393.67,2293.92,2302.23,1959.94,1047.64,1145.57,2684.70,4965.61,2377.15,2316.73,1672.76,1574.46,1580.74,1370.73,7717.34,2738.89,1621.96,3818.70,2174.78,3101.94,2657.74,2711.36,1938.24,2208.26,2359.08,3645.13,3645.13,555.36,3573.94,1403.47,4143.20,2175.33,2883.96,4607.58,4414.63,4654.81,3217.14,4828.98,3789.80,5539.90,1539.90,1735.85,2008.57,3818.70,1696.03,1670.64,3505.95,3481.01,2076.32,2108.22,3910.20,2738.89,2614.48,2762.22,2361.11,5763.94,5763.94,3969.51,2419.62,4612.22,1628.04,1666.78,1628.04,6830.60,1036.73,1100.25,3362.95,3362.95,2272.29,2602.97,2959.99,5719.64,5719.64,4361.87,4921.00,4921.00,2534.09,2452.13,5242.15,5141.75,1786.07,2912.09,3928.75,3961.31,6007.06,2180.41,2177.26,2180.41,2275.67,3012.78,2456.02,2456.02,2828.64,2793.53,2793.53,1080.55,1780.36,1780.36,3420.81,2986.62,4537.83,4681.26,4659.49,2585.76,2575.84,3136.69,2922.14,2894.40,2638.21,2638.21,2638.21
00005PMA0002,1326.77,1233.96,0.00,0.00,476.69,526.36,1080.48,1049.21,1020.68,1349.89,2024.91,1966.90,2689.78,1513.50,1080.55,4113.00,4105.70,3919.49,3919.49,3508.14,3426.21,1310.70,732.51,3432.27,3316.22,1427.82,1395.88,1386.22,2887.51,2820.38,2071.78,3143.53,5633.82,5633.82,4496.82,2041.99,2054.04,1799.85,3700.39,3700.39,3594.68,3739.24,1461.52,1537.79,1516.20,2838.63,2838.63,3294.86,3462.51,2529.39,2589.59,2390.42,2370.96,2381.41,2402.02,2496.60,2425.37,2435.42,2393.67,2293.92,2302.23,1959.94,1047.64,1145.57,2684.70,4965.61,2377.15,2316.73,1672.76,1574.46,1580.74,1370.73,7717.34,2738.89,1621.96,3818.70,2174.78,3101.94,2657.74,2711.36,1938.24,2208.26,2359.08,3645.13,3645.13,555.36,3573.94,1403.47,4143.20,2175.33,2883.96,4607.58,4414.63,4654.81,3217.14,4828.98,3789.80,5539.90,1539.90,1735.85,2008.57,3818.70,1696.03,1670.64,3505.95,3481.01,2076.32,2108.22,3910.20,2738.89,2614.48,2762.22,2361.11,5763.94,5763.94,3969.51,2419.62,4612.22,1628.04,1666.78,1628.04,6830.60,1036.73,1100.25,3362.95,3362.95,2272.29,2602.97,2959.99,5719.64,5719.64,4361.87,4921.00,4921.00,2534.09,2452.13,5242.15,5141.75,1786.07,2912.09,3928.75,3961.31,6007.06,2180.41,2177.26,2180.41,2275.67,3012.78,2456.02,2456.02,2828.64,2793.53,2793.53,1080.55,1780.36,1780.36,3420.81,2986.62,4537.83,4681.26,4659.49,2585.76,2575.84,3136.69,2922.14,2894.40,2638.21,2638.21,2638.21
00006PMA0001,1258.77,757.27,250.84,250.84,0.00,49.67,603.80,572.52,543.99,1600.72,1548.22,1490.21,2213.09,1445.49,1012.54,3636.31,3629.01,3442.80,3442.80,3440.13,3358.20,834.01,255.82,3364.26,3248.21,1576.11,1544.16,1534.51,2410.82,2343.69,1595.10,2666.84,5565.81,5565.81,4470.23,1565.30,1577.35,1323.16,3632.39,3632.39,3568.09,3712.65,1393.52,1469.78,1448.19,2770.62,2770.62,3226.85,3713.34,2360.97,2112.90,1913.73,1894.27,1904.72,1925.33,2019.91,1948.68,1958.73,1916.98,1817.23,1825.54,1483.25,979.63,1077.56,2585.61,4897.60,2525.44,1840.04,1196.07,1097.77,1104.06,894.04,7690.74,2262.20,1872.80,3750.69,1698.09,2625.25,2181.05,2234.67,1461.55,2459.10,2609.92,3895.97,3895.97,78.67,3097.25,1335.46,4116.61,1698.64,2784.88,4539.58,4346.62,4586.80,2740.45,4802.39,3313.11,5063.21,1790.74,1986.68,1531.88,3750.69,1628.02,1602.63,3029.26,3004.32,2224.61,2256.51,3433.51,2262.20,2137.79,2285.54,2611.95,5287.25,5287.25,3942.92,1942.93,4585.63,1776.33,1815.07,1776.33,6353.91,660.30,623.57,3294.95,3294.95,1795.61,2126.28,2860.90,5651.63,5651.63,3885.18,4894.41,4894.41,2057.40,1975.44,4765.46,4665.06,1569.20,2435.40,3452.06,3484.62,5530.37,1703.72,1700.58,1703.72,1798.98,2536.09,1979.33,1979.33,2351.95,2316.84,2316.84,1012.54,1928.65,1928.65,2944.12,2509.93,4061.14,4204.57,4182.80,2109.07,2099.15,2660.00,2445.45,2417.71,2161.52,2161.52,2161.52
00006PMA0054,1209.09,707.60,306.62,306.62,55.78,0.00,554.12,522.85,494.32,1565.51,1498.55,1440.54,2163.42,1395.82,962.87,3586.64,3579.34,3393.13,3393.13,3390.46,3308.53,784.34,206.15,3314.59,3198.54,1526.43,1494.49,1484.84,2361.15,2294.02,1545.42,2617.16,5516.14,5516.14,4420.56,1515.63,1527.68,1273.49,3582.71,3582.71,3518.42,3662.98,1343.84,1420.11,1398.52,2720.95,2720.95,3177.18,3678.13,2311.30,2063.23,1864.06,1844.60,1855.05,1875.66,1970.24,1899.01,1909.06,1867.31,1767.56,1775.87,1433.57,929.96,1027.89,2535.94,4847.93,2475.76,1790.36,1146.39,1048.10,1054.38,844.37,7641.07,2212.53,1834.51,3701.02,1648.42,2575.58,2131.38,2185.00,1411.88,2423.88,2574.70,3860.75,3860.75,134.45,3047.58,1285.79,4066.94,1648.97,2735.20,4489.90,4296.95,4537.13,2690.77,4752.71,3263.44,5013.54,1755.52,1951.47,1482.21,3701.02,1578.35,1552.96,2979.58,2954.65,2174.94,2206.84,3383.83,2212.53,2088.12,2235.86,2576.73,5237.58,5237.58,3893.24,1893.26,4535.96,1726.66,1765.40,1726.66,6304.24,610.63,573.89,3245.27,3245.27,1745.93,2076.61,2811.23,5601.96,5601.96,3835.51,4844.74,4844.74,2007.73,1925.77,4715.79,4615.38,1519.53,2385.73,3402.39,3434.95,5480.70,1654.04,1650.90,1654.04,1749.31,2486.41,1929.66,1929.66,2302.28,2267.17,2267.17,962.87,1878.98,1878.98,2894.45,2460.26,4011.47,4154.90,4133.12,2059.40,2049.48,2610.33,2395.78,2368.04,2111.85,2111.85,2111.85
00007PMA0001,1557.94,1198.08,691.64,691.64,440.81,490.48,0.00,82.57,54.04,1950.54,1058.27,1000.26,1723.14,1744.66,1311.71,3911.27,3903.97,2952.85,2952.85,3739.31,3657.38,1108.97,578.37,3663.43,3547.39,2016.91,1984.97,1975.32,2613.69,2546.56,991.30,2444.05,5864.99,5864.99,4769.41,1840.26,1855.69,1763.97,3931.56,3931.56,3867.27,4011.83,1692.69,1768.95,1747.36,3069.79,3069.79,3259.75,4063.15,1757.17,1509.10,1309.94,1290.47,1300.92,1321.53,1416.12,1344.89,1354.94,1313.19,1213.43,1221.74,1242.71,1278.81,1376.74,1981.82,5196.77,2966.24,2114.99,1471.02,1372.73,1379.01,1169.00,7989.92,2021.67,2183.36,3783.60,1973.05,2135.30,2383.92,2437.54,971.60,2808.91,2959.73,4245.78,4245.78,519.48,2493.45,1634.63,4415.78,1458.11,2181.08,4572.48,4379.53,4458.16,2136.65,5101.56,3072.58,4459.42,2140.55,2336.50,928.08,3783.60,1834.73,1885.03,2592.18,2514.37,2665.42,2697.32,3708.46,2021.67,1533.99,1681.74,2961.76,4889.73,4889.73,4242.09,2217.88,4884.81,2217.14,2255.88,2217.14,5750.12,170.35,525.99,3594.12,3594.12,2070.56,2401.23,2257.10,5950.81,5950.81,3395.23,5193.58,5193.58,1453.61,1371.65,4161.66,4061.26,965.40,1831.61,2848.26,2880.83,4926.57,1099.92,1096.78,1099.92,1195.18,1932.29,1375.54,1375.54,1748.15,1713.05,1713.05,1311.71,2369.46,2369.46,3219.08,2712.80,3571.19,3714.62,3692.85,2384.02,2374.10,2862.88,2720.41,2692.66,2436.48,2436.48,2436.48
00007PMA0004,1568.61,1172.57,666.13,666.13,415.29,464.97,31.27,0.00,28.53,1925.02,975.69,917.68,1640.57,1755.33,1322.38,3885.75,3878.45,2870.28,2870.28,3749.97,3668.05,1083.45,552.86,3674.10,3558.05,1991.40,1959.46,1949.81,2588.18,2521.05,1022.57,2418.54,5875.66,5875.66,4780.07,1814.74,1830.18,1738.45,3942.23,3942.23,3877.93,4022.49,1703.36,1779.62,1758.03,3080.46,3080.46,3291.02,4037.64,1788.45,1540.38,1341.21,1321.75,1332.19,1352.80,1447.39,1376.16,1386.21,1344.46,1244.71,1253.02,1217.20,1289.48,1387.41,2013.09,5207.44,2940.73,2089.48,1445.51,1347.21,1353.50,1143.48,8000.59,1996.15,2194.03,3814.87,1947.53,2052.73,2358.40,2412.03,889.03,2783.39,2934.22,4220.27,4220.27,493.97,2524.72,1645.30,4426.45,1432.59,2212.35,4603.75,4410.80,4489.43,2167.92,5112.23,3047.06,4490.69,2115.04,2310.98,959.36,3814.87,1866.00,1912.48,2509.61,2431.79,2639.91,2671.80,3682.95,1996.15,1565.26,1713.01,2936.25,4807.16,4807.16,4252.76,2192.37,4895.48,2191.62,2230.37,2191.62,5781.39,144.84,500.47,3604.79,3604.79,2045.05,2375.72,2288.38,5961.48,5961.48,3312.65,5204.25,5204.25,1484.88,1402.92,4192.94,4092.53,996.67,1862.88,2879.53,2912.10,4957.85,1131.19,1128.05,1131.19,1226.45,1963.56,1406.81,1406.81,1779.43,1744.32,1744.32,1322.38,2343.94,2343.94,3193.56,2687.28,3488.62,3632.05,3610.27,2358.51,2348.59,2837.36,2694.89,2667.15,2410.96,2410.96,2410.96
00007PMA0032,1540.08,1144.04,637.60,637.60,386.76,436.44,59.80,28.53,0.00,1896.49,1004.22,946.21,1669.10,1726.80,1293.85,3857.22,3849.92,2898.81,2898.81,3721.44,3639.52,1054.92,524.33,3645.57,3529.52,1962.87,1930.93,1921.28,2559.65,2492.52,1051.10,2390.01,5847.13,5847.13,4751.54,1786.21,1801.65,1709.92,3913.70,3913.70,3849.40,3993.96,1674.83,1751.09,1729.50,3051.93,3051.93,3319.55,4009.11,1816.98,1568.91,1369.74,1350.28,1360.72,1381.33,1475.92,1404.69,1414.74,1372.99,1273.24,1281.55,1188.67,1260.95,1358.88,2041.62,5178.91,2912.20,2060.95,1416.98,1318.68,1324.97,1114.95,7972.06,1967.62,2165.50,3843.40,1919.00,2081.26,2329.87,2383.50,917.56,2754.86,2905.69,4191.74,4191.74,465.44,2553.25,1616.77,4397.92,1404.06,2240.88,4632.28,4439.33,4517.96,2196.45,5083.70,3018.53,4519.22,2086.51,2282.45,987.88,3843.40,1894.53,1883.95,2538.14,2460.32,2611.38,2643.27,3654.42,1967.62,1593.79,1741.54,2907.72,4835.69,4835.69,4224.23,2163.84,4866.95,2163.09,2201.84,2163.09,5809.92,116.31,471.94,3576.26,3576.26,2016.52,2347.19,2316.91,5932.95,5932.95,3341.18,5175.72,5175.72,1513.41,1431.45,4221.47,4121.06,1025.20,1891.41,2908.07,2940.63,4986.38,1159.72,1156.58,1159.72,1254.98,1992.09,1435.34,1435.34,1807.96,1772.85,1772.85,1293.85,2315.41,2315.41,3165.03,2658.76,3517.15,3660.58,3638.80,2329.98,2320.06,2808.83,2666.36,2638.62,2382.43,2382.43,2382.43
00008PMA0002,729.75,1340.65,1619.69,1619.69,1368.85,1418.52,1901.50,1870.23,1841.70,0.00,2845.92,2787.91,3510.79,1007.29,780.82,3628.73,3621.43,4740.50,4740.50,3186.36,3104.43,1438.85,1624.67,3110.49,2994.44,831.51,799.57,789.91,3100.67,3033.54,2533.71,3356.69,5113.16,5113.16,3895.88,1820.05,1534.18,1279.99,3127.67,3127.67,2993.74,3138.30,1367.23,1325.09,1346.67,2516.84,2516.84,3206.51,2529.73,2626.91,3038.95,2852.35,2832.89,2843.33,2863.94,3057.51,3246.39,3169.99,3214.69,3114.93,3123.24,2852.10,953.35,1051.28,2782.23,4643.83,1477.68,2001.83,1659.38,1561.08,1498.12,1723.74,7116.40,3268.43,701.50,3802.11,1859.89,3922.95,2870.90,2924.52,2759.26,1275.49,1426.31,2712.36,2712.36,1447.53,3836.09,1088.51,3542.26,3067.49,2981.49,4558.91,4365.96,4752.33,3666.49,4228.04,4198.14,5989.26,607.13,803.07,2325.70,3802.11,1601.74,1576.35,4379.83,4302.02,1176.86,1208.76,3425.92,3268.43,3435.49,3224.15,1428.34,6656.10,6656.10,3368.57,2104.73,4011.29,728.58,767.32,728.58,7058.42,1814.58,1992.42,3041.17,3041.17,1957.40,2288.07,3057.51,5257.09,5257.09,5182.88,4320.06,4320.06,2996.02,2914.06,5691.51,5591.10,1911.37,3374.02,4190.90,4410.67,6456.42,2642.33,2639.19,2642.33,3096.68,3474.70,3277.03,3277.03,3294.45,3329.56,3329.56,780.82,880.90,880.90,3105.92,3073.95,5358.85,5502.27,5480.50,2270.87,2260.95,2928.82,2607.25,2579.51,2323.32,2323.32,2323.32
