detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K4476.D1,0.08614476375148,0.020737659826396,tertiary,Bourke Street,,melbourne,1,862,144.948761894991,-37.8184521117718
K4576.D5,0.11311052331228,0.019706354936734,tertiary,Exhibition Street,40,melbourne,1,343,144.971430362674,-37.8137943711924
K4576.D6,0.116698411561799,0.020619566448711,tertiary,Exhibition Street,40,melbourne,1,344,144.971400844553,-37.8138047354764
K4576.D10,0.212779601825641,0.015236154796297,tertiary,Collins Street,40,melbourne,1,345,144.971174538956,-37.8140923424309
K4576.D2,0.223094122182641,0.023529200930897,tertiary,Collins Street,40,melbourne,1,342,144.97187805418,-37.8139964735548
K4576.D3,0.217623587701216,0.022012315172273,tertiary,Collins Street,40,melbourne,1,341,144.971860015329,-37.8139614943478
K4576.D9,0.21283635129359,0.014623924985005,tertiary,Collins Street,40,melbourne,1,346,144.97116961927,-37.8140677274619
K4577.D7,0.104321100318291,0.006131798919633,tertiary,,,melbourne,1,152,144.968989600139,-37.8149104032564
K4577.D2,0.106596523141462,0.005343506505668,tertiary,,,melbourne,1,151,144.969018532584,-37.8148989750109
K4577.D4,0.11162141118419,0.00539634789887,tertiary,Russell Street,40,melbourne,1,154,144.969016465981,-37.8146230638425
K4577.D3,0.10778738306953,0.004633745068866,tertiary,Russell Street,40,melbourne,1,153,144.969051598234,-37.8146100029297
K4579.D2,0.450144239118123,0.017758465917635,tertiary,Collins Street,40,melbourne,1,293,144.964291027759,-37.816194291701
K4580.D3,0.111250070181321,0.013505647216472,tertiary,Elizabeth Street,40,melbourne,1,269,144.964021501236,-37.8160604553615
K4580.D6,0.09964548805514,0.018907433829297,tertiary,Collins Street,40,melbourne,1,267,144.964286026441,-37.8161682056825
K4580.D7,0.219911338595786,0.018414868043355,tertiary,Collins Street,40,melbourne,1,268,144.963835506952,-37.816269425535
K4582.D1,0.106631719949067,0.009841332284127,tertiary,Collins Street,40,melbourne,1,121,144.960464473314,-37.8172939524368
K4583.D5,0.109189024278977,0.003771293676286,tertiary,William Street,40,melbourne,1,119,144.959222596033,-37.8176756501011
K4583.D8,0.219888613547908,0.010722135337862,tertiary,Collins Street,40,melbourne,1,117,144.95896633724,-37.8176462642698
K4583.D4,0.110499635829609,0.005975974015761,tertiary,William Street,40,melbourne,1,120,144.959094466636,-37.8175352510125
K4583.D2,0.11078230340944,0.003836564071731,tertiary,Collins Street,40,melbourne,1,118,144.959199863398,-37.817646264291
K4584.D2,0.110538303084658,0.002282994515781,primary,King Street,40,melbourne,1,50,144.956621049235,-37.8184467224154
