detid_X,detid_Y,DISTANCE
1.0,1.0,0.0
1.0,5.0,760.5120000000001
1.0,6.0,840.9580000000001
1.0,7.0,922.754
1.0,8.0,1070.7440000000004
1.0,10.0,1201.4040000000005
1.0,11.0,1385.0130000000004
1.0,12.0,1551.3490000000006
1.0,13.0,1713.3280000000004
1.0,14.0,1474.5300000000004
1.0,15.0,1349.4250000000004
1.0,17.0,991.754
1.0,18.0,1581.0560000000005
1.0,23.0,1729.0470000000007
1.0,24.0,1844.4280000000008
1.0,25.0,1914.7160000000008
1.0,26.0,1262.3020000000004
1.0,31.0,2792.3050000000007
1.0,33.0,1379.075
1.0,34.0,1452.3480000000004
1.0,37.0,2003.282
1.0,38.0,1961.983
1.0,40.0,1736.5680000000002
1.0,41.0,1288.04
1.0,45.0,1142.6880000000003
1.0,46.0,1262.3020000000004
1.0,47.0,2241.26
1.0,48.0,2435.8900000000003
1.0,49.0,2504.8970000000004
1.0,50.0,1914.7160000000008
1.0,52.0,1201.4040000000005
1.0,53.0,1327.0070000000003
1.0,56.0,1570.042
1.0,60.0,840.9580000000001
1.0,62.0,1474.5300000000004
1.0,64.0,2212.63
1.0,65.0,2066.34
1.0,66.0,1534.2240000000002
1.0,68.0,1835.2480000000005
1.0,70.0,1040.313
1.0,71.0,1360.709
1.0,74.0,1428.529
1.0,94.0,2193.122
1.0,95.0,1607.6160000000002
1.0,97.0,2156.239
1.0,98.0,2227.492
1.0,156.0,2463.9960000000005
1.0,157.0,2179.09
1.0,158.0,2088.5250000000005
1.0,160.0,1565.434
1.0,161.0,1703.091
1.0,162.0,2068.844
1.0,163.0,1936.421
1.0,167.0,1294.7610000000002
1.0,176.0,1533.1570000000002
1.0,178.0,0.0
1.0,183.0,2254.9590000000003
1.0,184.0,2370.094
1.0,192.0,1955.986
1.0,193.0,2098.118
1.0,195.0,1889.292
1.0,201.0,1353.479
1.0,202.0,428.033
1.0,203.0,573.201
1.0,210.0,1821.009
1.0,214.0,489.488
1.0,215.0,578.749
1.0,216.0,578.749
1.0,217.0,1576.8010000000002
1.0,218.0,1576.8010000000002
1.0,219.0,2254.5800000000004
1.0,220.0,2630.5370000000003
1.0,224.0,1899.877
1.0,225.0,1862.493
1.0,227.0,1862.493
1.0,228.0,1766.833
1.0,229.0,1434.0500000000002
1.0,233.0,1628.3729999999998
1.0,235.0,1899.877
1.0,236.0,1787.9250000000002
1.0,238.0,2444.7699999999995
1.0,239.0,2392.3659999999995
1.0,243.0,1985.043
1.0,244.0,1985.043
1.0,253.0,2067.29
1.0,254.0,1907.329
1.0,255.0,1888.988
1.0,256.0,1965.3980000000004
1.0,266.0,2181.3119999999994
1.0,267.0,2165.572
1.0,268.0,2165.572
1.0,269.0,2212.078
1.0,270.0,2212.078
1.0,271.0,2123.205
1.0,275.0,1671.168
1.0,276.0,2151.167
1.0,280.0,2060.592
1.0,281.0,2097.818
1.0,283.0,1289.7690000000002
1.0,284.0,578.749
1.0,286.0,930.883
1.0,295.0,967.027
1.0,296.0,1035.042
1.0,298.0,1323.1330000000005
1.0,300.0,1260.3090000000002
1.0,301.0,1324.813
1.0,303.0,1426.1810000000005
1.0,314.0,842.918
1.0,315.0,1320.667
1.0,318.0,1802.528
1.0,319.0,1545.318
1.0,320.0,1545.318
1.0,323.0,2331.829
1.0,324.0,1876.393
1.0,325.0,1254.401
1.0,326.0,1667.6909999999998
1.0,330.0,1249.619
1.0,331.0,1349.112
1.0,332.0,1149.818
1.0,333.0,1107.9799999999998
1.0,334.0,1168.11
1.0,335.0,1274.445
1.0,337.0,1592.411
1.0,344.0,1676.326
1.0,349.0,2062.687
1.0,355.0,1559.304
1.0,362.0,2209.842
1.0,367.0,1538.9440000000002
1.0,417.0,2261.698
1.0,439.0,1953.3930000000005
1.0,449.0,2027.2380000000007
1.0,495.0,2187.607
1.0,511.0,1400.039
1.0,520.0,1989.735
1.0,523.0,1899.315
1.0,524.0,2084.0820000000003
1.0,525.0,2315.0580000000004
1.0,526.0,1780.4730000000004
1.0,533.0,2534.2500000000005
1.0,534.0,2032.343
1.0,550.0,2257.865
1.0,551.0,2163.721
1.0,553.0,2043.907
1.0,555.0,2177.2380000000003
1.0,560.0,2440.936
1.0,561.0,2309.007
1.0,585.0,1473.9090000000006
1.0,589.0,1640.062
1.0,594.0,1473.9090000000006
1.0,613.0,3846.7779999999993
1.0,644.0,1780.4730000000004
1.0,651.0,1797.031
1.0,687.0,3803.265
1.0,807.0,2154.2789999999995
1.0,808.0,2293.325
1.0,1007.0,666.3299999999999
1.0,1053.0,2937.273
1.0,1131.0,0.0
1.0,1218.0,2178.8
1.0,1226.0,3072.550000000001
1.0,1227.0,3031.6050000000014
1.0,1232.0,1648.0720000000003
1.0,1371.0,1755.7690000000002
1.0,4377.0,2151.167
1.0,1406.0,2310.824
1.0,1501.0,1889.292
1.0,1566.0,1400.039
1.0,1572.0,2008.384
1.0,1814.0,1965.3980000000004
