detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
1,0.323537941024262,0.285076666053822,primary,Quai François Mitterrand,,paris,5,62,2.33417097655265,48.8599586194717
5,0.123708935255651,0.101449791943303,primary,Quai de la Mégisserie,,paris,5,205,2.34302446467638,48.8583439560441
6,0.081342306689156,0.055741621662465,primary,Quai de la Mégisserie,,paris,5,206,2.34463636444225,48.8579280903057
7,0.11777517154732,0.059804248707164,primary,Quai de la Mégisserie,,paris,5,207,2.3460635429615,48.8575305701625
8,0.160549583033524,0.088819328954531,primary,Quai de Gesvres,,paris,4,134,2.34767481643002,48.8570667352288
10,0.138585738621849,0.070709783789192,primary,Quai de Gesvres,,paris,5,184,2.34970359,48.85639356
11,0.135645479522374,0.097235793806503,primary,Quai de l'Hôtel de Ville,,paris,4,186,2.35124223899306,48.8558040748942
12,0.197039948336378,0.158779229539214,primary,Quai de l'Hôtel de Ville,,paris,4,190,2.35291366,48.85514367
13,0.188797511932858,0.156478563685023,primary,Quai de l'Hôtel de Ville,,paris,2,191,2.35469428,48.85453341
14,0.151849438036492,0.1135750961233,primary,Quai de l'Hôtel de Ville,,paris,2,185,2.35234879025668,48.8554958320669
15,0.062892985468884,0.052485023250021,secondary,Place de l'Hôtel de Ville,,paris,2,181,2.35078941,48.85628554
17,0.117696736422938,0.091288598904687,secondary,Pont Neuf,,paris,1,63,2.34074924789733,48.856363769749
18,0.145363082292608,0.09200125930964,secondary,Avenue Victoria,,paris,2,183,2.34911349,48.85735924
23,0.106652367072042,0.070573053191585,primary,Rue de Rivoli,,paris,3,188,2.35347596,48.85701618
24,0.079438975165833,0.044343907480298,primary,Rue de Rivoli,,paris,3,187,2.35213277,48.85735396
25,0.14260014819593,0.085318489389255,primary,Rue de Rivoli,,paris,3,179,2.35083253915106,48.8576664426124
26,0.089784863228797,0.054555239562932,residential,Rue Nicolas Flamel,,paris,3,136,2.34908624326203,48.8582228148812
31,0.211802191009534,0.108928922664039,secondary,Rue de Sèvres,,paris,3,216,2.3181218016781,48.8473053853638
33,0.143581121925318,0.047155639482244,primary,Rue de Rivoli,,paris,4,132,2.33989607243223,48.8612366747452
34,0.201071531931658,0.093592390637113,primary,Rue de Rivoli,,paris,4,131,2.33800109510972,48.861843322987
37,0.134749831331692,0.093966363350268,primary,Boulevard Saint-Michel,,paris,2,164,2.34277821086871,48.8504856527937
38,0.138876746863072,0.091854373978095,primary,Boulevard Saint-Michel,,paris,3,165,2.34341403776899,48.8519359018638
40,0.08141713834159,0.053947305203036,primary,Pont Saint-Michel,,paris,3,167,2.34446923,48.85390037
41,0.124805771257964,0.098854012817983,primary,Boulevard du Palais,,paris,3,175,2.34508476,48.85449207
45,0.097928005840438,0.060598348139146,primary,Boulevard de Sébastopol,,paris,4,135,2.34787515,48.85791875
46,0.104599945048178,0.071285168715237,primary,Boulevard de Sébastopol,,paris,3,137,2.34838169910751,48.8588336699784
47,0.170562223320926,0.153203410178991,secondary,Rue Beaubourg,,paris,3,199,2.35333267,48.861019
48,0.146995275071032,0.0997672753533,secondary,Rue du Renard,,paris,3,198,2.35243650122472,48.8592727818957
49,0.097810138916041,0.065796782936841,secondary,Rue du Renard,,paris,3,197,2.35179734,48.8581657
50,0.121314371034868,0.094730499821996,secondary,Rue de la Coutellerie,,paris,3,180,2.35114816,48.85750295
52,0.132972918897426,0.082070854933941,secondary,Pont Notre-Dame,,paris,2,173,2.34881072,48.8564194372101
53,0.182542940272998,0.134299802335458,secondary,Rue de la Cité,,paris,2,172,2.34816542470773,48.8553330291821
56,0.113464474078919,0.053164154496319,secondary,Rue du Petit Pont,,paris,2,170,2.34653859420534,48.8526562021045
60,0.144809327194624,0.09906705176674,primary,Quai de la Mégisserie,,paris,1,204,2.34458324394866,48.8578070724378
62,0.100192200289679,0.060081499218813,primary,Quai de l'Hôtel de Ville,,paris,2,189,2.35162959370187,48.8555365099039
64,0.251551876497743,0.088899661092008,primary,Quai de Montebello,,paris,1,178,2.34941904,48.85183972
65,0.12994068975647,0.091915218405,primary,Quai de Montebello,,paris,4,169,2.34799068,48.85248128
66,0.164489608065072,0.133962053130203,primary,Quai Saint-Michel,,paris,4,168,2.34635001326203,48.8532111908972
68,0.395597868739731,0.287823027618049,primary,Quai des Grands Augustins,,paris,4,177,2.34335277950949,48.8542294105859
70,0.274545454014484,0.170843966700293,primary,Quai de Conti,,paris,4,66,2.33930038102672,48.8569116010969
71,0.130462178940976,0.106945283255533,primary,Quai de Conti,,paris,4,67,2.33689898,48.85772946
74,0.150439715709879,0.091377728800939,primary,Quai Malaquais,,paris,4,68,2.33467123858565,48.8579354399002
94,0.168617855036756,0.121119269936681,tertiary,,,paris,1,152,2.33352918467915,48.8543633732767
95,0.249242680904552,0.112125206526037,tertiary,,,paris,1,151,2.33469149922996,48.8567244532175
97,0.202826321674092,0.068298301534958,secondary,Rue de Sèvres,,paris,1,217,2.32499920475825,48.8506934577356
98,0.185945296561726,0.16633946637082,tertiary,Rue du Four,,paris,1,219,2.33338113,48.8526507
156,0.146995275071032,0.017746177674272,secondary,Rue du Renard,,paris,3,198,2.35202822,48.85858619
157,0.183931828605608,0.089539409713812,secondary,Boulevard Saint-Germain,,paris,4,158,2.3343240144027,48.8535674816452
158,0.104583661290337,0.058055378760176,secondary,Boulevard Saint-Germain,,paris,3,159,2.33627191950642,48.8530863660306
160,0.128100744509594,0.102280259529004,secondary,Boulevard Saint-Germain,,paris,4,160,2.33910648,48.85238833
161,0.12356601409693,0.099434961160749,secondary,Boulevard Saint-Germain,,paris,4,161,2.34076172257648,48.8520012510684
162,0.105881351325248,0.091818660129695,primary,Boulevard Saint-Michel,,paris,4,166,2.34388944,48.85290388
163,0.175252805788085,0.157965397088347,secondary,Boulevard Saint-Germain,,paris,3,163,2.34339143,48.85134275
167,0.129460192669112,0.077147809109192,residential,Rue de Ventadour,,paris,1,50,2.33405948810596,48.8666259606117
176,0.064285740459444,0.027620513352212,primary,Rue de Rivoli,,paris,3,194,2.34612412015397,48.8592230615446
178,0.160403220053905,0.111500350111451,secondary,Pont du Carrousel,,paris,2,60,2.33295693025668,48.8596545726078
183,0.130393573848827,0.108534848606809,secondary,Rue de Rennes,,paris,1,157,2.33225023382032,48.8527298991482
184,0.160405724364051,0.132278854078916,secondary,Rue de Rennes,,paris,2,221,2.33013918678182,48.850436031843
192,0.209450789104779,0.069628648757102,tertiary,Rue des Saints-Pères,,paris,2,153,2.33085885682137,48.8551467916421
193,0.205030097115866,0.183866735764125,tertiary,Rue des Saints-Pères,,paris,1,155,2.32919623,48.85256669
195,0.214782890318653,0.173581682489881,secondary,Boulevard Saint-Germain,50,paris,4,222,2.33086942776899,48.8543726673968
201,0.084633173818908,0.062978711009719,tertiary,Rue du Bac,,paris,1,19,2.32888023,48.85895492
202,0.142715722666358,0.12002269319563,tertiary,Pont Royal,,paris,2,20,2.32959314579466,48.859699411701
203,0.197719383891711,0.126767496091448,primary,Quai François Mitterrand,,paris,3,59,2.33129779575511,48.8605698241045
210,0.082110610524345,0.06631445065826,secondary,Boulevard Saint-Germain,,paris,1,162,2.34223293394866,48.8516429905264
214,0.561200896073488,0.198882196200014,primary,Quai du Louvre,,paris,4,203,2.3403859568016,48.8587380042534
215,0.388609343694133,0.168588082287353,primary,Quai Aimé Césaire,,paris,3,56,2.32781022,48.86156349
216,0.831363059628722,0.613983640619281,primary,Quai Aimé Césaire,,paris,4,202,2.32788778,48.86167436
217,0.381416057345977,0.15459771422628,primary,Quai des Tuileries,,paris,5,210,2.32322733438282,48.8631770655923
218,0.386673768756934,0.15417644554182,primary,Quai des Tuileries,,paris,1,55,2.32317977814392,48.8631145718063
219,0.42631332302096,0.12266107203432,primary,Voie Georges Pompidou,,paris,4,225,2.31898121704351,48.8645685068555
220,0.329420939641081,0.18208852822274,primary,Avenue des Champs-Élysées,50,paris,4,104,2.30796971391207,48.8697455366443
224,0.326053874749219,0.256531587669207,primary,Avenue des Champs-Élysées,50,paris,3,7,2.31957725,48.86607386
225,0.207131265275088,0.191309545455047,primary,Place de la Concorde,,paris,4,208,2.32097127332196,48.8657820447079
227,0.051908401788526,0.039827410780149,primary,Place de la Concorde,,paris,2,213,2.32075309923013,48.8658691834047
228,0.140805122560003,0.091517205708024,primary,Place de la Concorde,,paris,5,211,2.32179589,48.86654235
229,0.170111130818676,0.106869270193836,primary,Pont de la Concorde,,paris,4,209,2.31968630223101,48.8636463829015
233,0.064376820540112,0.045489786464514,tertiary,Rue de Turbigo,,paris,1,143,2.34985912,48.86405673
235,0.510321210999522,0.447901172206953,primary,Place de la Concorde,,paris,2,10,2.31971170085883,48.8656085576056
236,0.101739892143748,0.06368902137314,secondary,Place de la Concorde,,paris,4,212,2.32320102,48.86642018
238,0.14212930382489,0.112846497722535,secondary,Boulevard Malesherbes,,paris,2,43,2.32167639544919,48.8724681353918
239,0.074281776716576,0.051540362657184,secondary,Boulevard Malesherbes,,paris,2,44,2.32207768,48.87156724
243,0.11790416135276,0.054398333121913,secondary,Rue Royale,,paris,2,34,2.32360771332674,48.8687101906269
244,0.203363200344039,0.164603882565224,secondary,Rue Royale,,paris,4,33,2.3230356,48.86824889
253,0.207929880701507,0.161924074663344,secondary,Boulevard de la Madeleine,,paris,3,36,2.32559703725563,48.8694141785232
254,0.214561051273209,0.180210718071412,secondary,Boulevard de la Madeleine,,paris,2,41,2.32765125,48.86993696
255,0.168864244836927,0.124565643491062,secondary,Boulevard des Capucines,,paris,3,37,2.32840112480749,48.8699422725615
256,0.151921327595841,0.103821513300015,secondary,Boulevard des Capucines,,paris,2,40,2.32961362,48.87027261
266,0.177753149845946,0.098182674883924,secondary,Place de la Madeleine,,paris,1,35,2.32411971349463,48.870793244864
267,0.273908932241229,0.244287762185588,secondary,Rue Tronchet,,paris,1,45,2.325315245923,48.8711013741747
