detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
GRT02_MORO_1811_2_1,0.373911300414483,0.307366150826703,secondary,Kreekhuizenlaan,50,rotterdam,1,100,4.539146,51.884051
GRT02_MORO_1822_2_1,1.04192550335959,0.533045707573541,secondary,Groeninx van Zoelenlaan,80,rotterdam,1,90,4.56143,51.884623
GRT02_MORO_1293_2_1,0.168822145505653,0.074031741999583,secondary,Schiekade,50,rotterdam,1,47,4.475207,51.927265
GRT02_MORO_1293_2_2,0.168822145505653,0.074031741999583,secondary,Schiekade,50,rotterdam,1,47,4.475207,51.927265
GRT02_MORO_1851_2_1,0.589674799872531,0.148455003931733,trunk,Vaanweg,50,rotterdam,1,96,4.512462,51.874034
GRT02_MORO_1851_2_5,0.589674799872531,0.148455003931733,trunk,Vaanweg,50,rotterdam,1,96,4.512462,51.874034
GRT02_MORO_1851_2_4,0.589674799872531,0.148455003931733,trunk,Vaanweg,50,rotterdam,1,96,4.512462,51.874034
GRT02_MORO_1851_2_3,0.589674799872531,0.148455003931733,trunk,Vaanweg,50,rotterdam,1,96,4.512462,51.874034
GRT02_MORO_1851_2_2,0.589674799872531,0.148455003931733,trunk,Vaanweg,50,rotterdam,1,96,4.512462,51.874034
SRR01_187-187B-187_1,0.789949574454176,0.24769309082426,other,Droogdokweg,50,rotterdam,1,133,4.424145,51.893446
GRT02_MORO_1330_2_2,0.418493844543318,0.31961464499758,secondary,Burgemeester van Walsumweg,50,rotterdam,1,59,4.49544,51.9221
GRT02_MORO_1330_2_1,0.418493844543318,0.31961464499758,secondary,Burgemeester van Walsumweg,50,rotterdam,1,59,4.49544,51.9221
SRR01_191-191B-191_1,0.254710296752829,0.16046447308917,secondary,Reeweg,50,rotterdam,1,125,4.432065,51.87651
SRR01_191-191B-191_2,0.254710296752829,0.16046447308917,secondary,Reeweg,50,rotterdam,1,125,4.432065,51.87651
GRT02_MORO_1158_2_1,0.930041135266189,0.208435138592525,secondary,Horváthweg,50,rotterdam,1,33,4.439285,51.921455
GRT02_MORO_1158_2_2,0.930041135266189,0.208435138592525,secondary,Horváthweg,50,rotterdam,1,33,4.439285,51.921455
GRT02_MORO_1524_2_5,0.924789980344505,0.07122358176897,secondary,Abram van Rijckevorselweg,70,rotterdam,1,64,4.533352,51.913975
GRT02_MORO_1524_2_3,0.924789980344505,0.07122358176897,secondary,Abram van Rijckevorselweg,70,rotterdam,1,64,4.533352,51.913975
GRT02_MORO_1524_2_4,0.924789980344505,0.07122358176897,secondary,Abram van Rijckevorselweg,70,rotterdam,1,64,4.533352,51.913975
GRT02_MORO_1524_2_2,0.924789980344505,0.07122358176897,secondary,Abram van Rijckevorselweg,70,rotterdam,1,64,4.533352,51.913975
GRT02_MORO_1524_2_1,0.924789980344505,0.07122358176897,secondary,Abram van Rijckevorselweg,70,rotterdam,1,64,4.533352,51.913975
GRT02_MORO_1680_2_2,0.366464582061438,0.171755798400582,secondary,Laan op Zuid,50,rotterdam,1,71,4.495734,51.907253
GRT02_MORO_1680_2_1,0.366464582061438,0.171755798400582,secondary,Laan op Zuid,50,rotterdam,1,71,4.495734,51.907253
GRT02_MORO_1911_2_4,0.743199399703991,0.121067938970154,trunk,Vaanweg,50,rotterdam,1,111,4.493909,51.884288
GRT02_MORO_1911_2_1,0.743199399703991,0.121067938970154,trunk,Vaanweg,50,rotterdam,1,111,4.493909,51.884288
GRT02_MORO_1911_2_3,0.743199399703991,0.121067938970154,trunk,Vaanweg,50,rotterdam,1,111,4.493909,51.884288
GRT02_MORO_1911_2_2,0.743199399703991,0.121067938970154,trunk,Vaanweg,50,rotterdam,1,111,4.493909,51.884288
GRT02_MORO_1099_2_1,0.228056404901694,0.174847793678668,tertiary,Abraham van Stolkweg,50,rotterdam,1,37,4.440792,51.929274
GRT02_MORO_1904_2_1,0.468309247408817,0.175255807286964,secondary,Oldegaarde,50,rotterdam,1,113,4.498414,51.879572
GRT02_MORO_1325_2_2,0.425560749010647,0.091250876534719,secondary,Burgemeester van Walsumweg,50,rotterdam,1,60,4.495536,51.921974
GRT02_MORO_1325_2_1,0.425560749010647,0.091250876534719,secondary,Burgemeester van Walsumweg,50,rotterdam,1,60,4.495536,51.921974
GRT02_MORO_5527_2_2,0.319814677445201,0.17129279575555,secondary,Westzeedijk,50,rotterdam,1,12,4.469227,51.909059
GRT02_MORO_5527_2_3,0.319814677445201,0.17129279575555,secondary,Westzeedijk,50,rotterdam,1,12,4.469227,51.909059
GRT02_MORO_5527_2_1,0.319814677445201,0.17129279575555,secondary,Westzeedijk,50,rotterdam,1,12,4.469227,51.909059
GRT02_MORO_1318_2_1,0.461361969931165,0.119925763946643,secondary,Goudsesingel,50,rotterdam,1,57,4.493878,51.923919
GRT02_MORO_1321_2_1,0.466462365571612,0.340915729731129,secondary,Goudsesingel,50,rotterdam,1,58,4.49393,51.924012
GRT02_MORO_1991_2_2,0.596580432286997,0.063350556072836,primary,Pleinweg,50,rotterdam,1,108,4.486413,51.88992
GRT02_MORO_1991_2_1,0.596580432286997,0.063350556072836,primary,Pleinweg,50,rotterdam,1,108,4.486413,51.88992
SRR01_188A-188-188_1,0.350173623965204,0.052465100438868,tertiary,Waalhavenweg,50,rotterdam,1,130,4.426,51.886482
GRT02_MORO_1860_2_2,0.582551166469254,0.430952824187816,trunk,Vaanweg,70,rotterdam,1,95,4.512237,51.873949
GRT02_MORO_1860_2_4,0.582551166469254,0.430952824187816,trunk,Vaanweg,70,rotterdam,1,95,4.512237,51.873949
GRT02_MORO_1860_2_3,0.582551166469254,0.430952824187816,trunk,Vaanweg,70,rotterdam,1,95,4.512237,51.873949
GRT02_MORO_1860_2_1,0.582551166469254,0.430952824187816,trunk,Vaanweg,70,rotterdam,1,95,4.512237,51.873949
GRT02_MORO_1982_2_1,0.780718217400808,0.268364787143387,secondary,Brielselaan,50,rotterdam,1,79,4.482924,51.894811
GRT02_MORO_1347_2_1,0.41468320030606,0.178923369471362,secondary,Schiedamsedijk,50,rotterdam,1,9,4.482053,51.914607
GRT02_MORO_1698_2_3,0.836630958716279,0.049439384306295,secondary,Hillelaan,50,rotterdam,1,74,4.496205,51.902108
GRT02_MORO_1698_2_2,0.836630958716279,0.049439384306295,secondary,Hillelaan,50,rotterdam,1,74,4.496205,51.902108
GRT02_MORO_1698_2_1,0.836630958716279,0.049439384306295,secondary,Hillelaan,50,rotterdam,1,74,4.496205,51.902108
SRR01_178-89020-178_2,0.399476917032561,0.214458322570936,tertiary,Waalhavenweg,50,rotterdam,1,127,4.429939,51.882059
SRR01_178-89020-178_1,0.399476917032561,0.214458322570936,tertiary,Waalhavenweg,50,rotterdam,1,127,4.429939,51.882059
SRR01_89020-181-181_1,0.830424752085581,0.525363300723611,tertiary,Eemhavenweg,0,rotterdam,1,131,4.4203368,51.8901892
GRT02_MORO_1717_2_1,0.604137580051215,0.447775818955793,secondary,Putselaan,50,rotterdam,1,78,4.507863,51.898688
GRT02_MORO_1222_2_1,0.224980146347549,0.03767438822492,secondary,Vierhavensstraat,50,rotterdam,1,30,4.432734,51.912348
GRT02_MORO_1222_2_2,0.224980146347549,0.03767438822492,secondary,Vierhavensstraat,50,rotterdam,1,30,4.432734,51.912348
GRT02_MORO_1217_2_2,0.203531439828774,0.15435390597731,secondary,Vierhavensstraat,50,rotterdam,1,29,4.432795,51.912458
GRT02_MORO_1217_2_1,0.203531439828774,0.15435390597731,secondary,Vierhavensstraat,50,rotterdam,1,29,4.432795,51.912458
GRT02_MORO_2033_2_1,0.850907541172361,0.333277472355945,secondary,Oldegaarde,50,rotterdam,1,117,4.471153,51.878363
GRT02_MORO_1979_2_1,0.788891756485529,0.50699983875044,secondary,Brielselaan,50,rotterdam,1,80,4.482904,51.894865
GRT02_MORO_1427_2_1,2.17116132078404,1.6539300840079,trunk,Bosdreef,70,rotterdam,1,53,4.50504,51.942392
