detid_X,detid_Y,DISTANCE
K10D1,K10D1,0.0
K10D1,K10D2,36.37
K10D1,K11D1,110.48
K10D1,K11D2,110.48
K10D1,K11D4,110.48
K10D1,K12D8,259.91200000000003
K10D1,K12D6,259.91200000000003
K10D1,K12D7,259.91200000000003
K10D1,K12D5,259.91200000000003
K10D1,K12D10,276.093
K10D1,K12D9,276.093
K10D1,K12D3,276.093
K10D1,K12D1,276.093
K10D1,K12D4,326.58500000000004
K10D1,K12D2,326.58500000000004
K10D1,K13D5,541.31
K10D1,K13D6,541.31
K10D1,K13D1,541.31
K10D1,K13D3,541.31
K10D1,K13D4,541.31
K10D1,K13D2,541.31
K10D1,K13D7,541.31
K10D1,K13D9,541.31
K10D1,K13D8,541.31
K10D1,K13D10,471.697
K10D1,K14D6,1281.957
K10D1,K14D7,1281.957
K10D1,K14D12,1281.957
K10D1,K14D5,1265.155
K10D1,K14D4,1265.155
K10D1,K14D3,1265.155
K10D1,K14D11,1298.6049999999998
K10D1,K14D1,1178.26
K10D1,K14D2,1178.26
K10D1,K14D8,1267.447
K10D1,K14D9,1298.41
K10D1,K14D10,1298.41
K10D1,K14D13,1259.717
K10D1,K14D14,1259.717
K10D1,K15D2,1338.2810000000002
K10D1,K15D3,1338.2810000000002
K10D1,K15D1,1751.9319999999998
K10D1,K15D4,1281.957
K10D1,K16D4,1746.683
K10D1,K16D3,1746.683
K10D1,K16D1,1746.683
K10D1,K16D2,1746.683
K10D1,K52D4,487.381
K10D1,K52D3,487.381
K10D1,K52D5,588.6899999999999
K10D1,K52D6,487.381
K10D1,K52D1,487.381
K10D1,K52D7,487.381
K10D1,K52D2,487.381
K10D1,K40D1,630.6959999999999
K10D1,K40D3,691.6579999999999
K10D1,K40D2,691.6579999999999
K10D1,K40D4,1233.845
K10D1,K40D5,683.757
K10D1,K41D2,854.2889999999999
K10D1,K41D3,854.2889999999999
K10D1,K41D1,930.7659999999998
K10D1,K41D6,930.7659999999998
K10D1,K41D10,930.7659999999998
K10D1,K41D7,930.7659999999998
K10D1,K41D9,930.7659999999998
K10D1,K42D6,1213.092
K10D1,K42D2,1213.092
K10D1,K42D3,1213.092
K10D1,K42D1,1089.2969999999998
K10D1,K42D4,1301.601
K10D1,K43D4,1652.8539999999998
K10D1,K43D2,1564.458
K10D1,K43D1,1564.458
K10D1,K44D5,1846.716
K10D1,K44D4,1780.7999999999995
K10D1,K44D3,1780.7999999999995
K10D1,K44D2,1780.7999999999995
K10D1,K44D1,1780.7999999999995
K10D1,K44D7,1780.7999999999995
K10D1,K44D8,1780.7999999999995
K10D1,K44D6,1780.7999999999995
K10D1,K45D5,1995.406
K10D1,K45D4,1995.406
K10D1,K45D3,1995.406
K10D1,K45D6,1995.406
K10D1,K45D2,1995.406
K10D1,K45D1,1910.582
K10D1,K48D6,1463.9719999999998
K10D1,K48D3,1496.3909999999998
K10D1,K48D4,1501.4749999999997
K10D1,K48D5,1517.6119999999996
