detid_Y,K10D1,K10D2,K11D1,K11D2,K11D4,K12D1,K12D10,K12D2,K12D3,K12D4,K12D5,K12D6,K12D7,K12D8,K12D9,K13D1,K13D10,K13D2,K13D3,K13D4,K13D5,K13D6,K13D7,K13D8,K13D9,K14D1,K14D10,K14D11,K14D12,K14D13,K14D14,K14D2,K14D3,K14D4,K14D5,K14D6,K14D7,K14D8,K14D9,K15D1,K15D2,K15D3,K15D4,K16D1,K16D2,K16D3,K16D4,K17D1,K17D3,K17D5,K17D7,K17D8,K17D9,K18D10,K18D11,K18D12,K18D13,K18D14,K18D9,K19D1,K19D10,K19D12,K19D3,K19D5,K19D6,K19D8,K26D1,K26D12,K26D3,K26D6,K26D7,K26D8,K28D1,K28D10,K28D11,K28D12,K28D13,K28D14,K28D15,K28D16,K28D2,K28D3,K28D4,K28D5,K28D6,K28D7,K28D8,K28D9,K31D1,K31D13,K31D2,K31D3,K31D6,K31D7,K31D8,K31D9,K32D1,K32D2,K32D3,K32D4,K34D1,K34D6,K34D7,K39D1,K39D2,K39D3,K39D4,K40D1,K40D2,K40D3,K40D4,K40D5,K41D1,K41D10,K41D2,K41D3,K41D6,K41D7,K41D9,K42D1,K42D2,K42D3,K42D4,K42D6,K43D1,K43D2,K43D4,K44D1,K44D2,K44D3,K44D4,K44D5,K44D6,K44D7,K44D8,K45D1,K45D2,K45D3,K45D4,K45D5,K45D6,K46D1,K46D10,K46D11,K46D12,K46D13,K46D14,K46D15,K46D2,K46D3,K46D4,K46D5,K46D6,K46D7,K46D8,K46D9,K48D1,K48D2,K48D3,K48D4,K48D5,K48D6,K49D10,K49D2,K49D5,K49D7,K51D10,K51D3,K51D5,K52D1,K52D2,K52D3,K52D4,K52D5,K52D6,K52D7,K53D1,K53D2,K53D3,K53D4,K53D5,K60D2,K60D4,K60D6
K10D1,0.00,36.37,110.48,110.48,110.48,276.09,276.09,326.59,276.09,326.59,259.91,259.91,259.91,259.91,276.09,541.31,471.70,541.31,541.31,541.31,541.31,541.31,541.31,541.31,541.31,1178.26,1310.37,1276.78,1281.96,1253.40,1253.40,1178.26,1290.78,1290.78,1290.78,1281.96,1281.96,1267.45,1310.37,1751.93,1338.28,1338.28,1281.96,1746.68,1746.68,1746.68,1746.68,1983.22,1983.22,2041.40,2041.40,1970.36,1970.36,2577.76,2577.76,2498.91,2498.91,2552.39,2565.43,2785.43,2714.04,2710.83,2785.43,2710.83,2577.76,2577.76,1513.76,1488.29,1513.76,1530.96,1428.45,1463.93,1728.74,1654.20,1718.60,1672.83,1794.63,1766.27,1794.63,1766.27,1774.12,1728.74,1766.83,1728.74,1768.76,1728.74,2151.48,1718.60,259.71,348.95,259.71,259.71,316.54,296.56,296.56,296.56,538.93,597.97,597.97,597.97,1204.17,1179.65,1254.17,527.77,527.77,527.77,527.77,793.74,854.70,854.70,1233.85,856.92,1093.81,1093.81,1017.33,1017.33,1093.81,1093.81,1093.81,1252.34,1376.13,1376.13,1464.64,1376.13,1727.50,1727.50,1751.91,1879.85,1879.85,1879.85,1879.85,1945.77,1879.85,1879.85,1879.85,2009.64,2094.46,2094.46,2094.46,2094.46,2094.46,2396.80,2406.45,2441.70,2406.45,2406.45,2347.52,2406.45,2454.76,2396.80,2396.80,2457.98,2487.81,2457.98,2441.70,2441.70,1489.32,1489.32,1474.57,1558.28,1542.15,1442.15,2386.07,2386.07,2386.07,2386.07,1311.66,1346.56,1206.22,487.38,487.38,487.38,487.38,588.69,487.38,487.38,655.45,671.80,679.27,618.72,641.25,3397.32,3342.49,3439.57
K10D2,36.37,0.00,146.85,146.85,146.85,312.46,312.46,362.95,312.46,362.95,296.28,296.28,296.28,296.28,312.46,577.68,508.07,577.68,577.68,577.68,577.68,577.68,577.68,577.68,577.68,1214.63,1346.74,1313.15,1318.33,1289.77,1289.77,1214.63,1327.15,1327.15,1327.15,1318.33,1318.33,1303.82,1346.74,1788.30,1374.65,1374.65,1318.33,1783.05,1783.05,1783.05,1783.05,2019.59,2019.59,2077.77,2077.77,2006.73,2006.73,2614.13,2614.13,2535.28,2535.28,2588.76,2601.80,2821.80,2750.41,2747.20,2821.80,2747.20,2614.13,2614.13,1550.13,1524.66,1550.13,1567.33,1464.82,1500.30,1765.11,1690.57,1754.97,1709.20,1831.00,1802.64,1831.00,1802.64,1810.49,1765.11,1803.19,1765.11,1805.13,1765.11,2187.85,1754.97,223.34,312.58,223.34,223.34,280.17,260.19,260.19,260.19,502.56,561.60,561.60,561.60,1167.80,1143.28,1217.80,491.40,491.40,491.40,491.40,762.40,823.36,823.36,1270.21,893.29,1062.47,1062.47,985.99,985.99,1062.47,1062.47,1062.47,1221.00,1344.79,1344.79,1433.30,1344.79,1696.16,1696.16,1784.55,1912.50,1912.50,1912.50,1912.50,1978.42,1912.50,1912.50,1912.50,2042.28,2127.11,2127.11,2127.11,2127.11,2127.11,2433.17,2442.82,2478.07,2442.82,2442.82,2383.89,2442.82,2491.13,2433.17,2433.17,2494.35,2524.18,2494.35,2478.07,2478.07,1525.69,1525.69,1510.94,1594.65,1578.52,1478.52,2422.44,2422.44,2422.44,2422.44,1280.32,1315.22,1174.88,523.75,523.75,523.75,523.75,625.06,523.75,523.75,691.82,708.17,715.64,655.09,677.62,3433.69,3378.86,3475.94
K11D1,110.48,146.85,0.00,0.00,0.00,165.61,165.61,216.10,165.61,216.10,149.43,149.43,149.43,149.43,165.61,430.83,361.22,430.83,430.83,430.83,430.83,430.83,430.83,430.83,430.83,1067.78,1199.89,1166.30,1171.48,1142.92,1142.92,1067.78,1180.30,1180.30,1180.30,1171.48,1171.48,1156.97,1199.89,1641.45,1227.80,1227.80,1171.48,1636.20,1636.20,1636.20,1636.20,1872.74,1872.74,1930.92,1930.92,1859.88,1859.88,2467.28,2467.28,2388.43,2388.43,2441.91,2454.95,2674.95,2603.56,2600.35,2674.95,2600.35,2467.28,2467.28,1403.28,1377.81,1403.28,1420.48,1317.97,1353.45,1618.26,1543.72,1608.12,1562.35,1684.15,1655.79,1684.15,1655.79,1663.64,1618.26,1656.35,1618.26,1658.28,1618.26,2041.00,1608.12,370.19,459.43,370.19,370.19,427.02,407.04,407.04,407.04,649.41,708.45,708.45,708.45,1314.65,1290.13,1364.65,638.25,638.25,638.25,638.25,683.26,744.22,744.22,1123.37,746.44,983.33,983.33,906.85,906.85,983.33,983.33,983.33,1141.86,1265.65,1265.65,1354.16,1265.65,1617.02,1617.02,1641.43,1769.37,1769.37,1769.37,1769.37,1835.29,1769.37,1769.37,1769.37,1899.16,1983.98,1983.98,1983.98,1983.98,1983.98,2286.32,2295.97,2331.22,2295.97,2295.97,2237.04,2295.97,2344.28,2286.32,2286.32,2347.50,2377.33,2347.50,2331.22,2331.22,1378.84,1378.84,1364.09,1447.80,1431.67,1331.67,2275.59,2275.59,2275.59,2275.59,1201.18,1236.08,1095.74,376.90,376.90,376.90,376.90,478.21,376.90,376.90,544.97,561.32,568.79,508.24,530.77,3286.84,3232.01,3329.09
K11D2,110.48,146.85,0.00,0.00,0.00,165.61,165.61,216.10,165.61,216.10,149.43,149.43,149.43,149.43,165.61,430.83,361.22,430.83,430.83,430.83,430.83,430.83,430.83,430.83,430.83,1067.78,1199.89,1166.30,1171.48,1142.92,1142.92,1067.78,1180.30,1180.30,1180.30,1171.48,1171.48,1156.97,1199.89,1641.45,1227.80,1227.80,1171.48,1636.20,1636.20,1636.20,1636.20,1872.74,1872.74,1930.92,1930.92,1859.88,1859.88,2467.28,2467.28,2388.43,2388.43,2441.91,2454.95,2674.95,2603.56,2600.35,2674.95,2600.35,2467.28,2467.28,1403.28,1377.81,1403.28,1420.48,1317.97,1353.45,1618.26,1543.72,1608.12,1562.35,1684.15,1655.79,1684.15,1655.79,1663.64,1618.26,1656.35,1618.26,1658.28,1618.26,2041.00,1608.12,370.19,459.43,370.19,370.19,427.02,407.04,407.04,407.04,649.41,708.45,708.45,708.45,1314.65,1290.13,1364.65,638.25,638.25,638.25,638.25,683.26,744.22,744.22,1123.37,746.44,983.33,983.33,906.85,906.85,983.33,983.33,983.33,1141.86,1265.65,1265.65,1354.16,1265.65,1617.02,1617.02,1641.43,1769.37,1769.37,1769.37,1769.37,1835.29,1769.37,1769.37,1769.37,1899.16,1983.98,1983.98,1983.98,1983.98,1983.98,2286.32,2295.97,2331.22,2295.97,2295.97,2237.04,2295.97,2344.28,2286.32,2286.32,2347.50,2377.33,2347.50,2331.22,2331.22,1378.84,1378.84,1364.09,1447.80,1431.67,1331.67,2275.59,2275.59,2275.59,2275.59,1201.18,1236.08,1095.74,376.90,376.90,376.90,376.90,478.21,376.90,376.90,544.97,561.32,568.79,508.24,530.77,3286.84,3232.01,3329.09
K11D4,110.48,146.85,0.00,0.00,0.00,165.61,165.61,216.10,165.61,216.10,149.43,149.43,149.43,149.43,165.61,430.83,361.22,430.83,430.83,430.83,430.83,430.83,430.83,430.83,430.83,1067.78,1199.89,1166.30,1171.48,1142.92,1142.92,1067.78,1180.30,1180.30,1180.30,1171.48,1171.48,1156.97,1199.89,1641.45,1227.80,1227.80,1171.48,1636.20,1636.20,1636.20,1636.20,1872.74,1872.74,1930.92,1930.92,1859.88,1859.88,2467.28,2467.28,2388.43,2388.43,2441.91,2454.95,2674.95,2603.56,2600.35,2674.95,2600.35,2467.28,2467.28,1403.28,1377.81,1403.28,1420.48,1317.97,1353.45,1618.26,1543.72,1608.12,1562.35,1684.15,1655.79,1684.15,1655.79,1663.64,1618.26,1656.35,1618.26,1658.28,1618.26,2041.00,1608.12,370.19,459.43,370.19,370.19,427.02,407.04,407.04,407.04,649.41,708.45,708.45,708.45,1314.65,1290.13,1364.65,638.25,638.25,638.25,638.25,683.26,744.22,744.22,1123.37,746.44,983.33,983.33,906.85,906.85,983.33,983.33,983.33,1141.86,1265.65,1265.65,1354.16,1265.65,1617.02,1617.02,1641.43,1769.37,1769.37,1769.37,1769.37,1835.29,1769.37,1769.37,1769.37,1899.16,1983.98,1983.98,1983.98,1983.98,1983.98,2286.32,2295.97,2331.22,2295.97,2295.97,2237.04,2295.97,2344.28,2286.32,2286.32,2347.50,2377.33,2347.50,2331.22,2331.22,1378.84,1378.84,1364.09,1447.80,1431.67,1331.67,2275.59,2275.59,2275.59,2275.59,1201.18,1236.08,1095.74,376.90,376.90,376.90,376.90,478.21,376.90,376.90,544.97,561.32,568.79,508.24,530.77,3286.84,3232.01,3329.09
K12D1,276.09,312.46,165.61,165.61,165.61,0.00,0.00,50.49,0.00,50.49,16.18,16.18,16.18,16.18,0.00,265.22,195.60,265.22,265.22,265.22,265.22,265.22,265.22,265.22,265.22,902.17,1034.28,1000.69,1005.86,999.68,999.68,902.17,1014.69,1014.69,1014.69,1005.86,1005.86,991.35,1034.28,1475.84,1062.19,1062.19,1005.86,1470.59,1470.59,1470.59,1470.59,1707.12,1707.12,1765.31,1765.31,1694.27,1694.27,2301.67,2301.67,2222.82,2222.82,2276.30,2289.34,2509.34,2437.94,2434.73,2509.34,2434.73,2301.67,2301.67,1568.89,1543.42,1568.89,1586.09,1483.59,1519.06,1783.87,1709.34,1773.73,1727.97,1849.77,1821.40,1849.77,1821.40,1829.25,1783.87,1821.96,1783.87,1823.90,1783.87,2206.61,1773.73,535.80,625.04,535.80,535.80,592.64,572.65,572.65,572.65,815.02,874.07,874.07,874.07,1480.26,1455.75,1530.26,803.86,803.86,803.86,803.86,633.88,619.08,619.08,957.75,580.82,858.19,858.19,781.71,781.71,858.19,858.19,858.19,1016.72,1140.51,1140.51,1229.02,1140.51,1451.69,1451.69,1475.81,1603.76,1603.76,1603.76,1603.76,1669.68,1603.76,1603.76,1603.76,1733.54,1818.37,1818.37,1818.37,1818.37,1818.37,2120.70,2130.35,2165.61,2130.35,2130.35,2071.43,2130.35,2178.67,2120.70,2120.70,2181.89,2211.72,2181.89,2165.61,2165.61,1213.23,1213.23,1198.47,1282.19,1266.05,1166.06,2109.98,2109.98,2109.98,2109.98,1076.04,1110.94,970.60,211.29,211.29,211.29,211.29,312.60,211.29,211.29,468.22,484.56,492.03,431.48,454.02,3121.23,3066.40,3163.48
K12D10,276.09,312.46,165.61,165.61,165.61,0.00,0.00,50.49,0.00,50.49,16.18,16.18,16.18,16.18,0.00,265.22,195.60,265.22,265.22,265.22,265.22,265.22,265.22,265.22,265.22,902.17,1034.28,1000.69,1005.86,999.68,999.68,902.17,1014.69,1014.69,1014.69,1005.86,1005.86,991.35,1034.28,1475.84,1062.19,1062.19,1005.86,1470.59,1470.59,1470.59,1470.59,1707.12,1707.12,1765.31,1765.31,1694.27,1694.27,2301.67,2301.67,2222.82,2222.82,2276.30,2289.34,2509.34,2437.94,2434.73,2509.34,2434.73,2301.67,2301.67,1568.89,1543.42,1568.89,1586.09,1483.59,1519.06,1783.87,1709.34,1773.73,1727.97,1849.77,1821.40,1849.77,1821.40,1829.25,1783.87,1821.96,1783.87,1823.90,1783.87,2206.61,1773.73,535.80,625.04,535.80,535.80,592.64,572.65,572.65,572.65,815.02,874.07,874.07,874.07,1480.26,1455.75,1530.26,803.86,803.86,803.86,803.86,633.88,619.08,619.08,957.75,580.82,858.19,858.19,781.71,781.71,858.19,858.19,858.19,1016.72,1140.51,1140.51,1229.02,1140.51,1451.69,1451.69,1475.81,1603.76,1603.76,1603.76,1603.76,1669.68,1603.76,1603.76,1603.76,1733.54,1818.37,1818.37,1818.37,1818.37,1818.37,2120.70,2130.35,2165.61,2130.35,2130.35,2071.43,2130.35,2178.67,2120.70,2120.70,2181.89,2211.72,2181.89,2165.61,2165.61,1213.23,1213.23,1198.47,1282.19,1266.05,1166.06,2109.98,2109.98,2109.98,2109.98,1076.04,1110.94,970.60,211.29,211.29,211.29,211.29,312.60,211.29,211.29,468.22,484.56,492.03,431.48,454.02,3121.23,3066.40,3163.48
K12D2,326.59,362.95,216.10,216.10,216.10,50.49,50.49,0.00,50.49,0.00,66.67,66.67,66.67,66.67,50.49,214.72,145.11,214.72,214.72,214.72,214.72,214.72,214.72,214.72,214.72,851.67,983.79,950.20,955.37,949.19,949.19,851.67,964.20,964.20,964.20,955.37,955.37,940.86,983.79,1425.35,1011.70,1011.70,955.37,1420.10,1420.10,1420.10,1420.10,1656.63,1656.63,1714.82,1714.82,1643.78,1643.78,2251.18,2251.18,2172.33,2172.33,2225.81,2238.84,2458.84,2387.45,2384.24,2458.84,2384.24,2251.18,2251.18,1619.38,1593.91,1619.38,1636.58,1534.08,1569.55,1834.37,1759.83,1824.22,1778.46,1900.26,1871.89,1900.26,1871.89,1879.74,1834.37,1872.45,1834.37,1874.39,1834.37,2257.10,1824.22,586.29,675.53,586.29,586.29,643.13,623.14,623.14,623.14,865.51,924.56,924.56,924.56,1530.75,1506.24,1580.75,854.36,854.36,854.36,854.36,684.38,669.57,669.57,1008.24,631.32,908.68,908.68,832.20,832.20,908.68,908.68,908.68,1067.21,1191.01,1191.01,1279.52,1191.01,1502.19,1502.19,1526.31,1654.25,1654.25,1654.25,1654.25,1720.17,1654.25,1654.25,1654.25,1784.04,1868.86,1868.86,1868.86,1868.86,1868.86,2070.21,2079.86,2115.11,2079.86,2079.86,2020.94,2079.86,2128.18,2070.21,2070.21,2131.39,2161.22,2131.39,2115.11,2115.11,1162.74,1162.74,1147.98,1231.70,1215.56,1115.56,2059.49,2059.49,2059.49,2059.49,1126.54,1161.43,1021.09,261.78,261.78,261.78,261.78,363.09,261.78,261.78,434.57,450.92,458.39,480.03,481.19,3070.74,3015.91,3112.99
K12D3,276.09,312.46,165.61,165.61,165.61,0.00,0.00,50.49,0.00,50.49,16.18,16.18,16.18,16.18,0.00,265.22,195.60,265.22,265.22,265.22,265.22,265.22,265.22,265.22,265.22,902.17,1034.28,1000.69,1005.86,999.68,999.68,902.17,1014.69,1014.69,1014.69,1005.86,1005.86,991.35,1034.28,1475.84,1062.19,1062.19,1005.86,1470.59,1470.59,1470.59,1470.59,1707.12,1707.12,1765.31,1765.31,1694.27,1694.27,2301.67,2301.67,2222.82,2222.82,2276.30,2289.34,2509.34,2437.94,2434.73,2509.34,2434.73,2301.67,2301.67,1568.89,1543.42,1568.89,1586.09,1483.59,1519.06,1783.87,1709.34,1773.73,1727.97,1849.77,1821.40,1849.77,1821.40,1829.25,1783.87,1821.96,1783.87,1823.90,1783.87,2206.61,1773.73,535.80,625.04,535.80,535.80,592.64,572.65,572.65,572.65,815.02,874.07,874.07,874.07,1480.26,1455.75,1530.26,803.86,803.86,803.86,803.86,633.88,619.08,619.08,957.75,580.82,858.19,858.19,781.71,781.71,858.19,858.19,858.19,1016.72,1140.51,1140.51,1229.02,1140.51,1451.69,1451.69,1475.81,1603.76,1603.76,1603.76,1603.76,1669.68,1603.76,1603.76,1603.76,1733.54,1818.37,1818.37,1818.37,1818.37,1818.37,2120.70,2130.35,2165.61,2130.35,2130.35,2071.43,2130.35,2178.67,2120.70,2120.70,2181.89,2211.72,2181.89,2165.61,2165.61,1213.23,1213.23,1198.47,1282.19,1266.05,1166.06,2109.98,2109.98,2109.98,2109.98,1076.04,1110.94,970.60,211.29,211.29,211.29,211.29,312.60,211.29,211.29,468.22,484.56,492.03,431.48,454.02,3121.23,3066.40,3163.48
K12D4,326.59,362.95,216.10,216.10,216.10,50.49,50.49,0.00,50.49,0.00,66.67,66.67,66.67,66.67,50.49,214.72,145.11,214.72,214.72,214.72,214.72,214.72,214.72,214.72,214.72,851.67,983.79,950.20,955.37,949.19,949.19,851.67,964.20,964.20,964.20,955.37,955.37,940.86,983.79,1425.35,1011.70,1011.70,955.37,1420.10,1420.10,1420.10,1420.10,1656.63,1656.63,1714.82,1714.82,1643.78,1643.78,2251.18,2251.18,2172.33,2172.33,2225.81,2238.84,2458.84,2387.45,2384.24,2458.84,2384.24,2251.18,2251.18,1619.38,1593.91,1619.38,1636.58,1534.08,1569.55,1834.37,1759.83,1824.22,1778.46,1900.26,1871.89,1900.26,1871.89,1879.74,1834.37,1872.45,1834.37,1874.39,1834.37,2257.10,1824.22,586.29,675.53,586.29,586.29,643.13,623.14,623.14,623.14,865.51,924.56,924.56,924.56,1530.75,1506.24,1580.75,854.36,854.36,854.36,854.36,684.38,669.57,669.57,1008.24,631.32,908.68,908.68,832.20,832.20,908.68,908.68,908.68,1067.21,1191.01,1191.01,1279.52,1191.01,1502.19,1502.19,1526.31,1654.25,1654.25,1654.25,1654.25,1720.17,1654.25,1654.25,1654.25,1784.04,1868.86,1868.86,1868.86,1868.86,1868.86,2070.21,2079.86,2115.11,2079.86,2079.86,2020.94,2079.86,2128.18,2070.21,2070.21,2131.39,2161.22,2131.39,2115.11,2115.11,1162.74,1162.74,1147.98,1231.70,1215.56,1115.56,2059.49,2059.49,2059.49,2059.49,1126.54,1161.43,1021.09,261.78,261.78,261.78,261.78,363.09,261.78,261.78,434.57,450.92,458.39,480.03,481.19,3070.74,3015.91,3112.99
