detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
204,0.169324601053101,0.152836581227234,tertiary,Quai Saint-Nicolas,0,strasbourg,1,43,7.7506828,48.5792636
203,0.166596691991956,0.159840047343188,tertiary,Quai Saint-Nicolas,0,strasbourg,1,44,7.7489877,48.5786213
230,0.087124922717233,0.020801932553337,secondary,Route de l'Hôpital,0,strasbourg,1,1,7.7500311,48.5738209
231,0.062601655745008,0.012561760305265,secondary,Route de l'Hôpital,0,strasbourg,2,0,7.7498728,48.5740978
201,0.520917639341423,0.378937136159907,secondary,Quai Menachem Taffel,50,strasbourg,2,60,7.7446331,48.5739904
202,0.327671036618357,0.01421561217881,secondary,Quai Louis Pasteur,50,strasbourg,2,59,7.7384225,48.5744669
305,0.178438168360613,0.107288534323725,secondary,Rue Averroès,0,strasbourg,2,114,7.7378833,48.5733772
303,0.245566960508923,0.153515874797886,tertiary,Rue des Frères Mathis,0,strasbourg,2,48,7.7370297,48.577836
304,0.27054824463179,0.190317015271393,tertiary,Rue des Frères Mathis,0,strasbourg,2,49,7.7355981,48.5778201
308,0.110587564021645,0.092555204018576,secondary,Rue de Saales,0,strasbourg,1,112,7.7328287,48.5744705
310,0.110002070818024,0.090636652430125,secondary,Rue de Saales,0,strasbourg,1,113,7.7328596,48.5744563
317,0.178661213489017,0.122521188924329,secondary,Boulevard de Lyon,0,strasbourg,2,111,7.7332914,48.5755175
307,0.071435688757113,0.011527537608072,tertiary,Rue de Molsheim,0,strasbourg,2,50,7.7336904,48.5777429
315,0.120844941793455,0.07085593254933,secondary,Boulevard de Lyon,0,strasbourg,3,51,7.7317505,48.5768565
320,0.099167675287085,0.066895885449886,secondary,Boulevard de Lyon,0,strasbourg,3,52,7.7311362,48.5782322
314,0.171374047276973,0.063755891743464,tertiary,Rue de Wasselonne,0,strasbourg,2,54,7.7318645,48.5793861
313,0.134569641181824,0.114093335414123,tertiary,Rue d'Obernai,0,strasbourg,2,53,7.7315667,48.5784048
311,0.463697873797547,0.307433307613695,primary,Route de Koenigshoffen,0,strasbourg,1,55,7.727302,48.5807622
312,0.533960254329367,0.109652218824108,motorway_link,,0,strasbourg,2,56,7.7261406,48.5808749
329,0.399540323948037,0.096157292084999,tertiary,Rue du Rempart,0,strasbourg,1,58,7.7277741,48.581613
330,0.403121210945546,0.309363334307444,tertiary,Rue du Rempart,0,strasbourg,1,57,7.7278116,48.5815598
301,0.22775007637801,0.20849360235393,secondary,Boulevard de Metz,0,strasbourg,2,110,7.7341631,48.5838133
302,0.271857398632575,0.246353423878856,secondary,Boulevard du Président Wilson,0,strasbourg,1,109,7.736569,48.5856532
100,0.033562145682881,0.004776759619795,residential,Rue du Fossé des Tanneurs,30,strasbourg,1,47,7.7434596,48.5825641
107,0.113946991495889,0.088196994925688,tertiary,Rue des Serruriers,30,strasbourg,1,46,7.747888,48.5810825
106,0.179959064905809,0.130419576640709,tertiary,Rue de la Division Leclerc,30,strasbourg,1,45,7.7473783,48.5801598
108,0.237001215774133,0.177858578079718,residential,Quai Kléber,0,strasbourg,1,82,7.7457047,48.5867071
112,0.293397133091303,0.20484111603659,tertiary,Rue du Faubourg de Saverne,0,strasbourg,1,107,7.7399701,48.5857739
113,0.28729617469748,0.089253139253265,tertiary,Rue du Faubourg de Saverne,0,strasbourg,1,108,7.7399111,48.5857615
806,0.330250062414576,0.029892513410994,secondary,Petite Rue des Magasins,0,strasbourg,2,104,7.7382937,48.5891502
814,0.183560951474668,0.06370122708013,secondary,Pont de la Porte de Saverne,0,strasbourg,2,103,7.735059,48.5903992
402,0.187452703929489,0.158907783095595,primary,Avenue des Vosges,0,strasbourg,2,85,7.7459621,48.5911417
109,0.115667070021539,0.099556334126518,residential,Rue du Faubourg de Pierre,0,strasbourg,1,84,7.7447491,48.59024
104,0.275534711342046,0.249886576555829,residential,Rue du Faubourg de Pierre,0,strasbourg,1,83,7.7463859,48.5872731
401,0.180982094395655,0.165947793816166,residential,Place de Haguenau,0,strasbourg,2,86,7.7440873,48.5915683
421,0.430492385784539,0.120708481366649,residential,Rue Jacques Kablé,30,strasbourg,2,90,7.748234,48.592835
420,0.437598356526073,0.043095666194243,residential,Rue Jacques Kablé,0,strasbourg,1,89,7.7519381,48.593204
409,0.137323328402444,0.09523053786515,tertiary,Boulevard Clemenceau,0,strasbourg,2,91,7.7502644,48.5916428
410,0.144242141796802,0.041590373219929,tertiary,Boulevard Clemenceau,0,strasbourg,2,92,7.7503234,48.591469
413,0.159565034046014,0.151938648735943,secondary,Boulevard Ohmacht,0,strasbourg,2,87,7.760261,48.5927002
414,0.157463563240864,0.079612020504284,secondary,Boulevard Ohmacht,0,strasbourg,2,88,7.7592874,48.5930018
403,0.147642980398315,0.124039551912776,secondary,Avenue de la Paix,0,strasbourg,1,62,7.7555135,48.5897374
404,0.149727693456162,0.116997928058025,secondary,Avenue de la Paix,0,strasbourg,1,61,7.7551514,48.5889214
405,0.459978918807495,0.257380685203506,primary,Avenue d'Alsace,0,strasbourg,2,27,7.7603804,48.5871152
406,0.461273562170462,0.203854133601935,primary,Avenue d'Alsace,0,strasbourg,2,28,7.7603395,48.5870416
423,0.170558819412282,0.108549244526561,tertiary,Avenue de la Liberté,0,strasbourg,1,25,7.7577598,48.5861833
422,0.170527690692365,0.061145194385897,tertiary,Avenue de la Liberté,0,strasbourg,2,26,7.7577022,48.5861132
508,0.464950675453658,0.090457763000748,secondary,Allée de la Robertsau,0,strasbourg,1,29,7.764008,48.5870478
507,0.458233384908052,0.368537919497678,secondary,Allée de la Robertsau,0,strasbourg,1,30,7.7641851,48.586991
520,0.425522150267772,0.10493144300667,other,Rue de Lübeck,50,strasbourg,1,38,7.7861497,48.5781084
503,0.411576946789743,0.170844593631021,primary,Rue du Grand Pont,0,strasbourg,2,35,7.7812278,48.5794837
504,0.412794390916129,0.241700295105926,primary,Rue du Grand Pont,0,strasbourg,2,36,7.7811635,48.5794393
519,0.427731370700689,0.31866103392018,other,Rue de Lübeck,50,strasbourg,1,37,7.786206,48.5781244
539,0.540540508372202,0.300725878967601,residential,Rue Vauban,0,strasbourg,1,34,7.7743238,48.5806158
540,0.55397801829425,0.293123224130744,other,Rue Jean-Henri Schnitzler,0,strasbourg,1,33,7.7736881,48.5805377
517,0.364797177169197,0.110696388327995,secondary,Boulevard d'Anvers,0,strasbourg,1,39,7.7752679,48.5837334
518,0.363679812517479,0.253882613826226,secondary,Boulevard d'Anvers,0,strasbourg,1,40,7.7751821,48.5836695
523,0.462398166885683,0.170406108063013,tertiary,Avenue du Général de Gaulle,0,strasbourg,1,17,7.7697533,48.5793719
524,0.463004985976827,0.288861879672807,tertiary,Avenue du Général de Gaulle,0,strasbourg,1,18,7.7694798,48.579418
502,0.246529768300241,0.123646753502954,tertiary,Boulevard Leblois,0,strasbourg,1,41,7.7711803,48.5821329
501,0.24325169377576,0.126303749577404,tertiary,Boulevard Leblois,0,strasbourg,2,42,7.771132,48.5821613
432,0.289262825347725,0.153894513211396,primary,Avenue de la Forêt Noire,0,strasbourg,2,32,7.770625,48.5839534
433,0.290281797378048,0.142474062607524,primary,Avenue de la Forêt Noire,0,strasbourg,2,31,7.7705017,48.5839588
509,0.595312760428165,0.352617338555676,residential,Rue de Rome,0,strasbourg,1,16,7.7660465,48.5774465
510,0.591662425574993,0.238023283902351,residential,Rue de Rome,0,strasbourg,1,15,7.7660197,48.5773898
532,0.161503366126738,0.083643242459492,residential,Rue Edmond Labbé,0,strasbourg,1,22,7.7631377,48.5820868
531,0.163474977027953,0.07786315391767,residential,Rue Edmond Labbé,0,strasbourg,1,21,7.7631846,48.5820806
511,0.849601515279328,0.250928731579884,tertiary,Boulevard de la Victoire,0,strasbourg,1,20,7.7621962,48.5833182
415,0.212976735624645,0.110873797305052,tertiary,Quai des Pêcheurs,0,strasbourg,1,24,7.758016,48.5833014
