detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
51,0.182049843470597,0.033823502584562,trunk,?å???é??é??,0,taipeh,2,311,121.5375893,25.0236326
61,0.29166293760182,0.07223972460537,trunk,å?ºé??é«?æ?¶é??,0,taipeh,2,328,121.53899,25.01258
73,0.318746347763732,0.122414260163541,trunk,?å???é??é??,0,taipeh,3,315,121.5263807,25.0194846
77,0.181247465658615,0.147978120191447,trunk,?å???é??é??,0,taipeh,2,312,121.5376769,25.0236418
121,0.228461700719667,0.134156544377415,tertiary,ç?°?å??ä¸??,0,taipeh,2,319,121.4989563,25.0409745
134,0.450888755771923,0.082782033196651,trunk,,0,taipeh,1,318,121.48905,25.02932
207,0.222946257267059,0.038880151702391,secondary,???äº??,0,taipeh,4,420,121.5688441,25.0328479
224,0.176930616636496,0.039882223401181,service,,0,taipeh,3,132,121.539112,25.013513
226,0.239005816357253,0.087751755994736,tertiary,æ??è¡?,0,taipeh,1,126,121.5310388,25.0141531
227,0.151905070825442,0.081074206006733,tertiary,æ±?å·??ä¸??,0,taipeh,2,129,121.5339056,25.0138991
228,0.343628236715044,0.164975737157094,primary,ç¾?æ?¯??å???,0,taipeh,3,131,121.5362932,25.0128448
232,0.408326867104652,0.374415907240019,secondary,è¾???ä¸??,0,taipeh,2,267,121.5464566,25.0196355
233,0.284205915465421,0.189997266929262,trunk,å?ºé??é«?æ?¶é??,0,taipeh,3,329,121.5456929,25.0184336
235,0.295420194525021,0.091541060090466,primary,ç¾?æ?¯??ä¸??,0,taipeh,3,135,121.5301515,25.0189013
236,0.161705745684188,0.021005962552327,tertiary,???,0,taipeh,2,316,121.4978666,25.0203648
238,0.157314380185926,0.075404957022332,primary,ç¾?æ?¯??ä¸??,0,taipeh,3,187,121.527021,25.0217872
241,0.158606337632565,0.071183138255873,secondary,è¾???ä¸??,0,taipeh,2,314,121.5325071,25.0220004
243,0.276039714908022,0.152796600753791,secondary,å?ºé???äº??,0,taipeh,2,332,121.5512492,25.0230618
245,0.398557776241909,0.280280598341196,secondary,æ?¦å??å??äº??,0,taipeh,2,379,121.5490525,25.0255696
246,0.139214212811152,0.068185022925032,secondary,å?????äº??,0,taipeh,2,265,121.54426,25.0248532
247,0.130180435716118,0.05063186572882,secondary,å?????äº??,0,taipeh,3,141,121.5394358,25.0254427
249,0.233823901239689,0.186303293502029,tertiary,?å??å??äº??,0,taipeh,2,310,121.5379673,25.029137
250,0.689537973043301,0.549877136411998,residential,,0,taipeh,2,149,121.4914949,25.02504
251,0.149067956002572,0.036235453251776,secondary,æ?°ç??å??ä¸??,0,taipeh,3,139,121.5346537,25.0236526
252,0.178923299711941,0.083626635811579,secondary,å?????ä¸??,0,taipeh,3,193,121.5248354,25.0269031
253,0.167179403618044,0.050251881579057,secondary,å?????ä¸??,0,taipeh,3,189,121.5291768,25.0265628
254,0.145674547564178,0.057700403945225,tertiary,???äº??,0,taipeh,1,175,121.5051999,25.0287914
255,0.216385353894924,0.114348185952743,secondary,é???å??äº??,0,taipeh,2,192,121.5261735,25.0277965
256,0.107226956241419,0.04788952013139,tertiary,å?????ä¸??,0,taipeh,2,195,121.5184501,25.0266257
257,0.170650393721175,0.076170227443144,tertiary,è??è?º?é?,0,taipeh,3,166,121.49407,25.031159
258,0.151032185991028,0.050743020901364,secondary,æ?¦å??å??äº??,0,taipeh,2,381,121.5490321,25.0305015
259,0.479443904020081,0.179200484378017,tertiary,???æ©?,0,taipeh,2,317,121.4901502,25.0302479
260,0.101994023302656,0.081063090954685,tertiary,?è??,0,taipeh,2,152,121.4935329,25.0285075
262,0.203769116611673,0.157351677612558,secondary,?å???äº??,0,taipeh,2,151,121.4941319,25.0271398
263,0.110090517774776,0.038040035410878,secondary,?å???äº??,0,taipeh,3,160,121.4971804,25.0315838
264,0.323216772684476,0.174916884700726,tertiary,?è??,0,taipeh,2,153,121.497322,25.0293186
