detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
4,0.08983069369011,0.080827684112365,primary,?????????????,0,tokyo,1,639,139.7953554,35.6879887
5,0.092086372567672,0.07538233532172,primary,?????????????,0,tokyo,1,640,139.796177,35.6879259
383,0.275742383644957,0.126940908021909,primary,????????????,0,tokyo,1,1332,139.7321104,35.6912279
384,0.275298566560359,0.126559480368275,primary,????????????,0,tokyo,1,1331,139.7320956,35.6912508
385,0.262979227866331,0.11803389141129,primary,????????????,0,tokyo,1,1330,139.7322181,35.6913774
386,0.263713043447251,0.116995422915039,primary,????????????,0,tokyo,1,1329,139.7322383,35.691348
387,0.263696222649466,0.116238137945368,primary,????????????,0,tokyo,1,1328,139.7322503,35.6913273
415,0.332260749726574,0.243619279306745,trunk,????????????,0,tokyo,1,229,139.7570527,35.6763517
416,0.331951153592301,0.242030741451513,trunk,????????????,0,tokyo,1,230,139.7570379,35.6763158
417,0.329304245898201,0.241236731885052,trunk,????????????,0,tokyo,1,231,139.7570097,35.6762918
423,0.200049223207827,0.119521645037502,trunk,????????????,0,tokyo,1,247,139.7549262,35.6770712
424,0.199631807580846,0.119885640289517,trunk,????????????,0,tokyo,1,248,139.7549108,35.6770532
425,0.197439906932736,0.119159608112401,trunk,????????????,0,tokyo,1,249,139.7548954,35.6770281
426,0.194614646965829,0.118533914185983,trunk,????????????,0,tokyo,1,250,139.7548779,35.6770063
428,0.190830491769957,0.064787925830727,trunk,????????????,0,tokyo,1,253,139.7549905,35.6771694
429,0.191609913939131,0.066372767734004,trunk,????????????,0,tokyo,1,254,139.75501,35.6771956
430,0.190577877160447,0.066851151250842,trunk,????????????,0,tokyo,1,255,139.7550315,35.6772277
431,0.496012191395616,0.168880830542761,trunk,??????????,0,tokyo,1,1150,139.7275565,35.6737134
432,0.495865452035282,0.167834747981126,trunk,??????????,0,tokyo,1,1149,139.7275364,35.6737406
433,0.493843311889381,0.16822787651736,trunk,??????????,0,tokyo,1,1147,139.727523,35.6737646
434,0.491058777343251,0.167022980689728,trunk,??????????,0,tokyo,1,1148,139.7275042,35.6737918
436,0.499843102772949,0.414704713295197,trunk,??????????,0,tokyo,1,1145,139.7264978,35.6736091
437,0.500456541326967,0.413677994856762,trunk,??????????,0,tokyo,1,1144,139.7265153,35.6735841
438,0.500412121730775,0.41466434513555,trunk,??????????,0,tokyo,1,1143,139.7265327,35.6735525
748,0.227313615082708,0.199925161509958,primary,????????,0,tokyo,1,878,139.7821834,35.6787671
