detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
812,0.128723500756412,0.120692629204939,secondary,Avenue de Lardenne,50,toulouse,1,1,1.4074449,43.59353
810,0.237177389619165,0.212822121328805,secondary,Avenue de Lardenne,50,toulouse,1,2,1.4070989,43.5935164
811,0.236712397661546,0.229469257580406,secondary,Avenue de Lardenne,50,toulouse,1,0,1.4045924,43.5930094
340,0.215298077561695,0.208814319446378,secondary,Avenue de Lardenne,50,toulouse,1,3,1.404465,43.5930356
343,0.214832500813611,0.188140355942273,secondary,Avenue de Lardenne,50,toulouse,1,4,1.4022495,43.5925704
275,0.166762356871223,0.15466995508757,secondary,Avenue de Lardenne,50,toulouse,1,6,1.3997295,43.5921032
276,0.069705759915837,0.058609372755346,secondary,Avenue de Lardenne,50,toulouse,1,7,1.3991797,43.5920915
341,0.060050404284497,0.052053795936572,motorway,,90,toulouse,1,8,1.3985614,43.5920245
342,0.34280397290555,0.31626072287342,secondary,Avenue de Lardenne,50,toulouse,1,9,1.3973089,43.5923645
331,0.340109535227735,0.328506058494433,secondary,Avenue de Lardenne,0,toulouse,1,10,1.393653,43.5932211
332,0.131396745043739,0.121167198353415,secondary,Avenue de Lardenne,0,toulouse,1,11,1.3932212,43.5933746
838,0.132873303350721,0.118415641496381,secondary,Avenue de Lardenne,0,toulouse,1,12,1.3918894,43.5936485
837,0.176246915965755,0.139984286925336,secondary,Avenue de Lardenne,50,toulouse,1,14,1.3910271,43.5935339
336,0.065086189972532,0.057573096521836,secondary,Avenue de Lardenne,50,toulouse,2,16,1.3778441,43.5900634
335,0.479712189523132,0.467754614199638,secondary,Avenue de Lardenne,50,toulouse,1,17,1.3780171,43.5900401
815,0.132287443328734,0.110051634129223,secondary,Avenue de Lombez,50,toulouse,1,18,1.417754,43.595425
10,0.149521300555124,0.123240017501882,secondary,Avenue de Lombez,50,toulouse,1,19,1.4190455,43.5957125
813,0.146571998418774,0.136686550951028,secondary,Avenue de Lombez,50,toulouse,1,20,1.417459,43.5953959
12,0.255803478092636,0.227426667549749,secondary,Avenue de Lombez,50,toulouse,1,21,1.4200526,43.5958242
6,0.255286140401661,0.234036068981013,secondary,Avenue de Grande Bretagne,0,toulouse,1,22,1.4203262,43.5976219
11,0.123915339592028,0.101297212172689,secondary,Boulevard Gabriel Koenigs,50,toulouse,1,26,1.4195752,43.596133
325,0.168158387209541,0.15699553419465,secondary,Avenue de Grande Bretagne,50,toulouse,2,27,1.4181054,43.5986252
326,0.193942378942149,0.169666936767586,secondary,Avenue de Grande Bretagne,50,toulouse,2,28,1.4177513,43.5988389
294,0.339486907314648,0.081138422680161,residential,Avenue Raymond Badiou,0,toulouse,1,29,1.4143462,43.5992623
274,0.082508332903524,0.066253311061945,secondary,Avenue de Grande Bretagne,50,toulouse,2,30,1.4151536,43.5999004
273,0.503891204499182,0.466131819442486,secondary,Avenue de Grande Bretagne,50,toulouse,2,31,1.4144844,43.6002889
365,0.502476843142931,0.351664491333132,secondary,Avenue de Grande Bretagne,50,toulouse,2,32,1.4110645,43.6017679
399,0.222089915814782,0.192105238306045,residential,Rue de l'Abbé Jules Lemire,0,toulouse,1,34,1.4060166,43.5969858
207,0.123171991213864,0.111326876469246,tertiary,Voie du T.O.E.C.,50,toulouse,1,36,1.4034216,43.5970276
