detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K21.D92,0.389360671212529,0.031621447937763,secondary,Amsterdamsestraatweg,50,utrecht,1,327,5.08625317,52.10864324
K1.D628,0.055784948654807,0.011794017692443,primary,Berekuil,50,utrecht,1,584,5.14447894,52.0961814
K39.D12,0.235566490115521,0.017282279118245,secondary,Vleutenseweg,50,utrecht,1,217,5.08356332,52.09674293
K119.D55,0.500863994624842,0.020802017455986,other,,0,utrecht,1,301,5.13367243,52.07912554
K104.D84,0.076121325801679,0.014045210466615,primary,Overste den Oudenlaan,50,utrecht,1,68,5.09794965,52.08378991
K113.D685,0.14402110961872,0.024547262878603,primary,Europalaan,50,utrecht,1,122,5.10651303,52.06079294
K116.D102,0.051965733579479,0.021220349460464,tertiary,Churchilllaan,50,utrecht,1,161,5.0945528,52.07338131
K104.D72,0.055065710229842,0.014442335848177,primary,Overste den Oudenlaan,50,utrecht,1,67,5.09789116,52.08374826
K1.D115,0.416873705276948,0.017626595311301,primary,Biltsestraatweg,80,utrecht,1,582,5.14494093,52.09640084
K205.D114,0.331799910888458,0.027269751457947,tertiary,Papendorpseweg,50,utrecht,1,137,5.08563682,52.06439876
K49.D1113,0.158196960136459,0.077696219019045,primary,Marnixlaan,50,utrecht,1,343,5.09892514,52.10960848
K118.D111,0.41572187903062,0.004039856500236,secondary,Vleutenseweg,50,utrecht,1,203,5.09694369,52.09349347
K40.D116,0.427642020541116,0.028855869556818,primary,Kardinaal de Jongweg,50,utrecht,1,505,5.13680192,52.10271132
K40.D102,0.085671905754187,0.018578857281577,primary,Kardinaal de Jongweg,50,utrecht,1,503,5.13666352,52.10277729
K33.D43,0.282325182601509,0.019182171222128,other,,0,utrecht,1,285,5.12127944,52.08045713
K48.D55,0.158926097221288,0.017528252554751,primary,Marnixlaan,50,utrecht,1,333,5.09383441,52.10621908
K35.D24,0.149588669461647,0.013131786855882,secondary,Beneluxlaan,50,utrecht,1,90,5.09177177,52.08016609
