detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
104,0.080477984503352,0.027423753343327,primary,A. Go?tauto g.,50,vilnius,1,352,25.278986,54.690263
1040,0.076117585679798,0.02706995804201,primary,A. Go?tauto g.,50,vilnius,1,353,25.27901,54.690292
1041,0.072535777763966,0.027182029525871,primary,A. Go?tauto g.,50,vilnius,1,354,25.279029,54.690328
1033,0.082883504265978,0.049599222970446,secondary,Vilniaus g.,50,vilnius,1,546,25.280061,54.689482
1034,0.293992073061884,0.045584683753299,secondary,Vilniaus g.,50,vilnius,1,355,25.280107,54.689488
0,0.093203354876172,0.040042745365248,primary,A. Go?tauto g.,50,vilnius,1,357,25.278702,54.690931
1004,0.076547669440714,0.046127836657095,secondary,A. Jak?to g.,50,vilnius,1,547,25.276355,54.690401
1005,0.116547503853262,0.046213425144515,secondary,A. Jak?to g.,50,vilnius,1,365,25.276325,54.690406
730,0.198203068709492,0.032652657261439,residential,A. Vienuolio g.,30,vilnius,1,364,25.277819,54.690277
1000,0.070213071763991,0.045071267572425,primary,A. Go?tauto g.,50,vilnius,1,363,25.277106,54.690861
1001,0.07033800199581,0.046042898473679,primary,A. Go?tauto g.,50,vilnius,1,362,25.277108,54.690888
928,0.071311204395519,0.04671274956104,primary,A. Go?tauto g.,50,vilnius,1,361,25.277114,54.690919
1081,0.17177129931419,0.027491281663923,primary,A. Go?tauto g.,50,vilnius,1,367,25.274214,54.691433
1082,0.173842888468229,0.029557407513829,primary,A. Go?tauto g.,50,vilnius,1,368,25.274209,54.691413
1083,0.057751824619198,0.029444316789908,primary,A. Go?tauto g.,50,vilnius,1,548,25.274203,54.691388
1094,0.088530379103439,0.037681321420746,primary,A. Go?tauto g.,50,vilnius,1,373,25.272594,54.691934
1097,0.098027656530134,0.03928392301388,primary,J. Tumo-Vai?ganto g.,50,vilnius,1,375,25.271245,54.691733
1098,0.098838372685424,0.039855536805064,primary,J. Tumo-Vai?ganto g.,50,vilnius,1,376,25.271215,54.691746
1099,0.098838372685424,0.038624672892102,primary,J. Tumo-Vai?ganto g.,50,vilnius,1,376,25.271205,54.691765
11,0.075759582643441,0.053449921090427,primary,A. Go?tauto g.,50,vilnius,1,537,25.271001,54.692551
110,0.584854172474806,0.0535574319057,primary,A. Go?tauto g.,50,vilnius,1,538,25.271036,54.692568
1100,0.581624444436602,0.052106331347268,primary,A. Go?tauto g.,50,vilnius,1,536,25.271076,54.692587
1129,0.252666944904632,0.024619127903356,secondary,Luki?ki? g.,50,vilnius,1,380,25.269807,54.691519
1120,0.09434718509347,0.041554820107513,primary,J. Tumo-Vai?ganto g.,50,vilnius,1,382,25.270942,54.691719
1121,0.094140166369661,0.041944485782803,primary,J. Tumo-Vai?ganto g.,50,vilnius,1,381,25.27099,54.691705
1122,0.074240192212904,0.002020619344793,secondary,Luki?ki? g.,50,vilnius,1,379,25.270518,54.690984
1123,0.076891535679832,0.003018985175511,secondary,Luki?ki? g.,50,vilnius,1,378,25.270593,54.69101
1124,0.034035910504021,0.028716942057106,primary,J. Tumo-Vai?ganto g.,50,vilnius,1,385,25.269995,54.690759
1125,0.032141694185191,0.029022629454129,secondary,Luki?ki? g.,0,vilnius,1,384,25.270033,54.69074
