detid_Y,K204D1A,K204D1B,K204D2AV,K204D2BV,K204D3A,K204D3B,K204D4A,K204D4B,K204D5A,K204D5B,K205D1A,K205D1B,K205D2A,K205D2B,K210D1A,K210D1B,K210D2A,K210D2AV,K216Z1A,K216Z2A,K216Z2C,K216Z3A,K236Z1,K236Z2,K236Z3,K236Z4,K236Z6A,K236Z7A,K301D2A,K301D2B,K301D7A,K301D7B,K301Z1A,K301Z1B,K302D2AV,K302D2BV,K302D5V,K302Z1A,K302Z1B,K302Z2A,K302Z2B,K303D4A,K303D4B,K303Z1A,K303Z1B,K303Z2A,K303Z2B,K304Z1A,K310Z1A,K310Z1C,K310Z2A,K310Z2C,K310Z3A,K310Z3C,K310Z4A,K310Z4C,K310Z4E,K311D2A,K311D2B,K311D3V,K311D5A,K311D5B,K311D6V,K315D1A,K315D1B,K315D4B,K315D4C,K317D1,K317D2AV,K317D2BV,K317D3A,K317D3B,K317D4V,K317D5AV,K317D5BV,K317Z1A,K317Z2,K317Z3A,K317Z3C,K317Z4A,K317Z4C,K357Z1A,K357Z2A,K357Z3A,K401Z1A,K401Z2A,K401Z3A,K401Z4A,K401Z5A,K401Z6A,K405D1AV,K405D1BV,K405D2AV,K405D2BV,K405D3AV,K405D3BV,K405D4AV,K405D4BV,K405D5V,K405D6AV,K405D6BV,K405Z2A,K405Z2C,K405Z2E,K405Z3A,K405Z3C,K405Z6A,K405Z6C,K405Z7A,K405Z7C,K407Z1A,K407Z1C,K407Z2A,K407Z3A,K407Z4A,K407Z4C,K408D6V,K408Z1A,K408Z1C,K408Z2A,K408Z2C,K408Z3A,K408Z4A,K419D1A,K419D1B,K419D3A,K419D3B,K420Z3A,K420Z4A,K420Z5A,K420Z6A,K420Z7A,K421Z1A
K204D1A,0.00,0.00,0.00,0.00,71.29,71.29,98.02,98.02,98.02,98.02,918.31,918.31,918.31,918.31,6269.01,6269.01,6269.01,6269.01,2293.01,2293.01,2293.01,2293.01,2449.51,2449.51,2652.42,2652.42,2683.06,2636.00,1258.83,1258.83,1258.83,1258.83,1915.45,1915.45,1774.76,1774.76,1774.76,1642.21,1642.21,1605.67,1605.67,1622.06,1622.06,1773.02,1773.02,1606.51,1590.49,1887.32,1788.39,1788.39,2011.93,2011.93,1649.40,1637.52,1637.52,1637.52,1637.52,2223.39,2223.39,2223.39,3088.49,3088.49,3088.49,3201.67,3160.20,3179.25,3179.25,4200.01,4200.01,4200.01,4297.77,4297.77,4263.58,4263.58,4263.58,4297.77,4269.29,4263.58,4263.58,4200.01,4200.01,4674.54,4740.89,4708.41,6175.83,6330.81,6373.63,6538.90,6538.90,6538.90,3026.61,3026.61,3026.61,3026.61,2909.59,2909.59,3065.83,3065.83,2986.71,2909.59,2909.59,2823.19,2823.19,2823.19,3065.83,3065.83,3689.32,3689.32,3689.32,3689.32,4652.90,4726.00,4652.90,4598.38,4598.38,4598.38,4904.13,4920.52,4920.52,4961.64,4961.64,4829.82,4904.13,4991.94,4991.94,4991.94,4991.94,4973.99,4869.88,4829.04,4792.42,4792.42,4973.99
K204D1B,0.00,0.00,0.00,0.00,71.29,71.29,98.02,98.02,98.02,98.02,918.31,918.31,918.31,918.31,6269.01,6269.01,6269.01,6269.01,2293.01,2293.01,2293.01,2293.01,2449.51,2449.51,2652.42,2652.42,2683.06,2636.00,1258.83,1258.83,1258.83,1258.83,1915.45,1915.45,1774.76,1774.76,1774.76,1642.21,1642.21,1605.67,1605.67,1622.06,1622.06,1773.02,1773.02,1606.51,1590.49,1887.32,1788.39,1788.39,2011.93,2011.93,1649.40,1637.52,1637.52,1637.52,1637.52,2223.39,2223.39,2223.39,3088.49,3088.49,3088.49,3201.67,3160.20,3179.25,3179.25,4200.01,4200.01,4200.01,4297.77,4297.77,4263.58,4263.58,4263.58,4297.77,4269.29,4263.58,4263.58,4200.01,4200.01,4674.54,4740.89,4708.41,6175.83,6330.81,6373.63,6538.90,6538.90,6538.90,3026.61,3026.61,3026.61,3026.61,2909.59,2909.59,3065.83,3065.83,2986.71,2909.59,2909.59,2823.19,2823.19,2823.19,3065.83,3065.83,3689.32,3689.32,3689.32,3689.32,4652.90,4726.00,4652.90,4598.38,4598.38,4598.38,4904.13,4920.52,4920.52,4961.64,4961.64,4829.82,4904.13,4991.94,4991.94,4991.94,4991.94,4973.99,4869.88,4829.04,4792.42,4792.42,4973.99
K204D2AV,0.00,0.00,0.00,0.00,71.29,71.29,98.02,98.02,98.02,98.02,918.31,918.31,918.31,918.31,6269.01,6269.01,6269.01,6269.01,2293.01,2293.01,2293.01,2293.01,2449.51,2449.51,2652.42,2652.42,2683.06,2636.00,1258.83,1258.83,1258.83,1258.83,1915.45,1915.45,1774.76,1774.76,1774.76,1642.21,1642.21,1605.67,1605.67,1622.06,1622.06,1773.02,1773.02,1606.51,1590.49,1887.32,1788.39,1788.39,2011.93,2011.93,1649.40,1637.52,1637.52,1637.52,1637.52,2223.39,2223.39,2223.39,3088.49,3088.49,3088.49,3201.67,3160.20,3179.25,3179.25,4200.01,4200.01,4200.01,4297.77,4297.77,4263.58,4263.58,4263.58,4297.77,4269.29,4263.58,4263.58,4200.01,4200.01,4674.54,4740.89,4708.41,6175.83,6330.81,6373.63,6538.90,6538.90,6538.90,3026.61,3026.61,3026.61,3026.61,2909.59,2909.59,3065.83,3065.83,2986.71,2909.59,2909.59,2823.19,2823.19,2823.19,3065.83,3065.83,3689.32,3689.32,3689.32,3689.32,4652.90,4726.00,4652.90,4598.38,4598.38,4598.38,4904.13,4920.52,4920.52,4961.64,4961.64,4829.82,4904.13,4991.94,4991.94,4991.94,4991.94,4973.99,4869.88,4829.04,4792.42,4792.42,4973.99
K204D2BV,0.00,0.00,0.00,0.00,71.29,71.29,98.02,98.02,98.02,98.02,918.31,918.31,918.31,918.31,6269.01,6269.01,6269.01,6269.01,2293.01,2293.01,2293.01,2293.01,2449.51,2449.51,2652.42,2652.42,2683.06,2636.00,1258.83,1258.83,1258.83,1258.83,1915.45,1915.45,1774.76,1774.76,1774.76,1642.21,1642.21,1605.67,1605.67,1622.06,1622.06,1773.02,1773.02,1606.51,1590.49,1887.32,1788.39,1788.39,2011.93,2011.93,1649.40,1637.52,1637.52,1637.52,1637.52,2223.39,2223.39,2223.39,3088.49,3088.49,3088.49,3201.67,3160.20,3179.25,3179.25,4200.01,4200.01,4200.01,4297.77,4297.77,4263.58,4263.58,4263.58,4297.77,4269.29,4263.58,4263.58,4200.01,4200.01,4674.54,4740.89,4708.41,6175.83,6330.81,6373.63,6538.90,6538.90,6538.90,3026.61,3026.61,3026.61,3026.61,2909.59,2909.59,3065.83,3065.83,2986.71,2909.59,2909.59,2823.19,2823.19,2823.19,3065.83,3065.83,3689.32,3689.32,3689.32,3689.32,4652.90,4726.00,4652.90,4598.38,4598.38,4598.38,4904.13,4920.52,4920.52,4961.64,4961.64,4829.82,4904.13,4991.94,4991.94,4991.94,4991.94,4973.99,4869.88,4829.04,4792.42,4792.42,4973.99
K204D3A,615.26,615.26,615.26,615.26,0.00,0.00,195.05,195.05,195.05,195.05,847.02,847.02,847.02,847.02,6390.65,6390.65,6390.65,6390.65,2414.65,2414.65,2414.65,2414.65,2571.15,2571.15,2774.06,2774.06,2804.71,2757.64,1187.54,1187.54,1187.54,1187.54,1844.16,1844.16,1703.48,1703.48,1703.48,1570.92,1570.92,1534.39,1534.39,1550.78,1550.78,1701.73,1701.73,1535.22,1519.21,1816.04,1910.03,1910.03,2133.58,2133.58,1771.04,1759.17,1759.17,1759.17,1759.17,2345.04,2345.04,2345.04,3210.13,3210.13,3210.13,3323.31,3281.84,3300.89,3300.89,4321.65,4321.65,4321.65,4419.41,4419.41,4385.22,4385.22,4385.22,4419.41,4390.93,4385.22,4385.22,4321.65,4321.65,4796.19,4862.53,4830.05,6104.54,6259.53,6302.35,6467.62,6467.62,6467.62,2955.33,2955.33,2955.33,2955.33,2838.30,2838.30,2994.54,2994.54,2915.42,2838.30,2838.30,2751.90,2751.90,2751.90,2994.54,2994.54,3618.03,3618.03,3618.03,3618.03,4774.55,4847.64,4774.55,4720.02,4720.02,4720.02,5025.77,5042.16,5042.16,5083.28,5083.28,4951.46,5025.77,4920.65,4920.65,4920.65,4920.65,4902.70,4798.59,4757.75,4721.13,4721.13,4902.70
K204D3B,615.26,615.26,615.26,615.26,0.00,0.00,195.05,195.05,195.05,195.05,847.02,847.02,847.02,847.02,6390.65,6390.65,6390.65,6390.65,2414.65,2414.65,2414.65,2414.65,2571.15,2571.15,2774.06,2774.06,2804.71,2757.64,1187.54,1187.54,1187.54,1187.54,1844.16,1844.16,1703.48,1703.48,1703.48,1570.92,1570.92,1534.39,1534.39,1550.78,1550.78,1701.73,1701.73,1535.22,1519.21,1816.04,1910.03,1910.03,2133.58,2133.58,1771.04,1759.17,1759.17,1759.17,1759.17,2345.04,2345.04,2345.04,3210.13,3210.13,3210.13,3323.31,3281.84,3300.89,3300.89,4321.65,4321.65,4321.65,4419.41,4419.41,4385.22,4385.22,4385.22,4419.41,4390.93,4385.22,4385.22,4321.65,4321.65,4796.19,4862.53,4830.05,6104.54,6259.53,6302.35,6467.62,6467.62,6467.62,2955.33,2955.33,2955.33,2955.33,2838.30,2838.30,2994.54,2994.54,2915.42,2838.30,2838.30,2751.90,2751.90,2751.90,2994.54,2994.54,3618.03,3618.03,3618.03,3618.03,4774.55,4847.64,4774.55,4720.02,4720.02,4720.02,5025.77,5042.16,5042.16,5083.28,5083.28,4951.46,5025.77,4920.65,4920.65,4920.65,4920.65,4902.70,4798.59,4757.75,4721.13,4721.13,4902.70
K204D4A,1243.25,1243.25,1243.25,1243.25,877.85,877.85,0.00,0.00,0.00,0.00,942.84,942.84,942.84,942.84,7018.64,7018.64,7018.64,7018.64,3042.65,3042.65,3042.65,3042.65,3199.14,3199.14,3402.06,3402.06,3432.70,3385.63,2065.39,2065.39,2065.39,2065.39,2722.02,2722.02,2581.33,2581.33,2581.33,2448.78,2448.78,2412.24,2412.24,2428.63,2428.63,2579.59,2579.59,2413.08,2397.06,2693.89,2538.03,2538.03,2761.57,2761.57,2399.03,2387.16,2387.16,2387.16,2387.16,2973.03,2973.03,2973.03,3838.12,3838.12,3838.12,3951.30,3909.84,3928.89,3928.89,4949.64,4949.64,4949.64,5047.40,5047.40,5013.22,5013.22,5013.22,5047.40,5018.93,5013.22,5013.22,4949.64,4949.64,5424.18,5490.52,5458.04,6982.40,7137.38,7180.20,7345.47,7345.47,7345.47,3833.18,3833.18,3833.18,3833.18,3716.15,3716.15,3872.39,3872.39,3793.27,3716.15,3716.15,3629.76,3629.76,3629.76,3872.39,3872.39,4495.89,4495.89,4495.89,4495.89,5402.54,5475.64,5402.54,5348.01,5348.01,5348.01,5653.76,5670.15,5670.15,5711.28,5711.28,5579.46,5653.76,5798.50,5798.50,5798.50,5798.50,5780.55,5676.45,5635.61,5598.99,5598.99,5780.55
K204D4B,1243.25,1243.25,1243.25,1243.25,877.85,877.85,0.00,0.00,0.00,0.00,942.84,942.84,942.84,942.84,7018.64,7018.64,7018.64,7018.64,3042.65,3042.65,3042.65,3042.65,3199.14,3199.14,3402.06,3402.06,3432.70,3385.63,2065.39,2065.39,2065.39,2065.39,2722.02,2722.02,2581.33,2581.33,2581.33,2448.78,2448.78,2412.24,2412.24,2428.63,2428.63,2579.59,2579.59,2413.08,2397.06,2693.89,2538.03,2538.03,2761.57,2761.57,2399.03,2387.16,2387.16,2387.16,2387.16,2973.03,2973.03,2973.03,3838.12,3838.12,3838.12,3951.30,3909.84,3928.89,3928.89,4949.64,4949.64,4949.64,5047.40,5047.40,5013.22,5013.22,5013.22,5047.40,5018.93,5013.22,5013.22,4949.64,4949.64,5424.18,5490.52,5458.04,6982.40,7137.38,7180.20,7345.47,7345.47,7345.47,3833.18,3833.18,3833.18,3833.18,3716.15,3716.15,3872.39,3872.39,3793.27,3716.15,3716.15,3629.76,3629.76,3629.76,3872.39,3872.39,4495.89,4495.89,4495.89,4495.89,5402.54,5475.64,5402.54,5348.01,5348.01,5348.01,5653.76,5670.15,5670.15,5711.28,5711.28,5579.46,5653.76,5798.50,5798.50,5798.50,5798.50,5780.55,5676.45,5635.61,5598.99,5598.99,5780.55
K204D5A,1243.25,1243.25,1243.25,1243.25,877.85,877.85,0.00,0.00,0.00,0.00,942.84,942.84,942.84,942.84,7018.64,7018.64,7018.64,7018.64,3042.65,3042.65,3042.65,3042.65,3199.14,3199.14,3402.06,3402.06,3432.70,3385.63,2065.39,2065.39,2065.39,2065.39,2722.02,2722.02,2581.33,2581.33,2581.33,2448.78,2448.78,2412.24,2412.24,2428.63,2428.63,2579.59,2579.59,2413.08,2397.06,2693.89,2538.03,2538.03,2761.57,2761.57,2399.03,2387.16,2387.16,2387.16,2387.16,2973.03,2973.03,2973.03,3838.12,3838.12,3838.12,3951.30,3909.84,3928.89,3928.89,4949.64,4949.64,4949.64,5047.40,5047.40,5013.22,5013.22,5013.22,5047.40,5018.93,5013.22,5013.22,4949.64,4949.64,5424.18,5490.52,5458.04,6982.40,7137.38,7180.20,7345.47,7345.47,7345.47,3833.18,3833.18,3833.18,3833.18,3716.15,3716.15,3872.39,3872.39,3793.27,3716.15,3716.15,3629.76,3629.76,3629.76,3872.39,3872.39,4495.89,4495.89,4495.89,4495.89,5402.54,5475.64,5402.54,5348.01,5348.01,5348.01,5653.76,5670.15,5670.15,5711.28,5711.28,5579.46,5653.76,5798.50,5798.50,5798.50,5798.50,5780.55,5676.45,5635.61,5598.99,5598.99,5780.55
K204D5B,1243.25,1243.25,1243.25,1243.25,877.85,877.85,0.00,0.00,0.00,0.00,942.84,942.84,942.84,942.84,7018.64,7018.64,7018.64,7018.64,3042.65,3042.65,3042.65,3042.65,3199.14,3199.14,3402.06,3402.06,3432.70,3385.63,2065.39,2065.39,2065.39,2065.39,2722.02,2722.02,2581.33,2581.33,2581.33,2448.78,2448.78,2412.24,2412.24,2428.63,2428.63,2579.59,2579.59,2413.08,2397.06,2693.89,2538.03,2538.03,2761.57,2761.57,2399.03,2387.16,2387.16,2387.16,2387.16,2973.03,2973.03,2973.03,3838.12,3838.12,3838.12,3951.30,3909.84,3928.89,3928.89,4949.64,4949.64,4949.64,5047.40,5047.40,5013.22,5013.22,5013.22,5047.40,5018.93,5013.22,5013.22,4949.64,4949.64,5424.18,5490.52,5458.04,6982.40,7137.38,7180.20,7345.47,7345.47,7345.47,3833.18,3833.18,3833.18,3833.18,3716.15,3716.15,3872.39,3872.39,3793.27,3716.15,3716.15,3629.76,3629.76,3629.76,3872.39,3872.39,4495.89,4495.89,4495.89,4495.89,5402.54,5475.64,5402.54,5348.01,5348.01,5348.01,5653.76,5670.15,5670.15,5711.28,5711.28,5579.46,5653.76,5798.50,5798.50,5798.50,5798.50,5780.55,5676.45,5635.61,5598.99,5598.99,5780.55
