detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K204D4B,0.69152823702917,0.04014412137958,tertiary,Braunschweiger Straße,50,wolfsburg,1,42,10.7835934,52.4163134
K204D4A,0.692541253722965,0.023975963970262,tertiary,Braunschweiger Straße,50,wolfsburg,1,43,10.7836443,52.4163101
K204D5B,0.122680373887256,0.025041960617655,secondary,Braunschweiger Straße,50,wolfsburg,1,160,10.7836926,52.4163118
K204D5A,0.107728033249149,0.023274707333362,secondary,Braunschweiger Straße,50,wolfsburg,1,161,10.7837463,52.4163036
K204D1A,0.236430752785627,0.034801817692684,tertiary,Braunschweiger Straße,50,wolfsburg,1,44,10.783478,52.4173015
K204D1B,0.236267040487059,0.034282941777354,tertiary,Braunschweiger Straße,50,wolfsburg,1,45,10.7835397,52.4172999
K204D2AV,0.061475805255611,0.033929038383791,tertiary,Braunschweiger Straße,50,wolfsburg,1,158,10.7835934,52.4173015
K204D2BV,0.047489680494828,0.033514517478723,tertiary,Braunschweiger Straße,50,wolfsburg,1,159,10.7836309,52.417295
K204D3A,0.119886862239137,0.021380788560843,secondary,Siemensstraße,50,wolfsburg,1,38,10.7842934,52.416778
K204D3B,0.121063121422746,0.021898625663298,secondary,Siemensstraße,50,wolfsburg,1,39,10.784288,52.416742
K205D1A,0.69697997488364,0.501809594226751,secondary,Braunschweiger Straße,50,wolfsburg,1,40,10.7832876,52.4152386
K205D1B,0.699572207644234,0.504122859666781,secondary,Braunschweiger Straße,50,wolfsburg,1,41,10.7833493,52.4152402
K205D2B,0.69152823702917,0.209306624413138,secondary,Braunschweiger Straße,50,wolfsburg,1,42,10.7833734,52.4146513
K205D2A,0.692541253722965,0.21004880138783,secondary,Braunschweiger Straße,50,wolfsburg,1,43,10.7834378,52.4146431
K210D2A,0.08483008312545,0.004150381631619,secondary,,50,wolfsburg,1,53,10.7151809,52.4354039
K210D2AV,0.08483008312545,0.034425186428826,secondary,,50,wolfsburg,1,53,10.7156235,52.4353744
K210D1A,0.415405855968075,0.007937608437319,tertiary,Weyhäuser Weg,50,wolfsburg,1,49,10.7146445,52.4356524
K210D1B,0.080285507432163,0.006992566499101,tertiary,Weyhäuser Weg,50,wolfsburg,1,48,10.7146928,52.4356508
K216Z3A,0.651263536427138,0.614986518475176,tertiary,,50,wolfsburg,1,96,10.7628813,52.4268884
K216Z2C,0.458732585913356,0.417285675889308,tertiary,Oststraße,50,wolfsburg,1,189,10.7632568,52.4272842
K216Z2A,0.549741425072382,0.099804416492883,tertiary,Oststraße,50,wolfsburg,1,190,10.7633105,52.4272989
K216Z1A,0.425836628116337,0.319117416300962,tertiary,Oststraße,50,wolfsburg,1,97,10.7640481,52.426666
K236Z1,0.236461028988183,0.214681699496718,tertiary,Oststraße,50,wolfsburg,1,100,10.7630262,52.4283882
K236Z2,0.212523539577149,0.209589534512217,other,,0,wolfsburg,1,101,10.7628894,52.4284176
K236Z4,0.458732585913356,0.079793301104639,tertiary,,50,wolfsburg,1,189,10.7600033,52.4290195
K236Z3,0.314358078269896,0.082945017537468,tertiary,,50,wolfsburg,1,191,10.7600597,52.4290342
K236Z6A,1.329647107264,1.29593864437219,tertiary,Stellfelder Straße,50,wolfsburg,1,98,10.759424,52.4289017
