detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
563Stau2_1,0.162217602508474,0.090331404809764,primary,Nauenstrasse,50,basel,1,37,7.591678,47.548394
563Stau2,0.1675272522529,0.08592692565901,primary,Nauenstrasse,50,basel,1,38,7.591626,47.548346
563D6_8,0.152383029310789,0.044107257818636,primary,Nauenstrasse,50,basel,1,39,7.59196,47.548474
563D6_9,0.088018481588315,0.0469719998786,primary,Nauenstrasse,50,basel,1,40,7.591927,47.548432
563D33_8,0.216970176092128,0.062665970679038,primary,Elisabethenanlage,0,basel,1,55,7.5895467,47.5491823
563D34_8,0.578449003267868,0.061709802583968,secondary,Elisabethenanlage,50,basel,1,77,7.589581,47.549239
563D34_9,0.284674648939544,0.064342548341584,primary,Elisabethenanlage,50,basel,1,54,7.589601,47.549302
563Stau34,0.578449003267868,0.093849469138832,secondary,Elisabethenanlage,50,basel,1,77,7.589172,47.549314
563Stau35,0.118282155876504,0.057634892009711,primary,Elisabethenanlage,50,basel,1,52,7.589945,47.54926
563D4_8,0.372923294391361,0.053226146924298,secondary,Aeschengraben,50,basel,1,43,7.591679,47.549293
563D4_9,0.209652096013738,0.054964306998879,secondary,Aeschengraben,50,basel,1,44,7.591736,47.549285
563Stau3_1,0.222754291580003,0.130907292816473,secondary,Aeschengraben,50,basel,1,42,7.591841,47.549171
563Stau3,0.185165023732166,0.177372591749076,secondary,Aeschengraben,50,basel,1,41,7.591892,47.549147
560D2_8,0.185165023732166,0.039260358640048,secondary,Aeschengraben,50,basel,1,41,7.59274,47.549708
560D2_9,0.222754291580003,0.040753037094201,secondary,Aeschengraben,50,basel,1,42,7.592693,47.549741
560SD2_4,0.176413482206373,0.138867765804723,secondary,Aeschengraben,50,basel,1,46,7.5936195,47.5503357
560SD2_5,0.180478299966575,0.135186470883943,secondary,Aeschengraben,50,basel,1,45,7.5936257,47.5504073
560SD2,0.176413482206373,0.08483240030025,secondary,Aeschengraben,50,basel,1,46,7.5941222,47.5506827
560SD2_1,0.180478299966575,0.081902002578417,secondary,Aeschengraben,50,basel,1,45,7.594129,47.5507434
566D5_9,0.220750936966729,0.057905577131865,primary,Nauenstrasse,50,basel,1,14,7.595548,47.546301
566D5_8,0.22143521610442,0.05836073351495,primary,Nauenstrasse,50,basel,1,15,7.595525,47.546272
566D1_8,0.18928089704918,0.069595469943275,primary,Nauenstrasse,50,basel,1,8,7.597499,47.545708
566D1_9,0.097710848143561,0.07059616407647,primary,Nauenstrasse,50,basel,1,9,7.597474,47.545675
566D7_8,0.17777282219826,0.053770073347568,secondary,Lindenhofstrasse,50,basel,1,18,7.597007,47.546462
566D6_8,0.088748191900628,0.0639652049746,residential,Lindenhofstrasse,30,basel,1,17,7.597024,47.546571
566D6_9,0.174387295334337,0.063575926097399,secondary,Lindenhofstrasse,50,basel,1,16,7.597059,47.546549
566D8_8,0.084660488972652,0.063443331919061,secondary,Lindenhofstrasse,50,basel,1,19,7.597142,47.546506
567D11_8,0.057883992126928,0.049674027610399,primary,Nauenstrasse,50,basel,1,10,7.59794,47.545526
567D10_9,0.195655814251598,0.054698653444936,primary,Nauenstrasse,50,basel,1,76,7.5979187,47.5455122
567D10_8,0.198815611482379,0.057571206957078,primary,Nauenstrasse,50,basel,1,11,7.5979044,47.545479
567D4_8,0.301784144193403,0.044407059443924,primary,Grosspeterstrasse,50,basel,1,7,7.600146,47.545245
567D1_9,0.17832071033531,0.065648870042212,secondary,Münchensteinerstrasse,50,basel,1,22,7.598422,47.546079
567D1_8,0.146160114266471,0.066527803963814,secondary,Münchensteinerstrasse,50,basel,1,23,7.598378,47.546078
572D2_8,0.017457533160916,0.004315786712132,primary,Münchensteinerstrasse,0,basel,1,4,7.598788,47.545106
572D2_9,0.102518799636773,0.056817480933412,primary,Münchensteinerstrasse,0,basel,1,3,7.598827,47.545116
572D2_10,0.105072068557031,0.059723412627117,primary,Münchensteinerstrasse,0,basel,1,2,7.598863,47.545127
