detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K123.D4.2,0.446927254201333,0.02867612247099,tertiary,Morillonstrasse,50,bern,1,227,7.4351234,46.9346798
K024.D4.3,0.072176267831747,0.001132562828505,secondary,Hodlerstrasse,50,bern,1,18,7.4421592,46.9519216
K123.D1.2,0.223025851019598,0.01286552942384,tertiary,Morillonstrasse,50,bern,1,228,7.4354818,46.9353086
K123.D1.1,0.223025851019598,0,tertiary,Morillonstrasse,50,bern,1,228,7.435434,46.9351958
K078.D2.4,0.418011063199126,0.10819305611363,secondary,Ostermundigenstrasse,50,bern,1,170,7.463267,46.9522586
K123.D4.3,0.125461269917572,0.025231272734626,secondary,Seftigenstrasse,50,bern,1,224,7.4359718,46.935025
K024.D6.1,0.032245669442601,0.00255200933695,primary,Bollwerk,50,bern,1,17,7.4419664,46.9519694
K024.D6.3,0.070333305971537,0.001993615160505,primary,Bollwerk,50,bern,1,16,7.4419402,46.9519888
K024.D7.4,0.070425482264394,0.003048757085569,primary,Bollwerk,50,bern,1,14,7.441855,46.952025
K016.D7.1,0.397830754938272,0.005888738454863,primary,Effingerstrasse,50,bern,1,55,7.4267838,46.9455984
K024.D6.2,0.070333305971537,0.028158711483653,primary,Bollwerk,50,bern,1,16,7.441686,46.9518302
K024.D7.3,0.070425482264394,0.028115381265435,primary,Bollwerk,50,bern,1,14,7.441629,46.9518608
K016.D5.1,0.065405548148902,0.009254327537153,residential,Brunnmattstrasse,30,bern,1,58,7.4271132,46.945798
K023.D1.3,0.086332692439773,0.046914719768208,primary,Bollwerk,50,bern,1,12,7.4415432,46.9518688
K016.D1.1,0.147743001978147,0.002042839236464,primary,Effingerstrasse,50,bern,1,56,7.4274532,46.9456926
K016.D3.1,0.09102051504098,0.01111022842838,tertiary,Brunnmattstrasse,50,bern,1,59,7.4271614,46.9454424
K023.D1.2,0.085671731491682,0.019952684233255,primary,Bollwerk,50,bern,1,13,7.4412734,46.9517068
K023.D19.3,0.093770761895606,0.006764734684074,primary,Bollwerk,50,bern,1,2,7.4406832,46.9506796
K063.D2.4,0.615690293407017,0.070026696391154,secondary,Muristrasse,50,bern,1,182,7.4596084,46.9446028
K023.D19.5,0.09421490068844,0.00146316175251,primary,Bollwerk,50,bern,1,3,7.4406494,46.9507286
K005.D3.1,0.068490504959105,0.003380326092433,secondary,Effingerstrasse,0,bern,1,96,7.4340028,46.9459934
K013.D4.4,0.061295394112073,0.001718648488924,primary,Laupenstrasse,50,bern,1,40,7.4345314,46.9473084
K013.D5.5,0.06107291280856,0.027351408144542,primary,Belpstrasse,50,bern,1,95,7.4342484,46.946894
K050.D5.1,0.10631098411398,0.003014478368691,primary,Kirchenfeldstrasse,50,bern,1,194,7.447787,46.940097
K014.D3.2,0.128699945792168,0.075721131411867,primary,Laupenstrasse,50,bern,1,34,7.4362896,46.94725
K050.D5.2,0.107213918950338,0.00204725610603,primary,Kirchenfeldstrasse,50,bern,1,195,7.4477798,46.9400682
K017.D5.1,0.02537049751336,0.002592415667725,secondary,Schanzenstrasse,50,bern,1,132,7.4372854,46.9474216
K017.D33.2,0.07652310498678,0.028103622210917,primary,Bubenbergplatz,50,bern,1,31,7.4381936,46.9472844
K023.D16.1,0.083485466611028,0.002439837368438,residential,Speichergasse,50,bern,1,6,7.4405614,46.9509474
K023.D16.3,0.03984590235782,0.001694851921474,residential,Speichergasse,50,bern,1,435,7.4406104,46.9509416
