detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
N12111R,0.088721957805706,0.059180871474625,secondary,High Street Deritend,48,birmingham,2,67,-1.8835693387159,52.474644473457
N13182E,0.240176447906598,0.117301107922278,tertiary,Smallbrook Queensway,48,birmingham,1,61,-1.89687117377382,52.4763346907442
N52121I,0.085522619256338,0.064331482710813,tertiary,Snow Hill Queensway,32,birmingham,1,60,-1.89891202063615,52.4849767134554
N52121O,0.07432178921308,0.050031426254926,trunk,Queensway,48,birmingham,1,58,-1.89898891046636,52.4850152751298
N52121P,0.073683553356174,0.051527020171699,trunk,St Chads Circus Queensway,0,birmingham,1,59,-1.89895671489192,52.4849994641356
N12112P,0.307475965086161,0.236420930390177,secondary,High Street Bordesley,48,birmingham,2,53,-1.87976893355495,52.4728639625095
N12141W,0.266422616094798,0.162801361603916,tertiary,Bradford Street,48,birmingham,1,54,-1.88156910313646,52.4717570690232
N19121J,0.274699663171168,0.096177046283185,secondary,Jennens Road,48,birmingham,1,57,-1.88869711031736,52.4829642178901
N19131B,0.160220108910021,0.049931039691777,other,Newton Street,32,birmingham,1,56,-1.89209384441734,52.4824007067762
N33121J,0.076715329222744,0.061421209863151,trunk_link,,48,birmingham,1,69,-1.9000707825922,52.4668659110167
N38121K,0.065067567928747,0.048243738507771,other,Hurst Street,32,birmingham,1,63,-1.89309607201455,52.4714031526343
N17131X,0.355894594086373,0.060032866563726,tertiary,Pershore Street,32,birmingham,1,18,-1.89616646025186,52.4759724723539
N52121M,0.120935906076926,0.109088312794367,secondary,Old Snow Hill,48,birmingham,2,45,-1.9005663581573,52.4860938787305
N11111J,0.10329222967423,0.089745611972517,other,Rea Street,48,birmingham,1,34,-1.88831011295158,52.4744948767569
N11131C,0.50076935336958,0.074529076280559,other,Rea Street,32,birmingham,1,43,-1.88895064949763,52.473647349685
N11131D,0.216825515433334,0.055437967495632,tertiary,Bradford Street,48,birmingham,1,33,-1.88938349650183,52.4747417635415
N12112V,0.183823144152462,0.157323502705761,tertiary,Alcester Street,48,birmingham,1,42,-1.8836196,52.4729363
N12131A,0.195400217400842,0.148391168542444,secondary,Camp Hill,48,birmingham,3,36,-1.8790038,52.4722004
N12131B,0.184757462955393,0.074294100099311,secondary,Camp Hill,48,birmingham,3,37,-1.8789608,52.4699925
N12131C,0.10762105985604,0.097496705307219,tertiary,Bradford Street,48,birmingham,1,39,-1.88020541618947,52.4712959481329
N12132D,0.203013275719929,0.058321722102487,secondary,Camp Hill,48,birmingham,3,38,-1.8789427,52.4696347
N12141E,0.365732373739058,0.330467309439274,tertiary,Bradford Street,48,birmingham,1,35,-1.88801248600728,52.474214834301
N12151X,0.271766420894535,0.198699069011426,tertiary,Bradford Street,48,birmingham,1,41,-1.88283269766224,52.4722682533618
N12151Y,0.115015229326703,0.083794641455856,tertiary,Bradford Street,48,birmingham,1,40,-1.87922089867084,52.4708749516502
N17111B,0.113658194527709,0.087444447833786,secondary,Park Street,32,birmingham,2,25,-1.89161580748556,52.4778844445352
N17111C,0.091767750399967,0.054508563794934,secondary,Moat Lane,48,birmingham,2,23,-1.8926695,52.4765573
N17122K,0.428304206695473,0.137898260299267,tertiary,Park Street,32,birmingham,2,31,-1.8908173,52.4791236
N17131U,0.131568669215265,0.07207790928515,tertiary,Pershore Street,32,birmingham,2,20,-1.89605812564287,52.4759806779944
N17151S,0.196467780391112,0.110954262550794,secondary,Digbeth,48,birmingham,3,24,-1.8918329,52.4766284
