detid_Y,N51141G,N51151A,N51151B,N51151D,N51161W,N51161X,N51161Y,N51161Z,N51171L,N51171M,N51171N,N51171R,N51171S,N51171U,N51171V,N51231N,N51231O,N51231P,N51232K,N51232L,N51241B,N51241D,N51241E,N51241F,N51242G,N51242H,N51242J,N51261A,N51261B,N51261H,N51261X,N51261Y,N51261Z,N51271H,N51271I,N51271J,N51311A,N51311M,N51311Z,N51321P,N51321R,N51321S,N51321T,N51321U,N51321X,N51331A,N51331B,N51331K,N51331L,N51331Y,N51331Z,N51341A,N51341V,N51341W,N51341X,N51342A,N51343U,N51351B,N51351J,N51351M,N51351N,N51351S,N51351U,N51352P,N51352Q,N51361O,N51381C,N51381D,N51381F,N51381G,N51381M,N51381Q,N51381R,N51391C,N51391E,N51391F,N51391I,N51391X,N52151A,N52151B,N52151F,N52151Y,N52152E,N52161J,N52161L,N52161Q,N52171A,N52171K,N52171M,N52171O,N52172N,N52191C,N52191E,N52191F,N52191L,N52211A,N52211B,N52211D,N53141A,N53141B,N53141C,N53141D,N53151A,N53151B,N53151Z,N53211E,N53211G,N53211H,N53211I,N53222J,N53222K,N53222L,N53231D,N53231F,N53231G,N53241V,N53241W,N53241X,N53251K,N53251L,N53261F,N53261U,N53261V,N53261W,N53261X,N53261Y,N53271I,N53271R,N53272A,N53272C,N53272D,N53272E,N53281G,N53282H,N53291A,N53291B,N53291C,N53291Y,N53291Z,N53311D,N53311L,N53312B,N53312C,N53312S,N53312T,N53312U,N53313E,N53381H,N53382G,N53391J,N53391K,N53391M,N53391N,N53391Q,N53411A,N53411K,N53411L,N53411M,N53411O,N53411P,N53421R,N53421S,N53421U,N53481E,N53481F,N53481G
N51141G,0.00,217.62,47.38,357.71,609.48,497.38,465.32,484.01,974.91,974.91,807.25,670.33,569.28,357.71,357.71,1207.76,1392.86,1359.63,1130.95,1271.31,1071.57,1055.79,1055.79,1188.24,1004.92,1202.13,1207.76,1890.23,1993.68,2027.25,2157.20,2157.20,2020.03,1516.88,1465.53,1372.21,1766.87,1597.81,2682.42,1395.35,1207.68,1434.34,1361.90,1361.90,1503.51,1720.31,1845.19,1842.10,2231.45,1720.31,1645.21,1652.34,1894.93,2012.64,1964.40,2096.10,1880.54,2188.04,2019.06,2091.08,2290.40,2103.46,2103.46,2019.06,1764.09,2091.08,1607.24,1483.11,1455.99,1529.57,1474.94,1474.31,1474.31,1820.02,1766.87,1645.21,1852.50,1820.02,1952.87,1952.87,1952.87,1795.21,1952.87,2043.40,1880.72,1757.66,1964.40,2001.51,1782.58,1810.99,1880.72,1481.63,1573.42,1573.42,1754.25,1474.94,1432.01,1526.61,2424.13,2385.52,2281.75,2219.69,1718.91,1525.67,1793.24,2321.26,2565.26,2151.40,1960.49,2197.09,2051.89,1887.19,1635.80,1372.21,1741.28,1372.21,1191.22,1332.62,1372.21,1351.01,1431.92,1420.75,1402.12,1929.63,1127.85,1396.15,1431.92,1767.73,1372.21,1549.90,1813.51,1804.14,1444.84,1943.58,1195.19,1314.24,1333.48,1195.60,1314.24,1951.80,1897.51,1578.18,1820.36,1804.14,1820.36,1800.73,1897.51,1994.79,1833.98,1310.43,1402.12,1677.95,1677.95,1929.63,1004.01,784.73,784.73,1351.01,1699.42,1004.01,1317.73,1123.79,1127.88,922.63,828.89,1087.34
N51151A,217.62,0.00,265.00,335.63,587.40,279.76,247.69,492.33,952.84,952.84,785.17,648.25,400.03,335.63,335.63,1185.68,1370.78,1337.56,1108.88,1249.23,1049.50,1033.71,1033.71,1166.16,982.84,1180.05,1185.68,1672.60,1971.60,1809.63,1939.57,1939.57,1802.40,1299.25,1247.91,1154.59,1744.80,1575.73,2464.80,1373.27,1185.60,1412.27,1339.83,1339.83,1481.44,1698.23,1823.11,1820.02,2209.38,1698.23,1623.13,1630.27,1872.86,1990.56,1942.32,2074.03,1858.46,2165.97,1996.98,2069.01,2268.33,2081.39,2081.39,1996.98,1742.02,2069.01,1585.16,1461.03,1433.91,1507.50,1452.86,1452.24,1452.24,1797.94,1744.80,1623.13,1830.42,1797.94,1930.79,1930.79,1930.79,1773.13,1930.79,1825.77,1663.09,1735.58,1746.77,1783.89,1564.95,1593.37,1663.09,1459.55,1551.34,1551.34,1732.17,1452.86,1409.93,1504.54,2206.50,2167.90,2064.13,2002.06,1501.29,1308.04,1575.61,2103.64,2347.63,1933.77,1742.87,1979.46,1834.26,1669.57,1418.17,1154.59,1523.66,1154.59,973.60,1115.00,1154.59,1133.39,1214.29,1203.13,1184.50,1712.01,910.22,1178.52,1214.29,1550.11,1154.59,1332.28,1595.88,1586.51,1227.22,1725.96,977.57,1096.62,1115.86,977.98,1096.62,1734.18,1679.89,1360.56,1602.74,1586.51,1602.74,1583.10,1679.89,1777.17,1616.36,1092.80,1184.50,1460.32,1460.32,1712.01,786.38,567.10,567.10,1133.39,1481.79,786.38,1100.10,906.17,910.26,705.00,611.26,1065.26
N51151B,47.38,265.00,0.00,405.09,656.85,544.76,512.70,531.39,1022.29,1022.29,854.63,717.71,616.66,405.09,405.09,1255.13,1440.24,1407.01,1178.33,1318.69,1118.95,1103.17,1103.17,1235.62,1052.30,1249.51,1255.13,1937.61,2041.06,2074.63,2204.58,2204.58,2067.41,1564.26,1512.91,1419.59,1814.25,1645.19,2729.80,1442.73,1255.06,1481.72,1409.28,1409.28,1550.89,1767.69,1892.57,1889.48,2278.83,1767.69,1692.59,1699.72,1942.31,2060.02,2011.78,2143.48,1927.92,2235.42,2066.44,2138.46,2337.78,2150.84,2150.84,2066.44,1811.47,2138.46,1654.62,1530.48,1503.37,1576.95,1522.32,1521.69,1521.69,1867.40,1814.25,1692.59,1899.88,1867.40,2000.25,2000.25,2000.25,1842.59,2000.25,2090.78,1928.10,1805.04,2011.78,2048.89,1829.96,1858.37,1928.10,1529.01,1620.80,1620.80,1801.63,1522.32,1479.38,1573.99,2471.51,2432.90,2329.13,2267.07,1766.29,1573.05,1840.62,2368.64,2612.64,2198.78,2007.87,2244.47,2099.26,1934.57,1683.18,1419.59,1788.66,1419.59,1238.60,1380.00,1419.59,1398.39,1479.30,1468.13,1449.50,1977.01,1175.22,1443.52,1479.30,1815.11,1419.59,1597.28,1860.89,1851.52,1492.22,1990.96,1242.57,1361.62,1380.86,1242.98,1361.62,1999.18,1944.89,1625.56,1867.74,1851.52,1867.74,1848.11,1944.89,2042.17,1881.36,1357.81,1449.50,1725.33,1725.33,1977.01,1051.39,832.11,832.11,1398.39,1746.80,1051.39,1365.10,1171.17,1175.26,970.01,876.27,1134.72
N51151D,450.23,335.63,402.85,0.00,251.77,171.95,344.39,156.69,617.21,617.21,449.54,312.62,211.57,0.00,0.00,850.05,1035.15,1001.93,773.24,913.60,713.86,698.08,698.08,830.53,647.21,844.42,850.05,1692.49,1635.97,1811.14,1845.61,1845.61,1822.29,1319.14,1267.79,1174.47,1409.17,1240.10,2370.83,1037.64,849.97,1076.63,1004.19,1004.19,1145.80,1362.60,1487.48,1484.39,1873.75,1362.60,1287.50,1294.64,1537.22,1654.93,1606.69,1738.39,1522.83,1830.34,1661.35,1733.37,1932.69,1745.76,1745.76,1661.35,1406.38,1733.37,1249.53,1125.40,1098.28,1171.86,1117.23,1116.60,1116.60,1462.31,1409.17,1287.50,1494.79,1462.31,1595.16,1595.16,1595.16,1437.50,1595.16,1795.00,1682.98,1399.95,1697.42,1803.78,1584.84,1613.25,1682.98,1123.92,1215.71,1215.71,1396.54,1117.23,1074.30,1168.91,2226.39,2187.78,2084.01,2021.95,1521.17,1327.93,1595.50,2123.52,2367.52,1953.66,1762.75,1999.35,1854.15,1689.46,1438.06,1174.47,1543.55,1174.47,993.49,1134.88,1174.47,1153.28,1234.18,1223.01,1204.38,1763.08,930.11,1198.41,1234.18,1569.99,1174.47,1352.16,1615.77,1606.40,1247.11,1745.84,997.45,1116.50,1135.75,997.87,1116.50,1754.06,1699.77,1380.45,1622.62,1606.40,1622.62,1602.99,1699.77,1797.05,1636.24,1112.69,1204.38,1480.21,1480.21,1763.08,841.70,586.99,586.99,1153.28,1616.58,841.70,1245.47,961.48,1148.02,724.89,678.08,729.63
N51161W,838.80,724.20,791.42,388.56,0.00,560.52,732.96,520.00,365.44,365.44,494.07,60.85,600.14,388.56,388.56,598.28,783.38,750.16,521.47,661.83,462.10,446.31,446.31,578.76,395.44,592.65,598.28,1729.33,1384.20,1559.37,1593.84,1593.84,1675.75,1355.98,1275.64,1211.31,1157.40,988.33,2119.07,785.87,598.20,824.87,752.43,752.43,894.04,1110.83,1235.71,1232.62,1621.98,1110.83,1035.73,1042.87,1285.46,1403.16,1354.92,1486.63,1271.06,1578.57,1409.58,1481.61,1680.93,1493.99,1493.99,1409.58,1154.62,1481.61,997.76,873.63,846.51,920.10,865.46,864.84,864.84,1210.54,1157.40,1035.73,1243.02,1210.54,1343.39,1343.39,1343.39,1185.73,1343.39,1543.23,1529.33,1148.18,1445.65,1585.11,1621.68,1650.09,1529.33,872.15,963.94,963.94,1144.77,865.46,822.53,917.14,2263.23,2224.62,2120.85,2058.79,1558.01,1364.77,1632.34,2160.36,2404.36,1946.01,1799.59,2036.19,1890.99,1726.30,1474.90,1211.31,1580.38,1211.31,1030.32,1171.72,1211.31,1190.11,1242.03,1230.86,1212.23,1770.93,937.95,1206.25,1242.03,1577.84,1211.31,1360.01,1652.61,1614.24,1254.95,1753.69,1034.29,1153.34,920.50,1034.70,1153.34,1761.91,1707.62,1388.29,1630.47,1614.24,1630.47,1610.83,1707.62,1804.90,1644.09,1120.54,1212.23,1488.06,1488.06,1770.93,878.54,623.83,623.83,1190.11,1653.42,878.54,1282.31,998.32,1207.31,761.73,714.92,477.86
N51161X,497.38,279.76,544.76,171.95,423.72,0.00,288.52,328.65,789.16,789.16,621.49,484.57,200.85,171.95,171.95,1022.00,1207.10,1173.88,945.20,1085.55,885.82,870.03,870.03,1002.48,819.16,1016.37,1022.00,1520.54,1807.92,1657.56,1787.51,1787.51,1650.34,1147.19,1095.84,1002.52,1581.12,1412.05,2312.73,1209.59,1021.92,1248.59,1176.15,1176.15,1317.76,1534.55,1659.43,1656.34,2045.70,1534.55,1459.45,1466.59,1709.18,1826.88,1778.64,1910.35,1694.78,2002.29,1833.30,1905.33,2104.65,1917.71,1917.71,1833.30,1578.34,1905.33,1421.48,1297.35,1270.23,1343.82,1289.18,1288.56,1288.56,1634.26,1581.12,1459.45,1666.74,1634.26,1767.11,1767.11,1767.11,1609.45,1767.11,1673.70,1511.03,1571.90,1594.71,1631.82,1412.89,1441.30,1511.03,1295.87,1387.66,1387.66,1568.49,1289.18,1246.25,1340.86,2054.44,2015.83,1912.06,1849.99,1349.22,1155.98,1423.54,1951.57,2195.57,1781.70,1590.80,1827.40,1682.19,1517.50,1266.11,1002.52,1371.59,1002.52,821.53,962.93,1002.52,981.32,1062.23,1051.06,1032.43,1591.13,758.15,1026.45,1062.23,1398.04,1002.52,1180.21,1443.82,1434.45,1075.15,1573.89,825.50,944.55,963.79,825.91,944.55,1582.11,1527.82,1208.49,1450.67,1434.45,1450.67,1431.04,1527.82,1625.10,1464.29,940.74,1032.43,1308.26,1308.26,1591.13,669.75,415.04,415.04,981.32,1444.63,669.75,1073.52,789.53,998.52,552.94,506.13,901.58
N51161Y,465.32,247.69,512.70,344.39,596.16,288.52,0.00,501.09,961.60,961.60,793.93,657.01,408.79,344.39,344.39,1194.44,1379.54,1346.32,1117.63,1257.99,1058.26,1042.47,1042.47,1174.92,991.60,1188.81,1194.44,1775.84,1980.36,1912.87,2042.81,2042.81,1905.64,1402.49,1351.15,1257.83,1753.56,1584.49,2568.04,1382.03,1194.36,1421.03,1348.59,1348.59,1490.20,1706.99,1831.87,1828.78,2218.14,1706.99,1631.89,1639.03,1881.62,1999.32,1951.08,2082.79,1867.22,2174.73,2005.74,2077.77,2277.09,2090.15,2090.15,2005.74,1750.78,2077.77,1593.92,1469.79,1442.67,1516.26,1461.62,1461.00,1461.00,1806.70,1753.56,1631.89,1839.18,1806.70,1939.55,1939.55,1939.55,1781.89,1939.55,1929.01,1766.34,1744.34,1850.01,1887.13,1668.19,1696.61,1766.34,1468.31,1560.10,1560.10,1740.93,1461.62,1418.69,1513.30,2309.74,2271.14,2167.37,2105.30,1604.53,1411.28,1678.85,2206.88,2450.87,2037.01,1846.11,2082.70,1937.50,1772.81,1521.41,1257.83,1626.90,1257.83,1076.84,1218.24,1257.83,1236.63,1317.53,1306.37,1287.74,1846.44,1013.46,1281.76,1317.53,1653.35,1257.83,1435.52,1699.12,1689.75,1330.46,1829.20,1080.81,1199.86,1219.10,1081.22,1199.86,1837.42,1783.13,1463.80,1705.98,1689.75,1705.98,1686.34,1783.13,1880.41,1719.60,1196.04,1287.74,1563.56,1563.56,1846.44,925.05,670.34,670.34,1236.63,1635.58,925.05,1253.89,1044.84,1064.04,808.24,761.43,1074.02
N51161Z,606.93,492.33,559.55,156.69,383.20,328.65,501.09,0.00,748.64,748.64,429.86,444.05,368.27,156.69,156.69,981.48,1166.58,1133.36,904.67,1045.03,845.29,829.51,829.51,961.96,778.64,975.85,981.48,1849.18,1767.40,1942.57,1977.04,1977.04,1978.99,1475.83,1424.49,1331.17,1540.60,1371.53,2502.26,1169.07,981.40,1208.07,1135.63,1135.63,1277.23,1494.03,1618.91,1615.82,2005.18,1494.03,1418.93,1426.07,1668.66,1786.36,1738.12,1869.83,1654.26,1961.77,1792.78,1864.81,2064.13,1877.19,1877.19,1792.78,1537.81,1864.81,1380.96,1256.83,1229.71,1303.30,1248.66,1248.03,1248.03,1593.74,1540.60,1418.93,1626.22,1593.74,1726.59,1726.59,1726.59,1568.93,1726.59,1926.43,1839.68,1531.38,1828.85,1960.47,1741.53,1769.95,1839.68,1255.35,1347.14,1347.14,1527.97,1248.66,1205.73,1300.34,2383.08,2344.48,2240.71,2178.64,1677.87,1484.62,1752.19,2280.22,2524.21,2110.35,1919.45,2156.05,2010.84,1846.15,1594.75,1331.17,1700.24,1331.17,1150.18,1291.58,1331.17,1309.97,1390.87,1379.71,1361.08,1919.78,1086.80,1355.10,1390.87,1726.69,1331.17,1508.86,1772.47,1763.09,1403.80,1902.54,1154.15,1273.20,1292.44,1154.56,1273.20,1910.76,1856.47,1537.14,1779.32,1763.09,1779.32,1759.68,1856.47,1953.75,1792.94,1269.38,1361.08,1636.90,1636.90,1919.78,998.39,743.68,743.68,1309.97,1773.27,998.39,1402.17,1118.18,1304.72,881.58,834.77,861.06
N51171L,1155.41,1040.81,1108.03,705.18,492.31,877.13,1049.57,836.61,0.00,0.00,810.68,474.59,916.75,705.18,705.18,232.84,417.94,384.72,156.04,296.39,96.66,80.87,80.87,213.32,30.00,371.43,232.84,1396.48,1018.76,1193.93,1228.40,1228.40,1310.31,1178.07,1142.68,1033.40,791.96,622.89,1753.63,420.44,232.76,459.43,386.99,386.99,528.60,745.40,870.27,867.18,1256.54,745.40,670.30,677.43,920.02,1037.72,989.49,1121.19,905.62,1213.13,1044.14,1116.17,1315.49,1128.55,1128.55,1044.14,789.18,1116.17,632.33,508.19,481.07,554.66,500.02,499.40,499.40,845.10,791.96,670.30,877.58,845.10,977.96,977.96,977.96,820.29,977.96,1177.79,1163.89,782.74,1080.21,1219.67,1275.79,1316.07,1163.89,506.71,598.50,598.50,779.33,500.02,457.09,551.70,2009.04,1970.44,1866.67,1804.60,1380.10,1186.85,1454.42,1906.18,2150.17,1580.57,1574.62,1723.02,1666.01,1501.32,1296.98,1033.40,1402.47,1033.40,826.84,968.23,1033.40,1014.22,1176.29,1434.50,1415.87,1974.57,1141.60,1357.88,1176.29,1512.10,1033.40,1268.42,1474.70,1548.51,1163.36,1687.95,858.40,934.49,555.06,831.22,934.49,1859.69,1805.40,1591.93,1564.73,1548.51,1564.73,1708.62,1805.40,1911.16,1741.87,1324.18,1415.87,1691.70,1691.70,1974.57,1066.89,1052.55,1052.55,1014.22,1841.77,1066.89,1470.67,1186.68,1395.67,950.08,1143.64,906.58
N51171M,1155.41,1040.81,1108.03,705.18,492.31,877.13,1049.57,836.61,0.00,0.00,810.68,474.59,916.75,705.18,705.18,232.84,417.94,384.72,156.04,296.39,96.66,80.87,80.87,213.32,30.00,371.43,232.84,1396.48,1018.76,1193.93,1228.40,1228.40,1310.31,1178.07,1142.68,1033.40,791.96,622.89,1753.63,420.44,232.76,459.43,386.99,386.99,528.60,745.40,870.27,867.18,1256.54,745.40,670.30,677.43,920.02,1037.72,989.49,1121.19,905.62,1213.13,1044.14,1116.17,1315.49,1128.55,1128.55,1044.14,789.18,1116.17,632.33,508.19,481.07,554.66,500.02,499.40,499.40,845.10,791.96,670.30,877.58,845.10,977.96,977.96,977.96,820.29,977.96,1177.79,1163.89,782.74,1080.21,1219.67,1275.79,1316.07,1163.89,506.71,598.50,598.50,779.33,500.02,457.09,551.70,2009.04,1970.44,1866.67,1804.60,1380.10,1186.85,1454.42,1906.18,2150.17,1580.57,1574.62,1723.02,1666.01,1501.32,1296.98,1033.40,1402.47,1033.40,826.84,968.23,1033.40,1014.22,1176.29,1434.50,1415.87,1974.57,1141.60,1357.88,1176.29,1512.10,1033.40,1268.42,1474.70,1548.51,1163.36,1687.95,858.40,934.49,555.06,831.22,934.49,1859.69,1805.40,1591.93,1564.73,1548.51,1564.73,1708.62,1805.40,1911.16,1741.87,1324.18,1415.87,1691.70,1691.70,1974.57,1066.89,1052.55,1052.55,1014.22,1841.77,1066.89,1470.67,1186.68,1395.67,950.08,1143.64,906.58
