detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
Z28CT8,0.474150357458901,0.441610598090205,secondary,Avenue Descartes,50,bordeaux,1,,-0.696258,44.887152
Z28CT6,0.382874713847622,0.199676645195316,secondary,Avenue Montaigne,0,bordeaux,1,,-0.712123,44.893825
Z28CT4,1.30269313525243,0.189113921618075,secondary,Avenue du Général de Gaulle,0,bordeaux,1,,-0.722563,44.897409
Z28CT5,0.62574648941786,0.174092017484531,tertiary,Rue Jean-Jacques Rousseau,0,bordeaux,1,,-0.72364,44.895645
Z9CT1,0.343356125673755,0.240579970599071,primary,Boulevard Antoine Gautier,0,bordeaux,2,,-0.598935,44.835672
Z9CT2,0.182051324599574,0.162233635880541,primary,Boulevard Antoine Gautier,0,bordeaux,2,,-0.598708,44.832976
Z9CT6,0.278788864778805,0.108411377443259,secondary,Rue du Général de Larminat,0,bordeaux,2,,-0.596318,44.833267
Z9CT7,0.190306815358288,0.151551463693945,secondary,Rue d'Ornano,0,bordeaux,2,,-0.590295,44.833848
Z9CT8,0.196041614428074,0.147373310390682,secondary,Rue du Général de Larminat,0,bordeaux,2,,-0.589055,44.834336
Z9CT9,0.2732358702125,0.123143075932389,secondary,Rue du Général de Larminat,0,bordeaux,2,,-0.596862,44.833359
Z9CT11,0.332794280387251,0.089420683843757,secondary,Boulevard Georges Pompidou,0,bordeaux,2,,-0.601842,44.833287
Z9CT12,0.32242825281863,0.226025705336828,secondary,Boulevard Georges Pompidou,0,bordeaux,2,,-0.601736,44.833229
Z9CT3,0.182469056248138,0.126028007910432,primary,Boulevard du Maréchal Leclerc,0,bordeaux,2,,-0.597117,44.830589
Z9CT18,0.200536728851129,0.181743293845109,secondary,Boulevard Georges Pompidou,0,bordeaux,2,,-0.602735,44.830814
Z9CT19,0.087077375247345,0.050081227364664,tertiary,Rue de Canolle,0,bordeaux,2,,-0.603254,44.829745
Z9CT15,0.334602445300835,0.233793590769195,secondary,Rue de la Pelouse de Douet,0,bordeaux,1,,-0.612543,44.827917
Z9CT16,0.443287229563812,0.229869423106248,secondary,Avenue François Mitterrand,0,bordeaux,1,,-0.616235,44.826487
Z9CT14,0.448157895767337,0.108987162486018,secondary,Avenue François Mitterrand,0,bordeaux,1,,-0.620914,44.826561
Z9CT17,0.090716183527723,0.017971952389033,secondary,Avenue François Mitterrand,0,bordeaux,1,,-0.623971,44.826294
Z7CT1,0.383814395046827,0.211785552775784,secondary,Avenue de Verdun,0,bordeaux,1,,-0.637112,44.839513
Z7CT2,0.248501681383774,0.223955187075136,secondary,Avenue de Verdun,0,bordeaux,1,,-0.643677,44.84119
Z7CT6,0.280026729424786,0.225822467500561,secondary,Avenue de Verdun,0,bordeaux,1,,-0.642669,44.840916
Z7CT12,0.278629788091525,0.257509382873348,tertiary,Avenue Pierre Mendès-France,50,bordeaux,1,,-0.639942,44.840068
Z7CT5,0.295625405610551,0.140980961874867,secondary,Avenue de l'Yser,30,bordeaux,1,,-0.648783,44.841652
Z7CT7,0.200410178757279,0.179784475855072,tertiary,Avenue de la Libération,0,bordeaux,1,,-0.645306,44.844079
Z7CT8,0.210033610892048,0.107331518997151,secondary,Avenue du Maréchal Leclerc,30,bordeaux,1,,-0.646963,44.840788
Z2CT1,0.130806342404698,0.11721217912651,tertiary,Cours Pasteur,0,bordeaux,1,,-0.575106,44.835344
Z2CT10,0.157056775716866,0.117545814196645,secondary,Rue de Cursol,0,bordeaux,1,,-0.575657,44.835014
Z2CT18,0.116727442351464,0.076111122838184,secondary,Cours Victor Hugo,0,bordeaux,1,,-0.574403,44.83499
Z2CT9,0.042354478373578,0.004281090319488,secondary,Cours Victor Hugo,0,bordeaux,1,,-0.573224,44.834939
Z2CT16,0.045338779522905,0.028056563337877,secondary,Cours Victor Hugo,0,bordeaux,1,,-0.572555,44.834924
Z2CT6,0.318876800014237,0.079485931117223,tertiary,Rue Paul Louis Lande,0,bordeaux,1,,-0.575636,44.834295
Z2CT5,0.136659411238702,0.088688093823517,secondary,Cours du Maréchal Juin,0,bordeaux,1,,-0.582207,44.836029
Z2CT15,0.079057155664358,0.053722829203799,secondary,Rue de Cursol,0,bordeaux,1,,-0.57801,44.834777
Z2CT19,0.214868073611253,0.193241898216001,residential,Rue Jean Burguet,0,bordeaux,1,,-0.578301,44.834526
Z2CT12,0.14035167520882,0.121883813672948,secondary,Place de la République,0,bordeaux,1,,-0.578652,44.834798
Z2CT13,0.137106016071645,0.11754707991326,secondary,Place de la République,0,bordeaux,1,,-0.579937,44.834662
Z2CT3,0.13256948543175,0.094873861865158,secondary,Cours Victor Hugo,0,bordeaux,1,,-0.566872,44.836073
Z2CT17,0.089723155475448,0.062442543285054,secondary,Cours Victor Hugo,0,bordeaux,1,,-0.566418,44.836124
Z2CT2,0.578727664149629,0.512104437677569,primary,Pont de Pierre,0,bordeaux,1,,-0.564751,44.837198
Z2CT22,0.209207140336683,0.17565176539109,secondary_link,Quai Richelieu,0,bordeaux,1,,-0.565769,44.837252
Z2CT20,0.181648161917458,0.097570052918422,secondary_link,Quai Richelieu,0,bordeaux,1,,-0.566518,44.837577
Z2CT21,0.225648081639486,0.198987202683017,secondary_link,Quai des Salinières,0,bordeaux,1,,-0.565153,44.836449
Z2CT4,0.193824502581949,0.030130452792406,tertiary,Cours d'Alsace et Lorraine,30,bordeaux,1,,-0.568622,44.837925
Z2CT24,0.261485277114438,0.196676681934841,tertiary,Cours d'Alsace et Lorraine,30,bordeaux,1,,-0.575342,44.837437
Z2CT14,0.243229045403954,0.153000777174678,residential,Rue du Maréchal Joffre,0,bordeaux,1,,-0.578624,44.836255
Z2CT11,0.140594192144455,0.08996816362232,secondary,Cours d'Albret,50,bordeaux,1,,-0.580602,44.835391
Z2CT23,0.246590529810382,0.221763978874346,tertiary,Rue de Belfort,0,bordeaux,1,,-0.582403,44.835934
Z2CT7,0.185346474513752,0.162739152883331,secondary,Cours du Maréchal Juin,0,bordeaux,2,,-0.583938,44.835833
Z2CT8,0.197871836111498,0.0239450145102,secondary,Cours du Maréchal Juin,0,bordeaux,2,,-0.584144,44.835671
Z31CT2,0.983414896689672,0.162505607707091,secondary,Côte de la Garonne,0,bordeaux,1,,-0.519392,44.886753
Z31CT3,0.345340489065106,0.141462618774392,secondary,,0,bordeaux,1,,-0.517375,44.886451
Z1CT12,0.139577970285671,0.056009490654828,primary,Quai Sainte-Croix,0,bordeaux,2,,-0.560828,44.832806
Z1CT13,0.543150526443786,0.510408104169056,primary,Quai de la Grave,0,bordeaux,2,,-0.563711,44.835321
Z1CT6,0.148674106248839,0.109607117924451,secondary_link,Quai des Salinières,0,bordeaux,1,,-0.564289,44.836033
Z1CT5,0.115312758153778,0.086478137025676,secondary,Quai Richelieu,0,bordeaux,2,,-0.568019,44.839357
Z1CT4,0.124597567765339,0.04119647170953,secondary,Quai Richelieu,0,bordeaux,2,,-0.56824,44.839455
Z1CT1,0.174344397949828,0.137668258490373,secondary,Quai Louis XVIII,0,bordeaux,2,,-0.570722,44.847941
Z1CT16,0.098596004641411,0.080002678495869,secondary,Quai des Chartrons,0,bordeaux,2,,-0.570332,44.8488
Z1CT10,0.102405709610686,0.059053916827169,secondary,Quai des Chartrons,0,bordeaux,2,,-0.570286,44.849223
Z1CT11,0.256785524621178,0.232891327736177,secondary,Quai des Chartrons,0,bordeaux,2,,-0.5695,44.85043
Z1CT9,0.265624021446679,0.187695136661123,secondary,Quai des Chartrons,0,bordeaux,2,,-0.568456,44.851834
Z1CT14,0.264794608491904,0.250213358161128,secondary,Quai des Chartrons,0,bordeaux,2,,-0.565762,44.854172
Z1CT3,0.148177644769945,0.124622622469285,secondary,Quai Louis XVIII,0,bordeaux,2,,-0.570593,44.844592
Z19CT2,0.470961169439592,0.145070392721328,primary,Route de Toulouse,50,bordeaux,1,,-0.571547,44.803259
Z19CT3,0.303886116654839,0.065795515662566,primary,Route de Toulouse,50,bordeaux,1,,-0.566683,44.788461
Z19CT1,0.176872712395209,0.17025308874528,primary,Route de Toulouse,50,bordeaux,1,,-0.573475,44.807548
Z19CT16,0.322658898263854,0.207039781849444,primary,Route de Toulouse,50,bordeaux,1,,-0.573858,44.808748
Z19CT4,0.315749401045437,0.094500863066792,tertiary,Chemin Alexis Labro,0,bordeaux,1,,-0.565513,44.788256
Z19CT8,0.217056403809034,0.178690064805568,primary,Route de Toulouse,0,bordeaux,1,,-0.566357,44.785825
Z19CT9,0.378906745316227,0.175210068377756,secondary,Avenue du Maréchal Leclerc,0,bordeaux,1,,-0.568229,44.781157
Z19CT6,0.631914584455185,0.109183401371371,other,Avenue Georges Clemenceau,0,bordeaux,1,,-0.564221,44.781584
Z19CT12,0.881505665662215,0.370652958902519,residential,Avenue du Maréchal Leclerc,0,bordeaux,1,,-0.574044,44.777231
Z19CT14,0.485528098908291,0.145232867000685,motorway_link,,50,bordeaux,1,,-0.564252,44.778297
Z19CT7,0.21980118860303,0.09523518408927,primary,,0,bordeaux,2,,-0.566072,44.780011
Z26CT1,0.276846312767993,0.126709994214221,primary,Boulevard Albert 1er,0,bordeaux,1,,-0.559375,44.812543
Z26CT2,0.333453776022965,0.259965976942389,primary,Boulevard Jean-Jacques Bosc,0,bordeaux,1,,-0.542283,44.820467
Z26CT5,0.337103513576806,0.07333378044126,tertiary,Rue Léon Paillère,0,bordeaux,1,,-0.549418,44.819498
Z26CT4,0.490537317740061,0.073415466591109,secondary,Rue Carle Vernet,0,bordeaux,1,,-0.548426,44.821164
Z26CT3,0.445485854192528,0.181387399052943,secondary,Rue d'Armagnac,0,bordeaux,1,,-0.551552,44.821288
Z14CT2,0.406624504119536,0.213682827294671,primary,Boulevard Godard,50,bordeaux,2,,-0.581247,44.863732
Z14CT1,0.43419987614139,0.322731332858789,primary,Boulevard Godard,50,bordeaux,2,,-0.589006,44.859791
Z14CT4,0.240466451015559,0.082964865167171,secondary,Allée de Boutaut,50,bordeaux,2,,-0.575969,44.867242
Z14CT5,0.244902281222488,0.231180885610077,secondary,Allée de Boutaut,50,bordeaux,2,,-0.57563,44.866431
Z14CT7,0.340953454135097,0.291568864339909,primary,Boulevard Alfred Daney,50,bordeaux,2,,-0.57,44.868334
Z14CT10,0.394963149946805,0.31303180835569,primary,Boulevard Alfred Daney,50,bordeaux,2,,-0.571445,44.867786
Z14CT11,0.402358934308702,0.142406004907405,primary,Boulevard Godard,50,bordeaux,2,,-0.581997,44.8635
Z14CT19,0.718640305734217,0.382913191488363,secondary,Cours Balguerie Stuttenberg,50,bordeaux,1,,-0.563063,44.861021
Z14CT12,0.571713682354102,0.230961247773993,secondary,Rue Lucien Faure,70,bordeaux,2,,-0.563432,44.867556
Z30CT2,0.33008314794593,0.266982215432742,secondary,Avenue du Président John Fitzgerald Kennedy,50,bordeaux,2,,-0.660138,44.832338
Z30CT3,0.988026393262527,0.354110784432779,secondary,Avenue René Cassin,90,bordeaux,2,,-0.670282,44.832095
Z30CT4,0.334977917723955,0.270867267256281,secondary,Avenue du Président John Fitzgerald Kennedy,50,bordeaux,2,,-0.662717,44.832705
Z30CT5,0.394694994709855,0.327698989449765,secondary,Avenue de la Somme,50,bordeaux,1,,-0.652428,44.832952
Z30CT10,0.496709565919035,0.09829734134227,secondary,Avenue de la Somme,30,bordeaux,1,,-0.665899,44.828691
Z30CT21,0.40215874562428,0.078626613632323,tertiary,Avenue de Kaolack,0,bordeaux,1,,-0.664352,44.828048
Z30CT22,0.402759131175582,0.307512426946587,tertiary,Avenue de Kaolack,0,bordeaux,1,,-0.664372,44.82794
Z30CT12,0.493620620488403,0.098609546321487,secondary,Avenue de la Somme,50,bordeaux,1,,-0.663054,44.829272
Z30CT11,0.50106765534222,0.45313852806158,secondary,Avenue de la Somme,50,bordeaux,1,,-0.663002,44.82925
Z30CT20,0.271240107378131,0.247676382719317,secondary,Avenue du Maréchal Leclerc,50,bordeaux,1,,-0.646903,44.837485
Z30CT19,0.175238136297633,0.152967328146093,secondary,Avenue du Maréchal Leclerc,50,bordeaux,1,,-0.647135,44.836768
Z30CT18,0.235997032892405,0.208545367528607,secondary,Avenue du Maréchal Leclerc,50,bordeaux,1,,-0.647828,44.833363
Z30CT7,0.484030312083602,0.200238735783958,secondary,Avenue de Belfort,0,bordeaux,1,,-0.648093,44.831088
