detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
1,0.973764921391963,0.658114678620408,secondary,Viale Guglielmo Marconi,50,cagliari,1,0,9.14736,39.2399551
2,0.9726538099919,0.659035091980351,secondary,Viale Guglielmo Marconi,50,cagliari,1,1,9.1473881,39.2399395
3,1.02096739489232,0.333598297152509,secondary,Viale Guglielmo Marconi,50,cagliari,1,2,9.1474153,39.2399142
4,1.01553357256154,0.31110346308905,secondary,Viale Guglielmo Marconi,50,cagliari,1,3,9.1474421,39.2398934
5,1.01605826982358,0.446449955818603,trunk,Asse Mediano di Scorrimento,50,cagliari,1,99,9.113088,39.253166
6,1.01652121090946,0.44881710391514,trunk,Asse Mediano di Scorrimento,50,cagliari,1,98,9.1131256,39.2531764
7,1.02062405767239,0.780587607633896,trunk,Asse Mediano di Scorrimento,50,cagliari,1,97,9.113191,39.253185
8,1.0235286294098,0.718851712727061,trunk,Asse Mediano di Scorrimento,50,cagliari,1,96,9.1132299,39.2531995
9,0.720283352560493,0.479471815497745,secondary,Viale Monastir,50,cagliari,1,92,9.0890944,39.2573902
10,0.719982157751365,0.479618127767109,secondary,Viale Monastir,50,cagliari,1,91,9.0890663,39.2573798
11,0.72656564819314,0.244572753493743,secondary,Viale Monastir,50,cagliari,1,90,9.089132,39.2573988
12,0.731234374344981,0.245914772072218,secondary,Viale Monastir,50,cagliari,1,89,9.0891655,39.2574144
13,1.49039073359275,0.842427719877484,secondary,Viale Elmas,50,cagliari,1,88,9.086173,39.24831
14,1.48709419409265,0.840802722139443,secondary,Viale Elmas,50,cagliari,1,87,9.0861435,39.2482955
15,1.49943585541104,0.662226458368891,secondary,Viale Elmas,50,cagliari,1,86,9.0862451,39.2483412
16,1.5015441249325,0.663261943153439,secondary,Viale Elmas,50,cagliari,1,85,9.0862115,39.2483266
17,3.08989616862004,2.71516508917236,trunk,,90,cagliari,1,81,9.0864614,39.2422002
18,3.08326295656313,2.70840108900717,trunk,,90,cagliari,1,82,9.0864212,39.2421815
19,3.10034809956963,0.385421573192001,trunk,,90,cagliari,1,80,9.086555,39.242226
20,3.09885167311627,0.387500791285125,trunk,,90,cagliari,1,79,9.0865979,39.2422437
25,0.171593790780882,0.027061795770957,tertiary,Via Italia,50,cagliari,1,103,9.1346179,39.2517871
26,0.170688374128034,0.02637874451287,tertiary,Via Italia,50,cagliari,1,104,9.1346421,39.2517777
36,0.335023220420067,0.300588956681481,tertiary,Via Italia,50,cagliari,1,102,9.1346665,39.2517522
28,0.850830438075725,0.490242501712174,tertiary,Via Andrea Vesalio,50,cagliari,1,120,9.135295,39.240978
33,0.870897259718771,0.373440539515302,tertiary,Via Andrea Vesalio,50,cagliari,1,118,9.135362,39.240906
29,2.22133830840813,1.24932061099918,trunk,Asse Mediano di Scorrimento,70,cagliari,1,27,9.1382352,39.22487
30,2.22216789832289,1.24911406092305,trunk,Asse Mediano di Scorrimento,70,cagliari,1,26,9.1382821,39.2248742
31,2.22686156844527,0.988211158524665,trunk,Asse Mediano di Scorrimento,70,cagliari,1,25,9.1383449,39.2248847
32,2.23335410347928,0.982213471813638,trunk,Asse Mediano di Scorrimento,70,cagliari,1,24,9.1383824,39.224891
39,0.683571337179409,0.539150109788668,tertiary,Via Evangelista Torricelli,50,cagliari,1,8,9.1302445,39.2368247
40,0.683914741147879,0.538756837990167,tertiary,Via Evangelista Torricelli,50,cagliari,1,9,9.1302069,39.2368341
37,0.671514995610931,0.132624689487597,tertiary,Via Evangelista Torricelli,50,cagliari,1,7,9.13032,39.236797
38,0.671355437753848,0.132941855773441,tertiary,Via Evangelista Torricelli,50,cagliari,1,6,9.1302905,39.2368032
41,0.172030737882734,0.143304393698377,tertiary,Via Dante Alighieri,50,cagliari,1,16,9.125113,39.22187
42,0.171699101950202,0.14217467180041,tertiary,Via Dante Alighieri,50,cagliari,1,17,9.1250433,39.2218731
43,0.295939122125681,0.241214517860263,tertiary,Via Antonio Scano,0,cagliari,1,53,9.1302444,39.2150004
44,0.292585239593237,0.237820961141262,tertiary,Via Antonio Scano,0,cagliari,1,52,9.1302202,39.215003
45,0.296276643387474,0.044012478091634,tertiary,Via Antonio Scano,50,cagliari,1,50,9.130355,39.215004
46,0.299783275878656,0.043612082736073,tertiary,Via Antonio Scano,50,cagliari,1,51,9.1303892,39.2150019
47,0.137083271730329,0.03707930270283,secondary,Via Sidney Sonnino,50,cagliari,1,35,9.12168,39.218376
48,0.11709247793054,0.036837338778331,secondary,Via Sidney Sonnino,50,cagliari,1,34,9.1216384,39.2183843
52,0.215293623941369,0.023369414665297,tertiary,Via dei Giudicati,50,cagliari,1,11,9.120397,39.2286887
53,0.214345171087731,0.023293338306843,tertiary,Via dei Giudicati,50,cagliari,1,10,9.120395,39.2287126
55,0.66491295102005,0.231457542580796,tertiary,Via Santa Maria Chiara,50,cagliari,1,66,9.121386,39.2416322
56,0.677123437713463,0.435711391620299,tertiary,Via Santa Maria Chiara,50,cagliari,1,65,9.12143,39.241619
59,0.173376282313277,0.128140111135304,secondary,Viale Guglielmo Marconi,50,cagliari,1,30,9.1344701,39.2312709
60,0.171233246520522,0.126734123818594,secondary,Viale Guglielmo Marconi,50,cagliari,1,31,9.1344298,39.2312844
57,0.172293914416036,0.043887983750158,secondary,Viale Guglielmo Marconi,50,cagliari,1,29,9.134506,39.231251
58,0.171473844843342,0.043194759647526,secondary,Viale Guglielmo Marconi,50,cagliari,1,28,9.1345382,39.2312385
61,0.346132685331906,0.018741850797356,tertiary,Viale Francesco Ciusa,50,cagliari,1,61,9.1214436,39.231918
62,0.351626184419359,0.019849462490612,tertiary,Viale Francesco Ciusa,50,cagliari,1,62,9.1214838,39.2319087
63,0.343346873417759,0.322646654859365,tertiary,Viale Francesco Ciusa,50,cagliari,1,60,9.1215334,39.23188
64,0.351672099307642,0.231963519035585,tertiary,Via Ottone Bacaredda,50,cagliari,1,14,9.120573,39.225796
65,0.352175430005647,0.231933144536447,tertiary,Via Ottone Bacaredda,50,cagliari,1,15,9.1206038,39.2258054
66,0.608293541223856,0.029621288931444,tertiary,Via Italia,50,cagliari,1,105,9.13405,39.251122
67,0.586819144285815,0.553598185607949,tertiary,Via Italia,50,cagliari,1,106,9.133986,39.251152
68,0.653501119888088,0.255177987969193,secondary,Via Po,50,cagliari,1,74,9.0957336,39.2329213
69,0.371951205144443,0.255684918764827,secondary,Via Po,50,cagliari,1,73,9.0957658,39.2329005
70,0.230054950479523,0.067215031499308,secondary,Via Po,50,cagliari,1,75,9.0956679,39.2329973
71,0.660825756229128,0.498977548996087,secondary,Via Po,50,cagliari,1,76,9.0956974,39.2329775
72,0.579956077067832,0.053705228759839,tertiary,Via dei Valenzani,50,cagliari,1,58,9.120589,39.2321373
73,0.604071122165777,0.077506557017363,tertiary,Via dei Valenzani,50,cagliari,1,59,9.1205461,39.23213
76,0.915375646335153,0.856021114595397,tertiary,Via Giuseppe Brotzu,50,cagliari,1,95,9.1019304,39.2520239
74,0.923502817049996,0.06760124787427,tertiary,Via Giuseppe Brotzu,50,cagliari,1,94,9.101904,39.2519045
75,0.494327920161639,0.060894310340862,tertiary,Via Giuseppe Brotzu,50,cagliari,1,93,9.1018986,39.2518608
91,0.483484472058493,0.236735764565396,primary,Viale Cristoforo Colombo,50,cagliari,1,111,9.1225422,39.2075123
90,0.485031635469945,0.237135925895289,primary,Viale Cristoforo Colombo,50,cagliari,1,112,9.1225248,39.2074946
92,0.473025771641023,0.230097247708037,primary,Viale Cristoforo Colombo,50,cagliari,1,109,9.1225832,39.2075702
93,0.473893802334928,0.230800113473854,primary,Viale Cristoforo Colombo,50,cagliari,1,110,9.1226094,39.2075915
77,0.604321484402734,0.303945006506894,primary,Viale Pula,50,cagliari,1,113,9.1017407,39.2148136
78,0.599095852886876,0.303359686127768,primary,Viale Pula,50,cagliari,1,114,9.1017555,39.2148447
79,0.649971523751676,0.287330705033886,primary,Viale Pula,50,cagliari,1,115,9.1017857,39.2149053
80,0.653794038367874,0.290112623837094,primary,Viale Pula,50,cagliari,1,116,9.1017696,39.2148741
81,0.615765291549476,0.338522672900269,trunk,Asse Mediano di Scorrimento,70,cagliari,1,43,9.1401492,39.2031541
82,0.616415908215422,0.342771345482457,trunk,Asse Mediano di Scorrimento,70,cagliari,1,44,9.1402021,39.2031354
83,0.532762966086205,0.189205147208634,trunk,Asse Mediano di Scorrimento,70,cagliari,1,45,9.1402202,39.2030819
84,0.533062014090434,0.187141388408773,trunk,Asse Mediano di Scorrimento,70,cagliari,1,46,9.1402437,39.2030652
85,0.523738595659653,0.140825424962964,trunk,Asse Mediano di Scorrimento,70,cagliari,1,38,9.1433042,39.205968
86,0.525128236863982,0.141915181003784,trunk,Asse Mediano di Scorrimento,70,cagliari,1,39,9.1433418,39.2059608
