detid_X,detid_Y,DISTANCE
Z2,Z2,0.0
Z2,Z1,0.0
Z2,Z3,272.897
Z2,Z4,272.897
Z2,Z5,0.0
Z2,Z6,0.0
Z2,Z9,524.142
Z2,Z10,416.315
Z2,Z12,421.512
Z2,Z11,421.512
Z2,Z35,1583.9060000000004
Z2,Z15,1583.9060000000004
Z2,Z16,1481.694
Z2,Z17,1481.694
Z2,Z19,703.707
Z2,Z18,703.707
Z2,Z21.1,332.068
Z2,Z20,610.056
Z2,Z29,1278.9300000000003
Z2,Z45,1229.22
Z2,Z53,1140.328
Z2,K33.D3.1,1084.755
Z2,K33.D4.1,1084.755
Z2,Z54,312.616
Z2,Z55,312.616
Z2,K51D3.1,270.896
Z2,K51D3.2,270.896
Z2,K51D5.11,270.896
Z2,K51D4.11,270.896
Z2,K50D1.1,139.576
Z2,K50D2.1,139.576
Z2,K50D5.1,139.576
Z2,K50D4.1,139.576
Z2,K50D3.1,139.576
Z2,K1D3.1,158.67
Z2,K2D3.11,361.31
Z2,K20D4.11,272.897
Z2,K21D5.1,718.426
Z2,K21D4.1,718.426
Z2,K21D6.1,718.426
Z2,K21D1.1,718.426
Z2,K21D2.1,718.426
Z2,K7D5.11,2025.102
Z2,K7D5.12,2025.102
Z2,K7D3.1,1553.4709999999998
Z2,K7D6.11,1553.4709999999998
Z2,K7D11.11,1538.4689999999998
Z2,K7D2.11,1631.4909999999998
Z2,K7D8.1,1509.031
Z2,K8D3.11,1278.9300000000003
Z2,K8D4.11,1278.9300000000003
Z2,K1PIR6.12,158.67
Z2,K1PIR5.12,158.67
Z2,K1PIR5.11,158.67
Z2,K4D5.11,774.8460000000001
Z2,K4D3.1,878.0980000000001
Z2,K4RD1.12,837.0430000000001
Z2,K7D8.11,1453.832
Z2,K7D7.11,1453.832
Z2,Z13,1350.782
Z2,Z14,1350.782
Z2,K13D4.11,1129.954
Z2,K13D4.12,1129.954
Z2,K13D2.12,1383.0749999999998
Z2,K13D2.11,1383.0749999999998
Z2,K16D5.1,779.663
Z2,K16D6.1,779.663
Z2,K16D6.2,779.663
Z2,K16D1.1,761.472
Z2,K16D4.2,779.663
Z2,K16D3.1,761.472
Z2,Z47,675.119
Z2,K31D4.11,607.489
Z2,K31D5.2,642.2710000000001
Z2,K31D5.1,642.2710000000001
Z2,Z7,648.369
Z2,Z8,648.369
Z2,K17D2.11,903.876
Z2,K17D2.12,903.876
Z2,K16D2.1,761.472
Z2,Z40,4207.615
Z2,Z37,3910.301
Z2,Z33,3910.301
Z2,Z22,2995.8460000000005
Z2,Z23,2953.938
Z2,Z24,3447.426
Z2,Z52,2791.279
Z2,Z46,1041.129
Z2,Z34,1041.129
Z2,Z56,1055.9299999999998
Z2,Z43,1055.9299999999998
Z2,Z49,934.954
Z2,Z48,934.954
Z2,Z41,3805.877
Z2,Z39,5154.879999999999
Z2,Z38,5154.879999999999
Z2,Z44,3599.288
Z2,Z42,3599.288
Z2,Z71,3392.927
Z2,Z72,3392.927
Z2,Z61,1449.995
Z2,Z62,1449.995
Z2,Z64,830.036
Z2,Z63,830.036
Z2,Z50,1595.834
Z2,Z51,1595.834
Z2,Z25,2979.0020000000004
Z2,Z94,2866.78
Z2,Z84,3242.202
Z2,Z85,3242.202
Z2,Z86,3242.202
Z2,Z93,2908.619
Z2,Z90,2908.619
Z2,Z91,2908.619
Z2,Z92,2908.619
Z2,Z87,2817.032
Z2,Z88,2817.032
Z2,Z89,2817.032
Z2,Z80,2909.7740000000003
Z2,Z81,2909.7740000000003
Z2,Z82,2909.7740000000003
Z2,Z83,2909.7740000000003
Z1,Z2,0.0
Z1,Z1,0.0
Z1,Z3,272.897
Z1,Z4,272.897
Z1,Z5,0.0
Z1,Z6,0.0
Z1,Z9,524.142
Z1,Z10,416.315
Z1,Z12,421.512
Z1,Z11,421.512
Z1,Z35,1583.9060000000004
Z1,Z15,1583.9060000000004
Z1,Z16,1481.694
Z1,Z17,1481.694
Z1,Z19,703.707
Z1,Z18,703.707
Z1,Z21.1,332.068
Z1,Z20,610.056
Z1,Z29,1278.9300000000003
Z1,Z45,1229.22
Z1,Z53,1140.328
Z1,K33.D3.1,1084.755
Z1,K33.D4.1,1084.755
Z1,Z54,312.616
Z1,Z55,312.616
Z1,K51D3.1,270.896
Z1,K51D3.2,270.896
Z1,K51D5.11,270.896
Z1,K51D4.11,270.896
Z1,K50D1.1,139.576
Z1,K50D2.1,139.576
Z1,K50D5.1,139.576
Z1,K50D4.1,139.576
Z1,K50D3.1,139.576
Z1,K1D3.1,158.67
Z1,K2D3.11,361.31
Z1,K20D4.11,272.897
Z1,K21D5.1,718.426
Z1,K21D4.1,718.426
Z1,K21D6.1,718.426
Z1,K21D1.1,718.426
Z1,K21D2.1,718.426
Z1,K7D5.11,2025.102
Z1,K7D5.12,2025.102
Z1,K7D3.1,1553.4709999999998
Z1,K7D6.11,1553.4709999999998
Z1,K7D11.11,1538.4689999999998
Z1,K7D2.11,1631.4909999999998
Z1,K7D8.1,1509.031
Z1,K8D3.11,1278.9300000000003
Z1,K8D4.11,1278.9300000000003
Z1,K1PIR6.12,158.67
Z1,K1PIR5.12,158.67
Z1,K1PIR5.11,158.67
Z1,K4D5.11,774.8460000000001
Z1,K4D3.1,878.0980000000001
Z1,K4RD1.12,837.0430000000001
Z1,K7D8.11,1453.832
Z1,K7D7.11,1453.832
Z1,Z13,1350.782
Z1,Z14,1350.782
Z1,K13D4.11,1129.954
Z1,K13D4.12,1129.954
Z1,K13D2.12,1383.0749999999998
Z1,K13D2.11,1383.0749999999998
Z1,K16D5.1,779.663
Z1,K16D6.1,779.663
Z1,K16D6.2,779.663
