detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
Z2,0.253678132627823,0.082494507494395,primary,Spanierstraße,50,constance,1,,9.178058,47.66768
Z1,0.256158700450852,0.082423421976071,primary,Spanierstraße,50,constance,1,,9.178043,47.667657
Z3,0.158084047359435,0.078728922731016,primary,Theodor-Heuss-Straße,50,constance,1,,9.179945,47.668082
Z4,0.153806139551486,0.076572162192907,primary,Theodor-Heuss-Straße,50,constance,1,,9.179972,47.668056
Z5,0.248652656194908,0.078671153241995,primary,Spanierstraße,50,constance,1,,9.177078,47.668061
Z6,0.25288324094342,0.080941950354585,primary,Spanierstraße,50,constance,1,,9.177051,47.668025
Z9,0.138864931015293,0.101687336459049,tertiary,Konzilstraße,50,constance,1,,9.177548,47.664609
Z10,0.115072528244117,0.088965400583446,tertiary,Konzilstraße,50,constance,1,,9.17761,47.665265
Z12,0.324854289429939,0.063129135929194,secondary,Rheinsteig,50,constance,1,,9.177062,47.666025
Z11,0.324271199184384,0.070241785540603,secondary,Rheinsteig,50,constance,1,,9.177024,47.665997
Z35,0.267079038504449,0.085378274599625,tertiary,Bodanstraße,50,constance,1,,9.172054,47.658385
Z15,0.256706836847371,0.165106064085808,tertiary,Bodanstraße,50,constance,1,,9.172046,47.658356
Z16,0.171330375583583,0.126485588022879,secondary,Obere Laube,50,constance,1,,9.170632,47.659105
Z17,0.161105481808316,0.125829048583169,secondary,Obere Laube,50,constance,1,,9.170683,47.659097
Z19,0.299723500264488,0.070481453876618,secondary,Theodor-Heuss-Straße,50,constance,1,,9.181173,47.669012
Z18,0.274200532266059,0.195385773127514,secondary,Theodor-Heuss-Straße,50,constance,1,,9.181211,47.669
Z21.1,0.411211012441661,0.07454313551975,primary,Mainaustraße,50,constance,2,,9.181842,47.66858
Z20,0.412558113223117,0.092100577091402,residential,Säntisstraße,30,constance,1,,9.184411,47.669246
Z29,0.15670519992671,0.137467912024064,tertiary,Bodanstraße,50,constance,1,,9.176223,47.65784
Z45,0.136935944591798,0.048527411755465,tertiary,Friedrichstraße,50,constance,1,,9.182577,47.675319
Z53,0.718436464943312,0.04237942744275,secondary,Wollmatinger Straße,50,constance,1,,9.181341,47.675074
K33.D3.1,0.070322256592611,0.008734774273946,secondary,Zähringerplatz,50,constance,1,,9.1824954,47.6747082
K33.D4.1,0.226696036231166,0.007995227529084,secondary,Zähringerplatz,50,constance,1,,9.182465,47.674683
Z54,0.163414398566833,0.005144219943859,tertiary,Petershauser Straße,50,constance,1,,9.175994,47.670079
Z55,0.067013772559384,0.007351448871746,tertiary,Petershauser Straße,50,constance,1,,9.17612,47.670099
K51D3.1,0.111067161874465,0.008166446318563,primary,Spanierstraße,50,constance,1,,9.175983,47.66973
K51D3.2,0.110277161255649,0.007496688424347,primary,Spanierstraße,50,constance,1,,9.175946,47.669718
K51D5.11,0.122744605978837,0.036462643680786,primary,Reichenaustraße,50,constance,1,,9.175187,47.670256
K51D4.11,0.121437608257707,0.036961551757746,primary,Reichenaustraße,50,constance,1,,9.175153,47.670241
K50D1.1,0.133403967218811,0.002020609878615,residential,Benediktinerplatz,0,constance,1,,9.176701,47.668958
K50D2.1,0.12984379852905,0.001823211851834,residential,Benediktinerplatz,0,constance,1,,9.176721,47.66893
K50D5.1,0.126687126908813,0.00264928017536,primary,Spanierstraße,50,constance,1,,9.176395,47.668937
K50D4.1,0.125832567207074,0.003059126073877,primary,Spanierstraße,50,constance,1,,9.176352,47.668935
K50D3.1,0.248652656194908,0.004525256039725,primary,Spanierstraße,50,constance,2,,9.176632,47.668635
K1D3.1,0.120576569853778,0.105655803069143,primary,Theodor-Heuss-Straße,50,constance,1,,9.179516,47.66754
K2D3.11,0.2066433148662,0.040081832872283,secondary,Alte Rheinbrücke,50,constance,1,,9.178281,47.665974
K20D4.11,0.120576569853778,0.072615045644191,primary,Theodor-Heuss-Straße,50,constance,1,,9.179702,47.667811
K21D5.1,0.412558113223117,0.004954026865742,primary,Mainaustraße,50,constance,1,,9.185478,47.669554
K21D4.1,0.412558113223117,0.004311577764589,primary,Mainaustraße,50,constance,1,,9.185505,47.669523
K21D6.1,0.414962483354677,0.005689067176674,residential,Andre-Noel-Straße,0,constance,2,,9.185661,47.669774
K21D1.1,0.144818000248158,0.002757845988186,primary,Mainaustraße,50,constance,1,,9.186003,47.669784
K21D2.1,0.144818000248158,0.003361573554338,primary,Mainaustraße,50,constance,1,,9.18604,47.669751
K7D5.11,0.051015618561982,0.024211277675394,secondary,,50,constance,1,,9.169654,47.658243
K7D5.12,0.155325856807402,0.024845724428228,secondary,,50,constance,1,,9.1696221,47.6582548
K7D3.1,0.049861659835686,0.01564653425874,secondary,Döbelestraße,50,constance,1,,9.169907,47.658622
K7D6.11,0.046824321004644,0.024220793010345,secondary,Döbelestraße,50,constance,1,,9.169934,47.658596
K7D11.11,0.064063957393891,0.026326020784669,tertiary,Bodanstraße,50,constance,1,,9.170406,47.658601
K7D2.11,0.049565998185012,0.030970290015056,tertiary,Obere Laube,50,constance,1,,9.170705,47.658528
K7D8.1,0.163674413214995,0.002804960339064,secondary,Obere Laube,50,constance,1,,9.170293,47.658918
K8D3.11,0.114293380862083,0.0350668713081,tertiary,Bahnhofplatz,20,constance,1,,9.176663,47.658266
K8D4.11,0.113686841204853,0.036130413615897,tertiary,Bahnhofplatz,20,constance,1,,9.176698,47.658268
K1PIR6.12,0.196430276203861,0.011657995880339,secondary,Theodor-Heuss-Straße,50,constance,1,,9.179336,47.6670519
K1PIR5.12,0.203532725362944,0.01685237343503,secondary,Theodor-Heuss-Straße,50,constance,1,,9.1793789,47.6670447
K1PIR5.11,0.204728850369241,0.020572380115311,secondary,Theodor-Heuss-Straße,50,constance,1,,9.1794204,47.6670393
