detid_X,detid_Y,DISTANCE
K1D30,K1D30,0.0
K1D30,K1D20,96.348
K1D30,K1D21,127.252
K1D30,K1D22,127.252
K1D30,K1D41,1010.264
K1D30,K1D42,1010.264
K1D30,K1D43,1010.264
K1D30,K2D41,299.151
K1D30,K2D42,299.151
K1D30,K2D43,299.151
K1D30,K2D31,453.3070000000001
K1D30,K2D32,453.3070000000001
K1D30,K2D33,453.3070000000001
K1D30,K2D21,413.599
K1D30,K2D22,413.599
K1D30,K2D23,413.599
K1D30,K2D24,413.599
K1D30,K2D11,427.637
K1D30,K2D12,427.637
K1D30,K2D13,427.637
K1D30,K3D21,1390.357
K1D30,K3D22,1390.357
K1D30,K3D41,1044.077
K1D30,K3D42,1044.077
K1D30,K3V14,1055.582
K1D30,K3V15,1055.582
K1D30,K3V16,1055.582
K1D30,K3V34,990.041
K1D30,K3V35,990.041
K1D30,K3V36,990.041
K1D30,K4D10,1271.535
K1D30,K4D11,1271.535
K1D30,K4D12,1271.535
K1D30,K4D32,1495.997
K1D30,K4D31,1495.997
K1D30,K4D22,1252.988
K1D30,K4D40,1144.341
K1D30,K4D41,1144.341
K1D30,K4D42,1144.341
K1D30,K5D31,1538.518
K1D30,K5D42,1538.518
K1D30,K5D43,1538.518
K1D30,K6D7,1679.291
K1D30,K6D8,1679.291
K1D30,K6D9,1679.291
K1D30,K6D10,1679.291
K1D30,K6D11,1679.291
K1D30,K6D12,1679.291
K1D30,K6D15,2024.541
K1D30,K6D16,2024.541
K1D30,K6D17,2024.541
K1D30,K6D18,2024.541
K1D30,K6D19,2024.541
K1D30,K6D20,2024.541
K1D30,K6D21,2024.541
K1D30,K6D22,2024.541
K1D30,K6D23,2024.541
K1D30,K6D24,2024.541
K1D30,K7D21,635.47
K1D30,K7D22,635.47
K1D30,K7D41,413.599
K1D30,K7D42,413.599
K1D30,K8D11,4049.837
K1D30,K8D31,2791.0880000000006
K1D30,K8D32,2791.0880000000006
K1D30,K10D11,2396.033
K1D30,K10D12,2396.033
K1D30,K10D13,2396.033
