detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K1D30,0.108952115868648,0.035243874140434,primary_link,Am Kavalleriesand,50,darmstadt,1,223,8.629208,49.869453
K1D20,0.035917541731454,0.022714009078781,primary,Rheinstraße,50,darmstadt,1,221,8.629454,49.86995
K1D21,0.27672812536711,0.237951098736483,primary,Rheinstraße,50,darmstadt,1,0,8.6296936,49.8699266
K1D22,0.27529473712546,0.235495584263492,primary,Rheinstraße,50,darmstadt,1,1,8.6297083,49.8698942
K1D41,0.538957777626067,0.500830828610174,secondary_link,Am Kavalleriesand,50,darmstadt,1,3,8.628091,49.869563
K1D42,0.535232331145809,0.033731835561936,primary,Rheinstraße,50,darmstadt,1,2,8.62809,49.869596
K1D43,0.533897556807995,0.031785783749742,primary,Rheinstraße,50,darmstadt,1,4,8.628087,49.869626
K2D41,0.274394383950174,0.244295196437662,primary,Rheinstraße,50,darmstadt,1,6,8.6324017,49.8701275
K2D42,0.272220955793069,0.029472653718344,primary,Rheinstraße,50,darmstadt,1,5,8.6324003,49.8701556
K2D43,0.130299037206406,0.023834725511288,primary,Rheinstraße,50,darmstadt,1,222,8.632478,49.870186
K2D31,0.076639912021919,0.049966829848355,secondary,Berliner Allee,50,darmstadt,1,7,8.633431,49.869918
K2D32,0.076608253665413,0.026170863330459,secondary,Berliner Allee,50,darmstadt,1,8,8.633385,49.869912
K2D33,0.045647568321246,0.026863280471837,secondary,Berliner Allee,50,darmstadt,1,9,8.633347,49.869902
K2D21,0.142706508124451,0.030066780013778,primary,Rheinstraße,50,darmstadt,1,237,8.633804,49.870564
K2D22,0.249691130738645,0.029828027609971,primary,Rheinstraße,50,darmstadt,1,235,8.633808,49.870535
K2D23,0.250082970535701,0.030090553409456,primary,Rheinstraße,50,darmstadt,1,238,8.633817,49.870511
K2D24,0.128540769156796,0.016180726720064,primary,Rheinstraße,50,darmstadt,1,236,8.633639,49.87047
K2D11,0.215987713903617,0.194332198354953,secondary,Goebelstraße,50,darmstadt,1,10,8.63294,49.870811
K2D12,0.221111638150091,0.19048921139314,secondary,Goebelstraße,50,darmstadt,1,11,8.632971,49.8709
K2D13,0.052772606233707,0.030331230005608,secondary,Goebelstraße,50,darmstadt,1,241,8.633008,49.870906
K3D21,0.171657534477903,0.149003512384419,primary,Rheinstraße,50,darmstadt,1,12,8.642175,49.871703
K3D22,0.169315256871416,0.022893939618384,primary,Rheinstraße,50,darmstadt,1,13,8.642179,49.871671
K3D41,0.434900589228213,0.410657008980053,primary,Rheinstraße,50,darmstadt,1,14,8.640979,49.871305
K3D42,0.433848870532525,0.410396539594073,primary,Rheinstraße,50,darmstadt,1,15,8.640978,49.871336
K3V14,0.113881601844141,0.020577930576696,primary_link,,50,darmstadt,1,245,8.64131,49.871908
K3V15,0.129156349970063,0.021480530073289,primary_link,,50,darmstadt,1,246,8.641386,49.871921
K3V16,0.128908408547581,0.021657918095024,primary_link,,50,darmstadt,1,247,8.64143,49.871927
K3V34,0.247425221454233,0.22599931084318,secondary,Hindenburgstraße,50,darmstadt,1,16,8.641813,49.871093
K3V35,0.247800195490299,0.227038256662312,secondary,Hindenburgstraße,50,darmstadt,1,17,8.641773,49.871095
K3V36,0.108782992420282,0.014413445464252,secondary,Hindenburgstraße,50,darmstadt,1,234,8.641707,49.871145
K4D10,0.080591817498305,0.045433593589812,primary_link,,50,darmstadt,1,262,8.644145,49.872295
K4D11,0.108252557232271,0.085116015172875,primary_link,,50,darmstadt,1,18,8.644211,49.872292
