DATETIMESTEP,day,BP2_D1,BP2_D2,BP2_D3,BP4_D1(1),BP4_D10(3),BP4_D2(1),BP4_D3(2),BP4_D4(2),BP4_D5(2),BP4_D6(4),BP4_D8(3),BP4_D9(3),FA6_D10,FA6_D11,FA6_D14,FA6_D15,FA6_D16,FA6_D17,FA6_D18,FA6_D19,FA6_D2,FA6_D24,FA6_D25,FA6_D27,FA6_D28,FA6_D29,FA6_D3,FA6_D30,FA6_D31,FA6_D32,FA6_D33,FA6_D34,FA6_D35,FA6_D36,FA6_D37,FA6_D38,FA6_D4,FA6_D5,FA6_D6,FA6_D7,FA6_D8,FA6_D9,G3_D1(KFZ1),G3_D2(KFZ1),G3_D3(KFZ2),G3_D4(KFZ2),G3_D5(KFZ3),HB1_D1,HB1_D13,HB1_D14,HB1_D15,HB1_D16,HB1_D17,HB1_D2,HB1_D3,HB1_D4,HB1_D5,HB1_D6,HB1_D7,HB1_D8,HB4_D1(KFZ4),HB4_D2(KFZ4),MUE3_D2(KFZ),MUE3_D3(KFZ),PR1_D1,PR1_D10,PR1_D11,PR1_D2,PR1_D3,PR1_D4,PR1_D5,PR1_D6,PR1_D7,PR1_D8,PR1_D9,PR3_D1(KFZ1),PR3_D2(KFZ1),PR3_D3(KFZ2),SD_D1(KFZ1),SD_D2(KFZ2),SD_D3(KFZ3),SHO_D1(KFZ1),SHO_D2(KFZ4),STA1_D1(KFZ4),STA1_D2(KFZ4),STA1_D8(KFZ5),STA1_D9(KFZ5),STA2_D2(KFZ4),STA2_D3(KFZ4),STA2_D4(KFZ4),STA2_D5(KFZ3),STA2_D6(KFZ3),STA2_D7(KFZ3),STA2_D8(KFZ3),STA4_D1(KFZ1),STA4_D1a(KFZ1),STA4_D2(KFZ2),STA4_D2a(KFZ2),STA4_D4(KFZ4),STA4_D4a(KFZ4),STA4_D6(KFZ6),STA4_D6a(KFZ6),STA4_D8(KFZ8),STA4_D8a(KFZ8),STA4_D9(KFZ9),STA4_D9a(KFZ9),T1_D1,T1_D2,T1_D3,T1_D4,WL2_D1(KFZ1),WL2_D2(KFZ3)
2016-12-21 00:00:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:05:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:10:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:15:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:20:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:25:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:30:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:35:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:40:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21 00:45:00,2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
