DATETIMESTEP,day,M_0011_0308,M_0015_0159,M_0032_0323,M_0037_0038,M_0037_0779_0039_U,M_0038_0037,M_0038_0191,M_0039_0038,M_0108_0478_0479,M_0191_0038,M_0191_0852,M_0308_0011,M_0323_0032,M_0821_0159,M_0821_0190,M_0852_0191
2017-04-01 00:00:00,2017-04-01,99.600006,99.600006,120.0,368.40002,144.0,504.0,440.40002,364.79999,118.8,256.79999,48.0,96.0,255.59999,260.40002,128.39999,135.60001
2017-04-01 00:05:00,2017-04-01,132.0,160.79999,111.60001,300.0,200.40001,584.40002,267.59998,387.59998,204.0,327.59998,63.600002,72.0,495.59998,140.39999,171.60001,147.60001
2017-04-01 00:10:00,2017-04-01,139.20001,100.8,115.2,268.79999,124.8,639.59998,229.20001,304.79999,108.0,411.59998,32.400002,36.0,184.79999,176.39999,228.0,148.79999
2017-04-01 00:15:00,2017-04-01,157.20001,68.399994,40.800003,180.0,207.59999,495.59998,204.0,279.59998,159.60001,316.79999,51.600002,51.600002,339.59998,120.0,92.399994,204.0
2017-04-01 00:20:00,2017-04-01,135.60001,63.600002,27.599998,336.0,216.0,536.40002,231.59999,376.79999,192.0,216.0,63.600002,60.0,232.79999,108.0,76.800003,192.0
2017-04-01 00:25:00,2017-04-01,140.39999,144.0,39.599998,300.0,235.20001,396.0,331.20001,291.59998,175.20001,176.39999,87.600006,20.400002,147.60001,142.79999,120.0,168.0
2017-04-01 00:30:00,2017-04-01,171.60001,128.39999,132.0,291.59998,121.2,447.59998,304.79999,368.40002,112.8,276.0,52.800003,44.400002,240.0,181.20001,195.59999,164.39999
2017-04-01 00:35:00,2017-04-01,100.8,79.199997,108.0,235.20001,147.60001,560.40002,228.0,328.79999,120.0,296.40002,43.199997,84.0,219.59999,96.0,87.600006,144.0
2017-04-01 00:40:00,2017-04-01,87.600006,128.39999,84.0,228.0,199.20001,598.80005,332.40002,466.80002,211.20001,327.59998,108.0,111.60001,427.19998,216.0,184.79999,135.60001
2017-04-01 00:45:00,2017-04-01,79.199997,171.60001,108.0,164.39999,140.39999,524.40002,180.0,324.0,160.79999,200.40001,72.0,56.399998,164.39999,61.199997,166.79999,68.399994
2017-04-01 00:50:00,2017-04-01,152.39999,132.0,80.399994,240.0,184.79999,531.59998,224.40001,339.59998,108.0,276.0,60.0,72.0,216.0,168.0,152.39999,176.39999
2017-04-01 00:55:00,2017-04-01,103.2,68.399994,51.600002,267.59998,180.0,504.0,243.59999,272.40002,139.20001,219.59999,84.0,99.600006,112.8,120.0,75.600006,116.39999
2017-04-01 01:00:00,2017-04-01,96.0,72.0,24.0,195.59999,195.59999,387.59998,228.0,231.59999,100.8,303.59998,32.400002,44.400002,216.0,99.600006,120.0,87.600006
2017-04-01 01:05:00,2017-04-01,183.60001,92.399994,36.0,236.40001,199.20001,517.19995,195.59999,264.0,120.0,260.40002,72.0,72.0,276.0,144.0,92.399994,195.59999
2017-04-01 01:10:00,2017-04-01,68.399994,15.599999,108.0,276.0,180.0,476.40002,272.40002,355.20001,128.39999,217.20001,75.600006,64.800003,192.0,92.399994,75.600006,64.800003
2017-04-01 01:15:00,2017-04-01,84.0,63.600002,70.800003,128.39999,188.39999,399.59998,168.0,248.40001,63.600002,240.0,72.0,51.600002,128.39999,87.600006,44.400002,123.60001
2017-04-01 01:20:00,2017-04-01,104.39999,27.599998,108.0,195.59999,120.0,320.40002,223.20001,264.0,140.39999,96.0,120.0,75.600006,104.39999,116.39999,40.800003,64.800003
2017-04-01 01:25:00,2017-04-01,64.800003,15.599999,72.0,253.20001,159.60001,370.79999,232.79999,255.59999,96.0,192.0,84.0,100.8,259.20001,108.0,48.0,75.600006
2017-04-01 01:30:00,2017-04-01,56.399998,43.199997,51.600002,259.20001,271.20001,301.20001,224.40001,232.79999,135.60001,135.60001,48.0,39.599998,136.79999,168.0,55.199997,115.2
2017-04-01 01:35:00,2017-04-01,72.0,75.600006,44.400002,217.20001,132.0,271.20001,175.20001,250.79999,96.0,99.600006,20.400002,36.0,132.0,97.200005,72.0,96.0
2017-04-01 01:40:00,2017-04-01,51.600002,72.0,36.0,135.60001,327.59998,364.79999,176.39999,177.60001,115.2,171.60001,75.600006,56.399998,295.20001,96.0,123.60001,51.600002
2017-04-01 01:45:00,2017-04-01,68.399994,48.0,48.0,216.0,280.79999,375.59998,171.60001,327.59998,169.20001,164.39999,40.800003,15.599999,171.60001,60.0,72.0,135.60001
2017-04-01 01:50:00,2017-04-01,140.39999,75.600006,60.0,266.40002,250.79999,360.0,195.59999,223.20001,68.399994,139.20001,51.600002,88.800003,205.20001,87.600006,87.600006,147.60001
2017-04-01 01:55:00,2017-04-01,139.20001,79.199997,36.0,224.40001,153.60001,272.40002,172.79999,192.0,63.600002,140.39999,27.599998,15.599999,175.20001,68.399994,68.399994,159.60001
