detid_X,detid_Y,DISTANCE
esss102n,esss102n,0.0
esss102n,esss102s,24.982
esss102n,esss037n,1279.657
esss102n,esss037s,1286.442
esss102n,esss093n,1842.297
esss102n,esss093s,1842.297
esss102n,esss053n,2959.362
esss102n,esss053s,2594.371
esss102n,esss092n,1995.383
esss102n,esss092s,1996.523
esss102n,esss094s,2596.243
esss102n,esss094n,2760.0349999999994
esss102n,esss926o,2743.071
esss102n,esss926w,2743.071
esss102n,esss095n,2584.8559999999998
esss102n,esss095s,2584.8559999999998
esss102n,esss090n,2610.632
esss102n,esss090s,2610.632
esss102n,esss097o,3203.427
esss102n,esss097w,2962.706
esss102n,esss050n,3850.079
esss102n,esss050s,3888.748
esss102n,esss088s,5047.112999999999
esss102n,esss088n,5034.249999999998
esss102n,esss051n,3848.676999999999
esss102n,esss051s,4083.063
esss102n,esss098n,2640.4870000000005
esss102n,esss098s,2640.4870000000005
esss102n,esss038w,2839.94
esss102n,esss038o,2839.94
esss102n,esss928w,3350.843
esss102n,esss928o,3381.343
esss102n,esss943o,1610.0399999999995
esss102n,esss943w,1584.0709999999997
esss102n,esss052n,2351.992
esss102n,esss052s,2351.992
esss102n,ess101w,2090.88
esss102n,ess101o,893.1289999999999
esss102s,esss102n,24.6
esss102s,esss102s,0.0
esss102s,esss037n,1304.257
esss102s,esss037s,1311.042
esss102s,esss093n,1866.897
esss102s,esss093s,1866.897
esss102s,esss053n,2983.9620000000004
esss102s,esss053s,2618.9710000000005
esss102s,esss092n,2019.983
esss102s,esss092s,2021.1230000000005
esss102s,esss094s,2620.8430000000003
esss102s,esss094n,2784.635
esss102s,esss926o,2767.6710000000003
esss102s,esss926w,2767.6710000000003
esss102s,esss095n,2609.456
esss102s,esss095s,2609.456
esss102s,esss090n,2601.979
esss102s,esss090s,2601.979
esss102s,esss097o,3228.027
esss102s,esss097w,2987.306
esss102s,esss050n,3874.679
esss102s,esss050s,3913.348
esss102s,esss088s,5071.712999999999
esss102s,esss088n,5058.849999999999
esss102s,esss051n,3873.276999999999
esss102s,esss051s,4107.663
esss102s,esss098n,2631.8340000000003
esss102s,esss098s,2631.8340000000003
esss102s,esss038w,2864.54
esss102s,esss038o,2864.54
esss102s,esss928w,3375.443
esss102s,esss928o,3405.943
esss102s,esss943o,1634.64
esss102s,esss943w,1608.6709999999998
esss102s,esss052n,2376.592
esss102s,esss052s,2376.592
esss102s,ess101w,2065.898
esss102s,ess101o,868.1469999999999
esss037n,esss102n,1444.946
esss037n,esss102s,1420.3459999999998
esss037n,esss037n,0.0
esss037n,esss037s,146.501
esss037n,esss093n,1564.002
esss037n,esss093s,1564.002
esss037n,esss053n,1679.705
esss037n,esss053s,1314.7140000000002
esss037n,esss092n,1985.019
esss037n,esss092s,1948.703
esss037n,esss094s,2271.289999999999
esss037n,esss094n,2161.628
esss037n,esss926o,2810.768
esss037n,esss926w,2810.768
esss037n,esss095n,2726.7470000000003
esss037n,esss095s,2726.7470000000003
esss037n,esss090n,3104.42
esss037n,esss090s,3104.42
esss037n,esss097o,3375.13
esss037n,esss097w,3134.409
esss037n,esss050n,3147.172
esss037n,esss050s,3185.8409999999994
esss037n,esss088s,5030.560999999999
esss037n,esss088n,5017.697999999999
esss037n,esss051n,4020.379999999999
esss037n,esss051s,4254.766
esss037n,esss098n,3082.8670000000006
esss037n,esss098s,3082.8670000000006
esss037n,esss038w,1560.283
esss037n,esss038o,1560.283
esss037n,esss928w,2647.936
esss037n,esss928o,2678.436
esss037n,esss943o,1962.955
esss037n,esss943w,1755.23
esss037n,esss052n,1687.1049999999998
esss037n,esss052s,1687.1049999999998
esss037n,ess101w,3486.2440000000006
esss037n,ess101o,2288.493
esss037s,esss102n,1298.445
esss037s,esss102s,1273.8449999999998
esss037s,esss037n,405.335
esss037s,esss037s,0.0
esss037s,esss093n,1417.501
esss037s,esss093s,1417.501
esss037s,esss053n,2054.212
esss037s,esss053s,1689.2210000000002
esss037s,esss092n,1838.518
esss037s,esss092s,1802.202
esss037s,esss094s,2124.7889999999998
esss037s,esss094n,2015.1269999999995
esss037s,esss926o,2664.267
esss037s,esss926w,2664.267
esss037s,esss095n,2580.246
esss037s,esss095s,2580.246
esss037s,esss090n,2957.919
esss037s,esss090s,2957.919
esss037s,esss097o,3228.629
esss037s,esss097w,2987.908
esss037s,esss050n,3000.671
esss037s,esss050s,3039.3399999999992
esss037s,esss088s,4884.059999999999
esss037s,esss088n,4871.196999999998
esss037s,esss051n,3873.878999999999
esss037s,esss051s,4108.264999999999
esss037s,esss098n,2936.366
esss037s,esss098s,2936.366
esss037s,esss038w,1934.79
esss037s,esss038o,1934.79
esss037s,esss928w,2501.4349999999995
esss037s,esss928o,2531.9349999999995
esss037s,esss943o,1816.454
esss037s,esss943w,1608.729
esss037s,esss052n,1540.604
esss037s,esss052s,1540.604
esss037s,ess101w,3339.7430000000004
esss037s,ess101o,2141.992
esss093n,esss102n,1830.618
esss093n,esss102s,1806.018
esss093n,esss037n,1295.8439999999996
esss093n,esss037s,1302.6289999999997
esss093n,esss093n,0.0
esss093n,esss093s,0.0
esss093n,esss053n,1793.44
esss093n,esss053s,1511.6420000000005
esss093n,esss092n,816.2689999999999
esss093n,esss092s,817.4089999999999
esss093n,esss094s,1455.3109999999997
esss093n,esss094n,1345.6489999999997
esss093n,esss926o,1994.7889999999995
esss093n,esss926w,1994.7889999999995
esss093n,esss095n,1910.768
esss093n,esss095s,1910.768
esss093n,esss090n,2193.068
esss093n,esss090s,2193.068
esss093n,esss097o,2530.04
esss093n,esss097w,2289.319
esss093n,esss050n,2331.193
esss093n,esss050s,2369.862
esss093n,esss088s,4214.582000000001
esss093n,esss088n,4201.719000000001
esss093n,esss051n,3175.289999999999
esss093n,esss051s,3409.676
esss093n,esss098n,2604.484
esss093n,esss098s,2604.484
esss093n,esss038w,2246.0790000000006
esss093n,esss038o,2246.0790000000006
esss093n,esss928w,1831.957
esss093n,esss928o,1862.457
esss093n,esss943o,1100.6729999999998
esss093n,esss943w,892.9480000000001
esss093n,esss052n,694.916
esss093n,esss052s,694.916
esss093n,ess101w,3850.116000000001
esss093n,ess101o,2652.3650000000007
esss093s,esss102n,1830.618
esss093s,esss102s,1806.018
esss093s,esss037n,1295.8439999999996
esss093s,esss037s,1302.6289999999997
esss093s,esss093n,0.0
esss093s,esss093s,0.0
esss093s,esss053n,1793.44
esss093s,esss053s,1511.6420000000005
esss093s,esss092n,816.2689999999999
esss093s,esss092s,817.4089999999999
esss093s,esss094s,1455.3109999999997
esss093s,esss094n,1345.6489999999997
esss093s,esss926o,1994.7889999999995
esss093s,esss926w,1994.7889999999995
esss093s,esss095n,1910.768
esss093s,esss095s,1910.768
esss093s,esss090n,2193.068
esss093s,esss090s,2193.068
esss093s,esss097o,2530.04
esss093s,esss097w,2289.319
esss093s,esss050n,2331.193
esss093s,esss050s,2369.862
esss093s,esss088s,4214.582000000001
esss093s,esss088n,4201.719000000001
esss093s,esss051n,3175.289999999999
esss093s,esss051s,3409.676
esss093s,esss098n,2604.484
esss093s,esss098s,2604.484
esss093s,esss038w,2246.0790000000006
esss093s,esss038o,2246.0790000000006
esss093s,esss928w,1831.957
esss093s,esss928o,1862.457
esss093s,esss943o,1100.6729999999998
esss093s,esss943w,892.9480000000001
esss093s,esss052n,694.916
esss093s,esss052s,694.916
esss093s,ess101w,3850.116000000001
esss093s,ess101o,2652.3650000000007
esss053n,esss102n,3066.583
esss053n,esss102s,3041.983
esss053n,esss037n,1916.426
esss053n,esss037s,1768.138
esss053n,esss093n,1998.332
esss053n,esss093s,1998.332
esss053n,esss053n,0.0
esss053n,esss053s,905.405
esss053n,esss092n,2404.1759999999995
esss053n,esss092s,2367.86
esss053n,esss094s,2690.447
esss053n,esss094n,2580.7850000000003
esss053n,esss926o,3229.925
esss053n,esss926w,3229.925
esss053n,esss095n,3145.904000000001
esss053n,esss095s,3145.904000000001
esss053n,esss090n,3743.518999999999
esss053n,esss090s,3743.518999999999
esss053n,esss097o,3550.2290000000003
esss053n,esss097w,3553.5660000000007
esss053n,esss050n,2694.381
esss053n,esss050s,2733.05
esss053n,esss088s,4577.77
