detid_X,detid_Y,DISTANCE
STA4_D1(KFZ1),STA4_D1(KFZ1),0.0
STA4_D1(KFZ1),STA4_D1a(KFZ1),0.0
STA4_D1(KFZ1),STA4_D2(KFZ2),0.0
STA4_D1(KFZ1),STA4_D2a(KFZ2),0.0
STA4_D1(KFZ1),STA4_D8a(KFZ8),525.38
STA4_D1(KFZ1),STA4_D8(KFZ8),525.38
STA4_D1(KFZ1),STA4_D9(KFZ9),127.712
STA4_D1(KFZ1),STA4_D9a(KFZ9),127.712
STA4_D1(KFZ1),STA4_D6a(KFZ6),385.682
STA4_D1(KFZ1),STA4_D6(KFZ6),385.682
STA4_D1(KFZ1),STA4_D4(KFZ4),698.9419999999999
STA4_D1(KFZ1),STA4_D4a(KFZ4),176.448
STA4_D1(KFZ1),T1_D1,1620.076
STA4_D1(KFZ1),T1_D2,1620.076
STA4_D1(KFZ1),T1_D3,1620.076
STA4_D1(KFZ1),T1_D4,1620.076
STA4_D1(KFZ1),WL2_D2(KFZ3),1269.6210000000003
STA4_D1(KFZ1),WL2_D1(KFZ1),1269.6210000000003
STA4_D1(KFZ1),SHO_D1(KFZ1),1368.6240000000005
STA4_D1(KFZ1),SHO_D2(KFZ4),1368.6240000000005
STA4_D1(KFZ1),SD_D2(KFZ2),1034.728
STA4_D1(KFZ1),SD_D3(KFZ3),1034.728
STA4_D1(KFZ1),SD_D1(KFZ1),990.036
STA4_D1(KFZ1),G3_D1(KFZ1),1171.9270000000004
STA4_D1(KFZ1),G3_D2(KFZ1),1150.6780000000003
STA4_D1(KFZ1),G3_D3(KFZ2),1334.3140000000003
STA4_D1(KFZ1),G3_D4(KFZ2),1132.8260000000002
STA4_D1(KFZ1),G3_D5(KFZ3),1132.8260000000002
STA4_D1(KFZ1),MUE3_D2(KFZ),1603.937
STA4_D1(KFZ1),MUE3_D3(KFZ),1603.937
STA4_D1(KFZ1),FA6_D8,2625.24
STA4_D1(KFZ1),FA6_D9,2625.24
STA4_D1(KFZ1),FA6_D10,2625.24
STA4_D1(KFZ1),FA6_D37,2513.1470000000004
STA4_D1(KFZ1),FA6_D38,2513.1470000000004
STA4_D1(KFZ1),FA6_D35,2513.1470000000004
STA4_D1(KFZ1),FA6_D36,2513.1470000000004
STA4_D1(KFZ1),FA6_D33,2513.1470000000004
STA4_D1(KFZ1),FA6_D34,2513.1470000000004
STA4_D1(KFZ1),FA6_D19,2248.885
STA4_D1(KFZ1),FA6_D18,2248.885
STA4_D1(KFZ1),FA6_D17,2248.885
STA4_D1(KFZ1),FA6_D24,2248.885
STA4_D1(KFZ1),FA6_D25,2248.885
STA4_D1(KFZ1),FA6_D31,2228.695
STA4_D1(KFZ1),FA6_D32,2228.695
STA4_D1(KFZ1),FA6_D29,2228.695
STA4_D1(KFZ1),FA6_D30,2228.695
STA4_D1(KFZ1),FA6_D27,2228.695
STA4_D1(KFZ1),FA6_D28,2228.695
STA4_D1(KFZ1),FA6_D11,2625.24
STA4_D1(KFZ1),FA6_D16,2248.885
STA4_D1(KFZ1),FA6_D15,2248.885
STA4_D1(KFZ1),FA6_D14,2248.885
STA4_D1(KFZ1),FA6_D7,2228.695
STA4_D1(KFZ1),FA6_D6,2228.695
STA4_D1(KFZ1),FA6_D5,2228.695
STA4_D1(KFZ1),FA6_D3,2228.695
STA4_D1(KFZ1),FA6_D4,2228.695
STA4_D1(KFZ1),FA6_D2,2228.695
STA4_D1(KFZ1),PR3_D2(KFZ1),1877.014
STA4_D1(KFZ1),PR3_D1(KFZ1),1877.014
STA4_D1(KFZ1),PR3_D3(KFZ2),1877.014
STA4_D1(KFZ1),PR1_D8,1874.8640000000005
STA4_D1(KFZ1),PR1_D9,1874.8640000000005
STA4_D1(KFZ1),PR1_D10,1874.8640000000005
STA4_D1(KFZ1),PR1_D11,1874.8640000000005
STA4_D1(KFZ1),PR1_D4,2454.822
STA4_D1(KFZ1),PR1_D5,2454.822
STA4_D1(KFZ1),PR1_D6,2454.822
STA4_D1(KFZ1),PR1_D7,2454.822
STA4_D1(KFZ1),PR1_D3,1777.106
STA4_D1(KFZ1),PR1_D2,1777.106
STA4_D1(KFZ1),PR1_D1,1777.106
STA4_D1(KFZ1),HB1_D1,1429.3270000000002
STA4_D1(KFZ1),HB1_D2,1429.3270000000002
STA4_D1(KFZ1),HB1_D3,1429.3270000000002
STA4_D1(KFZ1),HB1_D13,1594.3360000000002
STA4_D1(KFZ1),HB1_D15,1594.3360000000002
STA4_D1(KFZ1),HB1_D14,1594.3360000000002
STA4_D1(KFZ1),HB1_D16,1452.7500000000002
STA4_D1(KFZ1),HB1_D17,1452.7500000000002
STA4_D1(KFZ1),HB1_D6,1531.2340000000002
STA4_D1(KFZ1),HB1_D7,1531.2340000000002
STA4_D1(KFZ1),HB1_D8,1522.458
STA4_D1(KFZ1),HB1_D5,1522.458
STA4_D1(KFZ1),HB1_D4,1522.458
STA4_D1(KFZ1),HB4_D1(KFZ4),1239.3660000000002
STA4_D1(KFZ1),HB4_D2(KFZ4),1239.3660000000002
STA4_D1(KFZ1),BP4_D10(3),1097.998
STA4_D1(KFZ1),BP4_D9(3),1097.998
STA4_D1(KFZ1),BP4_D8(3),1097.998
STA4_D1(KFZ1),BP4_D6(4),1070.225
STA4_D1(KFZ1),BP4_D1(1),1035.7530000000002
STA4_D1(KFZ1),BP4_D2(1),1035.7530000000002
STA4_D1(KFZ1),BP4_D3(2),1035.7530000000002
STA4_D1(KFZ1),BP4_D4(2),1035.7530000000002
STA4_D1(KFZ1),BP4_D5(2),1035.7530000000002
STA4_D1(KFZ1),BP2_D1,1127.9320000000005
STA4_D1(KFZ1),BP2_D2,1127.9320000000005
STA4_D1(KFZ1),BP2_D3,1127.9320000000005
