detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
PGR01_101733_G185_Rijksweg_O_ID_8644_1,0.772471618984274,0.115080706968668,secondary,Rijksweg,50,groningen,1,28,6.5953759,53.2261403
PGR01_101736_G114_Bedumerweg_Z_ID_8655_1,0.595425155976176,0.378298601010232,secondary,Bedumerweg,50,groningen,1,33,6.5614564,53.2299551
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,0.575496405682978,0.339317663356127,secondary,Europaweg,50,groningen,1,12,6.5841141,53.2140645
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_2,0.575496405682978,0.339317663356127,secondary,Europaweg,50,groningen,1,12,6.5841141,53.2140645
PGR01_101737_JCKapteynlaan_N_ID_8722_1,0.312103571099451,0.134611815540168,secondary,J.C. Kapteynlaan,50,groningen,1,32,6.5690107,53.2286415
PGR01_101743_Westersingel_Z_ID_8640_1,0.298275856264069,0.178612966662507,secondary,Westersingel,50,groningen,1,5,6.5568975,53.2172626
PGR01_101724_G181_Hoendiep_O_ID_8648_1,0.657715842745435,0.565293741009867,secondary,Hoendiep,50,groningen,1,0,6.5435289,53.2134896
PGR01_101743_Westersingel_N_ID_8641_1,0.292246099152712,0.114645273357776,secondary,Westersingel,50,groningen,1,4,6.5569421,53.2172747
PGR01_101725_G172_Emmaviaduct_Z_ID_8650_2,0.518423232088097,0.239823674195131,secondary,Emmaviaduct,50,groningen,1,16,6.5609509,53.2096958
PGR01_101725_G172_Emmaviaduct_Z_ID_8650_1,0.518423232088097,0.239823674195131,secondary,Emmaviaduct,50,groningen,1,16,6.5609509,53.2096958
PGR01_101750_Zuiderpark_W_ID_8662_1,0.248380470882015,0.142348297654022,secondary,Zuiderpark,50,groningen,1,9,6.5726458,53.2128755
PGR01_101761_Sontweg_NO_ID_8812_1,0.685786301851672,0.447040495642343,tertiary,Sontweg,50,groningen,1,19,6.5852054,53.2169569
PGR01_101739_Schuitendiep_Z_V1_ID_8638_1,0.281456335312421,0.191083566166578,secondary,Schuitendiep,50,groningen,1,24,6.572116,53.219176
PGR01_101734_Damsterdiep_W_ID_8652_1,0.783144380273752,0.615467528909272,secondary,Damsterdiep,50,groningen,1,25,6.586639,53.2214981
PGR01_101734_Damsterdiep_O_ID_8653_1,0.784955577152778,0.161101388232268,secondary,Damsterdiep,50,groningen,1,26,6.5866723,53.2214737
PGR01_101724_G181_Hoendiep_W_ID_8649_1,0.671522260250194,0.101142645632889,secondary,Hoendiep,50,groningen,1,1,6.5435209,53.2135328
PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,0.506992905372119,0.269348194874261,secondary,Emmaviaduct,50,groningen,1,17,6.5611282,53.2096988
PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,0.506992905372119,0.269348194874261,secondary,Emmaviaduct,50,groningen,1,17,6.5611282,53.2096988
PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,0.506992905372119,0.269348194874261,secondary,Emmaviaduct,50,groningen,1,17,6.5611282,53.2096988
PGR01_101751_G460_Griffeweg_W_ID_8646_1,0.273266117288504,0.112973392469343,secondary,Griffeweg,50,groningen,1,10,6.579411,53.214948
PGR01_101742_Lopendediep_ZW_ID_8699_2,0.69213303023113,0.413199648297865,secondary,Lopende Diep,50,groningen,1,22,6.56149,53.221188
PGR01_101742_Lopendediep_ZW_ID_8699_1,0.69213303023113,0.413199648297865,secondary,Lopende Diep,50,groningen,1,22,6.56149,53.221188
PGR01_101750_Zuiderpark_O_ID_8661_2,0.26325473672728,0.102598592321296,secondary,Zuiderpark,50,groningen,1,8,6.5726664,53.212836
PGR01_101750_Zuiderpark_O_ID_8661_1,0.26325473672728,0.102598592321296,secondary,Zuiderpark,50,groningen,1,8,6.5726664,53.212836
PGR01_101727_Hereweg_N_ID_8611_2,0.754073136345511,0.555692068577134,secondary,Hereweg,50,groningen,1,14,6.573224,53.2073501
PGR01_101727_Hereweg_N_ID_8611_1,0.754073136345511,0.555692068577134,secondary,Hereweg,50,groningen,1,14,6.573224,53.2073501
PGR01_101741_Lopendediep_NO_ID_8724_2,0.58364703461781,0.254855376247298,secondary,Lopende Diep,50,groningen,1,23,6.561885,53.220838
PGR01_101741_Lopendediep_NO_ID_8724_1,0.58364703461781,0.254855376247298,secondary,Lopende Diep,50,groningen,1,23,6.561885,53.220838
PGR01_101746_Eendrachtskade_W_ID_8725_1,0.253036942918048,0.094619694920703,secondary,Eendrachtskade,50,groningen,1,3,6.553499,53.214379
PGR01_101733_G185_Rijksweg_W_ID_8645_1,0.793714518487653,0.64819966761185,secondary,Rijksweg,50,groningen,1,27,6.5954031,53.2261608
PGR01_101749_Stationsweg_W_V1_ID_8703_3,0.570541056740897,0.090779649924874,secondary,Stationsweg,50,groningen,1,7,6.5632408,53.211885
PGR01_101749_Stationsweg_W_V1_ID_8703_1,0.570541056740897,0.090779649924874,secondary,Stationsweg,50,groningen,1,7,6.5632408,53.211885
PGR01_101749_Stationsweg_W_V1_ID_8703_2,0.570541056740897,0.090779649924874,secondary,Stationsweg,50,groningen,1,7,6.5632408,53.211885
PGR01_101761_Sontweg_ZW_ID_8811_1,0.673787774854893,0.224394703044864,tertiary,Sontweg,50,groningen,1,18,6.585091,53.216947
PGR01_101747_Eendrachtskade_O_ID_8726_1,0.305669123121923,0.090097832004155,secondary,Eendrachtskade,50,groningen,1,2,6.554273,53.213939
PGR01_101731_G275/6_Europaweg_NW_ID_8637_2,0.571347616291265,0.457849941194892,secondary,Europaweg,50,groningen,1,13,6.5869039,53.2126195
PGR01_101731_G275/6_Europaweg_NW_ID_8637_1,0.571347616291265,0.457849941194892,secondary,Europaweg,50,groningen,1,13,6.5869039,53.2126195
PGR01_101738_G213_PetrusCampersingel_Z_ID_8657_1,0.74202895452155,0.420567126030482,secondary,Petrus Campersingel,50,groningen,1,29,6.5756287,53.2246352
PGR01_101749_Stationsweg_O_ID_8702_1,0.580473729588456,0.4842225732943,secondary,Stationsweg,50,groningen,1,6,6.5632023,53.2118178
PGR01_101727_Hereweg_Z_ID_8610_2,0.753926998474097,0.182550106369213,secondary,Hereweg,50,groningen,1,15,6.573112,53.207327
PGR01_101727_Hereweg_Z_ID_8610_1,0.753926998474097,0.182550106369213,secondary,Hereweg,50,groningen,1,15,6.573112,53.207327
PGR01_101752_Europaweg_NW_ID_8704_2,0.352086012434652,0.243175583552247,secondary,Europaweg,50,groningen,1,21,6.580807,53.216621
PGR01_101752_Europaweg_NW_ID_8704_3,0.352086012434652,0.243175583552247,secondary,Europaweg,50,groningen,1,21,6.580807,53.216621
PGR01_101752_Europaweg_NW_ID_8704_1,0.352086012434652,0.243175583552247,secondary,Europaweg,50,groningen,1,21,6.580807,53.216621
PGR01_101737_JCKapteynlaan_Z_ID_8723_1,0.307950086261681,0.163967572241359,residential,,50,groningen,1,31,6.5689005,53.228587
PGR01_101738_G213_PetrusCampersingel_N_ID_8656_1,0.76113573438483,0.321121253893649,secondary,Petrus Campersingel,50,groningen,1,30,6.5756529,53.224658
PGR01_101735_G506_Bedumerweg_Z_ID_8792_2,0.139353622972796,0.066643931603065,secondary,Bedumerweg,50,groningen,1,35,6.5659778,53.236525
PGR01_101735_G506_Bedumerweg_Z_ID_8792_1,0.139353622972796,0.066643931603065,secondary,Bedumerweg,50,groningen,1,35,6.5659778,53.236525
PGR01_101753_Europaweg_ZO_ID_8705_3,0.347790274841181,0.096928182209884,secondary,Europaweg,50,groningen,1,20,6.580635,53.216574
PGR01_101753_Europaweg_ZO_ID_8705_1,0.347790274841181,0.096928182209884,secondary,Europaweg,50,groningen,1,20,6.580635,53.216574
PGR01_101753_Europaweg_ZO_ID_8705_2,0.347790274841181,0.096928182209884,secondary,Europaweg,50,groningen,1,20,6.580635,53.216574
PGR01_101751_G460_Griffeweg_O_ID_8647_1,0.277375678057861,0.155951444644353,secondary,Griffeweg,50,groningen,1,11,6.579499,53.214909
PGR01_101735_G506_Bedumerweg_N_ID_8791_1,0.172519403001441,0.107367444281562,secondary,Bedumerweg,50,groningen,1,36,6.5660721,53.2364869
PGR01_101735_G506_Bedumerweg_N_ID_8791_2,0.172519403001441,0.107367444281562,secondary,Bedumerweg,50,groningen,1,36,6.5660721,53.2364869
PGR01_101736_G114_Bedumerweg_N_ID_8654_1,0.546369532668361,0.208440026244043,secondary,Bedumerweg,50,groningen,1,34,6.5615049,53.2298713
