detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K15D1.1,0.127904510853952,0.034307935495673,tertiary,Eimsbütteler Chaussee,50,hamburg,1,1,9.9566294,53.567518
K15D2.2,0.298092453857875,0.032484438268781,tertiary,Eimsbütteler Chaussee,50,hamburg,1,2,9.9575669,53.5668036
K34D3.1,0.110445556829742,0.022295858936806,secondary,Neuer Pferdemarkt,50,hamburg,1,97,9.9639452,53.5574354
K34D3.2,0.113026005909772,0.022832290026451,secondary,Neuer Pferdemarkt,50,hamburg,1,96,9.9639934,53.5574402
K34D4.3,0.266688645929644,0.045948083659861,secondary,Neuer Kamp,50,hamburg,1,55,9.9650636,53.5571813
K34D4.4,0.266688645929644,0.045751597695762,secondary,Neuer Kamp,50,hamburg,1,55,9.9650703,53.5571526
K35D3.1,0.134657735649464,0.003821797526375,service,,0,hamburg,1,517,9.9886765,53.5679959
K36D2.3,0.147809649292748,0.04258677631495,primary,Grindelberg,50,hamburg,1,229,9.9780281,53.5727433
K36D2.4,0.234935925922641,0.042038362442198,primary,Grindelberg,50,hamburg,1,228,9.9780804,53.5727519
K36D3.7,0.052538109732986,0.032877256394336,primary,Grindelberg,50,hamburg,1,227,9.9782145,53.5726986
K36D3.8,0.2332714507925,0.03148457845345,primary,Grindelberg,50,hamburg,1,226,9.9782561,53.5727066
K36D3.5,0.052538109732986,0.001535454999313,primary,Grindelberg,50,hamburg,1,227,9.9783754,53.5724342
K36D3.6,0.2332714507925,0,primary,Grindelberg,50,hamburg,1,226,9.9784197,53.5724414
K36D5.12,0.190417160573067,0.044648891407392,residential,HallerstraÃ?e,30,hamburg,1,224,9.9794617,53.5724796
K36D5.13,0.189134661891223,0.041882432045851,secondary,HallerstraÃ?e,50,hamburg,1,225,9.9794644,53.5724502
K36D5.20,0.053039794440213,0.038676208935015,primary,Grindelallee,50,hamburg,1,237,9.9786624,53.5722877
K36D4.19,0.291863563425354,0.276792300177804,service,Beim Schlump,0,hamburg,1,238,9.9782681,53.5720958
K36D4.11,0.068034785197811,0.053709711354934,secondary,Beim Schlump,50,hamburg,1,231,9.9777237,53.5715551
K36D4.10,0.06207870188556,0.046866898927354,secondary,Beim Schlump,50,hamburg,1,232,9.9777921,53.5715256
K36D1.2,0.094726648807447,0.043548452655544,primary,Grindelallee,50,hamburg,1,235,9.9786007,53.5715519
K36D1.1,0.095754512410322,0.043119232726731,primary,Grindelallee,50,hamburg,1,236,9.9786517,53.5715502
K36D3.9,0.2332714507925,0.053384171410251,primary,Grindelberg,50,hamburg,1,226,9.9781327,53.572889
K57D5.11,0.297810796321154,0.04894477242138,primary,Grindelallee,50,hamburg,1,246,9.9804595,53.5676678
K57D5.10,0.297555859983925,0.051643299840632,primary,Grindelallee,50,hamburg,1,245,9.9803938,53.5676614
K57D1.5,0.077514936781458,0.029820643158765,primary,Grindelallee,50,hamburg,1,254,9.9814667,53.5667614
K57D1.6,0.322086589331936,0.027807449604282,primary,Grindelallee,50,hamburg,1,253,9.9814238,53.5667495
K57D3.9,0.07118352217603,0.014452110296984,secondary,RentzelstraÃ?e,50,hamburg,1,248,9.9805641,53.5668204
K57D3.8,0.1363338608275,0.013129070998314,secondary,RentzelstraÃ?e,50,hamburg,1,249,9.9806003,53.5668012
K57D2.7,0.13344742296111,0.023243033802697,service,,0,hamburg,1,247,9.9805212,53.5667057
K61D5.1,0.051285575121569,0.027518507423981,secondary,Lübecker StraÃ?e,50,hamburg,1,449,10.0241232,53.5586726
K61D3.3,0.133916877633664,0.039525002443805,secondary,Lübecker StraÃ?e,50,hamburg,1,447,10.0243914,53.5586526
K77D8.2,0.263488647488127,0.023673473145253,secondary,Steintorwall,50,hamburg,1,462,10.0057273,53.5521279
K77D8.1,0.260996794544178,0.024455939364814,secondary,Steintorwall,50,hamburg,1,463,10.0056776,53.5521255
K77D2.3,0.290656529668983,0.267373381943735,secondary,Steintorwall,50,hamburg,1,461,10.0059713,53.5517725
K77D2.4,0.289575406024572,0.265767566020823,secondary,Wallringtunnel,30,hamburg,1,460,10.0059204,53.5517741
