detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
M_0038_0191,0.235177131252379,0.078952685753985,primary,Holzhammerstraße,50,innsbruck,2,13,11.3818306,47.2580095
M_0191_0038,0.230684182791812,0.112530768807721,primary,Holzhammerstraße,50,innsbruck,2,12,11.381901,47.2580582
M_0039_0038,0.393232198490056,0.104634300260738,primary,Egger-Lienz-Straße,0,innsbruck,2,4,11.3902963,47.2560822
M_0037_0038,0.32167087270554,0.101392612620008,primary,Egger-Lienz-Straße,50,innsbruck,3,0,11.384545,47.2573246
M_0038_0037,0.320243113163193,0.103169772694927,primary,Egger-Lienz-Straße,50,innsbruck,2,2,11.3853597,47.2570616
M_0108_0478_0479,0.388225079943348,0.063053328610209,primary,Haller Straße,60,innsbruck,2,24,11.4095599,47.2806201
M_0032_0323,0.282539857037429,0.250874123846149,tertiary,Leopoldstraße,0,innsbruck,1,9,11.3976938,47.2568804
M_0323_0032,0.278174971761401,0.031721981346657,tertiary,Leopoldstraße,0,innsbruck,2,10,11.3976006,47.2569064
M_0015_0159,0.157367400459986,0.074321973015796,primary,Bachlechnerstraße,0,innsbruck,2,20,11.3749192,47.2641262
M_0821_0159,0.423677712514554,0.101179874060039,primary,Bachlechnerstraße,0,innsbruck,2,19,11.3757742,47.2622532
M_0821_0190,0.4519808828199,0.128781044420843,primary,Bachlechnerstraße,0,innsbruck,2,18,11.376678,47.2607988
M_0011_0308,0.428416484920375,0.339896949382438,secondary,Innrain,50,innsbruck,1,16,11.385579,47.2632389
M_0308_0011,0.442785412299035,0.092587331397406,secondary,Innrain,50,innsbruck,1,17,11.3856111,47.2632216
M_0852_0191,0.271903635960068,0.069537717162101,secondary,Innrain,50,innsbruck,1,14,11.3811225,47.2594062
M_0191_0852,0.274444427085786,0.19132527982277,secondary,Innrain,50,innsbruck,1,15,11.3811922,47.2593935
M_0037_0779_0039_U,0.69128336640779,0.487709444432239,primary_link,,0,innsbruck,2,1,11.3842901,47.2572445
