detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
10022016[D2_1X],0.990145513028092,0.967479542017324,primary,,70,kassel,1,225,9.5116208,51.2955708
10016002[D2_2B],1.29850718788639,0.024985971621772,secondary,Tischbeinstraße,50,kassel,1,287,9.4868523,51.3073143
10210003[D2_1B],0.309407297185754,0.028866798813441,secondary,Druseltalstraße,50,kassel,1,153,9.4484995,51.3082125
10089006[D6_1C],0.428678653097906,0.001303146952788,secondary,Altenbaunaer Straße,50,kassel,1,203,9.438788,51.269672
10003017[D1_1c],0.325536423479215,0.035937207960309,secondary,Frankfurter Straße,50,kassel,1,396,9.480535,51.29751
10085014[D4_2B],0.399790417224349,0.032642853894237,secondary,Altenbaunaer Straße,50,kassel,1,191,9.454308,51.27912
10085012[D3_1B],0.064459574726648,0.034904502489367,secondary,Altenbaunaer Straße,0,kassel,1,189,9.455356,51.279324
10210011[D1_2C],0.198191853554285,0.141994563343795,secondary,Druseltalstraße,50,kassel,1,159,9.4475887,51.3077162
10089005[D6_1B],0.021563461777056,0.018915901184554,secondary,Altenbaunaer Straße,50,kassel,1,204,9.438733,51.269638
10002017[D8-2B],0.36199758904845,0.034368182092159,primary,Weserstraße,0,kassel,1,79,9.5084018,51.3184296
10089007[D8_1B],0.444880982911956,0,secondary,Altenbaunaer Straße,50,kassel,1,206,9.437652,51.26895
10089008[D8_1C],0.444880982911956,0.004192626016671,secondary,Altenbaunaer Straße,50,kassel,1,206,9.437568,51.268906
10089004[D5_1A],0.055699992799712,0.003892084559366,residential,Waldmannstraße,30,kassel,1,205,9.438312,51.269455
10002016[D8-1B],0.362145576791152,0.034484234463305,primary,Weserstraße,0,kassel,1,80,9.5084446,51.3184129
10091002[D3_1B],0.309945429388608,0.053129418049023,secondary,Altenbaunaer Straße,50,kassel,1,197,9.444561,51.273857
10002018[D8-3B],0.23398634879556,0.034828984979774,primary,Weserstraße,0,kassel,1,78,9.5083615,51.3184433
10091001[D1_1B],0.094808675003577,0.027974020646851,secondary,Altenbaunaer Straße,50,kassel,1,200,9.443149,51.2734
10002009[D6-3B],0.404521101217688,0.027622776795419,primary,Weserstraße,50,kassel,1,82,9.5091653,51.3193734
