detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
EAST_N04/161x1,0.303585069518267,0.261157276436765,secondary,Homerton Road,,london,1,5082,-0.021497,51.550929
EAST_N04/161y1,0.103679015031628,0.063416503719857,primary,Eastway,,london,1,5091,-0.0208986,51.5507044
EAST_N04/162a1,0.260622654674716,0.117906440136331,secondary,Homerton Road,,london,1,5083,-0.022649,51.550907
EAST_N04/162a2,0.216874305074844,0.117941922827906,secondary,Homerton Road,,london,1,5084,-0.022617,51.55088
EAST_N04/163f1,0.344753602647609,0.329789267957012,primary,Eastway,,london,1,5092,-0.019288,51.552281
EAST_N04/237c2,0.441917233498163,0.075087084118105,primary,Eastway,,london,1,3485,-0.023171,51.550043
EAST_N04/237z1,0.092371475787975,0.050818240059507,primary,Eastway,,london,1,5081,-0.0217155,51.5507163
EAST_N04/161a1,0.063615314273673,0.039030075055533,secondary,Homerton Road,,london,1,5086,-0.0206621,51.5513813
EAST_N04/161z1,0.05104789537868,0.034373911718278,secondary,Homerton Road,,london,1,5085,-0.020615,51.5513815
EAST_N04/161d1,0.071296918401145,0.021351605097576,secondary,Homerton Road,,london,1,5088,-0.0207551,51.5513687
EAST_N04/161e1,0.084818337159259,0.026255598475703,secondary,Homerton Road,,london,1,5087,-0.0207137,51.5513745
EAST_N04/162b1,0.081862026027446,0.021761968693073,secondary,Homerton Road,,london,1,5090,-0.0208996,51.5511897
EAST_N04/162c1,0.077000248973405,0.022373318100326,secondary,Homerton Road,,london,1,5089,-0.0208577,51.5511952
EAST_N17/121b1,0.164810367856981,0.088275834595812,tertiary,Dongola Road,,london,1,5070,0.028376,51.525377
EAST_N17/006c1,0.177435480349142,0.112597404641809,tertiary,Barking Road,,london,1,3325,0.02992,51.524791
EAST_N17/006d1,0.720905836114868,0.040582726417093,tertiary,Gad Close,,london,1,3323,0.028731,51.526582
CNTR_N01/022k2,0.094902693587443,0.081167886797849,secondary,Beeston Place,,london,1,1010,-0.1442173,51.497556
CNTR_N00/005x1,0.420449340548721,0.335634681307603,tertiary,Temple Avenue,,london,1,3765,-0.1070328,51.5110846
CNTR_N00/005x2,0.419347981674228,0.335239445409063,tertiary,Temple Avenue,,london,1,3766,-0.1070345,51.5110542
CNTR_N01/009h1,0.058625510874014,0.045336118230971,tertiary,St Martin's Street,,london,1,5132,-0.127192,51.508402
CNTR_N01/007a1,0.059790473169479,0.005966661768561,tertiary,St Martin's Street,,london,1,5131,-0.127327,51.508338
CNTR_N01/007c1,0.059256157947611,0.005177299764258,tertiary,St Martin's Street,,london,1,5130,-0.127284,51.508345
CNTR_N01/010s1,0.031964929314477,0.02050184867831,primary,Trafalgar Square,,london,1,5136,-0.127246,51.507326
CNTR_N01/010w1,0.053191250169751,0.04188066003224,primary,Trafalgar Square,,london,1,5133,-0.127163,51.507522
CNTR_N01/010w2,0.053989084828574,0.043274936277315,primary,Trafalgar Square,,london,1,5134,-0.127221,51.50754
CNTR_N01/009w1,0.033809075256431,0.010014580262893,primary,Trafalgar Square,,london,1,5126,-0.127017,51.507691
CNTR_N01/009w2,0.033933708249574,0.010479439442239,primary,Trafalgar Square,,london,1,5127,-0.127056,51.507703
CNTR_N01/009w3,0.041850633367221,0.009439256731478,primary,Trafalgar Square,,london,1,5128,-0.127095,51.507715
CNTR_N01/296z1,0.09344449913513,0.077032593163988,primary,Trafalgar Square,,london,1,5125,-0.126806,51.507938
CNTR_N01/063b1,0.089229024891924,0.000232692049722,secondary,Charles Ii Street,,london,1,59,-0.131319,51.507877
CNTR_N01/063b2,0.089837844917721,0.000777561415204,secondary,Charles Ii Street,,london,1,58,-0.131274,51.507891
CNTR_N01/063e1,0.090232580312762,0.001014274290606,secondary,Charles Ii Street,,london,1,57,-0.131204,51.507913
CNTR_N01/063e2,0.068639684085779,0.001767025811728,secondary,Charles Ii Street,,london,1,5117,-0.131159,51.507928
CNTR_N01/067c1,0.066128254807393,0.050439969435827,primary,Great George Street,,london,1,5146,-0.126839,51.500967
CNTR_N01/355q1,0.070046950253117,0.054541600227432,residential,,,london,1,5147,-0.126194,51.500763
CNTR_N01/067k1,0.10431462903614,0.009748953600316,primary,Great George Street,,london,1,5145,-0.125559,51.500894
CNTR_N01/038q1,0.085051553181355,0.042083641775306,primary,Park Lane,,london,1,5181,-0.152023,51.506051
CNTR_N01/046d1,0.384567367207944,0.20033462246619,residential,,,london,1,214,-0.1309834,51.4869176
CNTR_N01/075f1,0.364249259429349,0.077103656442404,tertiary,South Street,,london,1,418,-0.1497987,51.5079343
CNTR_N01/010r1,0.056193571773845,0.046571147494162,primary,Cockspur Street,,london,1,5138,-0.127666,51.507119
CNTR_N01/089g1,0.827125439207079,0.09643198422272,tertiary,Savoy Row,,london,1,3156,-0.118542,51.510285
CNTR_N01/105b2,0.234677675928998,0.184992607850377,primary,Kensington Road,,london,1,751,-0.181169,51.501385
CNTR_N01/107e1,0.141060601117765,0.089787003449345,tertiary,Gloucester Terrace,,london,1,511,-0.1747286,51.511757
CNTR_N01/108a1,0.109175406154477,0.067978787203259,tertiary,Bathurst Street,,london,1,5055,-0.172495,51.512723
CNTR_N01/128f1,0.061041588931184,0.047022591942308,tertiary,Orsett Terrace,,london,1,561,-0.182409,51.517419
CNTR_N01/130x1,0.285855085453634,0.270442609484169,tertiary,Queensway,,london,1,562,-0.187126,51.516224
CNTR_N01/078k1,0.468447419929293,0.099780273086161,secondary,Buckingham Gate,,london,1,131,-0.136348,51.498368
CNTR_N01/357b1,0.193701765198096,0.128298749420224,tertiary,Matthew Parker Street,,london,1,5153,-0.129245,51.499662
