detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
1015,0.224321458965152,0.192172650504776,primary,Paseo de la Castellana,50,madrid,3,1058,-3.6901797,40.4262402
2009,0.149733848652671,0.10380027579705,primary,Calle del Doctor Esquerdo,50,madrid,2,29,-3.669833,40.412619
14037,0.345897887784267,0.056655132659763,residential,Calle de Moratines,,madrid,1,208,-3.7023138,40.4035762
61090,0.135092479762647,0.067659796689913,tertiary,Avenida de Alfonso XIII,,madrid,2,505,-3.670738,40.4601509
1012,0.098269495426342,0.077017583447285,primary,Paseo de Recoletos,50,madrid,3,456,-3.6908108,40.4242312
2016,0.167938890069954,0.13251045734636,primary,Calle del Doctor Esquerdo,50,madrid,3,18,-3.67015,40.408259
5006,0.300622960251783,0.131979235221993,secondary,Avenida de Concha Espina,50,madrid,2,821,-3.683307,40.4516662
8014,0.105733102580399,0.074815648024723,tertiary,Calle de Goya,50,madrid,3,480,-3.682891,40.425153
8016,0.115928077397094,0.083981376780623,residential,Calle del General Pardiñas,,madrid,3,478,-3.6788007,40.4249796
8017,0.109884272313441,0.096282695094974,tertiary,Calle de José Ortega y Gasset,50,madrid,1,1079,-3.682314,40.43023
8018,0.094138466524848,0.078041047131755,tertiary,Calle de José Ortega y Gasset,50,madrid,1,1078,-3.682564,40.430263
9029,0.155199976731082,0.123363424790724,secondary,Calle del Príncipe de Vergara,50,madrid,2,476,-3.680219,40.423751
13025,0.379588000962203,0.195188587427866,primary,Paseo del Prado,50,madrid,3,313,-3.6942786,40.4172823
18007,0.127586109687347,0.115476229160617,primary,Calle de Alberto Aguilera,50,madrid,3,431,-3.7155168,40.4305382
18008,0.17810725814961,0.120686040798051,primary,Calle de Alberto Aguilera,50,madrid,4,440,-3.707831,40.429742
18009,0.221694117748501,0.166403528722823,primary,Calle de Carranza,50,madrid,3,443,-3.704597,40.429355
18010,0.114510328220035,0.086023865574608,residential,Calle del Conde Duque,50,madrid,2,437,-3.7093548,40.4290037
18011,0.129037457889408,0.036379831139706,primary,Calle de Alberto Aguilera,50,madrid,3,439,-3.709884,40.430038
35057,0.067087254038398,0.057279953505364,residential,Calle del Poeta Claudio Rodríguez,,madrid,1,966,-3.671461,40.440787
35058,0.152087323863269,0.102406413902859,residential,Avenida de Camilo José Cela,,madrid,2,912,-3.6671685,40.4359249
35054,0.039286409066046,0.015135504789141,tertiary,Avenida de los Toreros,,madrid,1,891,-3.663781,40.433504
35056,0.111599250311128,0.01784816055527,residential,Calle de Méjico,,madrid,1,920,-3.672099,40.438134
62001,0.219604283628993,0.163377355532292,residential,Calle del Capitán Haya,,madrid,4,567,-3.691665,40.462702
10012,0.148363700480725,0.035941621092048,secondary,Avenida de Menéndez Pelayo,50,madrid,2,0,-3.677107,40.413522
14016,0.091147898291041,0.062946467785358,primary,Ronda de Valencia,50,madrid,3,202,-3.7011,40.405478
14017,0.094334335903954,0.070002240203107,secondary,Calle de los Embajadores,50,madrid,2,213,-3.701713,40.404071
14043,0.443450887606528,0.395718551059448,tertiary,Paseo de Yeserías,40,madrid,2,215,-3.70845,40.39828
15003,0.234549335330676,0.137137039441037,primary,Calle de Alcalá,50,madrid,9,1132,-3.690437,40.41982
14014,0.202387382361299,0.068774067726956,residential,Calle del Mesón de Paredes,,madrid,1,205,-3.701519,40.406144
14015,0.13431986626837,0.091482444116766,primary,Ronda de Valencia,50,madrid,3,200,-3.700602,40.405533
18020,0.253292019612481,0.083811561593272,tertiary,Calle de San Bernardo,50,madrid,1,377,-3.707442,40.425164
18021,0.158857668594216,0.018061153698996,residential,Calle de Noviciado,,madrid,1,378,-3.707573,40.425581
18024,0.149956120606366,0.130533058709958,residential,,30,madrid,1,428,-3.714162,40.4301479
61046,0.200210677316408,0.09064784429083,tertiary,Avenida de Alfonso XIII,,madrid,2,500,-3.6750253,40.4603955
62062,0.126261557537171,0.104382372494738,residential,Calle del Capitán Haya,,madrid,1,601,-3.692052,40.456214
18302,0.034487933377804,0.024836179059063,primary,Glorieta de Ruiz Jiménez,50,madrid,1,442,-3.70552,40.429509
61035,0.351638128482208,0.254255483734586,secondary,Calle del Príncipe de Vergara,,madrid,3,843,-3.6773838,40.4526759
