detid_X,detid_Y,DISTANCE
N06111V,N06111V,0.0
N06111V,N06112W,195.765
N06111V,N06141A,862.106
N06111V,N06141C,392.516
N06111V,N06141Y,748.978
N06111V,N06151D,473.369
N06111V,N06151F,406.124
N06111V,N06151G,660.105
N06111V,N06161R,157.70600000000002
N06111V,N06181K,144.197
N06111V,N06181H,377.507
N06111V,N06191Z,238.688
N06111V,N06191N,62.152
N06111V,N06191P,458.524
N06111V,N06211C,1216.1539999999998
N06111V,N06211G,1246.348
N06111V,N06211F,1495.3889999999997
N06111V,N06211E,1354.671
N06111V,N06221P,1368.83
N06111V,N06221Q,1682.3249999999998
N06111V,N06221R,1827.159
N06111V,N06222H,1192.6509999999998
N06111V,N06222K,1487.715
N06111V,N06222M,1330.1679999999997
N06111V,N06222L,1408.12
N06111V,N06241A,1354.671
N06111V,N06291B,195.765
N06111V,N06291E,438.061
N06111V,N06291F,543.475
N06111V,N06281S,807.525
N06111V,N06281R,957.711
N06111V,N06271L,627.213
N06111V,N06271K,689.371
N06111V,N06271G,406.934
N06111V,N06271H,599.048
N06111V,N06252F,1134.481
N06111V,N06252D,972.194
N06111V,N06252E,1088.2279999999998
N06111V,N06251V,1050.003
N06111V,N06251T,735.611
N06111V,N06251W,1132.758
N06111V,N06251X,1210.9689999999998
N06111V,N06241B,1386.647
N06111V,N06242Z,996.664
N06111V,N06241Y,996.664
N06111V,N06113Y,116.43800000000002
N06111V,N06114Z,302.514
N06111V,N06121L,565.576
N06111V,N06121M,269.274
N06111V,N06121N,614.9060000000002
N06111V,N06131T,608.6690000000001
N06111V,N06131V,813.5229999999999
N06111V,N06131W,972.867
N06111V,N06131X,500.794
N06111V,N06161Q,157.70600000000002
N06111V,N06161T,61.042
N06111V,N06161U,263.228
N06111V,N06171P,539.844
N06111V,N06171Q,920.0980000000002
N06111V,N06171S,748.978
N06111V,N06181J,377.507
N06111V,N06261V,530.5630000000001
N06111V,N06261Y,704.7800000000002
N06111V,N06261Z,656.6390000000001
N06111V,N06281P,1087.27
N06111V,N06321B,1067.182
N06111V,N06321C,901.137
N06111V,N06321D,761.1030000000001
N06111V,N06321E,893.9120000000001
N06111V,N06331A,892.8300000000002
N06111V,N06331J,1162.941
N06111V,N06331X,1100.6340000000002
N06111V,N06331Y,1178.2360000000003
N06111V,N06331Z,892.8300000000002
N06111V,N06341K,1467.4580000000003
N06111V,N06341S,1318.481
N06111V,N06341T,1240.864
N06111V,N06351L,1892.681
N06111V,N06351M,1405.661
N06111V,N06351P,1152.267
N06111V,N06351R,1498.551
N06111V,N06411H,1892.681
N06111V,N06411J,1686.244
N06111V,N06411K,1327.959
N06111V,N06421A,1892.681
N06111V,N06421B,2636.857
N06111V,N06421D,1686.244
N06111V,N06421E,1892.681
N06111V,N06421F,1892.681
N06111V,N06421G,1892.681
N06111V,N06431X,2636.857
N06111V,N06431Y,1892.681
N06111V,N06431Z,2636.857
N06111V,N06451L,2888.248
N06111V,N06451P,2888.248
N06111V,N06451S,2636.857
N06111V,N06461T,2749.248
N06111V,N06481L,2888.248
N06111V,N06481P,3027.5009999999997
N06111V,N06481S,2888.248
N06111V,N06511A,2749.248
N06111V,N06511B,2636.857
N06111V,N06511C,2636.857
N06111V,N06521E,2636.857
N06111V,N06521F,2636.857
N06111V,N06521G,2636.857
N06111V,N06521H,2636.857
N06111V,N06611E,3112.703999999999
N06111V,N06611G,2749.248
N06111V,N06611J,2888.248
N06111V,N06621A,3310.860999999999
N06111V,N06621B,3112.703999999999
N06111V,N06621C,2888.248
N06111V,N06621D,2888.248
N06111V,N06631X,3437.943
N06111V,N06631Y,3112.703999999999
N06111V,N06631Z,3193.029999999999
N06111V,N06691R,3112.703999999999
N06111V,N06691S,3310.860999999999
N06111V,N06691T,3310.860999999999
N06111V,N06691U,3296.449999999999
N06111V,N06691V,3112.703999999999
N06111V,N06731W,3112.703999999999
N06111V,N06731X,3485.409
N06111V,N06731Y,3296.449999999999
N06111V,N06731Z,3027.5009999999997
N06111V,N36121V,1788.372
N06111V,N41111F,1386.8570000000004
N06111V,N41121B,1320.3900000000003
N06111V,N41111D,1394.8030000000003
N06111V,N41111E,1100.6340000000002
N06111V,N06281M,466.61
N06111V,N06171B,539.844
N06111V,N06311K,1102.821
N06111V,N06121A,565.576
N06111V,N06171R,920.0980000000002
N06111V,N06311L,1030.976
N06111V,N06311N,901.137
N06111V,N06312M,1030.976
N06111V,N06311J,901.137
N06111V,N06312P,1030.976
N06111V,N06321L,761.1030000000001
N06111V,N06322G,523.0260000000001
N06111V,N06391Z,1230.346
N06111V,N06391B,1378.037
N06111V,N06391Y,776.3999999999999
N06111V,N06471H,847.7610000000001
N06111V,N31111S,1901.243
N06111V,N31111U,1901.243
N06111V,N31111W,1822.203
N06111V,N31122B,2224.95
N06111V,N26151X,3485.409
N06111V,N29111A,3425.74
N06111V,N29111S,3425.74
N06111V,N29111R,3485.409
N06111V,N29111V,3322.0179999999987
N06111V,N29111T,3282.083999999999
N06111V,N29113R,3405.273
N06111V,N29121G,3485.409
N06111V,N29121J,3296.449999999999
N06111V,N29121M,3425.74
N06111V,N29111W,3650.483999999999
N06111V,N29112Q,3425.74
N06111V,N29121N,3485.409
N06111V,N29121P,3485.409
N06111V,N29121Z,3296.449999999999
N06111V,N29131B,3485.409
N06111V,N29131C,3296.449999999999
N06111V,N29131E,3485.409
N06111V,N29141A,3485.409
N06111V,N29142H,3485.409
N06111V,N29131F,3485.409
N06111V,N06461E,2888.248
N06111V,N06611A,2749.248
N06111V,N06611F,2888.248
N06111V,N06481N,3027.5009999999997
N06111V,N06482F,2888.248
N06111V,N06482K,2888.248
N06111V,N06482J,2888.248
N06111V,N06551T,3027.5009999999997
N06111V,N06451R,2636.857
N06112W,N06111V,195.765
N06112W,N06112W,0.0
N06112W,N06141A,956.786
N06112W,N06141C,588.281
N06112W,N06141Y,915.377
N06112W,N06151D,669.134
N06112W,N06151F,601.889
N06112W,N06151G,855.87
N06112W,N06161R,353.471
N06112W,N06181K,339.962
N06112W,N06181H,573.272
N06112W,N06191Z,434.453
N06112W,N06191N,257.91700000000003
N06112W,N06191P,654.2889999999999
N06112W,N06211C,1020.389
N06112W,N06211G,1050.583
N06112W,N06211F,1299.6239999999998
N06112W,N06211E,1158.9060000000002
N06112W,N06221P,1173.065
N06112W,N06221Q,1486.56
N06112W,N06221R,1631.394
N06112W,N06222H,996.886
N06112W,N06222K,1291.95
N06112W,N06222M,1134.403
N06112W,N06222L,1212.355
N06112W,N06241A,1158.9060000000002
N06112W,N06291B,0.0
N06112W,N06291E,242.296
N06112W,N06291F,347.71000000000004
N06112W,N06281S,611.76
N06112W,N06281R,761.946
N06112W,N06271L,431.448
N06112W,N06271K,493.606
N06112W,N06271G,211.169
N06112W,N06271H,403.283
N06112W,N06252F,938.716
N06112W,N06252D,776.429
N06112W,N06252E,892.4630000000001
N06112W,N06251V,854.238
N06112W,N06251T,539.846
N06112W,N06251W,936.993
N06112W,N06251X,1015.204
N06112W,N06241B,1190.8820000000003
N06112W,N06242Z,800.8990000000001
N06112W,N06241Y,800.8990000000001
N06112W,N06113Y,79.327
N06112W,N06114Z,106.749
N06112W,N06121L,761.3410000000001
N06112W,N06121M,465.039
N06112W,N06121N,810.671
N06112W,N06131T,804.4340000000001
N06112W,N06131V,979.922
N06112W,N06131W,1139.2659999999998
N06112W,N06131X,641.377
N06112W,N06161Q,353.471
N06112W,N06161T,134.723
N06112W,N06161U,458.993
N06112W,N06171P,735.609
N06112W,N06171Q,1115.863
N06112W,N06171S,915.377
N06112W,N06181J,573.272
N06112W,N06261V,726.328
N06112W,N06261Y,900.5450000000001
N06112W,N06261Z,852.404
N06112W,N06281P,891.5050000000001
N06112W,N06321B,1262.947
N06112W,N06321C,1096.902
N06112W,N06321D,956.868
N06112W,N06321E,1089.677
N06112W,N06331A,1088.5950000000005
N06112W,N06331J,1358.706
N06112W,N06331X,1296.3990000000003
N06112W,N06331Y,1374.0010000000004
N06112W,N06331Z,1088.5950000000005
N06112W,N06341K,1663.2230000000004
N06112W,N06341S,1514.246
N06112W,N06341T,1436.629
N06112W,N06351L,2088.4460000000004
N06112W,N06351M,1601.4260000000004
N06112W,N06351P,1348.0320000000002
N06112W,N06351R,1694.316
N06112W,N06411H,2088.4460000000004
N06112W,N06411J,1882.009
N06112W,N06411K,1523.7240000000002
N06112W,N06421A,2088.4460000000004
N06112W,N06421B,2683.631
N06112W,N06421D,1882.009
N06112W,N06421E,2088.4460000000004
N06112W,N06421F,2088.4460000000004
N06112W,N06421G,2088.4460000000004
N06112W,N06431X,2683.631
N06112W,N06431Y,2088.4460000000004
N06112W,N06431Z,2683.631
N06112W,N06451L,2935.0219999999995
N06112W,N06451P,2935.0219999999995
N06112W,N06451S,2683.631
N06112W,N06461T,2796.022
N06112W,N06481L,2935.0219999999995
N06112W,N06481P,3074.274999999999
N06112W,N06481S,2935.0219999999995
N06112W,N06511A,2796.022
N06112W,N06511B,2683.631
N06112W,N06511C,2683.631
N06112W,N06521E,2683.631
N06112W,N06521F,2683.631
N06112W,N06521G,2683.631
N06112W,N06521H,2683.631
N06112W,N06611E,3159.4779999999987
N06112W,N06611G,2796.022
N06112W,N06611J,2935.0219999999995
N06112W,N06621A,3357.634999999999
N06112W,N06621B,3159.4779999999987
N06112W,N06621C,2935.0219999999995
N06112W,N06621D,2935.0219999999995
N06112W,N06631X,3484.717
N06112W,N06631Y,3159.4779999999987
N06112W,N06631Z,3239.8039999999987
N06112W,N06691R,3159.4779999999987
N06112W,N06691S,3357.634999999999
N06112W,N06691T,3357.634999999999
N06112W,N06691U,3343.223999999999
N06112W,N06691V,3159.4779999999987
N06112W,N06731W,3159.4779999999987
N06112W,N06731X,3532.1829999999995
N06112W,N06731Y,3343.223999999999
N06112W,N06731Z,3074.274999999999
N06112W,N36121V,1984.137
N06112W,N41111F,1582.6220000000008
N06112W,N41121B,1516.1550000000009
N06112W,N41111D,1590.568000000001
N06112W,N41111E,1296.3990000000003
N06112W,N06281M,270.845
N06112W,N06171B,735.609
N06112W,N06311K,1298.586
N06112W,N06121A,761.3410000000001
N06112W,N06171R,1115.863
N06112W,N06311L,1226.741
N06112W,N06311N,1096.902
N06112W,N06312M,1226.741
N06112W,N06311J,1096.902
N06112W,N06312P,1226.741
N06112W,N06321L,956.868
N06112W,N06322G,718.791
N06112W,N06391Z,1396.745
N06112W,N06391B,1472.717
