detid_Y,N06111V,N06112W,N06113Y,N06114Z,N06121A,N06121L,N06121M,N06121N,N06131T,N06131V,N06131W,N06131X,N06141A,N06141C,N06141Y,N06151D,N06151F,N06151G,N06161Q,N06161R,N06161T,N06161U,N06171B,N06171P,N06171Q,N06171R,N06171S,N06181H,N06181J,N06181K,N06191N,N06191P,N06191Z,N06211C,N06211E,N06211F,N06211G,N06221P,N06221Q,N06221R,N06222H,N06222K,N06222L,N06222M,N06241A,N06241B,N06241Y,N06242Z,N06251T,N06251V,N06251W,N06251X,N06252D,N06252E,N06252F,N06261V,N06261Y,N06261Z,N06271G,N06271H,N06271K,N06271L,N06281M,N06281P,N06281R,N06281S,N06291B,N06291E,N06291F,N06311J,N06311K,N06311L,N06311N,N06312M,N06312P,N06321B,N06321C,N06321D,N06321E,N06321L,N06322G,N06331A,N06331J,N06331X,N06331Y,N06331Z,N06341K,N06341S,N06341T,N06351L,N06351M,N06351P,N06351R,N06391B,N06391Y,N06391Z,N06411H,N06411J,N06411K,N06421A,N06421B,N06421D,N06421E,N06421F,N06421G,N06431X,N06431Y,N06431Z,N06451L,N06451P,N06451R,N06451S,N06461E,N06461T,N06471H,N06481L,N06481N,N06481P,N06481S,N06482F,N06482J,N06482K,N06511A,N06511B,N06511C,N06521E,N06521F,N06521G,N06521H,N06551T,N06611A,N06611E,N06611F,N06611G,N06611J,N06621A,N06621B,N06621C,N06621D,N06631X,N06631Y,N06631Z,N06691R,N06691S,N06691T,N06691U,N06691V,N06731W,N06731X,N06731Y,N06731Z,N26151X,N29111A,N29111R,N29111S,N29111T,N29111V,N29111W,N29112Q,N29113R,N29121G,N29121J,N29121M,N29121N,N29121P,N29121Z,N29131B,N29131C,N29131E,N29131F,N29141A,N29142H,N31111S,N31111U,N31111W,N31122B,N36121V,N41111D,N41111E,N41111F,N41121B
N06111V,0.00,195.76,116.44,286.90,642.10,642.10,742.54,813.93,613.70,787.29,1011.96,449.59,849.63,566.39,723.59,485.54,287.08,553.22,145.56,145.56,61.04,279.92,673.48,673.48,758.04,758.04,723.59,315.70,315.70,159.06,54.41,264.48,454.51,1460.75,1298.74,1494.93,1245.89,1350.23,1682.64,1565.19,1174.49,1488.03,1393.86,1346.74,1298.74,1290.26,1370.47,1370.47,735.15,1061.98,1132.30,1156.17,1046.66,1100.21,1146.46,729.59,903.80,855.66,325.01,626.17,624.22,610.83,479.50,1086.81,993.39,807.06,195.76,508.04,364.47,1004.34,946.35,874.50,1004.34,874.50,874.50,1270.65,1004.34,1144.38,1140.49,1144.38,696.38,1120.89,1406.30,1322.89,1400.49,1120.89,1452.45,1601.43,1328.37,2114.94,1639.88,1416.97,1542.62,1398.98,750.17,1199.93,2114.94,1908.50,1591.95,2114.94,1998.16,1908.50,2114.94,2114.94,2114.94,1998.16,2114.94,1998.16,2382.62,2382.62,1998.16,1998.16,2382.62,2110.55,1069.57,2382.62,2539.95,2539.95,2382.62,2382.62,2382.62,2382.62,2110.55,1998.16,1998.16,1998.16,1998.16,1998.16,1998.16,2539.95,2110.55,2859.30,2382.62,2110.55,2382.62,3027.40,2859.30,2382.62,2382.62,3100.22,2859.30,2939.62,2859.30,3027.40,3027.40,3041.81,2859.30,2859.30,3274.76,3041.81,2539.95,3274.76,3152.85,3274.76,3152.85,3056.17,3068.61,2865.62,3152.85,3173.32,3274.76,3041.81,3152.85,3274.76,3274.76,3041.81,3274.76,3041.81,3274.76,3274.76,3274.76,3274.76,2123.50,2123.50,2044.46,2447.21,2010.63,1484.23,1322.89,1609.11,1542.65
N06112W,195.76,0.00,79.33,91.13,837.87,837.87,938.31,1009.69,809.47,983.05,1207.72,645.35,952.84,762.16,919.35,681.30,482.84,748.99,341.32,341.32,134.72,401.58,869.25,869.25,953.81,953.81,919.35,511.46,511.46,354.83,250.18,432.25,650.28,1264.98,1102.98,1299.16,1050.12,1154.46,1486.88,1369.42,978.72,1292.27,1198.09,1150.97,1102.98,1094.49,1174.71,1174.71,539.39,866.22,936.53,960.40,850.90,904.44,950.70,925.35,1099.57,1051.43,129.25,430.40,428.45,415.07,283.73,891.05,797.63,611.30,0.00,312.28,168.71,1200.11,1142.11,1070.27,1200.11,1070.27,1070.27,1466.41,1200.11,1340.14,1336.26,1340.14,892.14,1316.65,1602.06,1518.66,1596.26,1316.65,1648.22,1797.20,1524.14,2310.70,1835.64,1612.74,1738.39,1502.19,945.93,1395.70,2310.70,2104.27,1787.72,2310.70,2098.47,2104.27,2310.70,2310.70,2310.70,2098.47,2310.70,2098.47,2482.93,2482.93,2098.47,2098.47,2482.93,2210.86,1265.33,2482.93,2640.26,2640.26,2482.93,2482.93,2482.93,2482.93,2210.86,2098.47,2098.47,2098.47,2098.47,2098.47,2098.47,2640.26,2210.86,2959.61,2482.93,2210.86,2482.93,3127.71,2959.61,2482.93,2482.93,3200.53,2959.61,3039.93,2959.61,3127.71,3127.71,3142.12,2959.61,2959.61,3367.71,3142.12,2640.26,3367.71,3245.80,3367.71,3245.80,3156.48,3168.92,2922.59,3245.80,3266.27,3367.71,3142.12,3245.80,3367.71,3367.71,3142.12,3367.71,3142.12,3367.71,3367.71,3367.71,3367.71,2319.27,2319.27,2240.23,2642.97,2206.39,1679.99,1518.66,1804.88,1738.41
N06113Y,116.44,79.33,0.00,170.46,758.54,758.54,858.98,930.37,730.14,903.73,1128.40,566.03,873.51,682.83,840.03,601.98,403.52,669.66,261.99,261.99,55.40,322.26,789.92,789.92,874.48,874.48,840.03,432.13,432.13,275.50,170.85,352.93,570.95,1344.31,1182.31,1378.49,1129.45,1233.79,1566.21,1448.75,1058.05,1371.60,1277.42,1230.30,1182.31,1173.82,1254.04,1254.04,618.71,945.55,1015.86,1039.73,930.23,983.77,1030.02,846.02,1020.24,972.10,208.58,509.73,507.78,494.40,363.06,970.37,876.95,690.63,79.33,391.61,248.03,1120.78,1062.79,990.94,1120.78,990.94,990.94,1387.09,1120.78,1260.81,1256.93,1260.81,812.81,1237.33,1522.73,1439.33,1516.93,1237.33,1568.89,1717.87,1444.81,2231.38,1756.32,1533.41,1659.06,1422.87,866.60,1316.37,2231.38,2024.94,1708.39,2231.38,2019.14,2024.94,2231.38,2231.38,2231.38,2019.14,2231.38,2019.14,2403.60,2403.60,2019.14,2019.14,2403.60,2131.53,1186.01,2403.60,2560.93,2560.93,2403.60,2403.60,2403.60,2403.60,2131.53,2019.14,2019.14,2019.14,2019.14,2019.14,2019.14,2560.93,2131.53,2880.28,2403.60,2131.53,2403.60,3048.38,2880.28,2403.60,2403.60,3121.20,2880.28,2960.61,2880.28,3048.38,3048.38,3062.79,2880.28,2880.28,3295.74,3062.79,2560.93,3295.74,3173.84,3295.74,3173.84,3077.16,3089.59,2872.34,3173.84,3194.30,3295.74,3062.79,3173.84,3295.74,3295.74,3062.79,3295.74,3062.79,3295.74,3295.74,3295.74,3295.74,2239.94,2239.94,2160.90,2563.65,2127.07,1600.67,1439.33,1725.55,1659.08
N06114Z,302.51,106.75,186.08,0.00,944.61,944.61,1045.06,1116.44,916.22,1089.80,1314.47,752.10,1059.59,868.91,1026.10,788.05,589.59,855.74,448.07,448.07,241.47,494.91,976.00,976.00,1060.55,1060.55,1026.10,618.21,618.21,461.58,356.93,539.00,757.03,1173.85,1011.84,1208.03,958.99,1063.33,1395.74,1278.29,887.59,1201.13,1106.96,1059.84,1011.84,1003.36,1083.58,1083.58,448.25,775.09,845.40,869.27,759.76,813.31,859.56,1032.10,1195.50,1158.17,38.12,339.27,337.32,323.94,192.60,799.91,706.49,520.17,106.75,221.15,77.57,1306.86,1248.86,1177.02,1306.86,1177.02,1177.02,1573.16,1306.86,1446.89,1443.01,1446.89,998.89,1423.40,1708.81,1625.40,1703.01,1423.40,1754.97,1903.95,1630.89,2417.45,1942.39,1719.48,1845.14,1608.94,1052.68,1502.45,2417.45,2211.01,1894.47,2417.45,2175.66,2211.01,2417.45,2417.45,2417.45,2175.66,2417.45,2175.66,2560.12,2560.12,2175.66,2175.66,2560.12,2288.05,1372.08,2560.12,2717.45,2717.45,2560.12,2560.12,2560.12,2560.12,2288.05,2175.66,2175.66,2175.66,2175.66,2175.66,2175.66,2717.45,2288.05,2879.04,2560.12,2288.05,2560.12,3047.14,2879.04,2560.12,2560.12,3119.96,2879.04,2959.36,2879.04,3047.14,3047.14,3061.55,2879.04,2879.04,3276.58,3061.55,2717.45,3276.58,3154.67,3276.58,3154.67,3075.91,3088.35,2831.45,3154.67,3175.14,3276.58,3061.55,3154.67,3276.58,3276.58,3061.55,3276.58,3061.55,3276.58,3276.58,3276.58,3276.58,2426.01,2426.01,2346.97,2749.72,2313.14,1786.74,1625.40,1911.63,1845.16
N06121A,565.58,761.34,682.01,852.48,0.00,0.00,296.30,257.36,57.13,268.98,493.65,479.28,900.46,561.75,205.28,515.23,354.16,398.52,434.89,434.89,626.62,728.94,116.91,116.91,201.47,201.47,205.28,382.78,382.78,421.38,527.86,528.53,326.89,2026.33,1864.32,2060.51,1811.46,1915.80,2248.22,2130.76,1740.06,2053.61,1959.43,1912.31,1864.32,1855.83,1936.05,1936.05,1300.73,1627.56,1697.87,1721.75,1612.24,1665.79,1712.04,173.01,347.23,299.09,890.59,1191.75,1189.79,1176.41,1045.07,1652.39,1558.97,1372.64,761.34,1073.62,930.05,447.77,389.77,317.93,447.77,317.93,317.93,714.08,447.77,587.80,583.92,587.80,139.80,564.32,849.72,766.32,843.92,564.32,895.88,1044.86,771.80,1558.37,1083.31,860.40,986.05,967.65,231.86,681.63,1558.37,1351.93,1035.38,1558.37,1769.72,1351.93,1558.37,1558.37,1558.37,1769.72,1558.37,1769.72,2154.18,2154.18,1769.72,1769.72,2154.18,1882.12,513.00,2154.18,2311.52,2311.52,2154.18,2154.18,2154.18,2154.18,1882.12,1769.72,1769.72,1769.72,1769.72,1769.72,1769.72,2311.52,1882.12,2630.86,2154.18,1882.12,2154.18,2798.96,2630.86,2154.18,2154.18,2871.79,2630.86,2711.19,2630.86,2798.96,2798.96,2813.37,2630.86,2630.86,3046.32,2813.37,2311.52,3046.32,2924.42,3046.32,2924.42,2827.74,2840.18,2840.14,2924.42,2944.89,3046.32,2813.37,2924.42,3046.32,3046.32,2813.37,3046.32,2813.37,3046.32,3046.32,3046.32,3046.32,1566.93,1566.93,1487.89,1890.63,1454.06,927.66,766.32,1052.54,986.07
N06121L,565.58,761.34,682.01,852.48,0.00,0.00,296.30,257.36,57.13,268.98,493.65,479.28,900.46,561.75,205.28,515.23,354.16,398.52,434.89,434.89,626.62,728.94,116.91,116.91,201.47,201.47,205.28,382.78,382.78,421.38,527.86,528.53,326.89,2026.33,1864.32,2060.51,1811.46,1915.80,2248.22,2130.76,1740.06,2053.61,1959.43,1912.31,1864.32,1855.83,1936.05,1936.05,1300.73,1627.56,1697.87,1721.75,1612.24,1665.79,1712.04,173.01,347.23,299.09,890.59,1191.75,1189.79,1176.41,1045.07,1652.39,1558.97,1372.64,761.34,1073.62,930.05,447.77,389.77,317.93,447.77,317.93,317.93,714.08,447.77,587.80,583.92,587.80,139.80,564.32,849.72,766.32,843.92,564.32,895.88,1044.86,771.80,1558.37,1083.31,860.40,986.05,967.65,231.86,681.63,1558.37,1351.93,1035.38,1558.37,1769.72,1351.93,1558.37,1558.37,1558.37,1769.72,1558.37,1769.72,2154.18,2154.18,1769.72,1769.72,2154.18,1882.12,513.00,2154.18,2311.52,2311.52,2154.18,2154.18,2154.18,2154.18,1882.12,1769.72,1769.72,1769.72,1769.72,1769.72,1769.72,2311.52,1882.12,2630.86,2154.18,1882.12,2154.18,2798.96,2630.86,2154.18,2154.18,2871.79,2630.86,2711.19,2630.86,2798.96,2798.96,2813.37,2630.86,2630.86,3046.32,2813.37,2311.52,3046.32,2924.42,3046.32,2924.42,2827.74,2840.18,2840.14,2924.42,2944.89,3046.32,2813.37,2924.42,3046.32,3046.32,2813.37,3046.32,2813.37,3046.32,3046.32,3046.32,3046.32,1566.93,1566.93,1487.89,1890.63,1454.06,927.66,766.32,1052.54,986.07
N06121M,269.27,465.04,385.71,556.17,412.88,412.88,0.00,584.71,384.48,575.28,799.95,265.35,668.12,382.15,511.58,301.30,57.86,324.00,138.59,138.59,330.32,432.63,444.26,444.26,528.82,528.82,511.58,86.48,86.48,125.08,231.56,232.23,30.59,1730.02,1568.02,1764.20,1515.16,1619.50,1951.92,1834.46,1443.76,1757.31,1663.13,1616.01,1568.02,1559.53,1639.75,1639.75,1004.42,1331.26,1401.57,1425.44,1315.94,1369.48,1415.74,500.37,674.59,626.44,594.29,895.44,893.49,880.11,748.77,1356.08,1262.66,1076.34,465.04,777.32,633.75,775.12,717.13,645.29,775.12,645.29,645.29,1041.43,775.12,915.16,911.28,915.16,467.16,891.67,1177.08,1093.67,1171.28,891.67,1223.24,1372.21,1099.16,1885.72,1410.66,1187.75,1313.41,1217.47,538.16,987.92,1885.72,1679.28,1362.74,1885.72,1968.47,1679.28,1885.72,1885.72,1885.72,1968.47,1885.72,1968.47,2352.93,2352.93,1968.47,1968.47,2352.93,2080.86,840.35,2352.93,2510.27,2510.27,2352.93,2352.93,2352.93,2352.93,2080.86,1968.47,1968.47,1968.47,1968.47,1968.47,1968.47,2510.27,2080.86,2829.61,2352.93,2080.86,2352.93,2997.71,2829.61,2352.93,2352.93,3070.53,2829.61,2909.94,2829.61,2997.71,2997.71,3012.12,2829.61,2829.61,3245.07,3012.12,2510.27,3245.07,3123.17,3245.07,3123.17,3026.49,3038.92,3018.33,3123.17,3143.63,3245.07,3012.12,3123.17,3245.07,3245.07,3012.12,3245.07,3012.12,3245.07,3245.07,3245.07,3245.07,1894.28,1894.28,1815.24,2217.99,1781.41,1255.01,1093.67,1379.90,1313.43
N06121N,614.91,810.67,731.34,901.81,170.72,170.72,345.63,0.00,227.85,439.70,664.37,610.98,1013.75,613.24,376.00,646.93,403.49,447.86,484.22,484.22,675.95,778.27,287.63,287.63,372.19,372.19,376.00,432.11,432.11,470.71,577.19,577.86,376.22,2075.66,1913.65,2109.84,1860.79,1965.13,2297.55,2180.09,1789.39,2102.94,2008.77,1961.64,1913.65,1905.16,1985.38,1985.38,1350.06,1676.89,1747.20,1771.08,1661.57,1715.11,1761.37,84.34,89.87,41.73,939.92,1241.08,1239.12,1225.74,1094.40,1701.72,1608.30,1421.97,810.67,1122.95,979.38,599.41,560.49,488.65,599.41,488.65,488.65,606.69,599.41,459.37,326.56,459.37,310.52,456.93,742.34,658.93,736.54,456.93,788.50,908.77,664.42,1450.98,975.92,753.01,728.70,1138.37,402.58,852.34,1450.98,1244.54,928.00,1450.98,1512.37,1244.54,1450.98,1450.98,1450.98,1512.37,1450.98,1512.37,1896.83,1896.83,1512.37,1512.37,1896.83,1624.76,405.61,1896.83,2054.16,2054.16,1896.83,1896.83,1896.83,1896.83,1624.76,1512.37,1512.37,1512.37,1512.37,1512.37,1512.37,2054.16,1624.76,2373.51,1896.83,1624.76,1896.83,2541.61,2373.51,1896.83,1896.83,2614.43,2373.51,2453.83,2373.51,2541.61,2541.61,2556.02,2373.51,2373.51,2788.97,2556.02,2054.16,2788.97,2667.06,2788.97,2667.06,2570.39,2582.82,2582.78,2667.06,2687.53,2788.97,2556.02,2667.06,2788.97,2788.97,2556.02,2788.97,2556.02,2788.97,2788.97,2788.97,2788.97,1459.54,1459.54,1380.50,1783.25,1346.67,953.10,658.93,945.16,878.69
N06131T,608.67,804.43,725.11,895.57,142.76,142.76,339.39,209.27,0.00,230.75,549.13,569.30,990.48,607.00,295.30,605.25,397.26,441.62,477.98,477.98,669.71,772.03,68.83,68.83,144.34,144.34,295.30,425.87,425.87,464.47,570.95,571.62,369.98,2069.42,1907.41,2103.60,1854.56,1958.89,2291.31,2173.86,1783.16,2096.70,2002.53,1955.40,1907.41,1898.93,1979.14,1979.14,1343.82,1670.65,1740.97,1764.84,1655.33,1708.88,1755.13,124.93,299.15,251.00,933.68,1234.84,1232.89,1219.50,1088.16,1695.48,1602.06,1415.73,804.43,1116.71,973.14,390.64,332.65,260.80,390.64,260.80,260.80,656.95,390.64,530.67,529.78,530.67,91.72,507.19,792.60,709.19,786.79,507.19,838.75,987.73,714.67,1501.24,1026.18,803.27,937.97,1023.13,267.88,737.10,1501.24,1294.80,978.25,1501.24,1721.64,1294.80,1501.24,1501.24,1501.24,1721.64,1501.24,1721.64,2106.10,2106.10,1721.64,1721.64,2106.10,1834.03,455.87,2106.10,2263.43,2263.43,2106.10,2106.10,2106.10,2106.10,1834.03,1721.64,1721.64,1721.64,1721.64,1721.64,1721.64,2263.43,1834.03,2582.78,2106.10,1834.03,2106.10,2750.88,2582.78,2106.10,2106.10,2823.70,2582.78,2663.10,2582.78,2750.88,2750.88,2765.29,2582.78,2582.78,2998.24,2765.29,2263.43,2998.24,2876.33,2998.24,2876.33,2779.66,2792.09,2792.05,2876.33,2896.80,2998.24,2765.29,2876.33,2998.24,2998.24,2765.29,2998.24,2765.29,2998.24,2998.24,2998.24,2998.24,1509.80,1509.80,1430.76,1833.51,1396.93,870.53,709.19,995.41,928.95
N06131V,813.52,979.92,900.59,1071.06,366.93,366.93,563.57,433.45,224.17,0.00,318.38,338.55,759.72,421.01,64.55,374.50,585.85,430.63,682.83,682.83,845.20,976.88,293.00,293.00,293.73,293.73,64.55,614.47,614.47,669.33,775.81,776.48,574.83,2244.91,2082.90,2279.09,2030.05,2134.38,2466.80,2349.34,1958.64,2272.19,2178.02,2130.89,2082.90,2074.41,2154.63,2154.63,1519.31,1846.14,1916.45,1940.33,1830.82,1884.37,1930.62,349.10,523.32,475.18,1109.17,1410.33,1408.37,1394.99,1263.65,1870.97,1777.55,1591.22,979.92,1292.20,1148.63,540.03,482.04,410.20,540.03,410.20,410.20,806.34,540.03,680.07,679.17,680.07,315.89,656.58,941.99,858.58,936.18,656.58,988.15,1137.12,864.07,1650.63,1175.57,952.66,1162.14,792.38,37.12,506.35,1650.63,1444.19,1127.64,1650.63,1945.81,1444.19,1650.63,1650.63,1650.63,1945.81,1650.63,1945.81,2330.27,2330.27,1945.81,1945.81,2330.27,2058.20,605.26,2330.27,2487.61,2487.61,2330.27,2330.27,2330.27,2330.27,2058.20,1945.81,1945.81,1945.81,1945.81,1945.81,1945.81,2487.61,2058.20,2806.95,2330.27,2058.20,2330.27,2975.05,2806.95,2330.27,2330.27,3047.88,2806.95,2887.28,2806.95,2975.05,2975.05,2989.46,2806.95,2806.95,3222.41,2989.46,2487.61,3222.41,3100.51,3222.41,3100.51,3003.83,3016.27,3016.23,3100.51,3120.97,3222.41,2989.46,3100.51,3222.41,3222.41,2989.46,3222.41,2989.46,3222.41,3222.41,3222.41,3222.41,1659.19,1659.19,1580.15,1982.90,1546.32,1019.92,858.58,1144.81,1078.34
