detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
00032PMA0001,0.236416755389988,0.192705170246927,tertiary,Quai de Rive Neuve,0,marseille,1,13,5.3710203,43.2933643
00032PMA0002,0.236416755389988,0.233445159982504,residential,Quai de Rive Neuve,0,marseille,1,13,5.3715031,43.2934648
00701PMA0001,0.229863448556759,0.212580886680812,tertiary,Quai de Rive Neuve,0,marseille,2,11,5.3689349,43.2928762
00701PMA0002,0.139116774846885,0.124166848115547,tertiary,Quai de Rive-Neuve,0,marseille,2,10,5.3684708,43.2928352
00483PMA0003,0.288036305928571,0.270488127629762,primary,Rampe Saint-Maurice,0,marseille,1,6,5.3631788,43.2918884
00483PMA0001,0.339709230469395,0.31639288782648,trunk_link,,50,marseille,1,7,5.3634873,43.2921129
00428PMA0002,0.180134661076763,0.112954777712527,primary,Avenue de la Corse,0,marseille,2,60,5.3654453,43.2897301
00428PMA0001,0.281256487975819,0.222250169728982,primary,Boulevard de la Corderie,0,marseille,1,61,5.3670573,43.2899429
00008PMA0002,0.255831724299979,0.119100583780364,primary,Cours Pierre Puget,0,marseille,2,62,5.3740633,43.2902504
00002PMA0001,0.089651970400011,0.083074079570482,primary,Boulevard Paul Peytral,50,marseille,1,66,5.3784004,43.2901498
00014PMA0002,0.084050324530096,0.073954675392401,other,Rue de Rome,30,marseille,1,64,5.3809914,43.2907053
00293PMA0001,0.101005410419424,0.085743723967659,other,Rue de Rome,30,marseille,1,69,5.3826919,43.2876342
01026PMA0001,0.230571161364458,0.172199666753659,primary,Rue Armény,0,marseille,2,63,5.3801157,43.2910088
00012PMA0001,0.141129723375062,0.124533826734217,other,Rue Dragon,0,marseille,1,65,5.381898,43.2885967
00006PMA0054,0.144222537082996,0.130994375120838,primary,Boulevard Dugommier,0,marseille,2,52,5.3810906,43.2978192
00006PMA0001,0.144744156439235,0.138841155302235,residential,La Canebière / La Canebiera,50,marseille,1,51,5.3809095,43.2975751
00005PMA0002,0.068650257243578,0.037721967737174,residential,La Canebière / La Canebiera,50,marseille,1,48,5.377243,43.2962174
00003PMA0001,0.063546979759742,0.055255082175368,residential,La Canebière / La Canebiera,50,marseille,1,47,5.3761742,43.2958651
00005PMA0001,0.119809956803043,0.091066710518429,residential,La Canebière / La Canebiera,50,marseille,1,49,5.3783199,43.2965776
00238PMA0001,0.140014110712238,0.063466539898941,residential,La Canebière / La Canebiera,50,marseille,1,50,5.3802243,43.2972882
00749PMA0021,0.070931649100478,0.014893663828494,secondary,La Canebière,0,marseille,2,53,5.3837514,43.2985141
00007PMA0001,0.199505088498489,0.182990272106661,tertiary,Cours Franklin Roosevelt,0,marseille,1,56,5.3858328,43.2990442
00007PMA0032,0.102541882763621,0.0801112737663,secondary,Allée Léon Gambetta,0,marseille,2,54,5.3848913,43.2990705
00007PMA0004,0.275211882809571,0.251741689862729,secondary,Boulevard de la Libération - Général de Monsabert,50,marseille,1,55,5.3858757,43.299212
00010PMA0004,0.169698387815453,0.153011458529131,secondary,Boulevard de la Libération - Général de Monsabert,0,marseille,2,110,5.3962411,43.3027032
00010PMA0003,0.07842207719013,0.057311248507793,tertiary,Boulevard Philippon,50,marseille,1,109,5.3963162,43.3028896
00010PMA0021,0.241261058759989,0.213073421983454,secondary,Avenue des Chartreux,50,marseille,2,108,5.3971718,43.3030272
01016PMA0001,0.067352901185104,0.05856428331376,residential,Rue du Bosquet,0,marseille,1,106,5.3996595,43.3004769
00092PMA0021,0.100270404484978,0.079848748064387,primary,Boulevard Françoise Duparc,0,marseille,3,107,5.4006788,43.3008615
00092PMA0065,0.187730769248309,0.177633756515693,primary,Boulevard Françoise Duparc,0,marseille,3,105,5.4008961,43.2999518
00092PMA0043,0.121197222231926,0.106341580902877,primary,Boulevard Sakakini,0,marseille,3,104,5.4007351,43.2998035
00091PMA0043,0.064724351556921,0.054829088284968,other,Boulevard Élémir Bourges,0,marseille,2,100,5.401234,43.2988431
00091PMA0065,0.108526362187322,0.103630163466744,primary,Boulevard Sakakini,0,marseille,3,99,5.4008371,43.2987064
01017PMA0001,0.147806165735682,0.108538523268038,tertiary,Avenue du Maréchal Foch,0,marseille,1,102,5.4024303,43.2986342
01017PMA0002,0.125168009145421,0.118421128256155,tertiary,Avenue du Maréchal Foch,0,marseille,1,101,5.4021299,43.2990099
01017PMA0003,0.116875372271654,0.08249484093266,other,Boulevard Élémir Bourges,0,marseille,1,103,5.4027361,43.2989631
00490PMA0001,0.165553672345787,0.153043209192923,tertiary,Avenue du Maréchal Foch,0,marseille,1,120,5.4037165,43.2979246
00490PMA0002,0.086768973149643,0.040599717848251,residential,Boulevard Boisson,0,marseille,1,119,5.403935,43.2972081
00993PMA0001,0.147669834128378,0.125565480513658,tertiary,Boulevard Chave,0,marseille,1,115,5.4056946,43.2961657
00987PMA0001,0.3143248280617,0.306467000004292,tertiary,Boulevard Chave,0,marseille,1,93,5.4023391,43.2958827
00987PMA0002,0.06727709459525,0.062534271937882,other,Rue Berthe Simon,0,marseille,1,94,5.4012313,43.2959139
00089PMA0001,0.132485509114773,0.118062364749743,tertiary,Boulevard Chave,0,marseille,1,92,5.4006547,43.2957929
00089PMA0002,0.175668193959457,0.158891086852176,tertiary,Boulevard Chave,0,marseille,1,90,5.3999466,43.295828
00089PMA0043,0.182611807154424,0.170275415605398,primary,Boulevard Sakakini,0,marseille,3,91,5.4003757,43.2959959
00089PMA0065,0.256563210372596,0.250146613827383,primary,Boulevard Sakakini,0,marseille,3,95,5.4002523,43.2956601
00090PMA0001,0.107950836657567,0.098378499936884,primary,Boulevard Sakakini,0,marseille,3,98,5.4009819,43.2977704
00432PMA0001,0.124334015511178,0.113771245786759,tertiary,Boulevard Chave,0,marseille,1,85,5.394157,43.2953839
00036PMA0043,0.15079619428419,0.015539289884966,residential,Rue du Camas,0,marseille,1,86,5.3967601,43.2954004
01006PMA0001,0.183438566418357,0.176028384491203,tertiary,Boulevard Chave,0,marseille,1,88,5.3980221,43.2956152
01006PMA0002,0.091254223653701,0.079079453790183,other,Rue George,0,marseille,1,89,5.3978732,43.2958231
01006PMA0003,0.116679524105522,0.107428530064769,other,Rue du Docteur Simone Sedan,50,marseille,1,87,5.3978786,43.2955108
00088PMA0001,0.21634049099027,0.194468952401135,primary,Boulevard Sakakini,0,marseille,3,96,5.4016055,43.2941384
00086PMA0001,0.19881251938401,0.170195391579012,primary,Boulevard Jean Moulin,0,marseille,3,80,5.4000364,43.2907463
00104PMA0021,0.223795470812731,0.183287723483035,primary,Boulevard Jean Moulin,0,marseille,3,81,5.400192,43.288501
00332PMA0001,0.207337546941901,0.179758798294084,primary,Boulevard Jean Moulin,0,marseille,3,82,5.4001544,43.2869967
00806PMA0001,0.16216102682136,0.117095917437787,secondary,Boulevard Baille,50,marseille,2,79,5.3961781,43.2892684
00061PMA0001,0.108593541055051,0.087723844682066,primary,Cours Lieutaud,0,marseille,2,75,5.3854144,43.2866794
00062PMA0002,0.125561443763614,0.043712083715268,secondary,Boulevard Baille,0,marseille,2,74,5.3850429,43.2861913
00064PMA0001,0.130427005210096,0.123033475730825,primary,Avenue du Prado,50,marseille,2,138,5.3892258,43.27631
00064PMA0002,0.133179725610792,0.120098187109759,primary,Avenue du Prado,50,marseille,2,139,5.3892419,43.2761108
00055PMA0004,0.228964562355405,0.062738309222925,primary,Avenue du Prado,0,marseille,3,144,5.3883809,43.2706964
00055PMA0003,0.258152760590723,0.182059295869612,primary,Avenue du Prado,0,marseille,3,145,5.3884319,43.2706612
00056PMA0004,0.067743109617462,0.033130497516205,primary,Avenue du Prado,0,marseille,2,147,5.3864645,43.2693595
00591PMA0001,0.129771846569622,0.065038433456185,primary,Avenue du Prado,0,marseille,2,148,5.3840008,43.2677707
00044PMA0032,0.146748229070518,0.125422860772838,primary,Avenue du Prado,0,marseille,2,150,5.3787759,43.2644152
00984PMA0001,0.174062646972312,0.167583012390442,secondary,Avenue Pierre Mendès France,0,marseille,3,152,5.3754446,43.2601689
00984PMA0002,0.466958787766697,0.462398419017225,secondary,Avenue Pierre Mendès France,50,marseille,2,153,5.3753641,43.2600429
00658PMA0001,0.206491573672995,0.18015431908159,primary,Promenade Georges Pompidou,50,marseille,2,154,5.3729247,43.2660608
00077PMA0001,0.292270113366947,0.259319306415164,primary,Corniche du Président John Fitzgerald Kennedy,50,marseille,1,71,5.3505403,43.2829764
00235PMA0001,0.665195693927106,0.577691245664255,primary,Corniche du Président John Fitzgerald Kennedy,50,marseille,1,72,5.3525989,43.2806411
00235PMA0002,0.664354091943762,0.083521725409925,primary,Corniche du Président John Fitzgerald Kennedy,50,marseille,1,73,5.352615,43.2806763
00097PMA0002,0.088883961414269,0.077792902918826,primary,Cours Lieutaud,0,marseille,2,68,5.3841484,43.2889852
00097PMA0001,0.158290375872551,0.073172986008266,primary,Cours Lieutaud,0,marseille,2,67,5.3837567,43.2898521
00771PMA0001,0.303712558041433,0.157394857880735,primary,Boulevard Rabatau,0,marseille,1,142,5.393107,43.2736609
00771PMA0002,0.312532126535228,0.254315164459678,primary,Boulevard Rabatau,0,marseille,1,141,5.3931579,43.2736219
00359PMA0001,0.217332730811289,0.078909972095253,secondary,Boulevard Romain Rolland,0,marseille,1,160,5.4054049,43.2695968
00359PMA0002,0.232357780691186,0.116042403335797,secondary,Boulevard Romain Rolland,0,marseille,1,159,5.4051179,43.2695187
00367PMA0002,0.162719872256961,0.154577267628121,secondary,Boulevard Romain Rolland,0,marseille,1,167,5.4174922,43.2759937
00163PMA0001,0.430609199159563,0.420749276669521,secondary,Boulevard Schloesing,0,marseille,2,158,5.4005018,43.2735799
00168PMA0021,0.155749417152494,0.137178600092882,tertiary,Avenue Robert Schuman,0,marseille,3,21,5.3666604,43.30332
00192PMA0063,0.493297462922326,0.071738441509692,trunk_link,,0,marseille,1,35,5.3687203,43.3116483
00192PMA0001,0.134270833352262,0.123405209314995,tertiary,Boulevard de Paris,0,marseille,3,34,5.3688839,43.3122611
00034PMA0002,0.130633260454677,0.123909932812019,secondary,Boulevard Mirabeau,0,marseille,1,32,5.368259,43.3138146
00034PMA0001,0.129116267571285,0.093574986489077,secondary,Boulevard Mirabeau,0,marseille,1,31,5.3674757,43.3136194
00798PMA0021,0.155749417152494,0.038544209705786,tertiary,Avenue Robert Schuman,0,marseille,3,21,5.3669125,43.3041885
00798PMA0043,0.103127250789072,0.075537698242196,tertiary,Boulevard de Dunkerque,70,marseille,2,22,5.3672156,43.3052094
00501PMA0001,0.067787634728247,0.055308680013111,primary,Rue Capitaine Dessemond,50,marseille,2,2,5.3579485,43.2884171
00717PMA0001,0.230402722662302,0.212701576857659,tertiary,Avenue William Booth,0,marseille,1,137,5.4427305,43.2944771
00810PMA0001,0.184767607231663,0.095470388376438,primary,Boulevard Michelet,0,marseille,2,165,5.4006185,43.255973
00810PMA0002,0.178651522448323,0.07546261134989,primary,Boulevard Michelet,0,marseille,2,164,5.4006923,43.2559897
00990PMA0001,0.299246937571631,0.276826743528533,tertiary,Boulevard Berthier,0,marseille,1,134,5.4334608,43.2944146
00990PMA0002,0.08959797487742,0.058272944558313,tertiary,Avenue Pierre Chevalier,0,marseille,1,133,5.4327232,43.294686
