detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
10004022,0.508844546414675,0.492306981366205,secondary,Erhardtstraße,50,munich,1,80,11.584617,48.13213
10004021,0.510029994030234,0.492079478791713,secondary,Erhardtstraße,50,munich,1,79,11.584568,48.13215
4000011,0.70330624867716,0.341484072658856,primary,Effnerstraße,60,munich,1,443,11.6219,48.160592
4000014,0.700931998934983,0.355605674656602,primary,Effnerstraße,60,munich,1,441,11.621792,48.160635
4000012,0.704993934691372,0.341849228702573,primary,Effnerstraße,60,munich,1,442,11.621855,48.160612
4000013,0.699767370139333,0.355705976250209,primary,Effnerstraße,60,munich,1,440,11.621739,48.160656
4001012,0.43381336370743,0.267312596078575,primary,Frankfurter Ring,60,munich,1,513,11.59512,48.187656
4001011,0.435457175456208,0.268330821092841,primary,Frankfurter Ring,60,munich,1,514,11.595115,48.187621
4001013,0.42283511263491,0.147259673806557,primary,Frankfurter Ring,60,munich,1,516,11.595144,48.187745
4001014,0.423639742650939,0.147349643550815,primary,Frankfurter Ring,60,munich,1,515,11.595134,48.187711
4003013,1.2086547223432,0.539345020518038,trunk,John-F.-Kennedy-Brücke,50,munich,1,460,11.606221,48.1565045
4003014,1.21085288304688,0.542485348950754,trunk,John-F.-Kennedy-Brücke,50,munich,1,459,11.6061931,48.1564719
4003011,1.06733609687852,0.524295769912236,trunk,John-F.-Kennedy-Brücke,60,munich,1,457,11.6061204,48.1564131
4003012,1.06619439292108,0.525110967335147,trunk,John-F.-Kennedy-Brücke,60,munich,1,458,11.6061443,48.1564363
4004011,1.24957653184387,0.697894435457231,trunk,Isarring,60,munich,1,461,11.596353,48.163518
4004014,1.25082711728387,0.553725502630122,trunk,Isarring,60,munich,1,462,11.596234,48.163486
4005015,0.727172545526058,0.146579662035489,trunk,Schenkendorfstraße,60,munich,1,466,11.592936,48.175589
4005012,0.730021239517994,0.579908642828583,trunk,Schenkendorfstraße,60,munich,1,464,11.592854,48.1755
4005013,0.72915100951264,0.580698950867612,trunk,Schenkendorfstraße,60,munich,1,463,11.592876,48.175529
4005014,0.440881072725272,0.041922383268902,trunk,Schenkendorfstraße,60,munich,1,468,11.59296,48.175617
4005016,0.727157007427142,0.146875805710761,trunk,Schenkendorfstraße,60,munich,1,465,11.592919,48.175568
4005011,0.786741418649929,0.382429570083811,trunk,Schenkendorfstraße,60,munich,1,467,11.59283,48.175474
4006013,0.450512496014416,0.406164420272653,primary,Frankfurter Ring,60,munich,1,511,11.5719059,48.1875446
4006014,0.451259282407846,0.406304332414315,primary,Frankfurter Ring,60,munich,1,512,11.571913,48.1875166
4006011,0.454784809392937,0.408464411137725,primary,Frankfurter Ring,60,munich,1,510,11.5668941,48.1871912
4006012,0.457201374831298,0.409197843809499,primary,Frankfurter Ring,60,munich,1,509,11.5668884,48.1872205
4007011,0.551351462113899,0.478777773219658,primary,Moosacher Straße,60,munich,1,508,11.5556348,48.1862202
4007012,0.551944662016809,0.480111372839715,primary,Moosacher Straße,60,munich,1,507,11.5556227,48.1862494
4007013,0.555357514676999,0.453923218248478,primary,Moosacher Straße,60,munich,1,506,11.5607454,48.1868145
4007014,0.556424567838874,0.454273751094525,primary,Moosacher Straße,60,munich,1,505,11.5607534,48.1867865
4007015,0.55809591484266,0.454233058033897,primary,Moosacher Straße,60,munich,1,504,11.5607574,48.1867631
4009012,1.36297191729786,0.359545978346483,trunk,Landshuter Allee,60,munich,1,153,11.5405413,48.1832004
4009013,1.36993202662241,1.02307053381707,trunk,Landshuter Allee,60,munich,1,151,11.5403742,48.1832276
4009014,1.37140769240606,1.02367706602691,trunk,Landshuter Allee,60,munich,1,152,11.5404337,48.1832227
4009011,1.36484288329552,0.340704413625525,trunk,Landshuter Allee,60,munich,1,154,11.5405977,48.1831943
4010021,0.873409355050321,0.288221787831344,trunk,Tegernseer Landstraße,50,munich,1,107,11.580044,48.106945
4010022,0.877252264646208,0.290046122201486,trunk,Tegernseer Landstraße,50,munich,1,106,11.580079,48.106959
4010012,0.896690060115935,0.59620513887241,trunk,Tegernseer Landstraße,50,munich,1,104,11.580311,48.107048
4010013,2.19242961785835,1.63804401210943,trunk,Tegernseer Landstraße,50,munich,1,111,11.580269,48.107036
4010014,2.18720117131296,1.63404219559412,trunk,Tegernseer Landstraße,50,munich,1,110,11.5802374,48.107022
4010023,2.17732240262206,0.551402032222706,trunk,Tegernseer Landstraße,50,munich,1,109,11.580124,48.106975
4010024,2.18348798657546,0.552625627589437,trunk,Tegernseer Landstraße,50,munich,1,108,11.580166,48.106988
4010011,0.899471891715275,0.598969437976488,trunk,Tegernseer Landstraße,50,munich,1,105,11.580353,48.10706
4012013,1.34199954794516,0.631595909971433,trunk,Garmischer Straße,60,munich,1,127,11.524432,48.127913
