detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
2012,0.122710095132661,0.110246231056049,primary,Calle de San Fernando,0,santander,2,4,-3.823616,43.459323
2037,0.180254746138811,0.005026431033475,secondary,Calle de Castelar,40,santander,2,136,-3.795491,43.463063
2032,0.177804101983546,0.007756228832149,secondary,Calle de Castelar,40,santander,2,137,-3.793604,43.462849
2033,0.103716246214994,0.103071636287159,primary,Calle de Casimiro Sainz,30,santander,2,139,-3.7965345,43.4634309
2030,0.112046057874822,0.067426504598032,primary,Paseo de Pereda,30,santander,3,133,-3.7982929,43.4623052
2043,0.117664425128272,0.109328260900343,primary,Paseo de Pereda,40,santander,3,131,-3.8007074,43.4618642
2040,0.262343382712107,0.020489014873178,secondary,Pasaje de Peña,0,santander,1,80,-3.811859,43.461551
2015,0.065437707423516,0.015450215425287,primary,Calle de Jesús de Monasterio,0,santander,2,79,-3.812388,43.461778
2014,0.128764014642054,0.010219609978924,residential,Calle Cervantes,0,santander,1,81,-3.811701,43.462096
2017,0.070535111390221,0.050789319780677,primary,Calle de Becedo,0,santander,2,90,-3.8102767,43.4615645
2023,0.129796153544005,0.04839500314232,primary,Calle de Calvo Sotelo,30,santander,2,100,-3.807353,43.461505
2019,0.080395658871384,0.02984238153883,primary,Calle de Calvo Sotelo,30,santander,2,98,-3.8088597,43.4613284
2029,0.219172009694793,0.023758166347231,residential,Calle de Lope de Vega,0,santander,1,161,-3.799546,43.462569
2028,0.13642008178024,0.079126655076391,primary,Paseo de Pereda,30,santander,3,132,-3.7998535,43.4621399
2026,0.110782675150883,0.091291741168361,primary,Paseo de Pereda,30,santander,2,102,-3.8037102,43.4617539
2013,0.119901197188779,0.102515337467271,primary,Calle de San Fernando,0,santander,2,111,-3.820486,43.46023
2024,0.084185955054271,0.07237630194306,primary,Calle de Calvo Sotelo,30,santander,2,101,-3.8062499,43.46152
1010,0.308413137263102,0.298817201290549,primary,Calle de Castilla,0,santander,3,129,-3.817659,43.4555584
1007,0.308413137263102,0.004936677498289,primary,Calle de Castilla,0,santander,3,129,-3.8209279,43.4544574
1013,0.247616892341487,0.215518428545395,primary,Calle de Castilla,0,santander,3,128,-3.81297,43.457406
1015,0.124426128226652,0.10520532371095,secondary,Calle de Antonio López,30,santander,2,106,-3.809535,43.457682
1016,0.1234866377174,0.106068282972785,primary,Calle de Antonio López,30,santander,2,107,-3.809449,43.457645
1018,0.142291842627339,0.095481656164758,primary,Calle de Castilla,30,santander,2,103,-3.808853,43.4585
1017,0.133744696662615,0.074696451223531,primary,Calle de Antonio López,0,santander,3,104,-3.807554,43.459147
1003,0.211186779468475,0.164760984617304,trunk,Calle de Jerónimo Sainz de la Maza,0,santander,3,120,-3.828321,43.4533396
1004,0.216735145608281,0.049908685256868,trunk,Calle de Jerónimo Sainz de la Maza,0,santander,3,121,-3.8281773,43.4533531
1005,0.199682534176601,0.167859174708407,secondary,Calle de Jerónimo Sainz de la Maza,0,santander,2,114,-3.828028,43.4542004
1006,0.188809420409867,0.0174282944249,secondary,Calle de Jerónimo Sainz de la Maza,0,santander,2,115,-3.8280804,43.4542413
1027,0.787107080128084,0.76984969113829,trunk,Avenida de Eduardo García del Río,0,santander,2,116,-3.8296374,43.4537195
1001,0.783282341098793,0.030757540710645,trunk,Avenida de Eduardo García del Río,0,santander,2,117,-3.829595,43.4536683
1002,0.554349884319002,0.52355914205537,residential,Avenida de Candina,20,santander,1,118,-3.82899,43.4533771
1028,0.560599929077223,0.021029339141594,residential,Avenida de Candina,20,santander,1,119,-3.8289384,43.4534269
1022,0.545683029059019,0.187048440056831,motorway,Avenida de Parayas,80,santander,2,180,-3.829143,43.451062
1023,0.637901866249087,0.46968563459733,motorway,Avenida de Parayas,50,santander,2,179,-3.8292206,43.4508893
