detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
K10D1,0.118534482705095,0.03393600417981,secondary,Bahnhofstraße,30,speyer,1,66,8.4313148,49.3180641
K10D2,0.290815453682885,0.054108104731068,secondary,Gilgenstraße,30,speyer,1,64,8.4308159,49.31712
K11D1,0.162756537986225,0.030729690903051,secondary,Bahnhofstraße,50,speyer,1,69,8.43117,49.3190729
K11D2,0.047765989502552,0.001963934111227,residential,Mathäus-Hotz-Straße,30,speyer,1,68,8.4315696,49.3187128
K11D4,0.234382383254126,0.004395602254981,residential,Untere Langgasse,30,speyer,1,67,8.4311485,49.3186428
K12D8,0.07728926386657,0.036010919646548,secondary,Bahnhofstraße,50,speyer,1,144,8.4309554,49.3196342
K12D6,0.166272396145903,0.044890127374087,secondary,Bahnhofstraße,50,speyer,1,72,8.4310239,49.3196394
K12D7,0.07728926386657,0.001140508784813,secondary,Bahnhofstraße,50,speyer,1,144,8.4308025,49.3199314
K12D5,0.166272396145903,0.00204285924447,residential,Eurichsgasse,0,speyer,1,72,8.4308481,49.3199786
K12D10,0.206170892075248,0.050989304659831,secondary,Obere Langgasse,50,speyer,1,71,8.4298034,49.3198545
K12D9,0.206170892075248,0.002175600126211,secondary,Obere Langgasse,50,speyer,1,71,8.430431,49.3200109
K12D3,0.048946613936857,0.002532479920858,secondary,Bahnhofstraße,50,speyer,1,143,8.430659,49.3202374
K12D1,0.263789327611356,0.002592409554284,secondary,Bahnhofstraße,50,speyer,1,96,8.4306121,49.3202321
K12D4,0.048946613936857,0.032018955331582,secondary,Bahnhofstraße,50,speyer,1,143,8.4304968,49.3204804
K12D2,0.263789327611356,0.032189671703962,secondary,Bahnhofstraße,50,speyer,1,96,8.4304619,49.3204795
K13D5,0.047636558599865,0.017852401041457,tertiary,Hirschgraben,0,speyer,1,140,8.4294936,49.3224175
K13D6,0.223159556709736,0.002532445334644,tertiary,Hirschgraben,50,speyer,1,75,8.4295298,49.3223659
K13D1,0.691431656672159,0.002118824666577,secondary,Bahnhofstraße,50,speyer,1,77,8.4292227,49.3224148
K13D3,0.06914374281448,0.001823226982579,secondary,Bahnhofstraße,50,speyer,1,141,8.429263,49.3224288
K13D4,0.06914374281448,0.031766358341516,secondary,Bahnhofstraße,50,speyer,1,141,8.4290859,49.3226719
K13D2,0.691431656672159,0.032640849250831,secondary,Bahnhofstraße,50,speyer,1,77,8.429047,49.322664
K13D7,0.223159556709736,0.035181244684332,tertiary,Hirschgraben,50,speyer,1,75,8.4299697,49.322421
K13D9,0.272524493894681,0.001670691084985,secondary,Bahnhofstraße,50,speyer,1,73,8.4294292,49.3222479
K13D8,0.051573089944131,0.041114140742415,tertiary,Hirschgraben,0,speyer,1,142,8.4295473,49.3222164
K13D10,0.272524493894681,0.05353764695268,secondary,Bahnhofstraße,50,speyer,1,73,8.4297109,49.3218196
K14D6,0.082081498762244,0.053514478443813,secondary_link,,50,speyer,1,116,8.4299415,49.3287869
K14D7,0.113563742459514,0.034647727796418,secondary_link,,50,speyer,1,115,8.4299911,49.328779
K14D12,0.055763493303597,0.038080316431889,secondary,Wormser Landstraße,50,speyer,1,118,8.4300408,49.3287808
