detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
01736152,1.7777187896733,0.717918231615975,primary,Cannstatter Straße,50,stuttgart,1,273,9.198189,48.7932
01736154,1.75298589668846,0.694112091305292,primary,Cannstatter Straße,50,stuttgart,1,272,9.198227,48.793178
01736156,1.74963618695419,0.693113240186859,primary,Cannstatter Straße,50,stuttgart,1,271,9.198262,48.793158
01736157,1.04298797546093,0.344159590194583,primary,Cannstatter Straße,50,stuttgart,1,274,9.198282,48.793107
01736159,1.04397191959606,0.343396868907833,primary,Cannstatter Straße,50,stuttgart,1,275,9.198313,48.793087
01736161,1.04401233997775,0.341725162314134,primary,Cannstatter Straße,50,stuttgart,1,276,9.198344,48.793076
01736163,0.991960035797556,0.339885515213578,primary,Cannstatter Straße,50,stuttgart,1,277,9.198381,48.793058
01650124,0.197237372463689,0.197237372463689,primary,Heilbronner Straße,50,stuttgart,1,0,9.182078,48.794289
01650126,0.197221987275018,0,primary,Heilbronner Straße,50,stuttgart,1,1,9.182037,48.794297
01634111,0.145717896288566,0.102301672954989,primary,Heilbronner Straße,50,stuttgart,1,2,9.180744,48.788278
01634112,0.14531508157484,0.101810525073802,primary,Heilbronner Straße,50,stuttgart,1,3,9.180705,48.788284
01634113,0.145710166002613,0.103126352845135,primary,Heilbronner Straße,50,stuttgart,1,4,9.180657,48.788295
01634121,0.147954538327426,0.111691119849401,primary,Heilbronner Straße,50,stuttgart,1,5,9.180808,48.788269
01634122,0.150065385880431,0.036847085870411,primary,Heilbronner Straße,50,stuttgart,1,6,9.18086,48.788267
01634123,0.149260534121212,0.112666453946132,primary,Heilbronner Straße,50,stuttgart,1,7,9.180894,48.788263
01630008,0.119452794787877,0.101280030345962,primary,Heilbronner Straße,50,stuttgart,1,8,9.180396,48.787145
01630009,0.11917431558419,0.101342759602446,primary,Heilbronner Straße,50,stuttgart,1,9,9.180338,48.787146
01630010,0.125272729229951,0.109517156820172,primary,Heilbronner Straße,50,stuttgart,1,10,9.1805245,48.7871382
01630011,0.125381421713214,0.111075075901344,primary,Heilbronner Straße,50,stuttgart,1,11,9.1805672,48.7871366
01630012,0.126239290649499,0.111493604323511,primary,Heilbronner Straße,50,stuttgart,1,12,9.1806072,48.7871329
01555143,0.633409248287022,0.504971096599897,secondary,Kriegsbergstraße,50,stuttgart,1,13,9.172862,48.782644
01555146,0.634689779225257,0.504420905141201,secondary,Kriegsbergstraße,50,stuttgart,1,14,9.172838,48.782669
01555150,0.638765525663121,0.483909687463657,secondary,Kriegsbergstraße,50,stuttgart,1,15,9.1729,48.782607
01555152,0.637781377799875,0.481519610858499,secondary,Kriegsbergstraße,50,stuttgart,1,16,9.172943,48.782566
01577141,0.269987583630935,0.146798781959058,tertiary,Hegelstraße,50,stuttgart,1,17,9.168928,48.782565
