detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
230,0.610501067754131,0.185692829994147,primary,Via Tommaso Agudio,0,torino,3,113,7.729331,45.0771962
2012,0.422047308477787,0.406484141887302,residential,Corso Giulio Cesare,0,torino,3,85,7.70912,45.1161
2016,0.146221181860972,0.070836558372563,primary,Corso Casale,0,torino,2,361,7.7306,45.0811
2017,0.1187329924924,0.090741122532236,primary,Corso Casale,0,torino,2,360,7.7297,45.0825
2026,0.084993584830727,0.049779027795835,primary,Corso Casale,0,torino,2,380,7.73006,45.0821
2031,0.183444081316814,0.173537848260653,other,Via Arturo Farinelli,0,torino,2,381,7.628329,45.0159834
2032,0.232171806579627,0.219587798947535,secondary,Corso Unione Sovietica,0,torino,3,34,7.6282687,45.0163772
2033,0.231460813461136,0.222179236983572,other,Corso Unione Sovietica,0,torino,3,35,7.62747,45.0161
2034,0.292344181979272,0.270715350289887,other,Via Plava,0,torino,1,365,7.6272,45.0163
2054,0.20975315399737,0.193406127816039,tertiary,Corso Monte Cucco,0,torino,3,50,7.6307,45.0642
2069,0.169391281383725,0.0767091008074,other,Via Monginevro,0,torino,2,119,7.63236,45.0645
2082,0.284574069735055,0.274177082954927,secondary,Via Andrea Sansovino,0,torino,3,351,7.64101,45.1018
2101,0.303935338151905,0.07987583509207,secondary,Corso Peschiera,0,torino,2,132,7.6548456,45.0625867
2104,0.193773484430549,0.177617642851639,tertiary,Corso Racconigi,0,torino,1,116,7.64482,45.0662
2105,0.273427286745901,0.269193929944463,secondary,Corso Peschiera,0,torino,3,117,7.6453173,45.0662735
2106,0.451126194889766,0.436590910677041,tertiary,Corso Racconigi,0,torino,1,118,7.64525,45.0666
2111,0.416810705987181,0.403115489309808,other,Via Monginevro,0,torino,2,131,7.65491,45.0655
2114,0.185271057214023,0.178586923432383,tertiary,Corso Francesco Ferrucci,0,torino,2,128,7.6553422,45.0657
2117,0.531835365504955,0.520929569865128,other,Via Giovanni Carlo Cavalli,0,torino,1,137,7.6561971,45.0727644
2127,0.145965391503486,0.121234305855926,secondary,Corso Vinzaglio,0,torino,2,0,7.6666344,45.0676583
2134,0.171284173438778,0.161702326992983,tertiary,Corso Re Umberto,0,torino,1,358,7.6742417,45.0647754
2141,0.194199093606437,0.179820672956685,primary,Corso Lecce,0,torino,2,135,7.6461476,45.0794962
2152,0.068012677839504,0.052544126019952,tertiary,Corso San Martino,0,torino,3,141,7.6683,45.0744
2162,0.232834945298755,0.228780302744133,tertiary,Via Livorno,0,torino,1,378,7.66675,45.0826
2165,0.162009983162536,0.141864298484538,primary,Corso Regina Margherita,0,torino,2,58,7.66632,45.0825
2166,0.214687469886804,0.194801274063812,primary,Corso Regina Margherita,0,torino,2,59,7.6791432,45.0782356
2169,0.824318375557038,0.119670050060572,primary,Sottopasso Repubblica,0,torino,1,60,7.68774,45.0753
2175,0.812050479049909,0.132582963833899,primary,Sottopasso Repubblica,0,torino,1,61,7.68135,45.0775
2177,0.226842914331789,0.205982520481368,tertiary,Corso San Maurizio,0,torino,2,63,7.69009,45.0742
2182,0.207865730447677,0.188745485228431,tertiary,Corso San Maurizio,0,torino,2,62,7.69151,45.0729
2183,0.207865730447677,0.202817749958522,tertiary,Corso San Maurizio,0,torino,2,62,7.69162,45.0728
2184,0.121185920361314,0.108940599695124,tertiary,Corso San Maurizio,0,torino,2,64,7.6917561,45.0724474
2192,0.150915848896973,0.142512812583413,tertiary,Corso San Maurizio,0,torino,2,246,7.69278,45.0715
2193,0.058847350354276,0.044410337511533,tertiary,Corso San Maurizio,0,torino,2,67,7.69855,45.0658
2200,0.169918048654485,0.147457464905027,primary,Ponte Regina Margherita,0,torino,2,71,7.7079383,45.0686019
2204,0.19714920460792,0.174718976733701,primary,Corso Regina Margherita,0,torino,2,70,7.7045805,45.0697507
2206,0.169644172034241,0.133980507403405,primary,Corso Regina Margherita,0,torino,2,69,7.70374,45.0701
2218,0.289347869028938,0.233261765866812,secondary,Corso Belgio,0,torino,2,250,7.706338,45.0718659
2221,0.376880402330189,0.371120756325257,tertiary,Lungo Dora Voghera,0,torino,1,253,7.70533,45.075
2222,0.067952878548871,0.036973539215549,secondary,Corso Novara,0,torino,4,72,7.7047022,45.0753057
2223,0.12711022911036,0.10858169770641,tertiary,Lungo Dora Siena,0,torino,1,255,7.70416,45.0750142
2224,0.38370317256649,0.167289132150236,tertiary,Lungo Dora Voghera,0,torino,1,252,7.70739,45.075
2235,0.350877751952634,0.326508907780127,tertiary,Corso Belgio,0,torino,2,362,7.72308,45.0747
2238,0.523692236732352,0.200936301624233,residential,Via Alfonso Varano,0,torino,1,257,7.70673,45.0767
2239,0.072532299599124,0.050226126098848,secondary,Corso Novara,0,torino,4,254,7.70416,45.0756
2240,0.49717177370615,0.490130999368094,other,Lungo Dora Colletta,0,torino,1,256,7.70469,45.0757
2242,0.275432848648756,0.245138211677294,secondary,Corso Novara,0,torino,2,258,7.70405,45.076
2244,0.393329496673791,0.07718833008825,other,Via San Gaetano da Thiene,0,torino,1,288,7.7127356,45.0899076
2246,0.392255112078513,0.380181361886516,other,Via Gottardo,0,torino,1,289,7.71239,45.0904
2247,0.486030125199861,0.473754696136278,other,Via Sempione,0,torino,2,290,7.71202,45.0903
2252,0.453477102980681,0.4305382504378,other,Corso Novara,0,torino,2,74,7.6974664,45.0830545
2254,0.377299623370249,0.362277317845233,secondary,Via Bologna,0,torino,2,267,7.69698,45.0832
2255,0.181226264469588,0.169271501520267,secondary,Corso Novara,0,torino,2,268,7.69727,45.0835
2256,0.258730805630355,0.250068407910821,secondary,Corso Novara,0,torino,2,75,7.6960397,45.0849227
2259,0.254717010194845,0.24302398837655,secondary,Via Bologna,0,torino,2,293,7.70496,45.0867
2260,0.935410343604827,0.926599100404429,tertiary,Corso Regio Parco,0,torino,2,73,7.70109,45.0798
2263,0.188585942996422,0.179032880456044,secondary,Corso Novara,0,torino,2,260,7.70075,45.0794
2269,0.130165743589465,0.105483933077795,tertiary,Corso Palermo,0,torino,2,266,7.6926,45.0785
2277,0.389620198825915,0.087685700216374,tertiary,Corso Regio Parco,0,torino,1,261,7.69334,45.0765
2283,0.434887219023494,0.412961216870117,primary,Corso Regina Margherita,0,torino,2,382,7.694128,45.0732142
2285,0.245057484618201,0.204551016167945,tertiary,Corso Palermo,0,torino,2,265,7.69272,45.0791
2289,0.053256660347761,0.041558801897949,secondary,Corso Regio Parco,0,torino,2,262,7.6920666,45.0759218
2293,0.126643168227711,0.102285772730233,secondary,Corso Regio Parco,0,torino,3,263,7.69115,45.0755
2302,0.437042217084349,0.095712048040728,tertiary,Lungo Dora Firenze,0,torino,1,264,7.69149,45.0769
2309,0.206631546498928,0.19336217907069,tertiary,Corso Giulio Cesare,0,torino,1,312,7.68618,45.0807
2312,0.054357634786209,0.046276798564341,tertiary,Corso Giulio Cesare,0,torino,1,88,7.68658,45.0814
2315,0.4286212641032,0.41744454191336,residential,Lungo Dora Napoli,0,torino,1,307,7.6806,45.0855
2316,0.133361142764282,0.116160942855426,tertiary,Via Francesco Cigna,0,torino,2,314,7.68084,45.0855
2317,0.46104588140331,0.450755171788468,residential,Lungo Dora Napoli,0,torino,1,309,7.6808312,45.0852754
2318,0.119686220062888,0.111775864548082,tertiary,Via Francesco Cigna,0,torino,2,313,7.68061,45.0853
2320,0.130426221266375,0.119501293728158,tertiary,Corso Emilia,0,torino,2,310,7.686,45.0835
2321,0.210963189342955,0.108019446197422,tertiary,Corso Vercelli,0,torino,2,384,7.68773,45.0877
2327,0.420336001667675,0.095270169259011,residential,Lungo Dora Napoli,0,torino,1,308,7.6797212,45.0859792
2341,0.458537265798107,0.452082114134357,tertiary,Via Pianezza,0,torino,1,89,7.6549115,45.0913161
2349,0.134784173530135,0.128174895645176,tertiary,Corso Alessandro Tassoni,0,torino,2,347,7.6557822,45.0843
2350,0.138837428349553,0.126720556712236,other,Corso Alessandro Tassoni,0,torino,3,346,7.65594,45.0843
2373,0.157471924992451,0.153871615785956,other,Via Val della Torre,0,torino,1,320,7.6559239,45.0945246
2375,0.26768360564663,0.225433020231233,other,Corso Toscana,0,torino,1,349,7.64828,45.0996
2383,0.193040900359262,0.183847711233229,other,Corso Lucio Quinzio Cincinnato,0,torino,1,350,7.64552,45.1005
2395,0.068971099001423,0.051535250759431,other,Via Orvieto,0,torino,1,338,7.67153,45.0954
2397,0.257269895649133,0.23573118291852,tertiary,Via Stradella,0,torino,2,342,7.67146,45.0971
2399,0.264048796226683,0.252207476644397,tertiary,Via Stradella,0,torino,2,340,7.67222,45.0963
2400,0.097044876063203,0.081196402174654,other,Via Casteldelfino,0,torino,1,341,7.67181,45.0971
2405,0.256243730152292,0.084576078525451,tertiary,Via Stradella,0,torino,2,339,7.6729358,45.0958022
2407,0.208462259006451,0.193827615686175,other,Via Bibiana,0,torino,1,344,7.67445,45.0947
2412,0.115076072458252,0.101598855440481,tertiary,Via Stradella,0,torino,2,343,7.67525,45.0938
2413,0.33277726469233,0.317472137250235,secondary,Corso Vigevano,0,torino,2,385,7.6839785,45.089464
2414,0.192426227233555,0.183756749168612,tertiary,Via Francesco Cigna,0,torino,1,304,7.68393,45.0898
2417,0.382859939208316,0.364102704558327,residential,Corso Vigevano,0,torino,2,305,7.68349,45.0897
2418,0.207845091256192,0.188594834605683,tertiary,Corso Vercelli,0,torino,2,383,7.687929,45.0885114
2419,0.337380503641584,0.324948213796255,secondary,Corso Vigevano,0,torino,2,78,7.6879046,45.0890536
2420,0.196300276961941,0.190214093412663,other,Corso Novara,0,torino,3,299,7.6885,45.0887
2421,0.191799214826362,0.187147956472608,other,Corso Novara,0,torino,1,302,7.68846,45.0886
2423,0.192803433064079,0.177160271134232,secondary,Corso Novara,0,torino,2,300,7.69046,45.088
2424,0.197919638094669,0.175658097474687,other,Corso Novara,0,torino,1,301,7.6905427,45.0881303
2425,0.188917315241196,0.175869559711344,secondary,Corso Novara,0,torino,2,101,7.6910531,45.0876588
2426,0.175167872948777,0.163141423919,other,Corso Novara,0,torino,1,272,7.6910015,45.087517
2429,0.357568543645801,0.357568543645801,secondary,Corso Giulio Cesare,0,torino,2,303,7.69117,45.0881
2430,0.182656141823509,0.168627494797661,tertiary,Corso Giulio Cesare,0,torino,2,296,7.6905,45.0875
2431,0.145343275032882,0.137498971306502,tertiary,Corso Giulio Cesare,0,torino,2,298,7.68955,45.086
2432,0.258044731602455,0.242512742123235,secondary,Corso Novara,0,torino,2,76,7.69369,45.0862
2433,0.179344056531085,0.170388884366271,secondary,Corso Novara,0,torino,2,269,7.69613,45.0847
2434,0.114576551161621,0.105758053881951,tertiary,Corso Palermo,0,torino,2,294,7.693,45.0845
2436,0.099169869339111,0.090525695352057,residential,Corso Palermo,0,torino,2,295,7.6931,45.086
2437,0.18619150949042,0.177311330713539,other,Corso Novara,0,torino,2,77,7.6927891,45.0868473
2438,0.179695970592937,0.172499105452208,other,Corso Novara,0,torino,1,271,7.6928401,45.0869237
2441,0.544721500670579,0.518756256733299,residential,Corso Palermo,0,torino,2,270,7.6932956,45.0869924
2445,0.442403194652954,0.05468974271755,other,Via Sempione,0,torino,2,291,7.71132,45.0911
2449,0.197961923748783,0.084767602800492,secondary,Strada Settimo,0,torino,2,287,7.71589,45.0941
2450,0.292768067168838,0.274517905053843,secondary,Via Sandro Botticelli,0,torino,3,286,7.71623,45.0952
2467,0.183785074607006,0.174090761214594,primary,Corso Giulio Cesare,0,torino,3,83,7.70155,45.1045
2469,0.194747743908291,0.187713977002298,other,Via Nicola Porpora,0,torino,1,284,7.69813,45.0986
2470,0.141227130396972,0.109829353324599,secondary,Corso Giulio Cesare,0,torino,2,285,7.6978115,45.098583
2471,0.037556298336838,0.020172665004479,residential,Via Nicola Porpora,0,torino,1,280,7.6952736,45.1021902
2472,0.366912257093082,0.349203148680519,residential,Via Luigi Boccherini,0,torino,2,283,7.6980998,45.099447
2476,0.10060573540685,0.087884258567268,secondary,Corso Giulio Cesare,0,torino,2,275,7.69651,45.0964
2477,0.107857764917763,0.104971856916733,secondary,Corso Giulio Cesare,0,torino,2,276,7.69534,45.0945
2480,0.552004071477532,0.172753563949963,tertiary,Corso Vercelli,0,torino,1,79,7.68898,45.0905
2485,0.168472921385517,0.153031379515078,tertiary,Via Breglio,0,torino,1,337,7.6803,45.0989
2494,0.162354028677839,0.145948970844898,primary,Corso Grosseto,0,torino,4,334,7.6811166,45.1043546
2497,0.277431170866192,0.273057195537258,primary,Corso Grosseto,0,torino,2,333,7.6849777,45.1040155
2498,0.243986480140569,0.228298871105118,primary,Corso Grosseto,0,torino,4,332,7.6845227,45.1041792
2499,0.130191985770544,0.122902151636637,tertiary,Via Ala di Stura,30,torino,2,331,7.68489,45.1044
2501,0.139481209665955,0.122416632552966,tertiary,Via Ala di Stura,0,torino,2,330,7.684819,45.1054356
2506,0.141645704434264,0.136397904805189,secondary,Corso Giulio Cesare,0,torino,2,274,7.69589,45.0957
